,id,id_str,name,screen_name,description,years_online,statuses_count,tweets_per_year,location,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,lang,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,live_following,follow_request_sent,notifications,muting,blocking,blocked_by,translator_type,withheld_in_countries,profile_banner_url,year_created
30,550479185.0,550479185,Alan Parkhurst,alan_parkhurst,"Headteacher,Parish Councillor, Magistrate 20+ years,NASUWT Local Secretary,Lives in Shrewsbury.Schools : Meole Brace,The Wakeman.Aberystwyth University.",10,363.0,36.3,Shrewsbury,,{'description': {'urls': []}},False,83.0,154.0,1.0,Tue Apr 10 22:02:04 +0000 2012,1200.0,,,True,False,,False,False,False,BADFCD,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/2088647613/Corfu-Roda_2011_061_normal.jpg,https://pbs.twimg.com/profile_images/2088647613/Corfu-Roda_2011_061_normal.jpg,FF0000,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/550479185/1457293320,2012
40,298263524.0,298263524,Victoria,VictoriaJean75,"BA, MA MCC teacher, Second in department within state education and Head of Dept. within the private sector, early retirement but back becauseI love it so much!",11,55.0,5.0,"North West, England",,{'description': {'urls': []}},False,19.0,133.0,0.0,Sat May 14 00:49:09 +0000 2011,104.0,,,False,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1287309473703432192/hFpYzHCD_normal.jpg,https://pbs.twimg.com/profile_images/1287309473703432192/hFpYzHCD_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,False,False,False,False,none,[],,2011
49,596697391.0,596697391,Ned Fiennes,NedwardFiennes,@teachfirst teacher,10,89.0,8.9,,,{'description': {'urls': []}},True,76.0,314.0,0.0,Fri Jun 01 18:35:31 +0000 2012,2259.0,,,False,False,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1147968915701714944/kMQD6kBB_normal.jpg,https://pbs.twimg.com/profile_images/1147968915701714944/kMQD6kBB_normal.jpg,009999,EEEEEE,EFEFEF,333333,True,True,False,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/596697391/1562532092,2012
50,72935682.0,72935682,Ellie Ormonde-Church,EllenaOC,Year 4 teacher.,13,6797.0,522.8461538461538,,,{'description': {'urls': []}},True,196.0,788.0,0.0,Wed Sep 09 19:57:58 +0000 2009,2893.0,,,True,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1170726915675758593/iO6EMEBf_normal.jpg,https://pbs.twimg.com/profile_images/1170726915675758593/iO6EMEBf_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/72935682/1567958023,2009
82,1.0675783597632348e+18,1067578359763234816,Chris Hogbin,Chrisculator,Helping teachers facilitate learning and foster a love of learning (esp Maths) in their students.,4,104.0,26.0,"Guildford, England",https://t.co/wPJaBlQ8ku,"{'url': {'urls': [{'url': 'https://t.co/wPJaBlQ8ku', 'expanded_url': 'http://numberhive.app', 'display_url': 'numberhive.app', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,974.0,3807.0,0.0,Wed Nov 28 00:38:10 +0000 2018,1061.0,,,False,False,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1580259969651310608/O1V55xJP_normal.jpg,https://pbs.twimg.com/profile_images/1580259969651310608/O1V55xJP_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/1067578359763234816/1667395193,2018
152,2973688066.0,2973688066,𝐀𝐥𝐥𝐢𝐬𝐨𝐧,chinelady,"Silly, loud American in the UK. Raised in the great state of Michigan. Computer Science teacher 👩🏻‍🏫👩🏻‍💻",7,390.0,55.714285714285715,England,,{'description': {'urls': []}},True,165.0,1382.0,3.0,Sun Jan 11 20:45:57 +0000 2015,1290.0,,,True,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316084538221748225/DiAI5oYk_normal.jpg,https://pbs.twimg.com/profile_images/1316084538221748225/DiAI5oYk_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/2973688066/1421009601,2015
179,3291751060.0,3291751060,👩🏻‍🏫,hls_senteacher,"LKS3 PMLD teacher. Developmental Curriculum lead. Always an Apple teacher. Experience in KS1 SLD, KS1/2 PMLD/ASD/CLDD.",7,89.0,12.714285714285714,"Sheffield, England",,{'description': {'urls': []}},False,250.0,170.0,0.0,Wed May 20 18:16:25 +0000 2015,325.0,,,False,False,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/601089687332253696/HoDhl7Ji_normal.jpg,https://pbs.twimg.com/profile_images/601089687332253696/HoDhl7Ji_normal.jpg,9266CC,000000,000000,000000,False,False,False,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/3291751060/1642020363,2015
192,135567848.0,135567848,Elizabeth Harris,LizbethAHarris,Creative Writing student turned English teacher...,12,55.0,4.583333333333333,The good ol' UK,,{'description': {'urls': []}},True,59.0,79.0,0.0,Wed Apr 21 17:27:32 +0000 2010,191.0,,,False,False,,False,False,False,C6E2EE,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/1060627375644393472/EaAoCZ98_normal.jpg,https://pbs.twimg.com/profile_images/1060627375644393472/EaAoCZ98_normal.jpg,9B1ECC,C6E2EE,DAECF4,663B12,True,True,False,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/135567848/1470088096,2010
201,802448430.0,802448430,Ian Round,ianroundstaff,"Music Technology teacher at Shrewsbury Colleges Group. Remixing,  Sequencing, DJing, Studio Recording, Audio Post Production...",10,485.0,48.5,"Shrewsbury, England",http://t.co/Yqd5fgBwhS,"{'url': {'urls': [{'url': 'http://t.co/Yqd5fgBwhS', 'expanded_url': 'http://www.soundcloud.com/ianround', 'display_url': 'soundcloud.com/ianround', 'indices': [0, 22]}]}, 'description': {'urls': []}}",False,166.0,377.0,3.0,Tue Sep 04 13:45:14 +0000 2012,313.0,,,False,False,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1409888695109439491/B0WmOGiU_normal.jpg,https://pbs.twimg.com/profile_images/1409888695109439491/B0WmOGiU_normal.jpg,89C9FA,000000,000000,000000,False,True,False,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/802448430/1582882494,2012
205,4100627249.0,4100627249,Chepping View SCITT,Cheppingscitt,Chepping View SCITT provides high quality primary school based teacher training leading to QTS status with a PGCE.,7,121.0,17.285714285714285,"High Wycombe, England",https://t.co/31e7fAmw0B,"{'url': {'urls': [{'url': 'https://t.co/31e7fAmw0B', 'expanded_url': 'http://www.cheppingviewscitt.com', 'display_url': 'cheppingviewscitt.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,219.0,126.0,8.0,Mon Nov 02 23:30:21 +0000 2015,32.0,,,False,False,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1372544962944962561/w_IIRbXG_normal.jpg,https://pbs.twimg.com/profile_images/1372544962944962561/w_IIRbXG_normal.jpg,3B94D9,000000,000000,000000,False,False,False,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/4100627249/1456055863,2015
