,id,id_str,name,screen_name,description,years_online,statuses_count,tweets_per_year,location,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,lang,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,live_following,follow_request_sent,notifications,muting,blocking,blocked_by,translator_type,withheld_in_countries,year_created,friend_ratio
5813,7.70220817372373e+17,770220817372372996,The MTPT Project,mtptproject,"UK charity for parent teachers. Parental leave CPD, baby-friendly networking, family friendly schools #MTPTproject #MTPTchat",6.0,39620.0,6603.333333333333,UK,https://t.co/bXDQqhgDDn,"{'url': {'urls': [{'url': 'https://t.co/bXDQqhgDDn', 'expanded_url': 'http://www.mtpt.org.uk', 'display_url': 'mtpt.org.uk', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,11461.0,12151.0,81.0,Mon Aug 29 11:25:27 +0000 2016,54848.0,,,True,False,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1477987152348725253/zvOOOQGn_normal.jpg,https://pbs.twimg.com/profile_images/1477987152348725253/zvOOOQGn_normal.jpg,https://pbs.twimg.com/profile_banners/770220817372372996/1641214572,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,False,False,False,False,none,[],2016.0,0.9432145502427783
16192,7.680235980030566e+17,768023598003056642,Lord Artlessly of Tofu #3.5% #FBPE #FBPA,nickartfully,Painter & Art teacher Dad of 2 🇪🇺 🇬🇧 🇫🇮 NE,6.0,21378.0,3563.0,,,{'description': {'urls': []}},False,4058.0,4804.0,2.0,Tue Aug 23 09:54:29 +0000 2016,48925.0,,,True,False,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1399818587091746821/7NUR5X93_normal.jpg,https://pbs.twimg.com/profile_images/1399818587091746821/7NUR5X93_normal.jpg,https://pbs.twimg.com/profile_banners/768023598003056642/1617691946,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,False,False,False,False,none,[],2016.0,0.8447127393838468
25633,636188854.0,636188854,Daphne Miles#PCPEU,daphne_miles,"Ret’d English teacher.Bob Dylan,Shakespeare,Gerard M.Hopkins. Fluent French. Gd Italian. Learning German. Irish heart. 🇮🇪European.🇪🇺Catholic.🇵🇸",10.0,501215.0,50121.5,"Canterbury, England",,{'description': {'urls': []}},False,10125.0,10985.0,108.0,Sun Jul 15 13:33:27 +0000 2012,338445.0,,,True,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1596461743353495553/NBaN4Mu0_normal.jpg,https://pbs.twimg.com/profile_images/1596461743353495553/NBaN4Mu0_normal.jpg,https://pbs.twimg.com/profile_banners/636188854/1656875179,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,False,False,False,False,regular,[],2012.0,0.9217114246700046
29880,1362734726.0,1362734726,rattycastle,rattycastle,🍰🍪farmer in Cumbria ..  Special needs teacher  retired ! . Breastcancer sucks,9.0,311245.0,34582.77777777778,lakes district,,{'description': {'urls': []}},False,7178.0,7692.0,583.0,Thu Apr 18 19:31:50 +0000 2013,272140.0,,,True,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1576130669759062016/H-lpjsks_normal.jpg,https://pbs.twimg.com/profile_images/1576130669759062016/H-lpjsks_normal.jpg,https://pbs.twimg.com/profile_banners/1362734726/1590047384,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,False,False,False,False,none,[],2013.0,0.9331773270930838
40712,37965132.0,37965132,🖤Cookie Spencer,crowmogh,Lefty Asian born ex teacher. Retweets not always an endorsment. No I dont wear open toed sandals. #remain #Kernow. Recently lost my husband to Glioblastoma.,13.0,239591.0,18430.076923076922,CORNWALL,,{'description': {'urls': []}},False,4437.0,4449.0,119.0,Tue May 05 16:57:05 +0000 2009,199005.0,,,True,False,,False,False,False,ACDED6,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/804611774070652928/ArJyln6V_normal.jpg,https://pbs.twimg.com/profile_images/804611774070652928/ArJyln6V_normal.jpg,https://pbs.twimg.com/profile_banners/37965132/1581601245,058552,EEEEEE,F6F6F6,333333,True,True,False,False,False,False,False,False,False,False,False,none,[],2009.0,0.9973027646662171
45702,1.0086561437056655e+18,1008656143705665536,Brian Hunter,_Brian_Hunter,"QTS/PGCE Secondary Computing BCU graduate, computing nerd, Black Sabbath supporter, and socialist. Free IT telephone advice to #NHS staff, #teachers et al",4.0,24515.0,6128.75,"Solihull, England",,{'description': {'urls': []}},False,10138.0,11025.0,6.0,Mon Jun 18 10:22:19 +0000 2018,86488.0,,,False,False,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1008680326435102726/xuSvXVAS_normal.jpg,https://pbs.twimg.com/profile_images/1008680326435102726/xuSvXVAS_normal.jpg,https://pbs.twimg.com/profile_banners/1008656143705665536/1529323149,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,False,False,False,False,none,[],2018.0,0.919546485260771
46053,2833727607.0,2833727607,Martin Longley #NHSLove #FBPE 3.5% #DoGooder,minlongley,Londoner. Lived in Dorset for over 40 years. Former teacher and business owner. European. https://t.co/BlPYETj7is,8.0,45921.0,5740.125,Corfe Mullen,,"{'description': {'urls': [{'url': 'https://t.co/BlPYETj7is', 'expanded_url': 'https://mastodon.online/@minlongley', 'display_url': 'mastodon.online/@minlongley', 'indices': [90, 113]}]}}",False,4019.0,4970.0,6.0,Thu Oct 16 10:10:17 +0000 2014,89397.0,,,True,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1416308917974491139/rejsYP4v_normal.jpg,https://pbs.twimg.com/profile_images/1416308917974491139/rejsYP4v_normal.jpg,https://pbs.twimg.com/profile_banners/2833727607/1413478974,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,False,False,False,False,none,[],2014.0,0.8086519114688129
55850,110389777.0,110389777,Peter Gates,petergates3,"Socialist, mathematics education, teacher, researcher, social justice, research methodology, Unite member.",12.0,40180.0,3348.3333333333335,Nottingham,https://t.co/t6g1sVTBDV,"{'url': {'urls': [{'url': 'https://t.co/t6g1sVTBDV', 'expanded_url': 'https://teaching-maths.com', 'display_url': 'teaching-maths.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,4821.0,4926.0,14.0,Mon Feb 01 11:14:13 +0000 2010,120171.0,,,True,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143980288332181504/MDywrdCz_normal.jpg,https://pbs.twimg.com/profile_images/1143980288332181504/MDywrdCz_normal.jpg,https://pbs.twimg.com/profile_banners/110389777/1616141223,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,False,False,False,False,none,[],2010.0,0.9786845310596833
61309,68004964.0,68004964,Georgina Simmons,yelyahgina,usually at the theatre🎭 | DJW❤️ | Marvel Nerd🦸🏼‍♀️|hospitality management graduate🎓 | Year 6 teacher👩‍🏫 Maths Lead🔢 Phase Leader 🧑‍🏫 MSc Education📒,13.0,82937.0,6379.7692307692305,London/travelling the world,https://t.co/2ziQm9LauD,"{'url': {'urls': [{'url': 'https://t.co/2ziQm9LauD', 'expanded_url': 'https://www.facebook.com/groups/133059042234939/?ref=share', 'display_url': 'facebook.com/groups/1330590…', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,4173.0,4980.0,55.0,Sat Aug 22 22:50:26 +0000 2009,34972.0,,,True,False,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,True,http://pbs.twimg.com/profile_images/1520776641554825220/7anX2-WN_normal.jpg,https://pbs.twimg.com/profile_images/1520776641554825220/7anX2-WN_normal.jpg,https://pbs.twimg.com/profile_banners/68004964/1633381054,B40B43,FFFFFF,9FA6B5,7720A3,True,True,False,False,False,False,False,False,False,False,False,none,[],2009.0,0.8379518072289157
61988,1.104837610596434e+18,1104837610596433921,James Hodge,jjjummer,"Aspiring novelist and screenwriter. Journalist. Former English teacher, Lead Prac, HOD of Media Studies, ITT lecturer. Lgbt+ education activist. 🏳️‍🌈",3.0,16505.0,5501.666666666667,"London, England",,{'description': {'urls': []}},False,6696.0,7326.0,10.0,Sun Mar 10 20:13:08 +0000 2019,26075.0,,,True,False,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1552307051048615942/b_xKZXRi_normal.jpg,https://pbs.twimg.com/profile_images/1552307051048615942/b_xKZXRi_normal.jpg,https://pbs.twimg.com/profile_banners/1104837610596433921/1649101276,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,False,False,False,False,none,[],2019.0,0.914004914004914
