,id,id_str,name,screen_name,description,years_online,statuses_count,tweets_per_year,location,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,lang,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,live_following,follow_request_sent,notifications,muting,blocking,blocked_by,translator_type,withheld_in_countries,year_created,friend_ratio
16,45092567.0,45092567.0,Ed Freshwater #TeamKip,edfreshwater,"@BrumGreens candidate for #Handsworth
Busy Mental Health nurse. @rmnbbpodcast on politics of MH. Founder of @MHNursesDay. Dad of @TeamKipUK.",13.0,32441.0,2495.4615384615386,"West Midlands, England",https://t.co/yVvMqpLHYT,"{'url': {'urls': [{'url': 'https://t.co/yVvMqpLHYT', 'expanded_url': 'https://www.edfreshwater.co.uk', 'display_url': 'edfreshwater.co.uk', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,4047.0,4951.0,25.0,Sat Jun 06 08:06:12 +0000 2009,33069.0,,,True,False,,False,False,False,000000,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,False,http://pbs.twimg.com/profile_images/1573355475143479298/6NYjW4fi_normal.jpg,https://pbs.twimg.com/profile_images/1573355475143479298/6NYjW4fi_normal.jpg,https://pbs.twimg.com/profile_banners/45092567/1647883518,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,False,False,False,False,none,[],2009.0,0.8174106241163401
11123,9.21722057850835e+17,9.21722057850835e+17,Registered Nurse Jobs - RNJobSite.com,RNJobSite,👩‍⚕️ #RN Jobs👨‍⚕️Follow us and join https://t.co/0AkqGB7ndz for top #RegisteredNurse jobs with hiring employers. #rns #rnjobs #nursejobs #rnjob #nursetwitter #nurselife,5.0,43286.0,8657.2,Nationwide,https://t.co/DUahNkXoke,"{'url': {'urls': [{'url': 'https://t.co/DUahNkXoke', 'expanded_url': 'https://www.RNJobSite.com', 'display_url': 'RNJobSite.com', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/0AkqGB7ndz', 'expanded_url': 'http://RNJobSite.com', 'display_url': 'RNJobSite.com', 'indices': [36, 59]}]}}",False,4453.0,4976.0,9.0,Sat Oct 21 12:57:18 +0000 2017,3015.0,,,False,False,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/923953552518713344/DcgVf3zh_normal.jpg,https://pbs.twimg.com/profile_images/923953552518713344/DcgVf3zh_normal.jpg,https://pbs.twimg.com/profile_banners/921722057850834945/1643411889,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,False,False,False,False,none,[],2017.0,0.894895498392283
43972,23104401.0,23104401.0,Sharon Gathercole🏴󠁧󠁢󠁳󠁣󠁴󠁿🌻🇺🇦,Sharonwifey,Happy nurse. Dog slave. Great family. Great friends. Lucky girl. SNP. Independence for Scotland🏴󠁧󠁢󠁳󠁣󠁴󠁿 My tweets are my own opinions.,13.0,69166.0,5320.461538461538,Scotland🏴󠁧󠁢󠁳󠁣󠁴󠁿,,{'description': {'urls': []}},False,6656.0,7321.0,30.0,Fri Mar 06 19:13:27 +0000 2009,87737.0,,,True,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1590864147071340546/3lgLkuhF_normal.jpg,https://pbs.twimg.com/profile_images/1590864147071340546/3lgLkuhF_normal.jpg,https://pbs.twimg.com/profile_banners/23104401/1646473857,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,False,False,False,False,none,[],2009.0,0.9091654145608523
51911,9.410227832149892e+17,9.41022783214989e+17,BigMamaNurse,BigNurse20281,"Mom, Wife, #Jesus, Lover of the lost and forgotten,All outcasts welcome,Ayurveda,MotherTeresa,Volunteer nurse Mexico ,#tecatesmiles #volunteernurseIndia",5.0,28510.0,5702.0,"California, USA",,{'description': {'urls': []}},False,4424.0,5555.0,9,Wed Dec 13 19:11:29 +0000 2017,53161.0,,,False,False,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1097783108709933056/jIIm29YO_normal.jpg,https://pbs.twimg.com/profile_images/1097783108709933056/jIIm29YO_normal.jpg,https://pbs.twimg.com/profile_banners/941022783214989312/1550994678,981CEB,000000,000000,000000,False,False,False,False,False,False,False,False,False,False,False,none,[],2017.0,0.7963996399639964
76882,2147984827.0,2147984827.0,Only A Nurse,Onlyanurse2013,"Only A Nurse is a New Nursing Community. It's time  nurses united. Let all join in and help each other. The site has forums,humor & stories for nurses.",9.0,20396.0,2266.222222222222,USA,http://t.co/RBHLCKl4Ac,"{'url': {'urls': [{'url': 'http://t.co/RBHLCKl4Ac', 'expanded_url': 'http://onlyanurse.com', 'display_url': 'onlyanurse.com', 'indices': [0, 22]}]}, 'description': {'urls': []}}",False,10789.0,10848.0,115,Mon Oct 21 23:19:26 +0000 2013,1452.0,,,False,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/378800000630584815/af5196943ef78188323d4e624f420bc5_normal.jpeg,https://pbs.twimg.com/profile_images/378800000630584815/af5196943ef78188323d4e624f420bc5_normal.jpeg,https://pbs.twimg.com/profile_banners/2147984827/1382398199,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,False,False,False,False,none,[],2013.0,0.994561209439528
103137,2381011447.0,2381011447.0,🌟Lorraine Tinker💙RSCN/RGN/RMN,lorraine_tinker,"Divisional Head of Nursing -Children’s Services,RGN/RSCN/RMN,BSc,MSc. @FnightingaleF alumni, @cypnurseleaders member 🐈‍⬛🐈‍⬛enthusiast. She/her.Tweets my own",8.0,49540.0,6192.5,brighton @Uhsussex,,{'description': {'urls': []}},False,4285.0,4986.0,136,Sun Mar 09 20:42:15 +0000 2014,58159.0,,,True,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1392207748624883715/q3FWUJZW_normal.png,https://pbs.twimg.com/profile_images/1392207748624883715/q3FWUJZW_normal.png,https://pbs.twimg.com/profile_banners/2381011447/1394399438,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,False,False,False,False,none,[],2014.0,0.859406337745688
103321,16204801.0,16204801.0,Crowing For Days,LilRedRooster,"RN, ICU • Ginger • Roller skates & snowboards & climbing rocks • Cheese & beer • Atheist/humanist • Pro-Choice • She/they • BLM • #nursetwitter",14.0,47579.0,3398.5,"The Rockies, CO",,{'description': {'urls': []}},False,4977.0,5187.0,49,Tue Sep 09 16:28:04 +0000 2008,123692.0,,,True,False,,False,False,False,4B4D48,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/592538960087265280/Sfc4u2QL_normal.jpg,https://pbs.twimg.com/profile_images/592538960087265280/Sfc4u2QL_normal.jpg,https://pbs.twimg.com/profile_banners/16204801/1603081305,5A5E57,000000,9F6170,BDB7A1,True,True,False,False,False,False,False,False,False,False,False,none,[],2008.0,0.9595141700404858
105533,2170792588.0,2170792588.0,dementia world links,kandjbaker,"☺ Dementia  Nurse  Explains: Dementia, #alzauthors
 tweets by Karen or john(nurse)
views not all r own  remember we r a world page some terminology  may offend",9.0,19965.0,2218.3333333333335,TAG US & we will RT ur TWEET  ,https://t.co/pXiqcX0Qz8,"{'url': {'urls': [{'url': 'https://t.co/pXiqcX0Qz8', 'expanded_url': 'http://www.amazon.co.uk/dp/B005WK6HBO', 'display_url': 'amazon.co.uk/dp/B005WK6HBO', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,4583.0,4984.0,117,Wed Nov 06 13:01:27 +0000 2013,10666.0,,,True,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1223569968387821570/5mqHwtTL_normal.jpg,https://pbs.twimg.com/profile_images/1223569968387821570/5mqHwtTL_normal.jpg,https://pbs.twimg.com/profile_banners/2170792588/1571702139,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,False,False,False,False,none,[],2013.0,0.9195425361155698
132049,244977966.0,244977966.0,Simon Atticus Nash ⛑🚑🏥🏳️‍🌈,simonnash1980,I'm a #nurse working for @FACLTD & @FARLDN in the #prehospitalcare environment. Views are my own. #hellomynameis #Battersea #SW11 #Wandsworth #SW18,11.0,29847.0,2713.3636363636365,"Battersea, London",https://t.co/GfjH0gEmXP,"{'url': {'urls': [{'url': 'https://t.co/GfjH0gEmXP', 'expanded_url': 'http://www.firstaidcover.co.uk', 'display_url': 'firstaidcover.co.uk', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,5728.0,6807.0,114,Sun Jan 30 15:49:15 +0000 2011,41926.0,,,True,False,,False,False,False,DBE9ED,http://abs.twimg.com/images/themes/theme17/bg.gif,https://abs.twimg.com/images/themes/theme17/bg.gif,False,http://pbs.twimg.com/profile_images/1084189792747876352/u-vq_ls1_normal.jpg,https://pbs.twimg.com/profile_images/1084189792747876352/u-vq_ls1_normal.jpg,https://pbs.twimg.com/profile_banners/244977966/1508275755,CC3366,DBE9ED,E6F6F9,333333,True,True,False,False,False,False,False,False,False,False,False,none,[],2011.0,0.8414867048626414
202434,50338182.0,50338182.0,David Barton,Bartontd,"Retired Professor of Nursing, Being a Nurse my proudest achievement, preparing the next generation of nurses my greatest responsibility & enduring passion.",13.0,67807.0,5215.923076923077,"Swansea, Wales, UK",http://t.co/3uRGNuMoOd,"{'url': {'urls': [{'url': 'http://t.co/3uRGNuMoOd', 'expanded_url': 'http://newnightingalechronicles.blogspot.com/', 'display_url': 'newnightingalechronicles.blogspot.com', 'indices': [0, 22]}]}, 'description': {'urls': []}}",False,7827.0,8143.0,139,Wed Jun 24 15:37:43 +0000 2009,6731.0,,,True,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/3320934696/bd3e279fe46d36fe7832361eaf99aa61_normal.png,https://pbs.twimg.com/profile_images/3320934696/bd3e279fe46d36fe7832361eaf99aa61_normal.png,https://pbs.twimg.com/profile_banners/50338182/1396986768,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,False,False,False,False,none,[],2009.0,0.9611936632690654
202659,35545351.0,35545351.0,David Munday,davidamunday,"It's me! Views mostly my own apart from those that aren't. Also lead professional officer (mental health) for @UniteInHealth, health visitor & nurse.",13.0,55242.0,4249.384615384615,Somewhere in the UK (usually),https://t.co/BKKImDpUlk,"{'url': {'urls': [{'url': 'https://t.co/BKKImDpUlk', 'expanded_url': 'http://adaywithdave.wordpress.com', 'display_url': 'adaywithdave.wordpress.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,5730.0,6152.0,68,Sun Apr 26 19:44:09 +0000 2009,42976.0,,,True,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1356710876192112642/HZTKfiNc_normal.jpg,https://pbs.twimg.com/profile_images/1356710876192112642/HZTKfiNc_normal.jpg,https://pbs.twimg.com/profile_banners/35545351/1617200789,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,False,False,False,False,none,[],2009.0,0.9314044213263979
