,Topic,Count,Name,details
0,-1,214,-1_lpn_nursetwitter_licensedpracticalnurse_lpncareer,[]
1,0,85,0_travel_travelnurse_cathlabnurse_crisisnursejobs,"[('travel', 0.12776890169991928), ('travelnurse', 0.12215020853717802), ('cathlabnurse', 0.0903728142684805), ('crisisnursejobs', 0.0903728142684805), ('leader', 0.0903728142684805), ('tele', 0.0903728142684805), ('texasnursejobs', 0.0903728142684805), ('travelnurses', 0.0903728142684805), ('highestpaynursejobs', 0.0903728142684805), ('highest', 0.0903728142684805)]"
2,1,77,1_lifeasanurse_thanks_open_still,"[('lifeasanurse', 0.36964706116303364), ('thanks', 0.03038848836491408), ('open', 0.029441615854442712), ('still', 0.026673336359514754), ('than', 0.025202767867758765), ('httpstcoewwlfvmiyz', 0.02072236429804938), ('httpstcodakw8i7j3z', 0.02072236429804938), ('httpstcod7b61o3yfw', 0.02072236429804938), ('httpstcojtrjxgrirs', 0.02072236429804938), ('httpstcodfvqsninpq', 0.02072236429804938)]"
3,2,63,2_to_apply_for_click,"[('to', 0.04303388032940152), ('apply', 0.041339467378182074), ('for', 0.040150558974134894), ('click', 0.03993523521684916), ('at', 0.03881817042273236), ('hiring', 0.038052444644101), ('in', 0.037714445154366324), ('loma', 0.037195468765667476), ('linda', 0.037195468765667476), ('career', 0.035854776957481176)]"
4,3,59,3_lifeasanurse_my_this_thank,"[('lifeasanurse', 0.07214924868474673), ('my', 0.045909361348042126), ('this', 0.04222734842107765), ('thank', 0.040556744165775836), ('you', 0.03715894100516577), ('lbhealth', 0.03530971381472669), ('coronapocalypse', 0.034714741813644014), ('the', 0.032742501439979095), ('and', 0.031093378258212685), ('so', 0.03087078227471164)]"
5,4,51,4_nurselife_nursethings_nursetwitter_medtwitter,"[('nurselife', 0.05933978888712396), ('nursethings', 0.036086249239561), ('nursetwitter', 0.034705655618893466), ('medtwitter', 0.032957465673222996), ('my', 0.02577754879334653), ('is', 0.025086501615851367), ('long', 0.02471809925491725), ('superman', 0.024297226226563363), ('skin', 0.024297226226563363), ('bts', 0.024297226226563363)]"
6,5,48,5_shift_to_my_the,"[('shift', 0.052066274029530776), ('to', 0.038419524862845646), ('my', 0.03657398968406634), ('the', 0.03629151383382298), ('and', 0.03569448380716148), ('day', 0.03293877211115478), ('im', 0.02981313783528434), ('after', 0.02846326580869259), ('work', 0.027995108095453056), ('is', 0.027082018789839544)]"
7,6,38,6_hospice_respite_longtermcare_transitional,"[('hospice', 0.17650546354556554), ('respite', 0.11156792503618583), ('longtermcare', 0.10800454049065328), ('transitional', 0.10069993234010789), ('ltc', 0.09695256256589523), ('care', 0.08342716146231391), ('coffee', 0.07160109761618338), ('campbellriver', 0.045038899490456676), ('nursing', 0.04233542763623158), ('finland', 0.038604770991820005)]"
8,7,35,7_our_of_we_colleagues,"[('our', 0.07834006328546468), ('of', 0.04762598452681387), ('we', 0.047546203186634134), ('colleagues', 0.04404948221490926), ('thrive', 0.04342149931589379), ('fl', 0.042657610591892124), ('in', 0.03818715541937207), ('healthcare', 0.037487248593914266), ('and', 0.03566330958549584), ('come', 0.034853866996765404)]"
9,8,32,8_scrubs_tshirt_halloween_prints,"[('scrubs', 0.057467729974775054), ('tshirt', 0.05378471064077161), ('halloween', 0.04183255272060014), ('prints', 0.03905364088276093), ('and', 0.03174729356451461), ('gift', 0.03153064297408818), ('for', 0.03030081593515993), ('top', 0.029880394800428672), ('nurse', 0.029000034664426466), ('nurselife', 0.02837028117343392)]"
10,9,32,9_registerednurse_rnjob_rns_rnjobs,"[('registerednurse', 0.0907902270281996), ('rnjob', 0.08957422417730745), ('rns', 0.08885396131693354), ('rnjobs', 0.08045134438732997), ('nursejobs', 0.08045134438732997), ('nurse', 0.07764311340361318), ('nursingjobs', 0.07661054354640263), ('nursing', 0.06941994589849956), ('nursetwitter', 0.06940090474434799), ('nurses', 0.06785968673627653)]"
11,10,30,10_nursethings_and_me_my,"[('nursethings', 0.09662117682570805), ('and', 0.0503705505163241), ('me', 0.04930479705145429), ('my', 0.04436971813210169), ('patient', 0.03944740051967169), ('the', 0.034776908649430366), ('when', 0.03185641168470592), ('in', 0.03046989056110176), ('like', 0.03024942765726411), ('was', 0.03024942765726411)]"
12,11,29,11_itjobs_aprn_payroll_nursepractitioner,"[('itjobs', 0.07707545117160082), ('aprn', 0.07707545117160082), ('payroll', 0.0738584866321999), ('nursepractitioner', 0.07225651389217314), ('insync', 0.06723078793421419), ('visit', 0.06707028238029768), ('lpn', 0.061763872142745764), ('us', 0.05349940876475941), ('staffing', 0.05293372908599864), ('technology', 0.04929260091791782)]"
13,12,27,12_med_rnjob_rns_registerednurse,"[('med', 0.12183483697478543), ('rnjob', 0.11146643195198523), ('rns', 0.11057013469849754), ('registerednurse', 0.10518793094125363), ('surg', 0.10288828996162236), ('rnjobs', 0.10011389310886024), ('nursejobs', 0.10011389310886024), ('rn', 0.09722829922827182), ('nursingjobs', 0.09533438907733313), ('nights', 0.09255421895133048)]"
14,13,25,13_new_job_grads_opportunity,"[('new', 0.11303766445417383), ('job', 0.11237349579666028), ('grads', 0.10346109616305231), ('opportunity', 0.1016526512651752), ('welcome', 0.09775702427308612), ('rn', 0.05478625174046564), ('what', 0.035647185564217865), ('nurselife', 0.03459678474004395), ('you', 0.03306751674601932), ('and', 0.027669809161160568)]"
15,14,21,14_amargado_tomado_del_fb,"[('amargado', 0.23270191327617548), ('tomado', 0.23270191327617548), ('del', 0.23270191327617548), ('fb', 0.23270191327617548), ('enfermero', 0.22902044609397668), ('lifeasanurse', 0.09616107983945221), ('con', 0.06508356544639979), ('de', 0.06508356544639979), ('el', 0.04652259595318721), ('nada', 0.04652259595318721)]"
16,15,19,15_und_ich_ko_du,"[('und', 0.08755576874109008), ('ich', 0.07326769977080723), ('ko', 0.0598504984260198), ('du', 0.0598504984260198), ('zu', 0.05171575347237106), ('die', 0.05171575347237106), ('der', 0.049875415355016495), ('nur', 0.04317674704509427), ('schon', 0.04317674704509427), ('ja', 0.04317674704509427)]"
17,16,19,16_iv_nursethings_an_ivs,"[('iv', 0.12968464567007754), ('nursethings', 0.11492314035412715), ('an', 0.057918581777876156), ('ivs', 0.05730907810638616), ('them', 0.052965772786632816), ('veins', 0.052104062884109), ('someone', 0.05024990652833061), ('lol', 0.04613614541881888), ('no', 0.04499435994545159), ('my', 0.04346112322154671)]"
18,17,17,17_me_kawaiiabunga_hof_to,"[('me', 0.06424247920899236), ('kawaiiabunga', 0.05085944811831483), ('hof', 0.05085944811831483), ('to', 0.03834291564078614), ('her', 0.03391926193517134), ('nursethings', 0.03357176482927144), ('thank', 0.03112951065508702), ('nurselife', 0.030213548029334993), ('you', 0.028521511618977115), ('finger', 0.028361540967245545)]"
19,18,15,18_travel_healthcarestaffing_vero_verotravelnurse,"[('travel', 0.058666515570823856), ('healthcarestaffing', 0.05705620956373023), ('vero', 0.05616810310906527), ('verotravelnurse', 0.05616810310906527), ('verorn', 0.05616810310906527), ('travelnurse', 0.05608662996850558), ('rnlife', 0.05487595664094745), ('adventure', 0.04689395043308251), ('with', 0.04350674635584757), ('healthcare', 0.03989580540493257)]"
20,19,14,19_emergency_room_mi_rnjob,"[('emergency', 0.1639541046594887), ('room', 0.15970792423044644), ('mi', 0.11591089975918817), ('rnjob', 0.10361007127061775), ('rns', 0.10277694670847584), ('registerednurse', 0.0977740906457534), ('nursejobs', 0.09305768040243864), ('rnjobs', 0.09305768040243864), ('nursingjobs', 0.08861504467190733), ('rn', 0.08714777322132726)]"
21,20,13,20_careersmckenziehcrcom_6043528884_nursesrock_great,"[('careersmckenziehcrcom', 0.12876408163771183), ('6043528884', 0.11961492559701252), ('nursesrock', 0.09041932694083006), ('great', 0.08604900003175943), ('rpn', 0.08001751420000473), ('mckenzie', 0.08001751420000473), ('applynow', 0.07752425479063854), ('care', 0.07087995354589777), ('careers', 0.0702349536205701), ('recruitment', 0.0702349536205701)]"
