,Topic,Count,Name,details
0,-1,191,-1_to_t2tchat_and_the,[]
1,0,76,0_to_the_and_students,"[('to', 0.05238027202902835), ('the', 0.044428008094986565), ('and', 0.044171952420450654), ('students', 0.043194961316917815), ('they', 0.04026118640172001), ('teacher2teacher', 0.039424789219916635), ('are', 0.03371533458922603), ('t2tchat', 0.032253723753925816), ('that', 0.03205063287466452), ('them', 0.031070469194646066)]"
2,1,45,1_to_you_t2tchat_what,"[('to', 0.05604506879642461), ('you', 0.0440098235354192), ('t2tchat', 0.043289314152320076), ('what', 0.04061126814004835), ('students', 0.0365885421591828), ('how', 0.03466752796301777), ('the', 0.03169094869396284), ('do', 0.03165418457974054), ('with', 0.03121397041425253), ('is', 0.03037790185449846)]"
3,2,34,2_you_t2tchat_sharing_cijithurman,"[('you', 0.1234964260899895), ('t2tchat', 0.10794674430759126), ('sharing', 0.09609642324858594), ('cijithurman', 0.08721064158939021), ('thank', 0.08691848966342137), ('for', 0.07017757558107164), ('ciji', 0.0582996545077786), ('so', 0.05593652484843679), ('danacoledares', 0.05468177283964721), ('marcusluther6', 0.052471724096487184)]"
4,3,33,3_teacher2teacher_t2tchat_this_love,"[('teacher2teacher', 0.17432558556027036), ('t2tchat', 0.12385169592141414), ('this', 0.049794754955038406), ('love', 0.04855134333252851), ('liviachanl', 0.04847984652716325), ('thats', 0.04508731757676992), ('it', 0.04367453174928867), ('the', 0.04029711686963965), ('valeriesalter5', 0.04029568873449211), ('how', 0.03778459916736031)]"
5,4,28,4_math_and_the_t2tchat,"[('math', 0.07470187892960803), ('and', 0.04245415427076646), ('the', 0.039986858270552754), ('t2tchat', 0.039724647308420194), ('teacher2teacher', 0.0391271987215779), ('of', 0.03723382110727748), ('maths', 0.032564722475661355), ('in', 0.032300147737822985), ('for', 0.031359544643715584), ('use', 0.029880751571843212)]"
6,5,25,5_ourkidsmatter_teacher2teacher_emilyfranesl_hi,"[('ourkidsmatter', 0.19057215131975713), ('teacher2teacher', 0.1307608998283278), ('emilyfranesl', 0.09915325150730174), ('hi', 0.09386129375412207), ('t2tchat', 0.09008547319065492), ('keithpiccard', 0.07919933348922989), ('marcusluther6', 0.07146455674490892), ('tonight', 0.06704378125294433), ('glad', 0.06394240477985776), ('youre', 0.05900079069837157)]"
7,6,16,6_ss_teacher2teacher_my_to,"[('ss', 0.11091888088849215), ('teacher2teacher', 0.04469070108648817), ('my', 0.04372277820915), ('to', 0.04247322305965601), ('are', 0.038595552581876615), ('t2tchat', 0.03789401840019807), ('a4', 0.037204269918421747), ('and', 0.036976198880990144), ('we', 0.035663179507321945), ('for', 0.03490013839381251)]"
8,7,16,7_t2tchat_oooh_agree_this,"[('t2tchat', 0.22438368198768968), ('oooh', 0.14171405139209023), ('agree', 0.12617868002133897), ('this', 0.11674725319046458), ('lets', 0.11068405501197806), ('yes', 0.10805762790825355), ('us', 0.09823043904925777), ('is', 0.08150834789723856), ('httpstcow8wa9nbpa3', 0.07863493980056856), ('httpstconxnvxzcehs', 0.07863493980056856)]"
9,8,15,8_pm_et_backtoschool_at,"[('pm', 0.06624541512150518), ('et', 0.06624541512150518), ('backtoschool', 0.06624541512150518), ('at', 0.06202445302311894), ('classroom', 0.05405953810427147), ('to', 0.04988380534823009), ('and', 0.048570430733504), ('tomorrow', 0.04416361008100345), ('ideas', 0.04174102074604258), ('educators', 0.04075054611794308)]"
10,9,11,9_a1_t2tchat_biputl_excited,"[('a1', 0.1262656349609897), ('t2tchat', 0.09164439910969888), ('biputl', 0.08945071329004278), ('excited', 0.080063562261014), ('day', 0.07276467156323183), ('class', 0.07065565666406799), ('two', 0.06986440351819892), ('to', 0.052732712484579176), ('more', 0.05050625398439587), ('httpstcohzpgxekp06', 0.04963482015780568)]"
