,text,edit_history_tweet_ids,id,author_id,followers_count,following_count,tweet_count,listed_count
0,"@teacher2teacher @AmandaBailey_PE @CoachStehlePE @CoachGore_PE @juliebotkin @BarbaraBorden9 @BoPhillips10 @mrfranzworld @MegaeraR @CoachWilliamsPE @LovePrimaryPE Edit to fit your needs!👇 #T2Tchat #physed 

Thanks @LovePrimaryPE @foes4sports! https://t.co/gYIJ3qGFC0",['1565104593335361537'],1565104593335361537,907432611319914497,13956,538,10036,126
1,@teacher2teacher A8) #T2Tchat https://t.co/BWn2A2flv3,['1562974557731860480'],1562974557731860480,907432611319914497,13956,538,10036,126
2,@teacher2teacher A7) Mindful minute. Check out these resources!👇 #T2Tchat https://t.co/7ZLDw2aWrV,['1562949831911387139'],1562949831911387139,907432611319914497,13956,538,10036,126
3,@teacher2teacher A7)  🐍 #T2Tchat https://t.co/eyJwLJPStI,['1562949570912346112'],1562949570912346112,907432611319914497,13956,538,10036,126
4,"@teacher2teacher A6) Partner Acceptance Levels. Practice them, praise them. A smile can go a long way, especially to those students who don't get smiled at often. Please click the link below.👇 #T2Tchat @BarbaraBorden9 https://t.co/CBC0r3pbRf",['1562949314086809603'],1562949314086809603,907432611319914497,13956,538,10036,126
5,@teacher2teacher A1) #T2Tchat https://t.co/KgOKFS2fas,['1562947639141736448'],1562947639141736448,907432611319914497,13956,538,10036,126
6,"@teacher2teacher A5) Provide more voice/choice, and TRULY listen to them.♥️ #T2Tchat https://t.co/Kokkk3OcSi",['1562947356047187970'],1562947356047187970,907432611319914497,13956,538,10036,126
7,"@teacher2teacher A3) Already started the year implementing more mindfulness resources, and it has helped tremendously! #T2Tchat https://t.co/aZ7cgU2qKI",['1562946810754187269'],1562946810754187269,907432611319914497,13956,538,10036,126
8,"@teacher2teacher How to be mentally tough! This video from @pe_bowman is a great way to lead into it, perfect for the classroom setting as well. Check it out! #T2Tchat https://t.co/oSs1qz8gGK",['1562946008161472518'],1562946008161472518,907432611319914497,13956,538,10036,126
10,"🇺🇸 Most parents support public education and trust teachers. However, 62% say ""Teaching is NOT a good profession for young people.""  https://t.co/aESK0FNCc1 @EdWeekTeacher #T2Tchat #edchat",['1563930970482434054'],1563930970482434054,1463549647,10145,4938,23049,137
11,"""There is no teacher shortage. There's a 'making the job attractive enough to draw in the people we want' problem."" 

https://t.co/84hRxWSNU1 #edchat #t2tchat",['1563535051719311365'],1563535051719311365,1463549647,10145,4938,23049,137
12,Many thanks for the kind words @LiviaChanL. It's always a pleasure learning with you. #T2Tchat https://t.co/jDyR878k5A,['1563232189088616449'],1563232189088616449,1463549647,10145,4938,23049,137
13,"@teacher2teacher @KeithPiccard @MarcusLuther6 What an amazing discussion! Thank you @KeithPiccard, @MarcusLuther6, @teacher2teacher, and all the amazing educators who came out for tonight's #T2Tchat.",['1562954460028354564'],1562954460028354564,1463549647,10145,4938,23049,137
14,"@teacher2teacher A8: The number one thing I want students to learn during our time together is that they matter, they have a voice, and are well able to be successful and to attain their potential. I am here to work with you to ensure that that goal becomes a reality. #T2Tchat",['1562953692650688513'],1562953692650688513,1463549647,10145,4938,23049,137
15,"@emilyfranESL Thanks, @emilyfranESL for sharing this. This is powerful and reaffirming, and enables all students, including English Language learners, and those from refugee- and immigrant- backgrounds, feel welcomed and acknowledged in the classroom. #T2Tchat",['1562952830473736195'],1562952830473736195,1463549647,10145,4938,23049,137
16,"@leahc20 @teacher2teacher I'll say that louder for those at the back:

""Get to KNOW your students first. They are people, too."" - @leahc20 

And, people are more important than the syllabus.

#T2Tchat",['1562951447377223680'],1562951447377223680,1463549647,10145,4938,23049,137
17,"@teacher2teacher A6: Peer rejection or bullying can have long-lasting consequences. The opposite can build student's self-esteem and social-emotional wellbeing. It starts with the teacher. Build a classroom environment where all students feel welcome, respected and free to be themselves. #T2Tchat",['1562949788735156224'],1562949788735156224,1463549647,10145,4938,23049,137
18,"@TammyTomazoli @teacher2teacher Teachers can readily answer the -'why'? - they are doing what they do. Students should be able to have an answer to the question: 

Why are we learning what we are learning? 

The lesson needs to be relevant, relatable, and interesting. #T2Tchat",['1562948544054452224'],1562948544054452224,1463549647,10145,4938,23049,137
19,@teacher2teacher A5: There can be too much pressure and self-doubt as a novice teacher. Be yourself. Be patient &amp; kind to yourself. Know your students &amp; build relationships with them. Lessons will be more engaging if your students know you care about them &amp; are passionate about your job. #T2Tchat,['1562947773950857217'],1562947773950857217,1463549647,10145,4938,23049,137
20,@teacher2teacher A3: I learned that its important to take time at the start of each lesson and just check-in with your students. Some may be in the classroom but are not ready to learn because they are dealing with a lot of things. #T2Tchat,['1562946582642774017'],1562946582642774017,1463549647,10145,4938,23049,137
21,"✅✅
#T2Tchat https://t.co/YIFET3LfaT",['1558123227121156097'],1558123227121156097,1463549647,10145,4938,23049,137
22,"@teacher2teacher @OurKidsMatter_ @emilyfranESL That was a nice discussion. Thank you @OurKidsMatter_ , @emilyfranESL, @teacher2teacher and all the amazing #T2Tchat fans who came out tonight.",['1557879491061583873'],1557879491061583873,1463549647,10145,4938,23049,137
