,Topic,Count,Name,details
0,-1,390,-1_and_healthcareprofessional_to_the,[]
1,0,89,0_charitybusker_ostomyawareness_colostomyuk_tiktok,"[('charitybusker', 0.12286965387486705), ('ostomyawareness', 0.11084999837368183), ('colostomyuk', 0.0808205611729966), ('tiktok', 0.06032118327339883), ('keepsmiling', 0.05654974829358871), ('hiddendisabilities', 0.04967319657128601), ('healthcareworker', 0.048545218455685886), ('colostomybag', 0.04788787064494283), ('keeplaughing', 0.04788787064494283), ('my', 0.041941827395215736)]"
2,1,77,1_healthcareworker_work_it_me,"[('healthcareworker', 0.05140607304441815), ('work', 0.04473925958020374), ('it', 0.027344387798021376), ('me', 0.025243962233054307), ('the', 0.023349518452081774), ('to', 0.022771767805582637), ('im', 0.022629097089931015), ('you', 0.02171274378256431), ('have', 0.021585390153349947), ('on', 0.020831226061877383)]"
3,2,59,2_vaccineinjured_unvaccinated_smart_my,"[('vaccineinjured', 0.21182949250046068), ('unvaccinated', 0.20964944655900908), ('smart', 0.20713976462438005), ('my', 0.14715050136783006), ('speaks', 0.13584823910558652), ('speaksout', 0.13428922279214112), ('friends', 0.1315769803181099), ('ones', 0.13090586422957917), ('worker', 0.12473508384260289), ('mind', 0.12301949780062374)]"
4,3,57,3_chiropractic_chiropractor_nebraska_fremontne,"[('chiropractic', 0.11327818904431707), ('chiropractor', 0.10187794438414226), ('nebraska', 0.10168046061373229), ('fremontne', 0.10168046061373229), ('fremont', 0.10168046061373229), ('fremontnebraska', 0.10168046061373229), ('nebraskachiropractor', 0.10168046061373229), ('bestoffremont', 0.10168046061373229), ('healthyliving', 0.09975548720947262), ('healthylifestyle', 0.08149035451382228)]"
5,4,53,4_webinar_register_at_and,"[('webinar', 0.03319116659018902), ('register', 0.030348282590651462), ('at', 0.027016072384427367), ('and', 0.026749524409616095), ('for', 0.026603691916864694), ('to', 0.025606995163561064), ('healthcareprofessional', 0.02437268065989225), ('the', 0.02430492059961205), ('free', 0.023414249252934855), ('of', 0.022627311228166087)]"
6,5,50,5_career_we_for_you,"[('career', 0.034019739129792545), ('we', 0.031985954291698995), ('for', 0.027797457423271433), ('you', 0.026145551812130182), ('looking', 0.02576047298263556), ('our', 0.02558724528497516), ('jobs', 0.024830500170724877), ('healthcare', 0.024736205798591853), ('apply', 0.024139737417248276), ('to', 0.02339335547402167)]"
7,6,48,6_covid19_amp_who_is,"[('covid19', 0.05527646946183929), ('amp', 0.04396918145767963), ('who', 0.034781891948325754), ('is', 0.029866198771175346), ('to', 0.029680427470588647), ('those', 0.02839372773513178), ('covid', 0.027014516732592232), ('the', 0.02561020492562804), ('as', 0.024176087802850146), ('pandemic', 0.023030002584511048)]"
8,7,33,7_reyadamedicalcentre_twitter_reyadahealthcare_socialworker,"[('reyadamedicalcentre', 0.06558116689044152), ('twitter', 0.05476804867996891), ('reyadahealthcare', 0.05208177665598215), ('socialworker', 0.05208177665598215), ('qatar', 0.0449330984656212), ('doha', 0.0449330984656212), ('qatar2022', 0.03744759092597821), ('reyada', 0.03744759092597821), ('healthcareworker', 0.03273781117298717), ('uae', 0.03129602781712509)]"
9,8,32,8_rvaevents_healthcareaide_rva_rvanews,"[('rvaevents', 0.14522004416831483), ('healthcareaide', 0.14388563973050708), ('rva', 0.14388563973050708), ('rvanews', 0.14154733843332934), ('highdemand', 0.14154733843332934), ('rvabusiness', 0.1378273790025599), ('pcarichmond', 0.1378273790025599), ('medtechmatters', 0.1378273790025599), ('richmondva', 0.1378273790025599), ('medtechstrong', 0.1378273790025599)]"
10,9,30,9_getdatdub_help_this_cashappday,"[('getdatdub', 0.21287963310480784), ('help', 0.15389924670907376), ('this', 0.13262289565664911), ('cashappday', 0.13254896534132157), ('cashapp', 0.13019448308969164), ('out', 0.11425916865717801), ('healthcareworker', 0.06063682621834543), ('off', 0.048393655409459196), ('student', 0.04816879751754514), ('my', 0.0460438665570307)]"
11,10,27,10_pharmacy_pharmaceuticals_heathcare_familydoctor,"[('pharmacy', 0.12941664222981356), ('pharmaceuticals', 0.08926863770031203), ('heathcare', 0.0806942058356129), ('familydoctor', 0.07989022737569956), ('healthprofessionals', 0.07628102088735673), ('medicalcare', 0.07628102088735673), ('healthservices', 0.07499752669422491), ('medical', 0.06083604333377387), ('nurses', 0.055689731416926215), ('pharmacystudents', 0.04845244861866621)]"
12,11,26,11_doctors_day_doctorsday_happy,"[('doctors', 0.07759237309810829), ('day', 0.07396407385552654), ('doctorsday', 0.05507207498133134), ('happy', 0.040579729134843846), ('week', 0.03835637015678658), ('all', 0.03756140771787592), ('frontlineworkers', 0.03623227948069869), ('nurses', 0.034183433081275146), ('we', 0.03270850522137461), ('nationaldoctorsday', 0.030930691036799705)]"
13,12,24,12_healthcareworkers_tech_ai_healthcare,"[('healthcareworkers', 0.054265660387829914), ('tech', 0.053037889963235524), ('ai', 0.053037889963235524), ('healthcare', 0.04366886245064807), ('healthcareheroes', 0.04054767847027945), ('healthtech', 0.03946308586920257), ('automation', 0.039306691184714714), ('httpstcoleckiaukog', 0.03773105573283368), ('technology', 0.03773105573283368), ('hospitals', 0.03592007932449739)]"
14,13,20,13_er_together_healthcarecrisis_extension,"[('er', 0.03726850338584623), ('together', 0.03244702008360429), ('healthcarecrisis', 0.03178616583689485), ('extension', 0.03062493319234785), ('onpoli', 0.029118617112319306), ('theyre', 0.029118617112319306), ('healthcareworker', 0.028038902008205264), ('to', 0.027412529125447727), ('on', 0.02581406020014607), ('in', 0.025117567181504038)]"
15,14,18,14_8882888826_call_home_visit,"[('8882888826', 0.12492470639320413), ('call', 0.11727636234480827), ('home', 0.10089834876506397), ('visit', 0.09367851407890328), ('care', 0.09063957323052492), ('httpstcockf5kai8as', 0.0875060312010127), ('family', 0.07092064908075944), ('quality', 0.07026897024807788), ('homecare', 0.0662524579079423), ('you', 0.06064115966316183)]"
16,15,18,15_healthcareassistant_healthcarelife_quality_homecare,"[('healthcareassistant', 0.12657932129656294), ('healthcarelife', 0.12535299235406777), ('quality', 0.12302984689899157), ('homecare', 0.1159975694011111), ('healthcareprovider', 0.1151068358851526), ('home', 0.11261886402565222), ('right', 0.10607896557894221), ('place', 0.10012913085041329), ('httpstcockf5kai8as', 0.09401474426555084), ('care', 0.08926624636339577)]"
17,16,18,16_burnout_surgeongeneral_general_surgeon,"[('burnout', 0.16821665125732854), ('surgeongeneral', 0.05215763586597597), ('general', 0.04887805545631509), ('surgeon', 0.04757849362639875), ('generals', 0.0434685761336845), ('murthy', 0.0434685761336845), ('vivek', 0.0434685761336845), ('address', 0.04030380624881232), ('advisory', 0.04030380624881232), ('report', 0.03910244436505207)]"
18,17,17,17_healthiago_healthiswealth_medicalstudents_wellness,"[('healthiago', 0.1075458470890343), ('healthiswealth', 0.1075458470890343), ('medicalstudents', 0.1049573063356121), ('wellness', 0.10390222637650613), ('business', 0.09724309593911828), ('community', 0.08861348351585568), ('medicalschool', 0.08643830750143847), ('clinical', 0.08265975396000247), ('doctor', 0.07934902366277423), ('health', 0.06965557043390068)]"
19,18,17,18_christmas_scrubcap_shop_cap,"[('christmas', 0.16727552536802634), ('scrubcap', 0.1380485783523482), ('shop', 0.13586434043383067), ('cap', 0.13190750906919776), ('addition', 0.13036867295621074), ('etsy', 0.13036867295621074), ('excited', 0.12818796561289478), ('uniform', 0.1225165895242032), ('giftideas', 0.11447758464537648), ('latest', 0.11364509883183829)]"
20,19,16,19_job_iconma_lifeaticonma_healthcarejob,"[('job', 0.1750079725019175), ('iconma', 0.13100616886066346), ('lifeaticonma', 0.13100616886066346), ('healthcarejob', 0.13100616886066346), ('availability', 0.13100616886066346), ('hotjob', 0.13100616886066346), ('alert', 0.12569535382799174), ('answer', 0.12569535382799174), ('questions', 0.1226099371631406), ('including', 0.1226099371631406)]"
21,20,16,20_consent_informedconsent_medicatingnormal_informed,"[('consent', 0.11751873770574127), ('informedconsent', 0.0884374733465635), ('medicatingnormal', 0.0884374733465635), ('informed', 0.0884374733465635), ('jointcommission', 0.0884374733465635), ('hospitalmanagement', 0.06376032825870369), ('is', 0.05974286405672643), ('read', 0.056137953582621615), ('patients', 0.05146213004835141), ('benzodiazepines', 0.05049880143093188)]"
22,21,16,21_employment_pennsylvania_region_jobs,"[('employment', 0.09472808294815742), ('pennsylvania', 0.08105229811929307), ('region', 0.08105229811929307), ('jobs', 0.07957164459720811), ('the', 0.07820335384048642), ('pay', 0.07612957104432096), ('careers', 0.07485245959579111), ('for', 0.06402591560076969), ('profession', 0.06078922358946981), ('annual', 0.05204135340860271)]"
23,22,16,22_keystonelaw_lawyeroftheyear_defence_hero,"[('keystonelaw', 0.15224232865314546), ('lawyeroftheyear', 0.15224232865314546), ('defence', 0.10574913508982905), ('hero', 0.08863938538616753), ('lawyer', 0.08863938538616753), ('httpstco8hgzu7pazx', 0.08863938538616753), ('legal', 0.0798605428997652), ('nhs', 0.07122472758428153), ('highcourt', 0.07039363420169276), ('sack', 0.07039363420169276)]"
24,23,14,23_mental_your_resources_to,"[('mental', 0.06903013263817392), ('your', 0.05100669030266093), ('resources', 0.048916880066440106), ('to', 0.04451922312525848), ('try', 0.03988989163267464), ('and', 0.03942118803698101), ('some', 0.039400360600421916), ('selfcare', 0.039133504053152086), ('guides', 0.03843260846775961), ('exercises', 0.03843260846775961)]"
