,Unnamed: 0,Unnamed: 0.1,id,created_at,edit_history_tweet_ids,text
0,0,0,1.5561997163412849e+18,2022-08-07 08:44:59+00:00,['1556199716341284864'],@jazdelilah I hadn’t! Thanks
1,1,1,1.5554145137755464e+18,2022-08-05 04:44:52+00:00,['1555414513775546369'],Waaat how did I never know a Bengali dude started the Chippendales?! https://t.co/xuME2082V9
2,2,2,1.5554108792099103e+18,2022-08-05 04:30:26+00:00,['1555410879209910277'],@skdh What the hell is up with the comments though
3,3,3,1.5554100199059825e+18,2022-08-05 04:27:01+00:00,['1555410019905982464'],"@skdh Hadn't seen that, thanks. So much worse than I thought."
4,4,4,1.5552046465282212e+18,2022-08-04 14:50:56+00:00,['1555204646528221185'],"What you’ll regret learning just as much as me is that there is a large market for adults buying breast milk, mostly men who believe it enhances performance of some description.
#wellness"
5,5,5,1.5552046412601915e+18,2022-08-04 14:50:55+00:00,['1555204641260191744'],"Making money from mother’s milk. I didn’t realise there are for-profit breast milk banks in the UK and US, and that India has a large network of charities donating breast milk to prem babies. But…here in Bengaluru, the first for-profit company has opened.
#capitalism https://t.co/HXA4y3cecZ"
6,6,6,1.5552008675945636e+18,2022-08-04 14:35:55+00:00,['1555200867594563584'],@ScienceIsDope_ ie…not? 🙃😆
7,7,7,1.5552006432454164e+18,2022-08-04 14:35:02+00:00,['1555200643245416449'],Great to meet you @ScienceIsDope_! If you don’t know Pranav’s channel he’s one of the very few Indian science YTers who aren’t just doing school curriculum material but really trying to tackle pseudoscience in India (no shortage of that!) with critical thinking. Give him a sub🙌 https://t.co/1dsZzo3Uda
8,8,8,1.5551999310022943e+18,2022-08-04 14:32:12+00:00,['1555199931002294273'],@OrthopodReg @NASA @csa_asc @DeepSpaceFood @FlorinaGobel @MarthaStewart @Brooklynbugs17 Nice! Sounds interesting
9,9,9,1.5550346550902866e+18,2022-08-04 03:35:27+00:00,['1555034655090286592'],@minhaskh Thanks Khalid! :)
10,10,10,1.5550321721756385e+18,2022-08-04 03:25:35+00:00,['1555032172175638528'],@TansuYegen @minhaskh This is completely fake and from one of the multitude of 'hand built' technology youtube channels that abuse the environment and wildlife and you should not be promoting them.
11,11,11,1.5548773848974705e+18,2022-08-03 17:10:31+00:00,['1554877384897470464'],Hold the pose https://t.co/iMzilLRRPE
12,12,12,1.5548407063209656e+18,2022-08-03 14:44:46+00:00,['1554840706320965632'],"Did you ever hear about the human blood farm in India? Imprisoned &amp; drained. Another gruesome story from @sgcarney's horrifying and brilliant book The Red Market. Always wanted to make a vid on this, thought I'd use this trip to at least post a short
Erratum: 4g = &lt;1/3 normal Hb https://t.co/VxPqO32LpV"
15,15,15,1.5546472975389614e+18,2022-08-03 01:56:14+00:00,['1554647297538961408'],@cmschroe9 It's truly scandalous that Cleveland Clinic are in bed with people like Hyman
16,16,16,1.5546466326284902e+18,2022-08-03 01:53:35+00:00,['1554646632628490240'],Oh dear https://t.co/tSwKqDTekB
17,17,17,1.5546466271046738e+18,2022-08-03 01:53:34+00:00,['1554646627104673792'],"Just heard about the Lumen 'metabolism tracker', which seems to be a fancily-packaged end tidal CO2? Anaesthetists you could've been making a packet!😂

I assume it uses CO2 as proxy for carb vs fat burning, which is hardly 'metabolism tracking'

Tagline: 'HACK YOUR METABOLISM'🙄 https://t.co/uh6CqTel38"
18,18,18,1.554642405734826e+18,2022-08-03 01:36:48+00:00,['1554642405734825984'],This feels personal https://t.co/qX8KDvoPLL
19,19,19,1.5544772747787305e+18,2022-08-02 14:40:37+00:00,['1554477274778730499'],https://t.co/biabQHcqAH
20,20,20,1.554477253027066e+18,2022-08-02 14:40:32+00:00,['1554477253027065858'],"MJ is Meera Jain
Norman Osborn is Nalin Oberoi (a billionaire with a skyscraper in Mumbai suspiciously like Mukesh Ambani’s)
Aunt May is Aunty Maya
Uncle Ben is Uncle Bhim, who meets his demise when Pavitr fails to intervene as rapists threaten a woman &amp; Bhim steps in https://t.co/VdR8Ix8LvF"
21,21,21,1.554477165298991e+18,2022-08-02 14:40:11+00:00,['1554477165298991104'],"Instead of being bitten by a spider, Pavitr encounters a mysterious spider yogi who imbues him with the power of the spider. The spider as a teep (bindi) is a nice touch. https://t.co/rFBi2J9hFK"
25,25,25,1.5544677548326912e+18,2022-08-02 14:02:48+00:00,['1554467754832691201'],"You know, I’m something of a demon myself https://t.co/CTBPIg5iIC"
26,26,26,1.5544670001935278e+18,2022-08-02 13:59:48+00:00,['1554467000193527811'],Into the Spider-Verse is one of the few movies that I like more every time I watch it (ie when kids repeatedly request). Love the little touches like Myles’s animation style changing frame rate as he learns to swing. Trailer for 2 heavily suggesting Pavitr Prabhakar might appear https://t.co/s92YvUQ6NM
27,27,27,1.554464668563153e+18,2022-08-02 13:50:32+00:00,['1554464668563152896'],"@MuteVicars Toxicology is affected when any drugs are mixed and one will require less for poisoning but cocaine typically causes morbidity and death via direct action on the heart, which isn’t especially affected by alcohol (aside from eg being more dehydrated etc)"
28,28,28,1.5544610484968038e+18,2022-08-02 13:36:09+00:00,['1554461048496803840'],"Remembering the tragic death of a very bright spark after the coroner’s finding. There’s scaremongering around SOME recreational drugs, but I’ve seen too many healthy young men hospitalised, and a few dead, from cocaine. Honestly, just don’t bother with it. https://t.co/ntUf7DMCkP"
29,29,29,1.5544267361372938e+18,2022-08-02 11:19:48+00:00,['1554426736137293827'],@whatssograce At least 50% of them
30,30,30,1.5544140500541317e+18,2022-08-02 10:29:23+00:00,['1554414050054131713'],"@willhirsch It’s not the spacewasher’s way to look things up before tweeting. (thanks though, I’d hyphenated it and didn’t see those matches!)"
31,31,31,1.5544058110985134e+18,2022-08-02 09:56:39+00:00,['1554405811098513408'],"I was just reading about Richard Branson's accumulation of tax payer money from his trains, suing of the NHS etc. Musk and Bezos business practices well known.

Has anyone coined the term 'space-washing' to describe distracting ppl from shady business practices with cool rockets? https://t.co/sHSR2qEI5P"
33,33,33,1.5543002128515154e+18,2022-08-02 02:57:02+00:00,['1554300212851515392'],"But when people think science is just a bunch of COOL WOW trivia factoids, it reinforces the anti-science tropes that we're just making it up/nothing is actually certain &amp; that science is all whizz bang rather than the reality. https://t.co/89g4JZBMlI"
34,34,34,1.5543002035150725e+18,2022-08-02 02:57:00+00:00,['1554300203515072512'],"SCIENCEISAMAZING!! WOWSCIENCE! IF*CKINGLOVESCIENECE!!1

Totally agree with this thread, my heart sinks when I see these anonymous plagiarising &amp; misinformation-spreading accounts with hundreds of thousands of followers. You might ask ""so what, some black thing in space, big deal"" https://t.co/DjRaPBaPyc"
