,id,created_at,edit_history_tweet_ids,text
0,1.5650685112482898e+18,2022-08-31 20:06:25+00:00,['1565068511248289792'],RT @tiimoapp: ADHD Friendly Organization Strategies for Back to School by @StructuredSucc - ooh it is a good one! So great to see tips that…
1,1.5650678077376758e+18,2022-08-31 20:03:37+00:00,['1565067807737675776'],"@edgar_a_bitch Uhm, thanks for the tag, I think? (Hoping I don't gain a bunch of J KR fans is all 😉.)

But yes, I describe the Chronic Constellation here:

https://t.co/drrnEjtk2y

#EDS #autism #POTS #MCAS #CVID etc... #NEISvoid"
2,1.5650565810872525e+18,2022-08-31 19:19:00+00:00,['1565056581087252484'],"Share the #EDSToolkit for doctors spearheaded by Dr. Reinhold in 2018 for NHS GPs, but available to anyone willing to learn more about #EhlersDanlos &amp; #hypermobility Spectrum Disorders! https://t.co/89gGnow5Xs #MedEd #FOAMed #MedTwitter #NEISvoid"
3,1.5649941661487145e+18,2022-08-31 15:11:00+00:00,['1564994166148714496'],"RT @isntJen: Whenever we had a patient on the floor who was non-speaking, I ALWAYS sought out some method for that person to still have a v…"
4,1.564993389170688e+18,2022-08-31 15:07:54+00:00,['1564993389170688000'],@TruthAutistic TY for the heads up! Blocking now...
5,1.5649932860579144e+18,2022-08-31 15:07:30+00:00,['1564993286057914369'],RT @TruthAutistic: Heads up to Autistic folks… please be careful of this person targeting Autistic people accusing them of being “fakers” a…
6,1.564991253199999e+18,2022-08-31 14:59:25+00:00,['1564991253199998977'],"RT @FunFactsLulu: Autism cannot be ""cured"".

It is a neurotype, a type of way for the brain and body to be wired and a way of experiencing…"
7,1.5649908979806085e+18,2022-08-31 14:58:00+00:00,['1564990897980608512'],@CortDoesScience Why I tweet. 🙄👊
8,1.564990804447621e+18,2022-08-31 14:57:38+00:00,['1564990804447621120'],RT @CortDoesScience: How do we fix education? Require students to learn it. Put connective tissue disease / EDS questions on professional e…
9,1.564990501345849e+18,2022-08-31 14:56:26+00:00,['1564990501345849345'],RT @BluesteinLinda: I’m super psyched to be interviewed tomorrow by a major news outlet about #EhlersDanlosSyndromes and #HSD.  What do you…
10,1.5648955190462546e+18,2022-08-31 08:39:00+00:00,['1564895519046254592'],Weight and #EDS and #MCAD - how it can really vary for multiple reasons we can’t always control: https://t.co/v53LULjY3Y #EhlersDanlos #meded #FOAMed #thyroid #health #zebras #medicine #lipedema #lymphedema #NEISvoid
11,1.5648180100193567e+18,2022-08-31 03:31:01+00:00,['1564818010019356675'],"Pelvic Organ Prolapse is highly comorbid in hypermobile patients with any form of connective tissue disorders, including the #EDS #HSD and #MarfanSyndrome. Find support here: https://t.co/4zX0L3MOTy #spoonie #Spoonies #zebras #POP #hEDS #women #health #NEISvoid"
12,1.5647708697546097e+18,2022-08-31 00:23:42+00:00,['1564770869754609664'],"RT @mightbeautistic: Did you know that Autistic kids are often punished and ostracized for resisting showers or brushing their teeth?
Did y…"
13,1.564770714527613e+18,2022-08-31 00:23:05+00:00,['1564770714527612929'],@Aut_n_About Yay for rest and insight. Sending spoons.
14,1.5647702782570865e+18,2022-08-31 00:21:21+00:00,['1564770278257086464'],RT @CortDoesScience: What do you think is the biggest disconnect between the clinic and research when it comes to hEDS?
15,1.5647700670990582e+18,2022-08-31 00:20:30+00:00,['1564770067099058176'],"@sexyspoonie Im so sorry! May I humbly suggest putting all of your paylinks in your pinned tweet(s) and your bio? Not just your Ko-fi?

Praying. 🙏"
16,1.5647694428901335e+18,2022-08-31 00:18:01+00:00,['1564769442890133504'],RT @BlueEterlin: Please please help our friend who is grieving multiple family deaths and is now homeless due to loss of what little suppor…
17,1.5647688020550085e+18,2022-08-31 00:15:29+00:00,['1564768802055008256'],@jjennetten1790 Yikes! And glad you can consider a service dog in the future. Hope you get some answers.
18,1.564768251464528e+18,2022-08-31 00:13:17+00:00,['1564768251464527873'],"RT @sleepyknave: Severe respiratory symptoms are becoming common again with the new variants.

Learn to recognize the signs of low blood ox…"
