Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,created_at,edit_history_tweet_ids,text,withheld,clean_text,non_english
2,2,2,1.564907997020803e+18,2022-08-31 09:28:35+00:00,['1564907997020803075'],Awww… he’s called Yakgosh (one-eared) 😍 https://t.co/9GDAytO9sZ,,awww hes called yakgosh oneeared  ,False
3,3,3,1.563991671129477e+18,2022-08-28 20:47:26+00:00,['1563991671129477122'],Why is there one Tal Rho at the end? What happens to the one from Bizzaro world?,,why is there one tal rho at the end what happens to the one from bizzaro world,False
4,4,4,1.5638484119668326e+18,2022-08-28 11:18:10+00:00,['1563848411966832643'],"@returnofcam @Prof_Marciniak You have a good memory!  
https://t.co/IRYGCiRwbf",,"  you have a good memory  
",False
9,9,9,1.5606723775453266e+18,2022-08-19 16:57:45+00:00,['1560672377545326593'],@DonSolito That’s me being pushed up by my friends in music events,, thats me being pushed up by my friends in music events,False
11,11,11,1.558742755857285e+18,2022-08-14 09:10:07+00:00,['1558742755857285122'],"After leaving home, I bought the “Satanic Verses” as an act of rebellion. I didn’t understand it much as a teenager, but I fell in love with his writing.

“The Moor's Last Sigh” is one of my favourite books. Rushdie makes words have a carnival of crazy beautiful dances on paper https://t.co/jResB9tdZh",,"after leaving home i bought the satanic verses as an act of rebellion i didnt understand it much as a teenager but i fell in love with his writing

the moor's last sigh is one of my favourite books rushdie makes words have a carnival of crazy beautiful dances on paper ",False
14,14,14,1.5563081079864525e+18,2022-08-07 15:55:42+00:00,['1556308107986452481'],@OrthopodReg And several women with long hair not tied up 😱,, and several women with long hair not tied up ,False
16,16,16,1.5559947977935012e+18,2022-08-06 19:10:43+00:00,['1555994797793501184'],"That’s my height.  I bet you’re glad they are vegetarian. 
(spoiler fact-check: they’re not really that tall) https://t.co/q9E7fFNm9u",,"thats my height  i bet youre glad they are vegetarian 
spoiler factcheck theyre not really that tall ",False
19,19,19,1.5552739824836037e+18,2022-08-04 19:26:27+00:00,['1555273982483603457'],@Medic_Russell Was going to say probably left accidentally by a neurologist but I’ve never seen a neurologist come down to A and E,, was going to say probably left accidentally by a neurologist but ive never seen a neurologist come down to a and e,False
20,20,20,1.5549499598537728e+18,2022-08-03 21:58:54+00:00,['1554949959853772802'],@OrthopodReg With your MDU badge 🙂,, with your mdu badge ,False
21,21,21,1.5549494172324372e+18,2022-08-03 21:56:45+00:00,['1554949417232437249'],@OrthopodReg I remember you then. Can’t quite work out if this is behind Royal London or outside Dawson Hall,, i remember you then cant quite work out if this is behind royal london or outside dawson hall,False
23,23,23,1.5549213166288118e+18,2022-08-03 20:05:05+00:00,['1554921316628811777'],"@domdyer70 To be fair my dogs are very demanding! 😃  boiled chicken, lots of walks, expensive duck treats, constant petting, garden door to be always open even in the winter…",, to be fair my dogs are very demanding   boiled chicken lots of walks expensive duck treats constant petting garden door to be always open even in the winter,False
28,28,28,1.5545715892403569e+18,2022-08-02 20:55:24+00:00,['1554571589240356869'],I’ll miss watching Ekin Su. She is a strong-minded sweetheart. She continued to hype up and support the other girls even though none of them had her back. She held her head high through all the bullying and jealousy and knew when to laugh at herself. #LoveIsland https://t.co/VtJvsvymKW,,ill miss watching ekin su she is a strongminded sweetheart she continued to hype up and support the other girls even though none of them had her back she held her head high through all the bullying and jealousy and knew when to laugh at herself  ,False
30,30,30,1.5540503598947246e+18,2022-08-01 10:24:13+00:00,['1554050359894724609'],@clarkesince91 @MallinsonT @ujwaliofficial @AnaestheticsApp @gmcuk The locum agency assigns you a designated body,,     the locum agency assigns you a designated body,False
33,33,33,1.5525455068654223e+18,2022-07-28 06:44:28+00:00,['1552545506865422336'],@realArash So pretty. But nope,, so pretty but nope,False
37,37,37,1.5518224726846505e+18,2022-07-26 06:51:23+00:00,['1551822472684650496'],@dr_shibley I am so sorry Shibs. Look after yourself. Sending hugs. xx,, i am so sorry shibs look after yourself sending hugs xx,False
39,39,39,1.551471066228433e+18,2022-07-25 07:35:01+00:00,['1551471066228432896'],@DrHannahBB Urgh… explains the overdraft limit interest warning text message I just got,, urgh explains the overdraft limit interest warning text message i just got,False
40,40,40,1.55135104142959e+18,2022-07-24 23:38:05+00:00,['1551351041429590018'],@RoshanaMN I would like to start a petition for her to be allowed upstairs 😩,, i would like to start a petition for her to be allowed upstairs ,False
45,45,45,1.5501464265287434e+18,2022-07-21 15:51:23+00:00,['1550146426528743425'],@sarahdestinyx I am hoping all three girls are just playing the game to win (although they don’t need to). I really think all three of them will not put up with it in the outside world.  All three also sound like they have supportive families who will tell it to them as it is,, i am hoping all three girls are just playing the game to win although they dont need to i really think all three of them will not put up with it in the outside world  all three also sound like they have supportive families who will tell it to them as it is,False
47,47,47,1.5489695189780152e+18,2022-07-18 09:54:46+00:00,['1548969518978015232'],"I hope she doesn’t stay with Luca. Abusive, manipulative men have a way of wearing you down and killing your soul until you are half the person you used to be. 

I didn’t want to make comments about individuals but it has to be said. https://t.co/yQfmX97jHl",,"i hope she doesnt stay with luca abusive manipulative men have a way of wearing you down and killing your soul until you are half the person you used to be 

i didnt want to make comments about individuals but it has to be said ",False
48,48,48,1.5480273469002916e+18,2022-07-15 19:30:55+00:00,['1548027346900291585'],"Senior GPs leaving, also means fewer GP trainers. Two GP trainers in my last practice left the NHS. Now the practice can’t take any GP trainees.  How can the government increase numbers this way? https://t.co/HvwPRNlzyo",,senior gps leaving also means fewer gp trainers two gp trainers in my last practice left the nhs now the practice cant take any gp trainees  how can the government increase numbers this way ,False
51,51,51,1.547332462921093e+18,2022-07-13 21:29:41+00:00,['1547332462921093126'],@LoveIsland Reported.  Are you actually encouraging his jealous abusive behaviour?,, reported  are you actually encouraging his jealous abusive behaviour,False
53,53,53,1.5471339335606764e+18,2022-07-13 08:20:48+00:00,['1547133933560676353'],There was an account on my time line (via algorithms) that was counting days for JWST images for a while.  I really feel like I should have appreciated it more,,there was an account on my time line via algorithms that was counting days for jwst images for a while  i really feel like i should have appreciated it more,False
59,59,59,1.5467567445876572e+18,2022-07-12 07:21:59+00:00,['1546756744587657217'],"Still, it’s probably not as painful as watching “Married at First Sight Australia”, where the so called “experts” do the gaslighting and victim blaming and encourage couples in abusive relationships to “work it out” for the sake of their TV drama",,still its probably not as painful as watching married at first sight australia where the so called experts do the gaslighting and victim blaming and encourage couples in abusive relationships to work it out for the sake of their tv drama,False
60,60,60,1.546754442464313e+18,2022-07-12 07:12:51+00:00,['1546754442464313344'],"This is a positive step, but the ship has sailed.  There’s been toxic misogynistic behaviour from the start and now they’ve brought him in precisely because his manipulation is “good TV” https://t.co/TduTIi4rig",,this is a positive step but the ship has sailed  theres been toxic misogynistic behaviour from the start and now theyve brought him in precisely because his manipulation is good tv ,False
61,61,61,1.546473461396144e+18,2022-07-11 12:36:19+00:00,['1546473461396144128'],@rkh_md My kind of “eclectic”,, my kind of eclectic,False
62,62,62,1.5462201133592453e+18,2022-07-10 19:49:37+00:00,['1546220113359245320'],"@DrSimonMc @OrthopodReg “Apparently, the dogs were fast to chase the balls, but not so eager to return them to the players” what a surprise 😂",,  apparently the dogs were fast to chase the balls but not so eager to return them to the players what a surprise ,False
66,66,66,1.5457138413629317e+18,2022-07-09 10:17:52+00:00,['1545713841362931712'],"I’m not a running sort of person… ever, but this would make me run just to defy it. https://t.co/VWFEgTm5O0",,im not a running sort of person ever but this would make me run just to defy it ,False
67,67,67,1.5457130484004004e+18,2022-07-09 10:14:43+00:00,['1545713048400400385'],"There was a family wedding in Iran and my dad suddenly decided after 30 years to get a ticket and go. Then they wouldn’t let him leave Iran. It was heartbreaking. Then I wake up and he was in my house. It was amazing. Then I wake up again, and the whole dream in dream was a dream",,there was a family wedding in iran and my dad suddenly decided after  years to get a ticket and go then they wouldnt let him leave iran it was heartbreaking then i wake up and he was in my house it was amazing then i wake up again and the whole dream in dream was a dream,False
69,69,69,1.5450548253892977e+18,2022-07-07 14:39:10+00:00,['1545054825389297664'],@AliRacaniere Best wishes and lots of love your way ❤️,, best wishes and lots of love your way ,False
