Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,created_at,edit_history_tweet_ids,text,clean_text,non_english
0,0,0,1.5649206759152435e+18,2022-08-31 10:18:58+00:00,['1564920675915243521'],I have supported several colleagues which alcohol dependency (referred to here as SUD) through continuing work and returning to work and the knowledge that over 80% can and do return to work successfully was often a real encouragement.  https://t.co/hAM3PZZeKA,i have supported several colleagues which alcohol dependency referred to here as sud through continuing work and returning to work and the knowledge that over  can and do return to work successfully was often a real encouragement  ,False
1,1,1,1.56491764873497e+18,2022-08-31 10:06:56+00:00,['1564917648734969857'],@DrOliBol Oli that is sad to read but not surprising; and there is little that I can say that won’t sound like platitudes. Do you have a mentor you can share with? Have you spent academic/research time yet? That can be a vital time of new stimulus and recharging., oli that is sad to read but not surprising and there is little that i can say that wont sound like platitudes do you have a mentor you can share with have you spent academicresearch time yet that can be a vital time of new stimulus and recharging,False
2,2,2,1.564915937379328e+18,2022-08-31 10:00:08+00:00,['1564915937379328000'],@PUNC19_VCliff We are hoping to find a DBT programme for our youngest who is starting her second year at Uni after a challenging first year., we are hoping to find a dbt programme for our youngest who is starting her second year at uni after a challenging first year,False
3,3,3,1.5649103184296346e+18,2022-08-31 09:37:49+00:00,['1564910318429634561'],"Sad news of the death of Mikhail Gorbachev. I visited Moscow, Leningrad and Kiev in 1990 when ‘Glasnost’ was palpable and the young Russians we spoke to were excited at the changes. He changed the world.",sad news of the death of mikhail gorbachev i visited moscow leningrad and kiev in  when glasnost was palpable and the young russians we spoke to were excited at the changes he changed the world,False
5,5,5,1.5646645386157588e+18,2022-08-30 17:21:10+00:00,['1564664538615758850'],@PUNC19_VCliff Well done on passing (!!!); did you enjoy the DBT course and was it a lot of work alongside your Uni work?, well done on passing  did you enjoy the dbt course and was it a lot of work alongside your uni work,False
6,6,6,1.5646633724734095e+18,2022-08-30 17:16:32+00:00,['1564663372473409538'],My chortle of the day! https://t.co/ebD2647kyA,my chortle of the day ,False
7,7,7,1.564550657847206e+18,2022-08-30 09:48:39+00:00,['1564550657847205890'],Government has shamefully neglected the need for all people accused of a crime to have access to legal advice and representation in court. Legal aid and professional lawyers are the cornerstone which is under grave threat.   https://t.co/uh98kawqBJ,government has shamefully neglected the need for all people accused of a crime to have access to legal advice and representation in court legal aid and professional lawyers are the cornerstone which is under grave threat   ,False
8,8,8,1.5642996710188073e+18,2022-08-29 17:11:19+00:00,['1564299671018807299'],@jimmy_viz John Smith would be in mine (and if coalitions are allowed) so would Charles Kennedy, john smith would be in mine and if coalitions are allowed so would charles kennedy,False
9,9,9,1.5642952152839496e+18,2022-08-29 16:53:37+00:00,['1564295215283949571'],@BootstrapCook @dr_shibley @sarah_hilary You are very much not the baddie Jack!! You are amazing; your consistent wise advice has changed lives and you are an amazing advocate for others. Have followed you for years and have worried as you faced prejudice and vitriol. Thank you,   you are very much not the baddie jack you are amazing your consistent wise advice has changed lives and you are an amazing advocate for others have followed you for years and have worried as you faced prejudice and vitriol thank you,False
11,11,11,1.5641548314759905e+18,2022-08-29 07:35:47+00:00,['1564154831475990528'],@thomasjlamont Congratulations! It looks a joyous day., congratulations it looks a joyous day,False
