id,created_at,edit_history_tweet_ids,text,clean_text,nouns
1.5650961156570112e+18,2022-08-31 21:56:06+00:00,['1565096115657011200'],Advice for all pregnant women https://t.co/Q8AWlbKdDq,advice for all pregnant women ,advice woman
1.5645202739441418e+18,2022-08-30 07:47:55+00:00,['1564520273944141825'],Sexism means women denied heart treatment. More research and education needed ⁦@medicalwomenuk⁩ https://t.co/gREUyvH1JI,sexism means women denied heart treatment more research and education needed  ,sexism woman heart treatment research education
1.5581222857808978e+18,2022-08-12 16:04:36+00:00,['1558122285780897794'],Why are supermarkets still charging high unleaded petrol prices when independant garages seen today charging £1.61 per litre? 🤷‍♀️,why are supermarkets still charging high unleaded petrol prices when independant garages seen today charging  per litre ,supermarket petrol price independant today litre
1.5563196758936166e+18,2022-08-07 16:41:40+00:00,['1556319675893616641'],Gordon Brown calls an emergency budget and for parliament to be recalled while the Tory Party members twiddle their thumbs waiting for a poll that very few of us have any say in. 🤷‍♀️,gordon brown calls an emergency budget and for parliament to be recalled while the tory party members twiddle their thumbs waiting for a poll that very few of us have any say in ,gordon emergency budget parliament party member thumb poll
1.5510937115257733e+18,2022-07-24 06:35:33+00:00,['1551093711525773312'],An excellent review of the ongoing Covid situation. 👇 https://t.co/JVl5wVVpqu,an excellent review of the ongoing covid situation  ,review covid situation
1.5489158897556193e+18,2022-07-18 06:21:40+00:00,['1548915889755619329'],@Abi_Rimmer So sorry to hear this Abi. Thinking of you and the baby. 💕, so sorry to hear this abi thinking of you and the baby ,thinking baby
1.5482367405355868e+18,2022-07-16 09:22:58+00:00,['1548236740535586818'],Bravo Ireland 🏉 A historic win over an amazing team 🇳🇿,bravo ireland  a historic win over an amazing team ,bravo ireland team
1.5471801504957727e+18,2022-07-13 11:24:27+00:00,['1547180150495772674'],@DPIAcharity So moving to hear a WARD doctor tell of his lived experience as an asylum seeker seeking to gain GMC registration and the support he received., so moving to hear a ward doctor tell of his lived experience as an asylum seeker seeking to gain gmc registration and the support he received,doctor tell experience asylum seeker registration support
1.5471774650255442e+18,2022-07-13 11:13:47+00:00,['1547177465025544194'],@SeneddCymru @RefugeeWelsh UK Gov rule that prevents asylum seekers working is preventing useful contribution and integration @DPIAcharity,  uk gov rule that prevents asylum seekers working is preventing useful contribution and integration ,rule asylum seeker contribution integration
1.5471604153602253e+18,2022-07-13 10:06:02+00:00,['1547160415360225280'],Hearing about the work of @TGPCymru advocating and helping young asylum seekers @DPIAcharity @RefugeeWelsh @SeneddCymru,hearing about the work of  advocating and helping young asylum seekers   ,work advocating asylum seeker
1.547156403181306e+18,2022-07-13 09:50:05+00:00,['1547156403181305856'],Hearing about the value and importance of being a School of Sanctuary in Wales. @SeneddCymru @DPIAcharity @RefugeeWelsh,hearing about the value and importance of being a school of sanctuary in wales   ,value importance school sanctuary wale
1.5471535593172582e+18,2022-07-13 09:38:47+00:00,['1547153559317258245'],"Larysa Agbaso, Voices Ambassador at Sanctuary in Senedd holds up a five pound note - “your five a day” @DPIAcharity",larysa agbaso voices ambassador at sanctuary in senedd holds up a five pound note  your five a day ,larysa agbaso voice sanctuary senedd pound note
1.5471454660093215e+18,2022-07-13 09:06:38+00:00,['1547145466009321473'],The amazing Sanctuary Cloak being shown in ⁦@SeneddCymru⁩ ⁦@DPIAcharity⁩ https://t.co/n8F1ryqEwy,the amazing sanctuary cloak being shown in   ,sanctuary cloak
1.545816684774277e+18,2022-07-09 17:06:32+00:00,['1545816684774277128'],🏴󠁧󠁢󠁷󠁬󠁳󠁿we can breathe again. Da iawn bechgyn 😎 https://t.co/ZVBh0CVPPR,we can breathe again da iawn bechgyn  ,iawn bechgyn
1.5450084784601825e+18,2022-07-07 11:35:00+00:00,['1545008478460182530'],Bono resignation. No humility at all 🤨,bono resignation no humility at all ,resignation humility
1.5445826125677076e+18,2022-07-06 07:22:46+00:00,['1544582612567707649'],It is so unedifying to see a Prime Minister hanging on by his fingernails. https://t.co/5wucAFxPtp,it is so unedifying to see a prime minister hanging on by his fingernails ,minister fingernail
1.543286227713114e+18,2022-07-02 17:31:24+00:00,['1543286227713114114'],Proud Wales 🏉 supporter. Next week boys 🏴󠁧󠁢󠁷󠁬󠁳󠁿,proud wales  supporter next week boys ,wale week
1.5403488417398129e+18,2022-06-24 14:59:16+00:00,['1540348841739812865'],US Supreme Court overturns a woman’s right to abortion. Nancy Pelosi decries “attack on a woman’s health choice”.😥,us supreme court overturns a woman’s right to abortion nancy pelosi decries attack on a woman’s health choice,court right abortion nancy pelosi health choice
1.539861303581446e+18,2022-06-23 06:41:58+00:00,['1539861303581446144'],Female scientists miss out on plaudits for their work 🤦‍♀️ https://t.co/K1arKYjW1e,female scientists miss out on plaudits for their work  ,scientist plaudit work
