id,created_at,edit_history_tweet_ids,text,clean_text
1.5639438993323213e+18,2022-08-28 17:37:36+00:00,['1563943899332321281'],@realLibertyKing @CDPNetworkMap Imagine thinking herd immunity can be achieved without high death levels for a mutating virus in 2022 🙄.,imagine thinking herd immunity achieved without high death level mutating virus
1.5639435593546342e+18,2022-08-28 17:36:15+00:00,['1563943559354634240'],@Ki3ranPolitic @Nekrasova0128 @CDPNetworkMap Exactly. Herd immunity is the concept behind vaccination programmes - if enough ppl are vaccinated the occurrence in the non vaccinated will die out. But it only really works for viruses that are stable enough. Cv is more like flu than measles.,exactly herd immunity concept behind vaccination programme enough ppl vaccinated occurrence non vaccinated die really work virus stable enough like flu measles
1.5638121313504502e+18,2022-08-28 08:54:00+00:00,['1563812131350450177'],@birthwing @tombennett71 Also - it’s not always about “the learning”. Sometimes it’s about students feeling better about getting into the classroom in the first place.,also always learning sometimes student feeling better getting classroom first place
1.563811029909381e+18,2022-08-28 08:49:38+00:00,['1563811029909381121'],@birthwing @tombennett71 This! In fact applies to so much of teaching - what seems to work/not work for some will often have the opposite effect for others. So any generalisations (good or bad) will at best “work” for the majority.,fact applies much teaching seems worknot work often opposite effect others generalisation good bad best work majority
1.5637918823203308e+18,2022-08-28 07:33:33+00:00,['1563791882320330753'],"@Number10cat @Mikeo56977865 And there’s this 
https://t.co/VPGklcVUyp",
1.5635504571881964e+18,2022-08-27 15:34:13+00:00,['1563550457188196355'],@JonnyUttley If they can only get top grades by only accepting 7s then not much to boast about.,get top grade accepting much boast
1.563550150441648e+18,2022-08-27 15:32:59+00:00,['1563550150441648129'],@JonnyUttley And at the school they attended they would know their capabilities too. I hope they find a place that better deserves them.,school attended would know capability hope find place better deserves
1.5635195282013755e+18,2022-08-27 13:31:18+00:00,['1563519528201375745'],@mrjamesob Our small local pub is looking at electricity bills alone (without heating - pricey oil as rural) of over £46k pa! It’s impossible 🙄,small local pub looking electricity bill alone without heating pricey oil rural impossible
1.5635150975106458e+18,2022-08-27 13:13:42+00:00,['1563515097510645762'],"@IDickson258 @evusheld4theuk @TicketToZen @SKirkhamcardio Thanks Ian - and to you. 

I think it would also help a little if those not facing these agonising dilemmas were just a bit more empathetic!",thanks ian think would also help little facing agonising dilemma bit empathetic
1.5635102592845128e+18,2022-08-27 12:54:29+00:00,['1563510259284512769'],"@IDickson258 @evusheld4theuk @TicketToZen @SKirkhamcardio It’s such an impossible choice. We have a daughter who is 11 years older than the average life expectancy for her condition and have similar debates. We’ve decided to live as fully as we can, also adding a layer when we can (open windows, masks, portable Hepa etc). Best wishes.",impossible choice daughter year older average life expectancy condition similar debate weve decided live fully also adding layer open window mask portable hepa etc best wish
1.563509320754479e+18,2022-08-27 12:50:45+00:00,['1563509320754479104'],This should not be the choice people have to make - #Evusheld would give so many people the option of a fuller life. https://t.co/bzU7Gr5T1A,choice people make would give many people option fuller life
1.563501409638658e+18,2022-08-27 12:19:19+00:00,['1563501409638658048'],@Tim_Burgess @RoseMilburn1 And - what actually is the point of Ofgem?,actually point ofgem
1.563500784431444e+18,2022-08-27 12:16:50+00:00,['1563500784431443971'],"@dave43law Sadly, my disabled daughter and many like her (esp with respiratory issues) wouldn’t have survived these conditions.",sadly disabled daughter many like esp respiratory issue wouldnt survived condition
1.5634283487761818e+18,2022-08-27 07:29:00+00:00,['1563428348776181761'],@JulieElliot2 @JaneFCSupport @SamCoatesSky @nadhimzahawi I’m so so sorry to hear this 💔,sorry hear
1.5633001901397563e+18,2022-08-26 22:59:44+00:00,['1563300190139756545'],@deirdreheenan @secularmac Oh the ableism and privilege to think a jumper would solve things 🤦‍♀️.,ableism privilege think jumper would solve thing
1.5632997662089052e+18,2022-08-26 22:58:03+00:00,['1563299766208905221'],"@YounyLinda @RobinsonCD1234 @MartinSLewis @trussliz @RishiSunak The standing charge is the hardest aspect to swallow - as there is nothing we can do to save on this, which is a huge part of the increase.",standing charge hardest aspect swallow nothing save huge part increase
1.563120261461078e+18,2022-08-26 11:04:46+00:00,['1563120261461078016'],@teachstrong_ If you want to send me a direct message I can share some thoughts from my research. Will aim to post as well.,want send direct message share thought research aim post well
1.562938314004611e+18,2022-08-25 23:01:46+00:00,['1562938314004611072'],@DrLizHerrieven Absolutely the things that matter most of all 🥰,absolutely thing matter
1.5626937467809464e+18,2022-08-25 06:49:57+00:00,['1562693746780946434'],"Just a reminder- teachers may influence exam results, but they don’t control them. Lots of other factors also have an impact. https://t.co/I5XvdauxZK",reminder teacher may influence exam result dont control lot factor also impact
1.5618474545883382e+18,2022-08-22 22:47:05+00:00,['1561847454588338177'],@jo3grace @ESRC @SouthCoastDTP Looks very intriguing!,look intriguing
1.5615921107211633e+18,2022-08-22 05:52:26+00:00,['1561592110721163265'],@GymSim @DebsFrazer @jolampert @JamesCleverly @educationgovuk @NEUnion @NASUWT @MaryBoustedNEU @RealGeoffBarton The saving in supply and recruitment costs would also be huge. But it should be govt funded - the savings there would be in recruitment and training into the profession as a whole. There’s plenty of places to advise on size &amp; types for different spaces.,saving supply recruitment cost would also huge govt funded saving would recruitment training profession whole plenty place advise size amp type different space
1.5614670201929236e+18,2022-08-21 21:35:22+00:00,['1561467020192923648'],"@andrealeadsom So if nobody voted for this, why is it happening?  and either way - what are you doing to stop it?",nobody voted happening either way stop
1.561466525336363e+18,2022-08-21 21:33:24+00:00,['1561466525336363008'],@GymSim @DebsFrazer @jolampert @JamesCleverly @educationgovuk @NEUnion @NASUWT @MaryBoustedNEU @RealGeoffBarton Even if you only took an economic/pragmatic approach.,even took economicpragmatic approach
1.5614663363788554e+18,2022-08-21 21:32:39+00:00,['1561466336378855427'],"@GymSim @DebsFrazer @jolampert @JamesCleverly @educationgovuk @NEUnion @NASUWT @MaryBoustedNEU @RealGeoffBarton There isn’t “no need”. There’s all sorts of reasons. But it’s not lack of need.
It would be perfectly possible for the solution to be Hepa filters - way way cheaper than recruiting on a revolving door basis.",isnt need sort reason lack need would perfectly possible solution hepa filter way way cheaper recruiting revolving door basis
1.5607503263865078e+18,2022-08-19 22:07:29+00:00,['1560750326386507777'],Amazing thread 😊 https://t.co/sVOHkZTcNT,amazing thread
1.5605816111080776e+18,2022-08-19 10:57:04+00:00,['1560581611108077570'],"@ClarissaOakes1 @SGriffin_Lab @karamballes I know, it’s staggered me. 

Especially as our real life paediatrician is the exact opposite (see one of our many what’s app exchanges…) https://t.co/y11tkQ6Zqz",know staggered especially real life paediatrician exact opposite see one many whats app exchange
1.560556201804501e+18,2022-08-19 09:16:06+00:00,['1560556201804500997'],"@JayneJoso @karamballes Yep - though planes are more optional/avoidable compared with school, so schools would be my top priority.",yep though plane optionalavoidable compared school school would top priority
1.5605543915179418e+18,2022-08-19 09:08:55+00:00,['1560554391517941761'],"@JayneJoso @karamballes Exactly! So many benefits, not even just for Covid.",exactly many benefit even covid
1.5605457099417887e+18,2022-08-19 08:34:25+00:00,['1560545709941788674'],"@SGriffin_Lab @karamballes Just feels so crazy that these are medically trained people, who seem so unconcerned about the long term effects of a novel virus.
As well as totally heartless, obviously.",feel crazy medically trained people seem unconcerned long term effect novel virus well totally heartless obviously
1.5605153584061972e+18,2022-08-19 06:33:49+00:00,['1560515358406197249'],"@SGriffin_Lab @karamballes Thing is, some of us love the “susceptibles” very very much, and believe the world is a better place with them still in it… https://t.co/1IEc5xUO3C",thing love susceptibles much believe world better place still
1.5603969650363105e+18,2022-08-18 22:43:21+00:00,['1560396965036310530'],"@karamballes If only they had cared enough about reducing infection- who knows, maybe we would have got Hepa filters by now?
Instead thousands of children with long covid, teachers off sick - and an acceleration of teachers leaving. I’ve no idea how this is good for children 🤷‍♀️.",cared enough reducing infection know maybe would got hepa filter instead thousand child long covid teacher sick acceleration teacher leaving ive idea good child
1.5601972795748557e+18,2022-08-18 09:29:53+00:00,['1560197279574855681'],"@CantWeDoBetter @Liverbird641 I think a few older people who go in for a couple of hours shopping. But then the lack of use is used as a reason not to improve the service 🤦‍♀️.
We are in a village - but only 13 miles from Exeter so it’s hardly remote!",think older people couple hour shopping lack use used reason improve service village mile exeter hardly remote
1.5600249335934894e+18,2022-08-17 22:05:02+00:00,['1560024933593489408'],@Liverbird641 @CantWeDoBetter There’s one bus a day from our village (and one home 3 hours later).,one bus day village one home hour later
1.5596600558673633e+18,2022-08-16 21:55:09+00:00,['1559660055867363330'],"@JMOWright Thanks, and these kind of attitudes are so hard. Some people just can’t see past their own prejudices. Your son looks like he’s having such a happy time 😍",thanks kind attitude hard people cant see past prejudice son look like happy time
1.5594523329869578e+18,2022-08-16 08:09:44+00:00,['1559452332986957824'],@luineco @ianhamilton_ Thank you! 😊,thank
1.559445579289305e+18,2022-08-16 07:42:53+00:00,['1559445579289305088'],@ianhamilton_ @luineco Thank you 😊,thank
1.5594161459747963e+18,2022-08-16 05:45:56+00:00,['1559416145974796290'],@AntoineVanner @BrionyAtkinson @jimgblair Thank you - that’s a lovely thing to say 😊,thank thats lovely thing say
1.5593065448519148e+18,2022-08-15 22:30:25+00:00,['1559306544851914754'],@Mandirafrisco Thanks 😊,thanks
1.5593064687001805e+18,2022-08-15 22:30:07+00:00,['1559306468700180480'],"@JohnWil81861354 What a gorgeous happy boy. 

My daughter also has an extra chromosome - just a different one.",gorgeous happy boy daughter also extra chromosome different one
1.5593045587525468e+18,2022-08-15 22:22:31+00:00,['1559304558752546829'],@flowersofmyself Haha we have sand everywhere!,haha sand everywhere
1.5593028765556122e+18,2022-08-15 22:15:50+00:00,['1559302876555612167'],@JohnWil81861354 I’m so so sorry for your loss 💔,sorry loss
1.559262177013498e+18,2022-08-15 19:34:07+00:00,['1559262177013497857'],@PenderynDic We haven’t costed it but really find ours good (it was a middle of Lidl thing - c£14). You can use cheaper versions of meat etc and the power usage is low. It also stops the hangry snacking as tea is ready much earlier.,havent costed really find good middle lidl thing use cheaper version meat etc power usage low also stop hangry snacking tea ready much earlier
1.5591480519686963e+18,2022-08-15 12:00:37+00:00,['1559148051968696321'],"If anyone wants to be cheered up this morning please read this lovely heartwarming thread of people standing up for my disabled daughter 😊.
#DisabilityTwitter #MondayMotivation #LoveIsTheBest https://t.co/harfPpA35P",anyone want cheered morning please read lovely heartwarming thread people standing disabled daughter
1.5590635281071145e+18,2022-08-15 06:24:45+00:00,['1559063528107114502'],@flowersofmyself Thanks 😊 yes we’ve been in Cornwall all week and the heat hasn’t been too bad. She loves the beach!,thanks yes weve cornwall week heat hasnt bad love beach
1.5590611270526405e+18,2022-08-15 06:15:13+00:00,['1559061127052640257'],@johnny_wakko I’m not sure what your point is about my previous comment? Which was to say it’s hard for children like my daughter to avoid those who present a greater risk to them (which has remained true).,sure point previous comment say hard child like daughter avoid present greater risk remained true
1.5589458526134436e+18,2022-08-14 22:37:09+00:00,['1558945852613443589'],@QueenBeee88 I’m so sorry you’ve had that. Someone once asked me if I ever wished she hadn’t been born. Like wtaf?!,sorry youve someone asked ever wished hadnt born like wtaf
1.5589454383589745e+18,2022-08-14 22:35:30+00:00,['1558945438358974464'],"@txurini Knowing doesn’t make it any less sad though, losing someone so important is heartbreaking.
When my daughter was first diagnosed there was a lot of trying to get us to accept a bleak prognosis. Like that would make it better if the worst happened.
Sending hugs x",knowing doesnt make sad though losing someone important heartbreaking daughter first diagnosed lot trying get accept bleak prognosis like would make better worst happened sending hug
1.558941783811408e+18,2022-08-14 22:20:59+00:00,['1558941783811407872'],@jayster79 I’m so sorry 😞 that’s rubbish.,sorry thats rubbish
1.5589412917188895e+18,2022-08-14 22:19:02+00:00,['1558941291718889478'],@LizabethAnne32 @GE_1970 @luxelovesshoez Absolutely 😍,absolutely
1.5589408662696591e+18,2022-08-14 22:17:20+00:00,['1558940866269659137'],"@LalaWallerBrown I’m so so sorry he couldn’t stay for longer.
Thank you so much for sharing x",sorry couldnt stay longer thank much sharing
1.5589390913995735e+18,2022-08-14 22:10:17+00:00,['1558939091399573507'],"@LucyLambDrover @firebladebabe Thank you - I know it says more about them, but it still hurts that someone could even think this (let alone say it).",thank know say still hurt someone could even think let alone say
1.558934953307562e+18,2022-08-14 21:53:51+00:00,['1558934953307561984'],@luineco Thank you - I love this! (How do you do it? So clever 😊),thank love clever
1.558934225079894e+18,2022-08-14 21:50:57+00:00,['1558934225079894017'],"@Gron63 @acatcalledkeith I’m so sorry you never got to meet her.
I agree re the love - we were told to expect “days or weeks at best”. She’s 11! Small but mighty.",sorry never got meet agree love told expect day week best shes small mighty
1.5589336199466844e+18,2022-08-14 21:48:33+00:00,['1558933619946684416'],@adrianhughes0 Beautiful girl 😍. I think this is it too - every new step brings such joy that you can’t believe it when others are so dismissive.,beautiful girl think every new step brings joy cant believe others dismissive
1.558932848954024e+18,2022-08-14 21:45:29+00:00,['1558932848954023938'],@CBurnell117 Thanks Charlotte 😊x,thanks charlotte
1.5589322012778824e+18,2022-08-14 21:42:55+00:00,['1558932201277882370'],@ptp335 @BillBates01 She absolutely is!😊,absolutely
1.5589318251327078e+18,2022-08-14 21:41:25+00:00,['1558931825132707843'],@eilish_barrett It’s never the people who know daughters like ours who make comments like this - to know them really is to love them.,never people know daughter like make comment like know really love
1.558931381887148e+18,2022-08-14 21:39:39+00:00,['1558931381887148034'],"@RachRmmc She’s seriously disabled so even on my optimistic days I doubt she will ever work in the conventional sense.
Her “work” here though is to inspire so many through her love, sheer joy for life and tenacity (her diagnosis was a life expectancy of days or weeks).",shes seriously disabled even optimistic day doubt ever work conventional sense work though inspire many love sheer joy life tenacity diagnosis life expectancy day week
1.558930561019814e+18,2022-08-14 21:36:23+00:00,['1558930561019813890'],@JoshuaG83431593 Thank you 😊,thank
1.558930256039379e+18,2022-08-14 21:35:11+00:00,['1558930256039378948'],"@luineco That’s so clever! And beautiful, thanks 😊",thats clever beautiful thanks
1.558929754627129e+18,2022-08-14 21:33:11+00:00,['1558929754627129344'],@BrionyAtkinson @jimgblair Beautiful 😍,beautiful
1.5589056553140593e+18,2022-08-14 19:57:25+00:00,['1558905655314059265'],"@LadyoftheLatte Honestly she makes our world a better place.
(The hard parts are about the system which is exhausting- but that’s for another day and a new soapbox!)",honestly make world better place hard part system exhausting thats another day new soapbox
1.5589039386608353e+18,2022-08-14 19:50:36+00:00,['1558903938660835328'],Ps thanks for all the follows - Twitter seems to be rationing me as I hit the 5k mark but hopefully I will eventually manage to follow back…,thanks follows twitter seems rationing hit mark hopefully eventually manage follow back
1.5589031323479327e+18,2022-08-14 19:47:24+00:00,['1558903132347932673'],"@Kit_Yates_Maths Thanks Kit.
So much has shocked me - particularly over the last 2 years but even before that. 
I know it’s on them, but sometimes it’s still hurtful.",thanks kit much shocked particularly last year even know sometimes still hurtful
1.558902606591918e+18,2022-08-14 19:45:19+00:00,['1558902606591918080'],@Lin11W She absolutely is 😊,absolutely
1.5589024515285156e+18,2022-08-14 19:44:42+00:00,['1558902451528515584'],"@Free_to_leave Thank you, and how truly awful for someone to even think that - let alone say it to you.
I’m so sorry for your loss 💔",thank truly awful someone even think let alone say sorry loss
1.5588906032235889e+18,2022-08-14 18:57:37+00:00,['1558890603223588869'],"@Serpico03975368 Thanks- I blocked them and they had a random anonymous name. So I honestly can’t remember the person, just the words.",thanks blocked random anonymous name honestly cant remember person word
1.5588859017025044e+18,2022-08-14 18:38:56+00:00,['1558885901702504449'],"Oh my word, thank you to every single person who has liked or shared this &amp;especially those who have left such lovely comments. I haven’t kept up at all, but you have all restored my faith in humanity. 
“The greatest gift
I ever learned
Is just to love
And be loved in return”. https://t.co/rCryfVKNed",word thank every single person liked shared ampespecially left lovely comment havent kept restored faith humanity greatest gift ever learned love loved return
1.5588572584565637e+18,2022-08-14 16:45:07+00:00,['1558857258456563712'],@Stephan28701968 💔horrific,horrific
1.5588502176797532e+18,2022-08-14 16:17:08+00:00,['1558850217679753216'],@Leighpowers16 Sending solidarity hugs xx,sending solidarity hug
1.5588270037298176e+18,2022-08-14 14:44:53+00:00,['1558827003729817601'],"@AndreKaasik Well what a sad, empty life anyone must have to have this opinion. 
My daughter absolutely has a brain.
And a HEART ❤️.",well sad empty life anyone must opinion daughter absolutely brain heart
1.5588068251344325e+18,2022-08-14 13:24:42+00:00,['1558806825134432259'],@ianbat Thank you 😊,thank
1.5588063259870904e+18,2022-08-14 13:22:43+00:00,['1558806325987090432'],"@eebop Oh don’t apologise- that’s lovely. Yes my daughter does this too, sing song pure happiness 🥰",dont apologise thats lovely yes daughter doe sing song pure happiness
1.5588032707511624e+18,2022-08-14 13:10:35+00:00,['1558803270751162368'],"@TheresaGavin4 I’m so sorry for your loss, that’s heartbreaking 💔",sorry loss thats heartbreaking
1.5588027186296914e+18,2022-08-14 13:08:23+00:00,['1558802718629691394'],@PallaviciniSam Beautiful 😍,beautiful
1.5588024464781967e+18,2022-08-14 13:07:19+00:00,['1558802446478196737'],@txurini I’m so sorry she couldn’t stay for longer 💔,sorry couldnt stay longer
1.558779718219989e+18,2022-08-14 11:37:00+00:00,['1558779718219988992'],"@LesPolitcsLite Ah thanks. I blocked them at the time - it’s been playing on my mind though, hence the post.",thanks blocked time playing mind though hence post
1.5587665252087237e+18,2022-08-14 10:44:34+00:00,['1558766525208723459'],@field_mat Thanks - she is so happy and finds joy in the smallest of things.,thanks happy find joy smallest thing
1.5587543625409372e+18,2022-08-14 09:56:14+00:00,['1558754362540937219'],@meredithcole333 @ItsMe50474936 Yeh clearly! We give her a miserable life 🤦‍♀️,yeh clearly give miserable life
1.5587218573726228e+18,2022-08-14 07:47:05+00:00,['1558721857372622849'],@Pomeranianslave Oh my goodness yes! And endless giggles 🤭,goodness yes endless giggle
1.5586985830121226e+18,2022-08-14 06:14:36+00:00,['1558698583012122624'],@cfrancis279 Thank you 😊😊😊,thank
1.5586941076729897e+18,2022-08-14 05:56:49+00:00,['1558694107672989700'],@GlynGriffiths7 Thank you- yes it’s shocked me how much hate there is.,thank yes shocked much hate
1.5586924767094907e+18,2022-08-14 05:50:20+00:00,['1558692476709490690'],@keepcalmandcarr Thank you 😊,thank
1.5585869965531423e+18,2022-08-13 22:51:11+00:00,['1558586996553142272'],@drlfarrell @SHabtezion It’s the greatest gift. I feel it’s like the purest most unconditional love - like she can see right into your soul.,greatest gift feel like purest unconditional love like see right soul
1.55858404557926e+18,2022-08-13 22:39:28+00:00,['1558584045579259905'],"@GeordieCavalier Thanks - yes I was shocked at first, but then felt really sad for him. To have such a soulless perspective on the world.",thanks yes shocked first felt really sad soulless perspective world
1.5585836817945805e+18,2022-08-13 22:38:01+00:00,['1558583681794580500'],"@SHabtezion Yes - this. And she’s so loving, she makes those she loves feel like the most special people in the world. Now that really is a value worth having 😍.",yes shes loving make love feel like special people world really value worth
1.5585829559157555e+18,2022-08-13 22:35:08+00:00,['1558582955915755522'],@markandersonrun This is so true!,true
1.5585826488634245e+18,2022-08-13 22:33:55+00:00,['1558582648863424513'],@Abilty_PTR Thank you 😊,thank
1.5585818704131113e+18,2022-08-13 22:30:49+00:00,['1558581870413111297'],"@TrundleAlong Thanks- it shocked me to be honest. That someone could not only think that, but take the time to tell me that too 🙄.",thanks shocked honest someone could think take time tell
