,id,created_at,edit_history_tweet_ids,text,withheld
0,1.5650667369442222e+18,2022-08-31 19:59:22+00:00,['1565066736944222208'],"RT @FaruqBashar: Haaland has 2 League Hat Tricks in 5 games, Your Club Legendary Striker  Didier Drogba had 3 in 10 years in the league but…",
1,1.5650619679367332e+18,2022-08-31 19:40:25+00:00,['1565061967936733188'],Isak!,
2,1.5650591816521073e+18,2022-08-31 19:29:20+00:00,['1565059181652107264'],Lmao https://t.co/wtUfOGU1Ve,
3,1.5650520116824023e+18,2022-08-31 19:00:51+00:00,['1565052011682402306'],Halannd...lmaoo,
4,1.5650519090226668e+18,2022-08-31 19:00:27+00:00,['1565051909022666754'],Lmaoooo https://t.co/7jHV9Gj1Sp,
5,1.5650280901490606e+18,2022-08-31 17:25:48+00:00,['1565028090149060613'],@sirlucem Congratulations 🎊,
6,1.5649986433666335e+18,2022-08-31 15:28:47+00:00,['1564998643366633472'],"RT @sportbible: Sebastian Haller on stage at the Eredivise Awards to receive his award for top scorer of the 2021/22 season. ❤️ 

https://t…",
7,1.5649982731313193e+18,2022-08-31 15:27:19+00:00,['1564998273131319296'],🥺 https://t.co/GCKT7VqkSE,
8,1.5649540645798543e+18,2022-08-31 12:31:39+00:00,['1564954064579854336'],RT @dunchichi: I'm at Dubai international airport and myself and some tiger Nigerians with valid Visas are being held in a room hours after…,
9,1.5648179206974505e+18,2022-08-31 03:30:39+00:00,['1564817920697450496'],"Insanity, sickness. https://t.co/kQZs2uRcwp",
10,1.5648177410805678e+18,2022-08-31 03:29:57+00:00,['1564817741080567809'],Watched him twice. He's Pogba Regen and he's going to be a top player. https://t.co/F0IlyS3X6y,
11,1.564813116831109e+18,2022-08-31 03:11:34+00:00,['1564813116831109120'],RT @FaruqBashar: Koulibaly after 4 games in the premier league https://t.co/fUu2aNVEl5,
12,1.5648118357690327e+18,2022-08-31 03:06:29+00:00,['1564811835769032705'],"RT @MorrisBaker_: Unsapa me, O Lord. 🙏🏾",
13,1.5648116842497393e+18,2022-08-31 03:05:52+00:00,['1564811684249739264'],"RT @Wizarab10: 5 years later, this fool's tweet is still up and the account safe.",
14,1.5648110283110154e+18,2022-08-31 03:03:16+00:00,['1564811028311015426'],RT @exceedingxpuns: ah so city are signing him to help with ffp,
15,1.5647519430498058e+18,2022-08-30 23:08:29+00:00,['1564751943049805829'],"RT @__if3oluwa: We paid €85m and we got 42 goals, 13 assists in 96 games, sold him for €65m

You paid €115m, what did you get? He's back on…",
16,1.564751936376775e+18,2022-08-30 23:08:27+00:00,['1564751936376774656'],@__if3oluwa Lmaoo,
17,1.5647475972433674e+18,2022-08-30 22:51:13+00:00,['1564747597243367424'],RT @FaruqBashar: Imagine hiring a €40m security man and thief still rob your house every week https://t.co/sBnq5N9fP6,
18,1.5647246856396636e+18,2022-08-30 21:20:10+00:00,['1564724685639663620'],RT @SouthamptonFC: We bounced back 😏,
19,1.564723733025153e+18,2022-08-30 21:16:23+00:00,['1564723733025153025'],Cook 🔥 https://t.co/tv5WARGlmf,
20,1.564723669137498e+18,2022-08-30 21:16:08+00:00,['1564723669137498113'],@kennagq Lmaoooo,
21,1.5647236324247716e+18,2022-08-30 21:15:59+00:00,['1564723632424771589'],"RT @kennagq: Have a back 4 of Loki's frost giants but still getting slapped around 

Magic of the EPL",
22,1.5647174134002975e+18,2022-08-30 20:51:17+00:00,['1564717413400297475'],RT @kennagq: All Chelsea need is another 30+ defender that is 6ft 8,
23,1.564717348354941e+18,2022-08-30 20:51:01+00:00,['1564717348354940928'],RT @venusakingba: He will get bullied by short strikers cos he is too far from the ground to see the ball quickly. 😭,
24,1.5647147687321436e+18,2022-08-30 20:40:46+00:00,['1564714768732143618'],Them flog chelshit,
25,1.5647146874801848e+18,2022-08-30 20:40:27+00:00,['1564714687480184839'],😹😹😹😹😹😹,
26,1.5646873624075182e+18,2022-08-30 18:51:52+00:00,['1564687362407518214'],"RT @FaruqBashar: Maguire no longer the most expensive CB in the league, English press, onto you. https://t.co/SXph1v0iDp",
27,1.5646419189187297e+18,2022-08-30 15:51:17+00:00,['1564641918918729735'],"RT @ManOfStamp38: I dont know who needs to be reminded, but Wanda is a glass cannon. A stray bullet could take her out. What the hell is sh…",
28,1.5646396728228004e+18,2022-08-30 15:42:22+00:00,['1564639672822800385'],RT @richarlison97: @talkSPORT @pennant83 https://t.co/OZxGddtrQw,
29,1.5646315048939274e+18,2022-08-30 15:09:54+00:00,['1564631504893927424'],@PetemannPeter We loaned him off and got better Brazilians.,
30,1.564630910384984e+18,2022-08-30 15:07:33+00:00,['1564630910384984072'],Alex Telles must be fuming,
31,1.5646298863204844e+18,2022-08-30 15:03:28+00:00,['1564629886320484352'],RT @D_DeGea: Welcome 🔴,
32,1.5645840996076175e+18,2022-08-30 12:01:32+00:00,['1564584099607617537'],@ManUtd @antony00 Antonnnyyyyyyyy,
33,1.5643609809682104e+18,2022-08-29 21:14:56+00:00,['1564360980968210434'],"RT @UtdArena: I am just putting this out there:

If any football team or player wants a scout/researcher/personal analyst, I am available.…",
34,1.564309826209026e+18,2022-08-29 17:51:40+00:00,['1564309826209026049'],"RT @FabrizioRomano: Excl: Manchester United are set to sign Martin Dúbravka, here we go! Full agreement reached, loan deal with buy option…",
35,1.5643070966943908e+18,2022-08-29 17:40:49+00:00,['1564307096694390784'],RT @Timileh1n: We will battle again soon @ojayfemi https://t.co/HVBqPQsFKk,
36,1.564195459211862e+18,2022-08-29 10:17:13+00:00,['1564195459211862021'],RT @Caramel_Lima: Lmfaooo I wish some women will stop pretending that they like casual sex when they want actual relationships. It’s okay t…,
37,1.5641949347223347e+18,2022-08-29 10:15:08+00:00,['1564194934722334723'],Lmaoooo...19! https://t.co/C50gO51K2U,
38,1.5641626776094802e+18,2022-08-29 08:06:57+00:00,['1564162677609480192'],@FabrizioRomano Hope he has a holiday clause in his contract.,
39,1.5640581025840333e+18,2022-08-29 01:11:25+00:00,['1564058102584033282'],Love this guy https://t.co/no1IlQHnK5,
40,1.5639994337334067e+18,2022-08-28 21:18:17+00:00,['1563999433733406720'],RT @Tehmii_: always scared of people that have obvious disdain for poor people or people they believe are lesser,
41,1.5639970006470328e+18,2022-08-28 21:08:37+00:00,['1563997000647032834'],"RT @kennagq: I'm glad people who signed pepe and lukaku are weighing in on how united is wasting money on Antony.

We definitely need to he…",
42,1.5639945300886856e+18,2022-08-28 20:58:48+00:00,['1563994530088685568'],"RT @kennagq: They sold Pepe before they even finished paying for him 

Dey there dey distribute advice 😂",
43,1.5639749945390367e+18,2022-08-28 19:41:10+00:00,['1563974994539036676'],👌👌🐐🐐🐐 https://t.co/31QyctET6V,
44,1.5639725984212337e+18,2022-08-28 19:31:39+00:00,['1563972598421233666'],"RT @FabrizioRomano: Antony to Manchester United, here we go! Agreement in principle with Ajax, €100m fee. Contract until June 2027 with opt…",
45,1.563972591563559e+18,2022-08-28 19:31:37+00:00,['1563972591563558913'],Siuuuuuuuu https://t.co/9gUm3nbH5m,
46,1.5639566332266742e+18,2022-08-28 18:28:12+00:00,['1563956633226674179'],Wow wow wow https://t.co/tj7UjBZq64,
47,1.5639561771337892e+18,2022-08-28 18:26:24+00:00,['1563956177133789187'],What??? https://t.co/2JhCbtKchq,
48,1.5639489343508972e+18,2022-08-28 17:57:37+00:00,['1563948934350897153'],Sanchony 🔥 https://t.co/FrTrjWeJrw,
49,1.5639487409810022e+18,2022-08-28 17:56:51+00:00,['1563948740981002241'],Rice? Wetin wan remain to chop again? https://t.co/cjLbAOMbRD,
50,1.563870339087696e+18,2022-08-28 12:45:18+00:00,['1563870339087695873'],@Haji288 The deal is almost done,
51,1.5638646963856837e+18,2022-08-28 12:22:53+00:00,['1563864696385683456'],Antony 🔥,
52,1.5636251948073e+18,2022-08-27 20:31:11+00:00,['1563625194807300097'],RT @TyrellMalaciia: ⚽️❤️ https://t.co/mBEF0YDoWG,
53,1.5636116769556111e+18,2022-08-27 19:37:28+00:00,['1563611676955611136'],"@BIGpapzy Poundo&gt;wheat&gt;amala&gt;semo.
Eba is for cultists.",
54,1.5636095299205898e+18,2022-08-27 19:28:57+00:00,['1563609529920589824'],@BIGpapzy Big L,
55,1.56360935048824e+18,2022-08-27 19:28:14+00:00,['1563609350488240128'],This redmi note 11 pro dey enter my eye. Time to dump Samsung and their wahala,
56,1.5635876595196396e+18,2022-08-27 18:02:02+00:00,['1563587659519639554'],@LisandrMartinez @ManUtd Warrior!,
57,1.563556224100352e+18,2022-08-27 15:57:07+00:00,['1563556224100352002'],"RT @StatmanDave: Teams to score 9 goals in a Premier League game:

Manchester United (x2)
Leicester City 
Liverpool 

Jurgen Klopp’s side j…",
58,1.563541632901063e+18,2022-08-27 14:59:09+00:00,['1563541632901062656'],"RT @Casemiro: Debut and victory!! 👊🏽

#MUFC #PL https://t.co/ZOPn9o1qw2",
59,1.5635415111362273e+18,2022-08-27 14:58:40+00:00,['1563541511136227328'],@Casemiro @ManUtd @ManUtd_Es @ManUtd_AR @ManUtd_JP @ManUtd_ID @ManUtd_MY @premierleague King👑,
60,1.5635373925474427e+18,2022-08-27 14:42:18+00:00,['1563537392547442688'],@DalotDiogo @ManUtd Fantastic game today,
61,1.5635333643965604e+18,2022-08-27 14:26:17+00:00,['1563533364396560390'],RT @TyrellMalaciia: Bringing the points back to Manchester ✔️ https://t.co/dFij5fvdgl,
62,1.563533140055847e+18,2022-08-27 14:25:24+00:00,['1563533140055846916'],@TyrellMalaciia @ManUtd @Casemiro Baller 🤛,
63,1.563532800585638e+18,2022-08-27 14:24:03+00:00,['1563532800585637889'],@Besco_16 True sha. Knowing the owners of the club we support,
64,1.5635315597008773e+18,2022-08-27 14:19:07+00:00,['1563531559700877313'],"@Besco_16 If he ends up leaving, I just hope we get a quality replacement.",
65,1.5635258766583562e+18,2022-08-27 13:56:32+00:00,['1563525876658356226'],"@Besco_16 We need a striker desperately, that's true. Ronaldo on the other hand wants to go and you can see that even from his body language.",
66,1.5635251402891796e+18,2022-08-27 13:53:36+00:00,['1563525140289179648'],Let's just part ways with Ronaldo,
67,1.563522102312915e+18,2022-08-27 13:41:32+00:00,['1563522102312914944'],'Unbelievable' was my Dad's ringtone then https://t.co/ucWeiaZ3Jg,
68,1.5635212434074952e+18,2022-08-27 13:38:07+00:00,['1563521243407495168'],@__if3oluwa He's so good,
69,1.563521183446106e+18,2022-08-27 13:37:53+00:00,['1563521183446106115'],@walshakgentle Siuuuu,
70,1.5635207352259994e+18,2022-08-27 13:36:06+00:00,['1563520735225999360'],"RT @StatmanDave: Lisandro Martinez won 5/5 aerial duels against Southampton, more than any other player player on the pitch.

Weakness??? 😂…",
71,1.563520310191698e+18,2022-08-27 13:34:25+00:00,['1563520310191697921'],Martinez was collosal again today.,
72,1.5635173520496476e+18,2022-08-27 13:22:40+00:00,['1563517352049647622'],3 points,
73,1.5635136378467164e+18,2022-08-27 13:07:54+00:00,['1563513637846716417'],Ronaldo ffs,
74,1.563513187089019e+18,2022-08-27 13:06:07+00:00,['1563513187089018883'],Entra Casemiro,
75,1.5635067476118528e+18,2022-08-27 12:40:31+00:00,['1563506747611852806'],Brunooooo,
76,1.5635001347085722e+18,2022-08-27 12:14:15+00:00,['1563500134708572160'],God of Erikson,
77,1.5634969580643492e+18,2022-08-27 12:01:37+00:00,['1563496958064349184'],Martinez is everywhere,
78,1.5634939640824463e+18,2022-08-27 11:49:44+00:00,['1563493964082446339'],What the hell!!!,
79,1.563490672816304e+18,2022-08-27 11:36:39+00:00,['1563490672816304128'],Bruno again,
80,1.5634824446530396e+18,2022-08-27 11:03:57+00:00,['1563482444653039618'],Let's gooooo https://t.co/YNA0lKPSPg,
81,1.5634791115780342e+18,2022-08-27 10:50:42+00:00,['1563479111578034178'],Let's go @ManUtd,
82,1.5634727727428037e+18,2022-08-27 10:25:31+00:00,['1563472772742803460'],"RT @A_King_from_OAU: Latest Doctors 

Greatest IFE 🔥🔥🔥 https://t.co/egsyHRTR6Y",
83,1.563472763259482e+18,2022-08-27 10:25:29+00:00,['1563472763259482113'],Beautiful ❤️ https://t.co/qsZB57KaPs,
84,1.5634713741860864e+18,2022-08-27 10:19:58+00:00,['1563471374186086401'],RT @layiwasabi: Thank God for Jesus❤️😂 pt. 1 https://t.co/KIi1WOgayH,
85,1.5634701756343255e+18,2022-08-27 10:15:12+00:00,['1563470175634325505'],🤣🤣🤣🤣🐐🐐 https://t.co/PKeMgQHMhg,
86,1.5634682873037537e+18,2022-08-27 10:07:42+00:00,['1563468287303753729'],Over 80M...nice https://t.co/lxYSP9pJ28,
87,1.5632979158454968e+18,2022-08-26 22:50:42+00:00,['1563297915845496832'],Lmao https://t.co/07naDebNm0,
88,1.5632552863028552e+18,2022-08-26 20:01:18+00:00,['1563255286302855168'],RT @damilola_MD: Can now confirm that ALL the @SIGAFofficial communities across 10 plus different surgical subspecialties are actively work…,
89,1.563254522717573e+18,2022-08-26 19:58:16+00:00,['1563254522717573120'],@damilola_MD @SIGAFofficial Beautiful,
90,1.5632507077251113e+18,2022-08-26 19:43:07+00:00,['1563250707725111297'],RT @DailyLoud: Jamie Foxx can sound just like Donald Trump 💯😂 https://t.co/uyrQ4l6zMY,
91,1.5631561106681078e+18,2022-08-26 13:27:13+00:00,['1563156110668107779'],RT @yeahmark0: I found my new favourite video 😍 https://t.co/uBVYZAdLwN,
