,Unnamed: 0,Unnamed: 0.1,id,created_at,edit_history_tweet_ids,text
0,0,0,1.5650841045084652e+18,2022-08-31 21:08:23+00:00,['1565084104508465155'],Absolutely heartbreaking https://t.co/Rj4yzLqXxB
13,13,13,1.5646029544428052e+18,2022-08-30 13:16:27+00:00,['1564602954442805248'],Just a few hours left to vote in Labour’s NEC elections 🗳 https://t.co/LahJTItyfK
15,15,15,1.564367897350267e+18,2022-08-29 21:42:25+00:00,['1564367897350266880'],@jeremycorbyn @PeoplesMomentum @graceblakeley Thank you JC 👑
20,20,20,1.5643353189748326e+18,2022-08-29 19:32:58+00:00,['1564335318974832644'],@graceblakeley @dizzycurly 👵
21,21,21,1.5643199388394455e+18,2022-08-29 18:31:51+00:00,['1564319938839445504'],"Less than 24 hours to go! 🗳 

If you’re under 27 and still not voted in the Labour Party NEC elections, listen to the smart as hell @graceblakeley and vote #Lara4NEC https://t.co/TAHc018YvM"
23,23,23,1.5642969128739635e+18,2022-08-29 17:00:21+00:00,['1564296912873963521'],@raihanmiah96 Thank you !
33,33,33,1.5636309517286646e+18,2022-08-27 20:54:04+00:00,['1563630951728664576'],@AydinDikerdem Would never know you weren’t 26 mate x
37,37,37,1.5636099196262892e+18,2022-08-27 19:30:29+00:00,['1563609919626289153'],"There’s a million things to say about the BMA, but it would be simple silly not to be a member right now and have the chance to turn criticism into action

The attacks on the NHS and our profession aren’t going to stop with a new Prime Minister 

The union is the members https://t.co/9HSOUAsuuj"
39,39,39,1.5636056523033887e+18,2022-08-27 19:13:32+00:00,['1563605652303388672'],"THREE DAYS LEFT 🗳 

Thank you @AydinDikerdem for supporting my re-election campaign. People like you inspire young people to go into politics especially at a local level so thank you for all you do. 🤗 #Lara4NEC https://t.co/o8uBZ89pqO"
50,50,50,1.5632227914656154e+18,2022-08-26 17:52:11+00:00,['1563222791465615360'],Picket line photos and the strength it demonstrates giving hope to all workers today. The CWU will win! #StandByYourPost
54,54,54,1.5631182606224837e+18,2022-08-26 10:56:49+00:00,['1563118260622483463'],@PatrickJenkins9 @nabeelamowlana Thank you comrade !
55,55,55,1.5629550905077637e+18,2022-08-26 00:08:26+00:00,['1562955090507763714'],@georgebwtowl @IanLaveryMP Thank you mate much appreciated
62,62,62,1.5628726194894395e+18,2022-08-25 18:40:43+00:00,['1562872619489439744'],@Conalcorr Wahay I’m number three
63,63,63,1.562867730352468e+18,2022-08-25 18:21:18+00:00,['1562867730352467969'],"It’s just FIVE days until ballots close for Labour’s NEC elections. 

If you haven’t voted yet for your Youth Representative and are still deciding, check out what @IanLaveryMP has to say here 👇 https://t.co/6DMbt6XoV9"
64,64,64,1.56284381242658e+18,2022-08-25 16:46:15+00:00,['1562843812426579969'],@willJones200 @nabeelamowlana @frasermcguire_ @comradefraz Thank you Will 🎉
73,73,73,1.562523938080428e+18,2022-08-24 19:35:11+00:00,['1562523938080428032'],🤮 ☠️ https://t.co/4fxhvWLNEJ
74,74,74,1.562521775295959e+18,2022-08-24 19:26:36+00:00,['1562521775295959040'],"Thank you to @RichardBurgon for endorsing my re-election campaign and for all you do to push for socialist policy within our Party ✊ #Lara4NEC 

Look for an email with the subject “Your ballot - Labour Party elections” to vote now for the NEC 🌹 https://t.co/898MbeDajh"
78,78,78,1.561680788650967e+18,2022-08-22 11:44:49+00:00,['1561680788650967042'],Ok now my tweet is inaccurate 😂 https://t.co/xD0dT1QgSt
79,79,79,1.5616764354037268e+18,2022-08-22 11:27:31+00:00,['1561676435403726848'],"Just 🚨 FOUR MORE DAYS 🚨 until ballots close in Labour’s NEC elections ⚡️

Thank you to @zarahsultana for supporting my re-election &amp; for all you do to inspire young people who are losing faith in politics🌹 #Lara4NEC https://t.co/Wzfu46HJTb"
84,84,84,1.559933913308463e+18,2022-08-17 16:03:21+00:00,['1559933913308463106'],@MHA_92_ :(
87,87,87,1.5590900787685622e+18,2022-08-15 08:10:15+00:00,['1559090078768562178'],@communaz_ Good luck!
90,90,90,1.557801933955539e+18,2022-08-11 18:51:38+00:00,['1557801933955538945'],"If you’re still having issues with your ballot, see the instructions below 👇 

If you’ve already voted #Lara4NEC tweet me your ballot so I can thank you 🌹 https://t.co/Lvx2pR9gsO"
92,92,92,1.5577998706768282e+18,2022-08-11 18:43:26+00:00,['1557799870676828164'],"I’m so proud to have the backing of these fighting trade unions in my re-election campaign. 

The path to victory lies in the organised working class &amp; we must ensure their voice in central our Party.  

@CWUnews @unitetheunion @TSSAunion @ASLEFunion @fbunational 

#Lara4NEC 🌹 https://t.co/QHnISHWGjf"
102,102,102,1.556061951444353e+18,2022-08-06 23:37:34+00:00,['1556061951444353027'],@@madiwbb
103,103,103,1.5559669576183562e+18,2022-08-06 17:20:05+00:00,['1555966957618356224'],@davesgould @LAnthonyFarley 👏
104,104,104,1.555932695133397e+18,2022-08-06 15:03:57+00:00,['1555932695133396994'],Happy pride 🌈 https://t.co/mjskiW3tOe
112,112,112,1.555468223964975e+18,2022-08-05 08:18:18+00:00,['1555468223964975104'],@_EdTheRed @nabeelamowlana @JessicaLBarnard Thank you!
114,114,114,1.555314453972935e+18,2022-08-04 22:07:16+00:00,['1555314453972934656'],@DLR2021 @lynnejones_exMP @JessicaLBarnard @nabeelamowlana @socialist_yl @WLGrassroots Thank you comrade 🌹
120,120,120,1.555195303497814e+18,2022-08-04 14:13:49+00:00,['1555195303497814017'],@YoungLabLiv @socialist_yl @nabeelamowlana @chloexfield Thank you! ♥️
121,121,121,1.5551952372444692e+18,2022-08-04 14:13:33+00:00,['1555195237244469253'],@GeorgeAylett @socialist_yl @Katherine_M_Foy @JessicaLBarnard @mish_rahman @gembolton @Yasmine_Dar Thank you comrade!!
122,122,122,1.555195205632e+18,2022-08-04 14:13:25+00:00,['1555195205632000000'],@Owen_Hooper98 Thank you 🌹
126,126,126,1.5551318044489482e+18,2022-08-04 10:01:29+00:00,['1555131804448948224'],@olydurose @mish_rahman @Yasmine_Dar @JessicaLBarnard @gembolton Thank you!
127,127,127,1.554945669495939e+18,2022-08-03 21:41:51+00:00,['1554945669495939072'],His death is unfortunately inevitable and this judgement lays out very clearly why it is undignified to continue futile measures
129,129,129,1.554945222261588e+18,2022-08-03 21:40:05+00:00,['1554945222261587968'],"This is tragic reading but is written with such compassion for the life of Archie Battersbee and those around him  

“Respect for Archie, as a person, involves a clear recognition that as a
human being, he is more than the raft of medical complexity”

https://t.co/OlvVSm4cmA"
137,137,137,1.554838820457042e+18,2022-08-03 14:37:16+00:00,['1554838820457041920'],Those getting ballots today have seen how @JessicaLBarnard &amp; co have been so important for our movement these last few years. Vote to continue that with @nabeelamowlana as @YoungLabourUK Chair - she has a track record of working hard for Labour &amp; not giving up socialist values https://t.co/bEpB3dSFkX
138,138,138,1.5548340155253842e+18,2022-08-03 14:18:11+00:00,['1554834015525384193'],@dan_o_1989 I’m a stones throw away from London chaos now :)
139,139,139,1.5548335847618888e+18,2022-08-03 14:16:28+00:00,['1554833584761888768'],@dan_o_1989 Haha mate yes! But too many conference memories around here also 😂
140,140,140,1.5548327873659617e+18,2022-08-03 14:13:18+00:00,['1554832787365961729'],Bring on Brighton 🤩 https://t.co/coCPa8kII2
142,142,142,1.5548212323940024e+18,2022-08-03 13:27:23+00:00,['1554821232394002432'],"Already having a bit of a cry as I left Yorkshire and this card sent me over the edge. 🥺 On changeover day, in an increasingly harsh and unsustainable environment for junior doctors, this is why we work for the NHS ♥️ https://t.co/hRwf0p8kma"
151,151,151,1.5547837787567636e+18,2022-08-03 10:58:33+00:00,['1554783778756763649'],"⏰ 🚨 NEC ballots drop today ⏰ 🚨 

If you are under 27, please support myself for NEC Youth Rep &amp; @socialist_yl slate, a group of fantastic young socialists for YLNC 🌹 

For CLP reps: @mish_rahman @gembolton @JessicaLBarnard @Yasmine_Dar 

https://t.co/Ldbu96a8dE"
153,153,153,1.5546198675165266e+18,2022-08-03 00:07:14+00:00,['1554619867516526595'],The sad reality https://t.co/skVfj1FSQI
156,156,156,1.5546139131609334e+18,2022-08-02 23:43:34+00:00,['1554613913160933378'],@BellaRoscetti Lots of horror stories but I had one and it was totally fine. Try not to worry and hope it goes smoothly as does FY1
159,159,159,1.5529936121867674e+18,2022-07-29 12:25:05+00:00,['1552993612186767361'],"Wish I could join these courageous workers on their picket lines today.

Your struggle is our struggle and true socialist values mean never abandoning eachother ✊ 

The idea that the Labour Party is questioning showing solidarity with striking workers is frightening #CWUStrike https://t.co/FcsT6ORhpY"
171,171,171,1.5520424110099003e+18,2022-07-26 21:25:20+00:00,['1552042411009900546'],@harcup_joshua Appreciated comrade 🌹
175,175,175,1.5520250946791383e+18,2022-07-26 20:16:32+00:00,['1552025094679138307'],@francis_samj 🌹
176,176,176,1.5520250597741076e+18,2022-07-26 20:16:24+00:00,['1552025059774107650'],@IanLaveryMP Thanks for your support as always Ian !
177,177,177,1.5520249486796063e+18,2022-07-26 20:15:57+00:00,['1552024948679606272'],@nabeelamowlana Very excited to vote for you comrade
179,179,179,1.552024880278823e+18,2022-07-26 20:15:41+00:00,['1552024880278822913'],@luke_elgar Thank you Luke !
183,183,183,1.5519959732657562e+18,2022-07-26 18:20:49+00:00,['1551995973265756163'],"🚨 NEC ballots open on the 1st August! 🚨 

Return me to the NEC to build a Labour Party with a socialist agenda, capable of beating the Tories. 

Why I’m standing 👇
#Lara4NEC https://t.co/LahJTItyfK"
205,205,205,1.5468714738596618e+18,2022-07-12 14:57:53+00:00,['1546871473859661824'],https://t.co/mnhxpzwPG8 https://t.co/TjbHV2CWyQ
207,207,207,1.5464646635876516e+18,2022-07-11 12:01:22+00:00,['1546464663587651584'],@marcusbarnett_ @Soph__wilson Where in Sussex!
208,208,208,1.5461232837535662e+18,2022-07-10 13:24:51+00:00,['1546123283753566209'],@iamlivyrose Better than our weekend handovers to “review plan”
209,209,209,1.546115323308417e+18,2022-07-10 12:53:13+00:00,['1546115323308417024'],@Timmyfulford 11 in a row actually!
210,210,210,1.5461144821072937e+18,2022-07-10 12:49:52+00:00,['1546114482107293696'],I’m wish I could say one i work in a system where socioeconomic factors don’t affect patients health and outsourcing doesn’t compromise the care we provide. But at least I don’t have to discuss paying for care with the people I treat and we can’t forget how we won this https://t.co/8dMWKYrPXh
211,211,211,1.546113579509842e+18,2022-07-10 12:46:17+00:00,['1546113579509841920'],@AdamPatel4545 Just mad amazing of multitasking and speeding up your reviews which isn’t very safe. Lots of holding the phone and typing at the same time
212,212,212,1.5461127448348672e+18,2022-07-10 12:42:58+00:00,['1546112744834867200'],I am back in today and I’ve been called by the rota team who didn’t realise I was working to come in and locum due to short staffing🤦🏼‍♀️ ☠️ https://t.co/TjbHV2CWyQ
214,214,214,1.5458928357187502e+18,2022-07-09 22:09:07+00:00,['1545892835718750208'],@rohankon @DurhamGala 👏
216,216,216,1.5458915808962314e+18,2022-07-09 22:04:08+00:00,['1545891580896231424'],@MHA_92_ Yessss
217,217,217,1.545891367330644e+18,2022-07-09 22:03:17+00:00,['1545891367330643968'],@MHA_92_ Yeah…Not much advance notice at all. Obvs will escalate but it’s enough to put people off med specialities for life 😂
218,218,218,1.5458908763077755e+18,2022-07-09 22:01:20+00:00,['1545890876307775491'],@dan_o_1989 The claps make it all worth it ;) jokes the occasional patient does
219,219,219,1.5458902773360108e+18,2022-07-09 21:58:58+00:00,['1545890277336010752'],@MHA_92_ I stg no ward reg or ct ☠️ ☠️☠️☠️ get me out of here
220,220,220,1.5458895692492964e+18,2022-07-09 21:56:09+00:00,['1545889569249296384'],@jabberwock951 Hours go by and you’ve done nothing but answer the phone. And everything needs to be documented in the notes myself rather than someone else copying my advice down! Best thing a nurse did was send the notes down with someone to where I was for me to write though 😅
221,221,221,1.545889113995346e+18,2022-07-09 21:54:20+00:00,['1545889113995345920'],@cr_celab Fed up of colleagues being exasperated at health policy not being strong enough from the opposition Party when it feels like just firefighting constantly  at work
222,222,222,1.5458885587912335e+18,2022-07-09 21:52:08+00:00,['1545888558791233537'],"You end up feeling like a horrible person for triaging jobs and delegating, but how can you even focus on a task with a bleep going off every two minutes ??? ☠️"
223,223,223,1.5458879099826586e+18,2022-07-09 21:49:33+00:00,['1545887909982658560'],"Want to be in Durham 😔 instead I was the only doctor covering ~ 200 medical patients for 12 hours + carrying arrest bleep… We’re overworked and underpaid in the NHS. Bring on a real terms pay rise for us all and proper staffing, this is not safe or sustainable"
227,227,227,1.5451275171698483e+18,2022-07-07 19:28:01+00:00,['1545127517169848321'],"Another Tory will always step up to the plate to uphold the cruel system. They’ll oversee crisis after crisis for working people. The end will only come for this hardship when we build popular power in our workplaces, communities and Parliament &amp; beat the Tories for good"
231,231,231,1.544447763156734e+18,2022-07-05 22:26:55+00:00,['1544447763156733953'],Care is far from just dementia but having the audacity to mention dementia here when our care system is in ruins is important
232,232,232,1.5444475951451382e+18,2022-07-05 22:26:15+00:00,['1544447595145138176'],"“Radical new approaches to dementia” clearly didn’t include giving people the right to care no matter their income or paying our care staff

Another Tory Health Minister off -&amp; we have be a Labour Party bold enough to set up a system of care modelled on the principles of the NHS https://t.co/LOx6GdfbsM"
233,233,233,1.5444464822495642e+18,2022-07-05 22:21:50+00:00,['1544446482249564162'],People allowing this to continue are stating open selection is to blame but can sit by whilst an unwell MP has this process continue without a pause. Solidarity @ApsanaBegumMP our internal processes have failed to uphold fair and open selections &amp; address concerns adequately https://t.co/9tg5Zs4iEE
235,235,235,1.5440351785190687e+18,2022-07-04 19:07:28+00:00,['1544035178519068672'],@LAnthonyFarley 🫡
236,236,236,1.5440118921544212e+18,2022-07-04 17:34:56+00:00,['1544011892154421252'],Dr Lara McNeill MBBS + 2 years ✨ 👩🏼‍⚕️ 🤩😝 https://t.co/rI07yPKgRO
254,254,254,1.5410749730155397e+18,2022-06-26 15:04:40+00:00,['1541074973015539712'],This is absolutely horrendous https://t.co/jX1Ysdy5Y8
260,260,260,1.5407217377966694e+18,2022-06-25 15:41:02+00:00,['1540721737796669441'],Go @GMBSouthern ! https://t.co/PhvsEKloTN
266,266,266,1.5406601733075354e+18,2022-06-25 11:36:24+00:00,['1540660173307535360'],Morning from the Hull RMT rally! Stand up for workers and passengers 🚩 https://t.co/gXkTKRPJsZ
267,267,267,1.5406550626488648e+18,2022-06-25 11:16:05+00:00,['1540655062648864768'],@ronanburtenshaw Can’t believe you’re on tiktok!! Can’t wait for tribune viral dances I’m sure @marcusbarnett_ can provide some song ideas
269,269,269,1.540381368068313e+18,2022-06-24 17:08:31+00:00,['1540381368068313090'],"Junior doctors are not highly paid, especially not for the job we do. 

Everything up to balloting for industrial action must be on the table if the government do not reverse the real team pay cuts we’ve had

Join or re-join the BMA now https://t.co/VtZk6HCnCZ"
270,270,270,1.5403810506685563e+18,2022-06-24 17:07:16+00:00,['1540381050668556295'],@sk_d97 @mjv__1 Did you include student loan deductions in that for when it starts coming out? I pay hundreds a month
272,272,272,1.540111961110741e+18,2022-06-23 23:18:00+00:00,['1540111961110740992'],👏 https://t.co/eif6irhjmp
278,278,278,1.540051440164561e+18,2022-06-23 19:17:30+00:00,['1540051440164560897'],Wow amazing news!! https://t.co/tt5IZCns4M
279,279,279,1.5398763752382464e+18,2022-06-23 07:41:52+00:00,['1539876375238246401'],@DavidDavidDoig @RMTunion 🤝
280,280,280,1.5398733507003924e+18,2022-06-23 07:29:50+00:00,['1539873350700392448'],"Hull workers out this morning ✊ 

Solidarity with all transport staff striking🚊 

Enough is enough 🙅🏼‍♀️ https://t.co/OXWAkbAYsJ"
282,282,282,1.539733842885501e+18,2022-06-22 22:15:29+00:00,['1539733842885500928'],@Tjkey @TheBMA @RMTunion Very ready ✊✊
283,283,283,1.5397334690388746e+18,2022-06-22 22:14:00+00:00,['1539733469038874625'],@harcup_joshua @OliProbertHill @nabeelamowlana @deputypreschloe @katxharlow Thanks mate
284,284,284,1.539728190838657e+18,2022-06-22 21:53:02+00:00,['1539728190838657024'],"Love the way Mick brings the rail dispute back to all sectors of the economy including health

In all sectors workers need a shared anger at those who are stealing what belongs to the people and fight for it to be run for the good of everyone https://t.co/20J7D3N8YZ"
289,289,289,1.5396482785682473e+18,2022-06-22 16:35:29+00:00,['1539648278568247296'],"@marcusbarnett_ @AaronBastani @piersmorgan @RMTYoungMember @tribunemagazine In the words of Mick Lynch “Well, I think it’s quite funny”"
294,294,294,1.5393518635853824e+18,2022-06-21 20:57:38+00:00,['1539351863585382410'],This https://t.co/tZmKudWIhs
303,303,303,1.5391649542631588e+18,2022-06-21 08:34:56+00:00,['1539164954263158784'],"Starting today’s board round discussing a patient admitted and found not to have any electric or food in their house

All staff worried these admissions will go up as energy bills rise

No disagreement from us about who is to blame for these admissions &amp; poverty - this government"
309,309,309,1.53899116676241e+18,2022-06-20 21:04:21+00:00,['1538991166762409998'],"Dropping commitments to workers and unions when it means conflict with the establishment does not bode well for the implementation of any type of left wing manifesto being taken forward by a Labour Government under Keir Starmer

Trust the actions of politicians, not their words https://t.co/BUe82cRbFM"
312,312,312,1.5389737138398167e+18,2022-06-20 19:55:00+00:00,['1538973713839816706'],Yorkshire…… 🌹 https://t.co/qvsNEMHhYZ
313,313,313,1.5389613591650714e+18,2022-06-20 19:05:55+00:00,['1538961359165071360'],@KateOsborneMP @UKLabour @RMTunion 👏
318,318,318,1.5389512179168748e+18,2022-06-20 18:25:37+00:00,['1538951217916874752'],@tarajaneoreilly 👏
323,323,323,1.5389485306850714e+18,2022-06-20 18:14:56+00:00,['1538948530685071361'],@Brancaster123 @RMTunion Not tomorrow they’re not!
329,329,329,1.5389428441860014e+18,2022-06-20 17:52:20+00:00,['1538942844186001408'],"Who do we want to lead the Labour Party and the country *for* if it is not the low paid workers going on strike against the powerful parasite rail bosses? 

Unsustainable political strategy which will not enthuse the apathetic young people not engaging in voting in elections https://t.co/klhSwgWC02"
330,330,330,1.5389421498987725e+18,2022-06-20 17:49:35+00:00,['1538942149898772482'],"Labour leadership telling MPs to stay off picket lines. 

A disgrace and a betrayal of our values &amp; the purpose of our party. 

Pushing us into irrelevance by turning our back on working people. 

Hope to see Labour MPs pushing back on this and supporting the @RMTunion tomorrow https://t.co/PODFGObL7a"
331,331,331,1.5389288850139218e+18,2022-06-20 16:56:52+00:00,['1538928885013921792'],@DrReeceThomas Insane
332,332,332,1.5389280399371592e+18,2022-06-20 16:53:31+00:00,['1538928039937159168'],@DrReeceThomas Damn how are they fine
353,353,353,1.538647627008467e+18,2022-06-19 22:19:15+00:00,['1538647627008466945'],Great stuff young members https://t.co/PSzlBEL4CG
354,354,354,1.5381961903570698e+18,2022-06-18 16:25:24+00:00,['1538196190357069824'],"Heroes, legends. 🚂 Support the strikes and reject a race to the bottom https://t.co/YMJYNB7gZf"
356,356,356,1.5379016801041203e+18,2022-06-17 20:55:08+00:00,['1537901680104120320'],"Nominations for NEC closed today, thank you so much to all the CLPs and unions that nominated me. 

Young members and trade unionists see you tomorrow - we continue to fight for a socialist and just world for working people! 🌹 https://t.co/MWthJzVN6L"
357,357,357,1.5375177853240607e+18,2022-06-16 19:29:40+00:00,['1537517785324060672'],@Callum_Bell8 @mish_rahman @Yasmine_Dar @JessicaLBarnard @gembolton @ellenlmorrison @han_cuz Legends. Thank you
364,364,364,1.5356628405262746e+18,2022-06-11 16:38:47+00:00,['1535662840526274560'],@MHA_92_ @drcleong Lmaooo
368,368,368,1.533618937165906e+18,2022-06-06 01:17:02+00:00,['1533618937165905920'],@maxshanly Give me a text x
372,372,372,1.5327826041261343e+18,2022-06-03 17:53:45+00:00,['1532782604126134279'],"@csher1991 @Fraserwtt Yeah fexo the best + steroid nose spray + eye drops. Take it regularly not just when symptoms bad. After that palliative care only, solidarity Frase"
379,379,379,1.5319956199418184e+18,2022-06-01 13:46:33+00:00,['1531995619941818369'],@daisyandbowie Beautiful strawberry
380,380,380,1.5313871798801408e+18,2022-05-30 21:28:50+00:00,['1531387179880140803'],Held up a proper chest radiograph ??film thing to the lights today a patient had brought from abroad. Consultant laughed that I found this #retro …felt like I was on an old medical drama
383,383,383,1.531100034120528e+18,2022-05-30 02:27:49+00:00,['1531100034120527872'],@MHA_92_ Lushhh
384,384,384,1.5310509289456968e+18,2022-05-29 23:12:41+00:00,['1531050928945696769'],@harcup_joshua Thank you 😊
388,388,388,1.5310153573889638e+18,2022-05-29 20:51:20+00:00,['1531015357388963840'],@NairnMcD @PeoplesMomentum @LabourCfS Thank you 🙌🏼 🌹
392,392,392,1.52947507588327e+18,2022-05-25 14:50:49+00:00,['1529475075883270144'],Nick has no response to the facts besides essentially advocating these key workers should be paid less. Up the RMT protesting a race to the bottom&amp; fighting for their members https://t.co/hqufS2I2pb
401,401,401,1.5277527777825137e+18,2022-05-20 20:47:01+00:00,['1527752777782513664'],@MsBethanJ Let a little 4 yo into the ward to see their mum and they instantly cuddled my legs then ran to her screaming mummyyyy and it completely made my shitty shift
403,403,403,1.5274354722927903e+18,2022-05-19 23:46:09+00:00,['1527435472292790272'],@JacobAllen777 Help me find somewhere that doesn’t triple my current rent and I will 😅😅😅
404,404,404,1.5274236472244142e+18,2022-05-19 22:59:10+00:00,['1527423647224414221'],@drsalwamalik Thanks!
405,405,405,1.5273806372119962e+18,2022-05-19 20:08:15+00:00,['1527380637211996167'],@gmbelaine Excited to be GMB Southern again!
406,406,406,1.5273736909500047e+18,2022-05-19 19:40:39+00:00,['1527373690950004737'],@el_soph_ Best of luck you to in August too gonna smash it !!
407,407,407,1.5273730696599757e+18,2022-05-19 19:38:11+00:00,['1527373069659975709'],"@dan_o_1989 Many, many pints"
