id,created_at,edit_history_tweet_ids,text,clean_text,non_english
1.5650686400216105e+18,2022-08-31 20:06:56+00:00,['1565068640021610503'],@BCWRkittens London,london,False
1.564513567877075e+18,2022-08-30 07:21:16+00:00,['1564513567877074946'],@GracePhysio @StGeorgesUni Wow the halls look alot better than they did 18 years ago on that site when I started GEP. Have a great time!,wow hall look alot better year ago site started gep great time,False
1.5486257349939528e+18,2022-07-17 11:08:41+00:00,['1548625734993952769'],@DrBenLovell Cool mat being ignored here…..,cool mat ignored,False
1.5469815839656223e+18,2022-07-12 22:15:25+00:00,['1546981583965622273'],@PuppiesIover Parsnip,parsnip,False
1.5350173679773164e+18,2022-06-09 21:53:54+00:00,['1535017367977316367'],@LauraChurchward @elmer_julia It’s a brilliant song!,brilliant song,False
1.5345210409483674e+18,2022-06-08 13:01:40+00:00,['1534521040948367361'],@BernieTranders Congratulations,congratulation,False
1.5272221582373435e+18,2022-05-19 09:38:31+00:00,['1527222158237343744'],@DrBenLovell Love the head kiss at the end 🐾,love head kiss end,False
1.5271954544375767e+18,2022-05-19 07:52:24+00:00,['1527195454437576705'],@Miss_ACaldwell @RoshanaMN Hello from London. This is my cat Pumpkin! https://t.co/IrOW92NOMP,hello london cat pumpkin,False
1.5263033779148308e+18,2022-05-16 20:47:37+00:00,['1526303377914830855'],@ShivaniM_KC Yes. Love oat cappuccino,yes love oat cappuccino,False
1.517776655426949e+18,2022-04-23 08:05:28+00:00,['1517776655426949121'],@PSpandextor @MissBethanEJohn Reported,reported,False
1.5158225353168077e+18,2022-04-17 22:40:29+00:00,['1515822535316807682'],"Rwanda asylum plan is ‘almost Easter story of redemption’, says Rees-Mogg. Shocking even for him https://t.co/vZfNJingT3",rwanda asylum plan almost easter story redemption say reesmogg shocking even,False
1.512950876377428e+18,2022-04-10 00:29:32+00:00,['1512950876377427975'],@garethjoyner Those of us in the rowdy section enjoyed it more than any assembly I’ve ever been to!,u rowdy section enjoyed assembly ive ever,False
1.512945400273064e+18,2022-04-10 00:07:47+00:00,['1512945400273063939'],"@garethjoyner Throughly enjoyed, even if it was in a children’s book shop!",throughly enjoyed even wa childrens book shop,False
1.5129439342883758e+18,2022-04-10 00:01:57+00:00,['1512943934288375815'],@DrBenLovell Get well soon!,get well soon,False
1.5123898009129e+18,2022-04-08 11:20:02+00:00,['1512389800912900099'],@noodles_nood @DavidLloydUK As a member of @DavidLloydUK I’m really disappointed that you’ve had this experience. I hope @DavidLloydUK will be contacting you. It’s totally unacceptable that you had to experience this.,member im really disappointed youve experience hope contacting totally unacceptable experience,False
1.5100054000154583e+18,2022-04-01 21:25:16+00:00,['1510005400015458314'],@michaelscat2 Penguin,penguin,False
1.5067379434357473e+18,2022-03-23 21:01:34+00:00,['1506737943435747332'],@DrHannahBB Leave them be! Insects need our protection these days!,leave insect need protection day,False
1.5060558299459994e+18,2022-03-21 23:51:05+00:00,['1506055829945999365'],@drphiliplee1 @Medic_Russell I genuinely thought it was a mock up article!!! Now stand corrected! Brilliant!,genuinely thought wa mock article stand corrected brilliant,False
1.505681026827305e+18,2022-03-20 23:01:45+00:00,['1505681026827304966'],@DrHannahBB Have been trying to get some for a week…:,trying get week,False
1.5012705870119608e+18,2022-03-08 18:56:14+00:00,['1501270587011960834'],@Medic_Russell Seems to be working here!!,seems working,False
1.498603337264083e+18,2022-03-01 10:17:32+00:00,['1498603337264082944'],@BCWRkittens Yay well done Muffin! 🐾,yay well done muffin,False
1.4976075763384484e+18,2022-02-26 16:20:45+00:00,['1497607576338448387'],@ShivaniM_KC Makes me feel extra reassured about not renewing my membership.,make feel extra reassured renewing membership,False
1.4934634815505203e+18,2022-02-15 05:53:35+00:00,['1493463481550520321'],@RRajakariar @RoshanaMN @SevdaHassan @NHSBartsHealth So sorry.,sorry,False
1.4929721739123302e+18,2022-02-13 21:21:18+00:00,['1492972173912330240'],@morefluids Happy birthday from Pumpkin! https://t.co/geFzUFBf7h,happy birthday pumpkin,False
1.4915472231879393e+18,2022-02-09 22:59:04+00:00,['1491547223187939332'],@franferner71 Can’t watch. The ptsd is real!,cant watch ptsd real,False
1.490398165769638e+18,2022-02-06 18:53:07+00:00,['1490398165769637896'],@dannyjnwong Oh no. Not again!!,oh,False
1.4902571117287588e+18,2022-02-06 09:32:37+00:00,['1490257111728758784'],@SteelCity_ENT Didn’t read it. But thanks - we all need to stick together these days. Enjoyed your vertigo thread the other day too.,didnt read thanks need stick together day enjoyed vertigo thread day,False
1.490118880605479e+18,2022-02-06 00:23:20+00:00,['1490118880605478916'],@drphiliplee1 Tragic.,tragic,False
1.4835710564682383e+18,2022-01-18 22:44:37+00:00,['1483571056468238336'],The new Deputy Editor of @TheSun had attended one of the Govt's lockdown parties. Why didn't the press expose them sooner? Add your name to calls for an investigation into the relationships between the press and politicians here: https://t.co/oq0kYydFk4,new deputy editor attended one govt's lockdown party press expose sooner add name call investigation relationship press politician,False
1.4809804236647055e+18,2022-01-11 19:10:22+00:00,['1480980423664705540'],"@bunkerline @doctorrah @helenvecht @EmergMedDr Milk, eggs etc",milk egg etc,False
1.4806930687602442e+18,2022-01-11 00:08:32+00:00,['1480693068760244225'],@Medic_Russell Reported. Awful. Sorry you got this.,reported awful sorry got,False
