Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,created_at,edit_history_tweet_ids,text,withheld,clean_text,non_english
108,108,108,1.5626996148848886e+18,2022-08-25 07:13:16+00:00,['1562699614884888576'],"@Sseeji @natyliesb Yes, clueless and dangerous 🤮 https://t.co/ENmJhbSd4i",,  yes clueless and dangerous  ,False
147,147,147,1.5616585113056215e+18,2022-08-22 10:16:17+00:00,['1561658511305621505'],https://t.co/OIdDp1IaDV,,,False
178,178,178,1.5606786708338565e+18,2022-08-19 17:22:45+00:00,['1560678670833856512'],@Shambles151 @RnaudBertrand @qwerkyname I've noticed the same and have had the same car 10 years 👍,,   i've noticed the same and have had the same car  years ,False
213,213,213,1.559095873744896e+18,2022-08-15 08:33:17+00:00,['1559095873744896001'],@0Calamity Qwhite.,, qwhite,False
232,232,232,1.5588844733826007e+18,2022-08-14 18:33:15+00:00,['1558884473382600706'],"@JohnWight1 Cannot argue with your point but it doesn't remove the observation that the nature of the EU has become an undemocratic, unaccountable, neoliberal club chiefly run for the benefit of German, and to a lesser degree French capital over the last 3 or so decades.",, cannot argue with your point but it doesn't remove the observation that the nature of the eu has become an undemocratic unaccountable neoliberal club chiefly run for the benefit of german and to a lesser degree french capital over the last  or so decades,False
539,539,539,1.5507542535259832e+18,2022-07-23 08:06:40+00:00,['1550754253525983234'],"@andymok You forgot the grey filter, Andy 😉",, you forgot the grey filter andy ,False
559,559,559,1.5496694024460042e+18,2022-07-20 08:15:51+00:00,['1549669402446004225'],https://t.co/AgZ61UmftC,,,False
1057,1057,1057,1.5322781795026412e+18,2022-06-02 08:29:21+00:00,['1532278179502641153'],@apocalypseos's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,,'s account is temporarily unavailable because it violates the twitter media policy learn more,False
1058,1058,1058,1.5322781092732027e+18,2022-06-02 08:29:04+00:00,['1532278109273202688'],@apocalypseos's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,,'s account is temporarily unavailable because it violates the twitter media policy learn more,False
1059,1059,1059,1.5322780143142666e+18,2022-06-02 08:28:41+00:00,['1532278014314266625'],@apocalypseos's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,,'s account is temporarily unavailable because it violates the twitter media policy learn more,False
1071,1071,1071,1.5308398333583073e+18,2022-05-29 09:13:52+00:00,['1530839833358307330'],"@HeldinEU Yes, as seen in Berliner Weisse 😘 Green beer - great for St Patrick's Day celebrations!",, yes as seen in berliner weisse  green beer  great for st patrick's day celebrations,False
1072,1072,1072,1.5308390269279068e+18,2022-05-29 09:10:40+00:00,['1530839026927906816'],@Tim_McNulty @bethanyusher Yes! The opposite of shrinkflation!,,  yes the opposite of shrinkflation,False
1175,1175,1175,1.5275543135554191e+18,2022-05-20 07:38:23+00:00,['1527554313555419136'],@macastel3 You seem to be something of a clown.,, you seem to be something of a clown,False
1179,1179,1179,1.5273418628638351e+18,2022-05-19 17:34:11+00:00,['1527341862863835136'],@HeldinEU First set says 2014 and the other set I think 1983 or so.,, first set says  and the other set i think  or so,False
1180,1180,1180,1.527205130688516e+18,2022-05-19 08:30:51+00:00,['1527205130688516096'],@HeldinEU Here you are. Hope this helps 😉 https://t.co/NNYn6sqxB7,, here you are hope this helps  ,False
1184,1184,1184,1.5271986903387996e+18,2022-05-19 08:05:16+00:00,['1527198690338799616'],@CarlZha A belly is a very advantageous aerodynamic/  flotation device 👍,, a belly is a very advantageous aerodynamic  flotation device ,False
1206,1206,1206,1.5266786448689316e+18,2022-05-17 21:38:47+00:00,['1526678644868931588'],@agent_of_change Indeed https://t.co/4lND1TRJmA,, indeed ,False
1342,1342,1342,1.5245385497643008e+18,2022-05-11 23:54:49+00:00,['1524538549764300802'],"@NickCooperative @2011arvyk Yes, I seem to remember that he tripped over onto something sharp and died during some clashes consequent to his poor culinary and household management skills.",,  yes i seem to remember that he tripped over onto something sharp and died during some clashes consequent to his poor culinary and household management skills,False
1412,1412,1412,1.523958817305809e+18,2022-05-10 09:31:10+00:00,['1523958817305808899'],@NickCooperative @mxkes_ @LouiseRawAuthor Beat me to it 😂,,   beat me to it ,False
1508,1508,1508,1.5230640289643028e+18,2022-05-07 22:15:36+00:00,['1523064028964302849'],"@EmzTheSocialist @Eesy20 @jeremycorbyn Congrats and well done on being elected, Emz! 👏👏👏",,   congrats and well done on being elected emz ,False
1660,1660,1660,1.516633724833702e+18,2022-04-20 04:23:52+00:00,['1516633724833701890'],@RonPlacone Qwhite.,, qwhite,False
1684,1684,1684,1.5161767634407995e+18,2022-04-18 22:08:04+00:00,['1516176763440799744'],@2011arvyk Nope 🤷🏻‍♂️,, nope ,False
1794,1794,1794,1.514548649589719e+18,2022-04-14 10:18:31+00:00,['1514548649589719044'],"@helenmallam @greg_herriett @si_rubinstein 21 year old ""historian"". More like 21 year old dope.
You're out with the trash, sonny.",,"    year old historian more like  year old dope
you're out with the trash sonny",False
1798,1798,1798,1.5145293863887585e+18,2022-04-14 09:01:58+00:00,['1514529386388758535'],"@nevervotedtory1 651 deaths within 28 days yesterday. 

We are told: ""Covid is over. Back to normal.""

Is it???🤬",,"  deaths within  days yesterday 

we are told covid is over back to normal

is it",False
1800,1800,1800,1.5145282597064294e+18,2022-04-14 08:57:30+00:00,['1514528259706429441'],"651 new UK COVID deaths announced yesterday.
Does anybody in authority care? Media??? https://t.co/RZuKv7LZuG",," new uk covid deaths announced yesterday
does anybody in authority care media ",False
1973,1973,1973,1.5132649064847892e+18,2022-04-10 21:17:23+00:00,['1513264906484789257'],@MichaelEast1983 Accurate and succinct 👍,, accurate and succinct ,False
2003,2003,2003,1.5130836884430725e+18,2022-04-10 09:17:17+00:00,['1513083688443072513'],@darrion_nguyen Looks beautiful 😍,, looks beautiful ,False
2007,2007,2007,1.5130692662868828e+18,2022-04-10 08:19:59+00:00,['1513069266286882818'],@moinaksg He really hates microphones 😳,, he really hates microphones ,False
2066,2066,2066,1.512542924562645e+18,2022-04-08 21:28:29+00:00,['1512542924562644993'],@edwardpoole1975 @Clintonscott10 A valid position 👍,,  a valid position ,False
2067,2067,2067,1.5125426584257208e+18,2022-04-08 21:27:26+00:00,['1512542658425720833'],"@MerryMichaelW @Clintonscott10 Indeed. My finger has hovered on a number of occasions, but the comedic value of the fountain desecrator outweighs the impulse to block 😂",,  indeed my finger has hovered on a number of occasions but the comedic value of the fountain desecrator outweighs the impulse to block ,False
2086,2086,2086,1.5125345133221847e+18,2022-04-08 20:55:04+00:00,['1512534513322184704'],"347 Covid deaths reported today in UK. ""Back to normal"" 🤔 https://t.co/IP0nGdoapI",, covid deaths reported today in uk back to normal  ,False
2117,2117,2117,1.5121685136660111e+18,2022-04-07 20:40:43+00:00,['1512168513666011142'],"@2011arvyk Hottest show in Athens, I hear. All the rage, apparently.",, hottest show in athens i hear all the rage apparently,False
2176,2176,2176,1.5119665683009167e+18,2022-04-07 07:18:15+00:00,['1511966568300916736'],@danielgoyal States who don't care about the public tend to do badly during public health crises. 👍,, states who don't care about the public tend to do badly during public health crises ,False
