,Unnamed: 0,id,created_at,edit_history_tweet_ids,text,withheld
0,0,1.5645847601099284e+18,2022-08-30 12:04:10+00:00,['1564584760109928451'],,
1,1,1.564224187622908e+18,2022-08-29 12:11:22+00:00,['1564224187622907905'],,
2,2,1.5642241042150236e+18,2022-08-29 12:11:02+00:00,['1564224104215023616'],,
3,3,1.5642239085549855e+18,2022-08-29 12:10:16+00:00,['1564223908554985475'],,
4,4,1.5642230893737574e+18,2022-08-29 12:07:01+00:00,['1564223089373757441'],"@allyc375 So sorry to hear about this.  Incredible inability for our state to keep you safe.
Although it is not your direct domestic unit it is in the wider sense and wonder if @RefugeCharity can help you on how to stop this?
It sounds to me that you would need police protection.",
5,5,1.5641793675503944e+18,2022-08-29 09:13:16+00:00,['1564179367550394371'],,
6,6,1.564179040071811e+18,2022-08-29 09:11:58+00:00,['1564179040071811073'],"@spunkyfuzzguts @Syrupie @Jkbmedic I guess that can be true too. It depends on your ability to see individuals as such.
Generalisation is something that some people always have, and if you are curious you will look at the individual and treat them as such.",
7,7,1.5641779544559206e+18,2022-08-29 09:07:40+00:00,['1564177954455920640'],"@BMA_Consultants I would be happy with the government pay offer if it was just.
Just, that those who struggle would be helped more and those who earn a lot including companies would have to pay back more.
With this government this is not the case and poor people are left poorer and rich get more.",
8,8,1.5641767605513912e+18,2022-08-29 09:02:55+00:00,['1564176760551391233'],,
9,9,1.5635468288426353e+18,2022-08-27 15:19:47+00:00,['1563546828842635264'],"@tbugembe @Jkbmedic Removing fibroids requires the skills to surgical skill to remove them, that’s it.
To manage a many medical condition requires the individual and their circumstances to be able to improve it.
It’s similar with the diagnostics and diagnosis.",
10,10,1.5634711823553823e+18,2022-08-27 10:19:12+00:00,['1563471182355382274'],"@furbabygirl Wonderful you survived, unfortunately all those who did not cannot tell their story.
Many did not survive in those days.",
11,11,1.5634687536097976e+18,2022-08-27 10:09:33+00:00,['1563468753609797634'],"@naomicfisher @CommonSenseSLT You can also say the same for fathers, their voices are not heard either.
This even applies to parent governors when they try to speak up for those children and don’t fit the headteacher’s views.",
12,12,1.5634680304239985e+18,2022-08-27 10:06:40+00:00,['1563468030423998466'],,
13,13,1.5634678303640863e+18,2022-08-27 10:05:53+00:00,['1563467830364086278'],"@Syrupie @Jkbmedic You understand a lot more if you have lived experience. This might be children or having gone through an illness. It still does not teach you everything, but it enriches you and how you are able to treat others.",
14,14,1.5634673835994317e+18,2022-08-27 10:04:06+00:00,['1563467383599431680'],"@tbugembe @Jkbmedic Is there a difference between surgical and medical management?
Surgical ability is a skill, medicine an art?",
15,15,1.5634665850626458e+18,2022-08-27 10:00:56+00:00,['1563466585062645761'],"@Jkbmedic You are very right.
In addition as a parent with two very different neurodiverse children I have learned so much more about many things that I will never reject a parents saying that I don‘t understand. Because I can’t, instead I will listen to them and learn.",
16,16,1.563465265517437e+18,2022-08-27 09:55:41+00:00,['1563465265517436928'],,
17,17,1.563465138883408e+18,2022-08-27 09:55:11+00:00,['1563465138883407872'],,
18,18,1.5634592919691264e+18,2022-08-27 09:31:57+00:00,['1563459291969126400'],"I am sad to notice that @nuggetsdrooling has blocked me as I dared to comment on the harm humans can cause to animals by breeding and making them overweight and therefore effecting their well-being.

https://t.co/DAVQhrP5fz  -
https://t.co/drKrmgypX5 -

https://t.co/Qn7dEEqHjP",
19,19,1.5634391888961495e+18,2022-08-27 08:12:04+00:00,['1563439188896149504'],,
20,20,1.5634390432702874e+18,2022-08-27 08:11:29+00:00,['1563439043270287363'],,
21,21,1.563438462212006e+18,2022-08-27 08:09:11+00:00,['1563438462212005888'],,
22,22,1.5634378670238925e+18,2022-08-27 08:06:49+00:00,['1563437867023892482'],"@nuggetsdrooling This video makes me very sad. Not only is Nugget one of those brachycephalic dogs bred by humans creating many health issues, nugget is also fed auch that he is severely overweight increasing his problems and risks for a shorter life.
Why do we human‘s do this to animals?",
23,23,1.5634366089507758e+18,2022-08-27 08:01:49+00:00,['1563436608950775808'],,
24,24,1.563161076975317e+18,2022-08-26 13:46:57+00:00,['1563161076975316993'],"Our beach in North Cornwall at 10.30 am this morning.
I was devastated that there were other people there, makes it so crowded. https://t.co/DtktIWPuWQ",
25,25,1.5631062357881856e+18,2022-08-26 10:09:02+00:00,['1563106235788185600'],,
26,26,1.563105801933185e+18,2022-08-26 10:07:18+00:00,['1563105801933185025'],,
27,27,1.5631000163228918e+18,2022-08-26 09:44:19+00:00,['1563100016322891777'],,
28,28,1.563099510070739e+18,2022-08-26 09:42:18+00:00,['1563099510070738944'],,
29,29,1.5630993991477576e+18,2022-08-26 09:41:52+00:00,['1563099399147757568'],,
30,30,1.563098839405691e+18,2022-08-26 09:39:38+00:00,['1563098839405690886'],,
31,31,1.563088989497598e+18,2022-08-26 09:00:30+00:00,['1563088989497597953'],,
32,32,1.5630889599617147e+18,2022-08-26 09:00:23+00:00,['1563088959961714688'],,
33,33,1.5630889423833825e+18,2022-08-26 09:00:19+00:00,['1563088942383382529'],,
34,34,1.5630889234960507e+18,2022-08-26 09:00:14+00:00,['1563088923496050688'],,
35,35,1.5630889064885412e+18,2022-08-26 09:00:10+00:00,['1563088906488541185'],,
36,36,1.5630888897067172e+18,2022-08-26 09:00:06+00:00,['1563088889706717184'],,
37,37,1.563088875156779e+18,2022-08-26 09:00:03+00:00,['1563088875156779008'],,
38,38,1.5630888613829837e+18,2022-08-26 08:59:59+00:00,['1563088861382983680'],,
39,39,1.5630881017899295e+18,2022-08-26 08:56:58+00:00,['1563088101789929473'],,
40,40,1.5630879229955277e+18,2022-08-26 08:56:16+00:00,['1563087922995527681'],,
41,41,1.5630877823979397e+18,2022-08-26 08:55:42+00:00,['1563087782397939712'],,
42,42,1.563087727708422e+18,2022-08-26 08:55:29+00:00,['1563087727708422144'],,
43,43,1.563087593801392e+18,2022-08-26 08:54:57+00:00,['1563087593801392128'],"@CPMumma79 I am so sorry to hear this, as if life is not already tough enough.
Where has our kindness gone supporting those in need?",
