,Unnamed: 0,id,created_at,edit_history_tweet_ids,text
0,0,1.5645151366558351e+18,2022-08-30 07:27:30+00:00,['1564515136655835136'],
1,1,1.5635784940971622e+18,2022-08-27 17:25:37+00:00,['1563578494097162242'],
2,2,1.562076364697903e+18,2022-08-23 13:56:41+00:00,['1562076364697903111'],
3,3,1.561623202832724e+18,2022-08-22 07:55:59+00:00,['1561623202832723968'],
4,4,1.5616217278260347e+18,2022-08-22 07:50:08+00:00,['1561621727826034688'],
5,5,1.5616209197388472e+18,2022-08-22 07:46:55+00:00,['1561620919738847234'],
6,6,1.5616205447009567e+18,2022-08-22 07:45:26+00:00,['1561620544700956672'],
7,7,1.5611899909772165e+18,2022-08-21 03:14:34+00:00,['1561189990977216519'],
8,8,1.5595938625320755e+18,2022-08-16 17:32:07+00:00,['1559593862532075520'],
9,9,1.5591407325139515e+18,2022-08-15 11:31:32+00:00,['1559140732513951745'],
10,10,1.55852376508391e+18,2022-08-13 18:39:56+00:00,['1558523765083910144'],
11,11,1.5585237417091195e+18,2022-08-13 18:39:50+00:00,['1558523741709119488'],
12,12,1.5585233342323794e+18,2022-08-13 18:38:13+00:00,['1558523334232379392'],
13,13,1.5585232869667717e+18,2022-08-13 18:38:02+00:00,['1558523286966771712'],
14,14,1.5578745599737403e+18,2022-08-11 23:40:13+00:00,['1557874559973740545'],
15,15,1.5578744724721582e+18,2022-08-11 23:39:52+00:00,['1557874472472158208'],
16,16,1.5578743655090422e+18,2022-08-11 23:39:27+00:00,['1557874365509042178'],
17,17,1.5578742938241802e+18,2022-08-11 23:39:10+00:00,['1557874293824180224'],
18,18,1.557874293618647e+18,2022-08-11 23:39:10+00:00,['1557874293618647040'],
19,19,1.55787395515929e+18,2022-08-11 23:37:49+00:00,['1557873955159289856'],
20,20,1.5566998650270024e+18,2022-08-08 17:52:24+00:00,['1556699865027002369'],
21,21,1.55669985523746e+18,2022-08-08 17:52:22+00:00,['1556699855237459969'],
22,22,1.5566998421554504e+18,2022-08-08 17:52:19+00:00,['1556699842155450374'],
23,23,1.556699829329281e+18,2022-08-08 17:52:16+00:00,['1556699829329281025'],
24,24,1.5566998129882604e+18,2022-08-08 17:52:12+00:00,['1556699812988260353'],
25,25,1.5566998021375713e+18,2022-08-08 17:52:09+00:00,['1556699802137571328'],
26,26,1.5566997863417856e+18,2022-08-08 17:52:05+00:00,['1556699786341785601'],
27,27,1.556699772228014e+18,2022-08-08 17:52:02+00:00,['1556699772228014080'],
28,28,1.5566997601357947e+18,2022-08-08 17:51:59+00:00,['1556699760135794689'],
29,29,1.55669974474274e+18,2022-08-08 17:51:55+00:00,['1556699744742739968'],
30,30,1.5566997208310129e+18,2022-08-08 17:51:50+00:00,['1556699720831012864'],
31,31,1.5566997064445665e+18,2022-08-08 17:51:46+00:00,['1556699706444566528'],
32,32,1.556699693811241e+18,2022-08-08 17:51:43+00:00,['1556699693811240960'],
33,33,1.556699678455894e+18,2022-08-08 17:51:40+00:00,['1556699678455894021'],
34,34,1.556699662047801e+18,2022-08-08 17:51:36+00:00,['1556699662047801344'],
35,35,1.5566996345793044e+18,2022-08-08 17:51:29+00:00,['1556699634579304448'],
36,36,1.556699618057937e+18,2022-08-08 17:51:25+00:00,['1556699618057936898'],
37,37,1.5566996065907098e+18,2022-08-08 17:51:22+00:00,['1556699606590709760'],
38,38,1.556696998773805e+18,2022-08-08 17:41:01+00:00,['1556696998773805056'],
39,39,1.556686436589777e+18,2022-08-08 16:59:02+00:00,['1556686436589776896'],
40,40,1.5566863143174144e+18,2022-08-08 16:58:33+00:00,['1556686314317414404'],
41,41,1.5566862957828014e+18,2022-08-08 16:58:29+00:00,['1556686295782801408'],
42,42,1.5566862269752566e+18,2022-08-08 16:58:12+00:00,['1556686226975256576'],
43,43,1.556686200928637e+18,2022-08-08 16:58:06+00:00,['1556686200928636928'],
44,44,1.5566861702976184e+18,2022-08-08 16:57:59+00:00,['1556686170297618432'],
45,45,1.5566859748472586e+18,2022-08-08 16:57:12+00:00,['1556685974847258626'],
46,46,1.5566857604050657e+18,2022-08-08 16:56:21+00:00,['1556685760405065728'],
47,47,1.5558150785821573e+18,2022-08-06 07:16:35+00:00,['1555815078582157312'],
