Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,created_at,edit_history_tweet_ids,text,clean_text,non_english,whitespace
0,0,0,1.5651088141726392e+18,2022-08-31 22:46:34+00:00,['1565108814172639234'],@JasmineBhangra 🙄🙄🙄 what did you think the reason was?,  what did you think the reason was,True,False
1,1,1,1.5651086831467766e+18,2022-08-31 22:46:03+00:00,['1565108683146776583'],@zachary_tait @AllisonPearson I love you and miss you,  i love you and miss you,True,False
2,2,2,1.5650001283809976e+18,2022-08-31 15:34:41+00:00,['1565000128380997632'],@jmccullough662 @hev579 @AllisonPearson NHS Trusts receive the money for training students on clinical attachment from the medical schools themselves. Taxpayer money is used to primarily fund health services.,   nhs trusts receive the money for training students on clinical attachment from the medical schools themselves taxpayer money is used to primarily fund health services,True,False
3,3,3,1.5649623976344005e+18,2022-08-31 13:04:45+00:00,['1564962397634400256'],@hev579 Ah that’s really kind of you to say - I just didn’t want any misinformation to be propagated - thank you!, ah that’s really kind of you to say  i just didn’t want any misinformation to be propagated  thank you,True,False
4,4,4,1.5649443014356214e+18,2022-08-31 11:52:51+00:00,['1564944301435621376'],"@hev579 @jmccullough662 @AllisonPearson to clarify: medical school in the UK is funded like most uni degrees - by the student (either directly or via student finance). My tuition fees were £9000/y for 6y. I’ve worked the last 2y in the UK and plan to have a U.K.-based career, but many don’t due how they’re treated here",   to clarify medical school in the uk is funded like most uni degrees  by the student either directly or via student finance my tuition fees were £9000y for 6y i’ve worked the last 2y in the uk and plan to have a ukbased career but many don’t due how they’re treated here,True,False
5,5,5,1.5649005103893873e+18,2022-08-31 08:58:50+00:00,['1564900510389387264'],@_lisim1 I’m in good company then!, i’m in good company then,True,False
6,6,6,1.5648925668265042e+18,2022-08-31 08:27:16+00:00,['1564892566826504194'],@TREENUFC @AllisonPearson No worries! ☺️,  no worries ,True,False
7,7,7,1.5648924752396616e+18,2022-08-31 08:26:55+00:00,['1564892475239661568'],Gonna go back to my beach-related content now because it took me embarrassingly long to tear myself away from this view last night 💘 https://t.co/pEzdkUmRxd,gonna go back to my beachrelated content now because it took me embarrassingly long to tear myself away from this view last night  ,True,False
8,8,8,1.5648910506948116e+18,2022-08-31 08:21:15+00:00,['1564891050694811648'],@TREENUFC @AllisonPearson Read the thread… this was a response to her racist remarks,  read the thread… this was a response to her racist remarks,True,False
9,9,9,1.564887627857363e+18,2022-08-31 08:07:39+00:00,['1564887627857362945'],"and just to round this up, unsurprisingly, I didn’t receive a response from her and was blocked (like many others who have questioned her comments) ✌🏽 badge of honour https://t.co/1kb1Ibool8",and just to round this up unsurprisingly i didn’t receive a response from her and was blocked like many others who have questioned her comments  badge of honour ,True,False
10,10,10,1.5648872042703258e+18,2022-08-31 08:05:58+00:00,['1564887204270325767'],@minoritisedNHS @AllisonPearson Yep ☺️,  yep ,True,False
11,11,11,1.5648864474585006e+18,2022-08-31 08:02:57+00:00,['1564886447458500609'],"Allison’s xenophobic comments and (incorrect) sweeping generalisations speak for themselves. 
Free speech is one thing, but we need to consider *who* we are listening to/ who informs our opinions - does she have the knowledge &amp; expertise to discuss this matter in the first place?","allison’s xenophobic comments and incorrect sweeping generalisations speak for themselves 
free speech is one thing but we need to consider who we are listening to who informs our opinions  does she have the knowledge amp expertise to discuss this matter in the first place",True,False
12,12,12,1.564885728915587e+18,2022-08-31 08:00:06+00:00,['1564885728915587073'],"My points were:
-You can’t tell if someone is British from a photo (Just FYI, my nationality is British - my parents are British nationals and I was born in Hastings ✌🏽, my ethnicity is Indian)
-Does it matter if I’m British or not? (it doesn’t)","my points were
you can’t tell if someone is british from a photo just fyi my nationality is british  my parents are british nationals and i was born in hastings  my ethnicity is indian
does it matter if i’m british or not it doesn’t",True,False
13,13,13,1.5648838965290312e+18,2022-08-31 07:52:49+00:00,['1564883896529031171'],"Definitely wasn’t expecting this tweet to blow up - AP’s comments just made me ragy.  
Thanks for all the lovely messages! I graduated online in 2020 and so have been working for the last two years - this was our delayed ceremony this summer.","definitely wasn’t expecting this tweet to blow up  ap’s comments just made me ragy  
thanks for all the lovely messages i graduated online in 2020 and so have been working for the last two years  this was our delayed ceremony this summer",True,False
14,14,14,1.564384358076752e+18,2022-08-29 22:47:50+00:00,['1564384358076751873'],"Hi @AllisonPearson, my cohort had a delayed medical school graduation this year. Just dropping you my grad photo so you can tell me if I’m British or not? x https://t.co/9AnGlBzWhm",hi  my cohort had a delayed medical school graduation this year just dropping you my grad photo so you can tell me if i’m british or not x ,True,False
15,15,15,1.5643431237859574e+18,2022-08-29 20:03:59+00:00,['1564343123785957385'],Interrupting your doomscroll to say that Tuscany is beautiful and I am loving my F3 year so far aH https://t.co/MYiKZUczxU,interrupting your doomscroll to say that tuscany is beautiful and i am loving my f3 year so far ah ,True,False
