,id,created_at,edit_history_tweet_ids,text
0,1.319028514054615e+18,2020-10-21 21:31:18+00:00,['1319028514054615041'],"RT @UN: The number of people who suffer from hunger is increasing &amp; #COVID19 could push many more into extreme hunger.

As the UN turns 75,…"
1,1.3189376966943785e+18,2020-10-21 15:30:26+00:00,['1318937696694378502'],@UN What about the war crimes going on in Nigeria
2,1.2704946660944937e+18,2020-06-09 23:15:07+00:00,['1270494666094493696'],"RT @Fmohnigeria: The #COVID19 pandemic has disrupted our lives. 

 #TakeResponsibility &amp; engage in healthy activities. Adhere to #COVID19 p…"
3,1.2704945921824236e+18,2020-06-09 23:14:50+00:00,['1270494592182423553'],RT @cnni: US congressional Democrats are being criticized over the stoles made of Kente cloth — a traditional African textile — they wore d…
4,1.2704944207403008e+18,2020-06-09 23:14:09+00:00,['1270494420740300808'],RT @NCDCgov: We are proud to announce the full deployment of Surveillance Outbreak Response Management &amp; Analysis System (SORMAS) digital t…
5,1.2704943284361994e+18,2020-06-09 23:13:47+00:00,['1270494328436199425'],"RT @cnnbrk: The Navy's top admiral has directed the drafting of an order that would prohibit displays of the Confederate battle flag, a mov…"
6,1.2704943101113385e+18,2020-06-09 23:13:42+00:00,['1270494310111338497'],"RT @nighealthwatch: #Nigeria recorded its first confirmed case of #COVID19 in February 2020, and since then the country has been recording…"
7,1.270494301982777e+18,2020-06-09 23:13:40+00:00,['1270494301982777347'],"RT @GHS: Racism is a global health issue.

Racism is a global health issue.

Racism is a global health issue.

Racism is a global health is…"
8,1.2704942365600315e+18,2020-06-09 23:13:25+00:00,['1270494236560031747'],"RT @StopTB: ""There is a lot of amazing work being done in #Pakistan to#endTB. We will never meet the UN TB targets if we don’t  have Pak at…"
9,1.2704942175472558e+18,2020-06-09 23:13:20+00:00,['1270494217547255809'],RT @lindaikeji: 34-year-old mum-of-13 welcomes quadruplets in Kaduna https://t.co/JQTen2gIfC https://t.co/aHyTvguXoU
10,1.2704941989077115e+18,2020-06-09 23:13:16+00:00,['1270494198907711490'],RT @ESPNFC: That's one way to celebrate a goal 😂 https://t.co/971SObRz07
11,1.2704940271132058e+18,2020-06-09 23:12:35+00:00,['1270494027113205761'],RT @TIME: Is New York City making a huge mistake by reopening right now? https://t.co/TFKxPVsEhJ
12,1.2704939858118943e+18,2020-06-09 23:12:25+00:00,['1270493985811894274'],"RT @AnneScottlin: ❦Pain—that undesired companion, that indisputable evidence of living—gives us an opportunity to practice patience in its…"
13,1.2704938826362634e+18,2020-06-09 23:12:00+00:00,['1270493882636263429'],"RT @NHSEngland: This #CarersWeek, we’d like to thank the thousands of carers who are working across the NHS. In recent months, we know many…"
14,1.270493830660358e+18,2020-06-09 23:11:48+00:00,['1270493830660358148'],RT @CDCgov: The latest CDC #COVIDView report shows that the proportion of death certificates coded as being related to #COVID19 decreased f…
15,1.270493746778583e+18,2020-06-09 23:11:28+00:00,['1270493746778583040'],"RT @AnneScottlin: ❦In all decisions caution and wisdom must find the perfect balance.
~Anne Scottlin
#goals #balance #life #pic #anon #fear…"
16,1.270493681045381e+18,2020-06-09 23:11:12+00:00,['1270493681045381121'],"RT @cnni: Drone footage shows the largest remaining breeding ground for green turtles in the world. 

The video revealed up to 64,000 turtl…"
17,1.2704936455658414e+18,2020-06-09 23:11:04+00:00,['1270493645565841421'],RT @lindaikeji: George Floyd to be laid next to his mom as his final funeral service in Houston begins (photos) https://t.co/qn7F8TgoUB htt…
18,1.2704936101281505e+18,2020-06-09 23:10:55+00:00,['1270493610128150528'],"RT @nytimes: The 75-year-old protester shoved to the ground last week by Buffalo police, is not, as President Trump falsely tweeted on Tues…"
19,1.270493502539993e+18,2020-06-09 23:10:30+00:00,['1270493502539993096'],RT @people: Anderson Cooper Opens Up About Being a Dad to Baby Wyatt: ‘This Is a New Level of Love’ https://t.co/bDoCMcDInt
20,1.270493290333442e+18,2020-06-09 23:09:39+00:00,['1270493290333442048'],"RT @TIME: The Senate unanimously confirmed Gen. Charles Brown Jr. as chief of staff of the U.S. Air Force, making him the first black offic…"
21,1.270493253532615e+18,2020-06-09 23:09:30+00:00,['1270493253532614657'],"RT @CNN: Drone footage shows the largest remaining breeding ground for green turtles in the world. The video revealed up to 64,000 turtles…"
22,1.2704931751829586e+18,2020-06-09 23:09:12+00:00,['1270493175182958595'],"RT @nytimes: This drone footage shows a long line of voters waiting to cast ballots in Atlanta on Tuesday. Georgia election officials, poll…"
