id,created_at,edit_history_tweet_ids,text,clean_text,non_english
1.565103188285481e+18,2022-08-31 22:24:12+00:00,['1565103188285480962'],"@BraveBosom @ValRobinson8 @cvonraesfeld @TheLizArmy @itsnot_pink @kidneywarrior @mike_mitt Thanks so much! Happy to share, this was based upon the experience of @digg changing on its community, against its wishes. I hacked better language and writing to draft it.  

Thanks also to @AmyVernon @ncomment for making the original version possible 🙂🙏",thanks much happy share wa based upon experience changing community wish hacked better language writing draft thanks also making original version possible,False
1.5650957505974313e+18,2022-08-31 21:54:39+00:00,['1565095750597431296'],"Digital Bill of Rights 0.4
https://t.co/x1WIqPCjsC",digital bill right,False
1.565095586201682e+18,2022-08-31 21:54:00+00:00,['1565095586201681921'],"Declaration of a Connected Society 0.3
https://t.co/SprJUlldIM
#digitalrights #hscm 
@BraveBosom",declaration connected society,False
1.564749021553607e+18,2022-08-30 22:56:53+00:00,['1564749021553606656'],"@fumikochino @bvbal79 @BouthainaDabaja @ILROGTeam @ASCO @ESTRO_RT @JamesBatesMD Many community hospitals don't charge for parking, but time off work and from home responsibilities still can be significant.",many community hospital charge parking time work home responsibility still significant,False
1.564684996337705e+18,2022-08-30 18:42:28+00:00,['1564684996337704960'],"@fumikochino @BouthainaDabaja @ILROGTeam @ASCO @ESTRO_RT @JamesBatesMD I discuss the differences in local control and toxicity. Depending upon health concerns, other issues, most of my patients favored less treatment toxicity especially because we can retreat if needed.",discus difference local control toxicity depending upon health concern issue patient favored le treatment toxicity especially retreat needed,False
1.56460923311881e+18,2022-08-30 13:41:24+00:00,['1564609233118810115'],@oncology_bg @drlw2309 @NEJM @AstraZeneca Thanks for sharing! I look forward to reading it.,thanks sharing look forward reading,False
1.564583750536659e+18,2022-08-30 12:00:09+00:00,['1564583750536658944'],"@drlw2309 @NEJM @AstraZeneca Interesting. I don’t understand how this occurs. Has it influenced clinical practice, is this trial the basis for NCCN recommendation?
@oncology_bg thoughts? https://t.co/qcaBFVwQfp",interesting dont understand occurs ha influenced clinical practice trial basis nccn recommendation thought,False
1.564556886040519e+18,2022-08-30 10:13:24+00:00,['1564556886040518658'],@EricTopol @OurWorldInData Averaging 450+ deaths/day = 165K+ deaths annually. More than lung cancer. This is an acceptable status quo? Not to mention the negative lingering effects of #LongCovid,averaging deathsday k death annually lung cancer acceptable status quo mention negative lingering effect,False
1.5645559321467535e+18,2022-08-30 10:09:36+00:00,['1564555932146753537'],@drlw2309 @NEJM @AstraZeneca Do you have a link to the full article? That's ridiculous.,link full article that's ridiculous,False
1.5642976537347604e+18,2022-08-29 17:03:18+00:00,['1564297653734760449'],"Kudos to the medical staff lounge for stocking limited edition Choco Tacos.

Having tried one, I can see why it is being discontinued https://t.co/PtETPiV7MI",kudos medical staff lounge stocking limited edition choco taco tried one see discontinued,False
1.56427841142571e+18,2022-08-29 15:46:50+00:00,['1564278411425710082'],"Fall Vaccination Campaign Will Bring New Shots, Worse Access via @nytimes  https://t.co/ChzlokU9bG",fall vaccination campaign bring new shot worse access via,False
1.5638948126668964e+18,2022-08-28 14:22:33+00:00,['1563894812666896384'],No takers? No problem. I can write up as a blog post then.,taker problem write blog post,False
1.5636553344970588e+18,2022-08-27 22:30:57+00:00,['1563655334497058816'],"@tmprowell @TsengJennifer @ETSshow @UCLA @GOP @scalzi @MDaware @Stanford @BardCollege History major. Good to be fuzzy rather than techie, it has served me well.",history major good fuzzy rather techie ha served well,False
1.563492202398896e+18,2022-08-27 11:42:43+00:00,['1563492202398896128'],@ePatientDave @mtmdphd @achoud72 @reshmajagsi @ShuklaUtkarshMD Thanks so much everyone for the RTs/QTs and sharing. Have a great weekend!,thanks much everyone rtsqts sharing great weekend,False
1.5634908638333133e+18,2022-08-27 11:37:24+00:00,['1563490863833313280'],"@MichaelTMilano @ASTRO_org @WilmotCancer Congratulations, Mike! Well deserved 🙂🎉",congratulation mike well deserved,False
1.5629429336909128e+18,2022-08-25 23:20:08+00:00,['1562942933690912769'],"@ETSshow @bananaP08 @fumikochino @DrMalikaSiker Preparing for simulation is another story, but also dependent upon acuity &amp; need for complex planning. I range from no imaging (superficial/ortho) to everything must be ready/coordinated (stereotactic). 3/",preparing simulation another story also dependent upon acuity amp need complex planning range imaging superficialortho everything must readycoordinated stereotactic,False
1.562941958209024e+18,2022-08-25 23:16:15+00:00,['1562941958209024001'],"@ETSshow @bananaP08 @fumikochino @DrMalikaSiker Referring MDs determine the urgency of the consult, &amp; we try to see them accordingly. If non-urgent it's reasonable to wait a bit for imaging. But I worry more about delaying someone who needed to be seen sooner &amp; it's not non-clinical staff's job to clinically assess acuity. 2/",referring md determine urgency consult amp try see accordingly nonurgent reasonable wait bit imaging worry delaying someone needed seen sooner amp nonclinical staff's job clinically ass acuity,False
1.562941264643113e+18,2022-08-25 23:13:30+00:00,['1562941264643112961'],"@ETSshow @bananaP08 @fumikochino @DrMalikaSiker I take care of many patients with a significant number of outside scans, so our admin staff is usually quite good getting them before simulation. That said, I pre-review imaging and email staff before clinic starts to make sure they know if something key is missing. 1/",take care many patient significant number outside scan admin staff usually quite good getting simulation said prereview imaging email staff clinic start make sure know something key missing,False
1.5626113442887803e+18,2022-08-25 01:22:31+00:00,['1562611344288780289'],"@StephanMorgan13 @kathleengorma13 @eperryinsights @healWRITEnow @ESchattner @syawal @FuenteApolo @DrSGraff @alencarvilela 
Thanks everyone for the kind RTs/QTs and discussion! Have a great night 🙂🙏",thanks everyone kind rtsqts discussion great night,False
1.56261106249447e+18,2022-08-25 01:21:23+00:00,['1562611062494470145'],"@chemobrainfog @JonMarronMD @pfanderson @BZavaletaMD @EnricoPozzoMD @mmejendouglas @itsnot_pink 
Thank you for the recent conversations and shares! Have a great night 🙂🙏",thank recent conversation share great night,False
1.562609561533485e+18,2022-08-25 01:15:26+00:00,['1562609561533485062'],"@chemobrainfog I have some ideas, some that are generalizable but some may be specific to why we're here. Maybe we need to get people together to discuss what's next.",idea generalizable may specific we're maybe need get people together discus what's next,False
1.5626089163324457e+18,2022-08-25 01:12:52+00:00,['1562608916332445696'],"@fumikochino @ASTRO_org I have been a proud member of the @AmerMedicalAssn for many years to support physicians in general, and because of the great educational resources I get as a member. Please do join!
#radonc",proud member many year support physician general great educational resource get member please join,False
1.5625667903494715e+18,2022-08-24 22:25:28+00:00,['1562566790349471744'],"@chemobrainfog Thanks for sharing! We can do better. 2011-2016 was different, I’d love to bring back some of those vibes to #SoMe #medtwitter",thanks sharing better wa different id love bring back vibe,False
1.5625385816795464e+18,2022-08-24 20:33:23+00:00,['1562538581679546369'],"Relevant also in light of the recent @Medscape survey raising concerns about physician behavior, online and IRL. https://t.co/TsZDyV4xZ9 #MedTwitter #hcsm #hcldr https://t.co/bLDOpeHUj5",relevant also light recent survey raising concern physician behavior online irl,False
1.5625348977800806e+18,2022-08-24 20:18:44+00:00,['1562534897780080640'],"Thanks to @JCOOP_ASCO for publishing our editorial proposing ethics-centered guidelines for social media use for health professionals 
https://t.co/a68c38IsVG",thanks publishing editorial proposing ethicscentered guideline social medium use health professional,False
1.5625342375420682e+18,2022-08-24 20:16:07+00:00,['1562534237542068224'],"I love exploring the potential of #socialmedia in medicine &amp; how we learn to use it well.

Thank you @ShuklaUtkarshMD @RachelJimenezMD @reshmajagsi @AbbyRosenbergMD @JonMarronMD @LauraCarfang 
Colleen Lawton @drdonsdizon for making this possible 
#MedTwitter #hcsm #hcldr #MedEd https://t.co/KbX7Fw7G2B",love exploring potential medicine amp learn use well thank colleen lawton making possible,False
1.5624798921674383e+18,2022-08-24 16:40:10+00:00,['1562479892167438337'],"@DrEricDing @CDCgov @CDCDirector Now in Georgia

Elementary student tests positive for #monkeypox, 2nd student being tested, district says https://t.co/5BlHj4pS3j via @wsbtv",georgia elementary student test positive nd student tested district say via,False
1.5624699191782605e+18,2022-08-24 16:00:32+00:00,['1562469919178260481'],"@mmejendouglas @ASCO @lisaksheldon @LeechmMichelle @AmandaBoldersto @gerryhanna @simonpowell213 @drcbsteer @AshleyAlbertMD @jillfeldman4 @cd_fuller @JackWestMD Thanks for sharing your experiences! I'm not sure what the right answer is, I suspect very thoughtful implementation and careful framing for what the bell represents is critical. One of my hospitals still uses it without negative responses, and I've been monitoring 
for that",thanks sharing experience i'm sure right answer suspect thoughtful implementation careful framing bell represents critical one hospital still us without negative response i've monitoring,False
1.5624667194398515e+18,2022-08-24 15:47:49+00:00,['1562466719439851521'],"@itsnot_pink @ASCO @lisaksheldon @LeechmMichelle @AmandaBoldersto @gerryhanna @simonpowell213 @drcbsteer @AshleyAlbertMD @jillfeldman4 @cd_fuller @JackWestMD Thanks for the questions, Julia. I agree it's a real problem, though one of the questions is why that's not a universal opinion. And how it's used in radiation and chemo settings seems to differ. Actually about to get a survey going on this exact topic.",thanks question julia agree real problem though one question that's universal opinion used radiation chemo setting seems differ actually get survey going exact topic,False
1.5624631717842412e+18,2022-08-24 15:33:43+00:00,['1562463171784241152'],@KrishanJethwa Great question. Marginal involvement I do not cover inguinal nodes. If really extensive (e.g. visible externally or close) then yes I'll consider ENI. Otherwise I agree with @NiuSanford,great question marginal involvement cover inguinal node really extensive eg visible externally close yes i'll consider eni otherwise agree,False
1.56243906648166e+18,2022-08-24 13:57:56+00:00,['1562439066481659909'],@eperryinsights @healWRITEnow Thanks for hashtagging it! Here was the background for #experientialoncologist from 2019 https://t.co/e4iU7fJ1PW,thanks hashtagging wa background,False
1.5624295948581847e+18,2022-08-24 13:20:18+00:00,['1562429594858184704'],@DrEricDing @CDCgov @CDCDirector Colleges and schools are about restart. We need real-time data.,college school restart need realtime data,False
1.5624286631778386e+18,2022-08-24 13:16:36+00:00,['1562428663177838592'],@DrEricDing @CDCgov @CDCDirector It seems like a lot of countries aren't reporting #MPV cases. US last reported 8/19. @CDCgov isn't even that updated. https://t.co/WrKb0XgQoT,seems like lot country reporting case u last reported even updated,False
1.562419066291331e+18,2022-08-24 12:38:28+00:00,['1562419066291331072'],"@healWRITEnow My pleasure, Cissy. I hope many people read and learn from your experience. And we can do a better job elevating patients' role in the process as partners. Experiential oncologists.",pleasure cissy hope many people read learn experience better job elevating patients' role process partner experiential oncologist,False
1.5624103264187556e+18,2022-08-24 12:03:44+00:00,['1562410326418755584'],"Wonderful piece by @healWRITEnow on patient experience in a clinical trial. It beautifully captures the hope, angst, and uncertainty of living with cancer. Thanks Cissy for sharing #gyncsm 
https://t.co/SS2uFimSyS",wonderful piece patient experience clinical trial beautifully capture hope angst uncertainty living cancer thanks cissy sharing,False
1.562195716461564e+18,2022-08-23 21:50:57+00:00,['1562195716461563904'],Local Therapy for Oligoprogressive Disease: A Systematic Review of Prospective Trials via @IJROBP  #radonc https://t.co/UO3iiOwyy9,local therapy oligoprogressive disease systematic review prospective trial via,False
1.5621914539288453e+18,2022-08-23 21:34:01+00:00,['1562191453928845313'],"52 Patio Decor Ideas for a Better Outdoor Space via @decoist 
https://t.co/e1e3CBWowf",patio decor idea better outdoor space via,False
1.5621291640518085e+18,2022-08-23 17:26:30+00:00,['1562129164051808256'],@DrMalikaSiker @lisakachnic1 @NiuSanford @BethEri81895034 @whallradonc Thanks! 🙂🙏,thanks,False
1.5620298167312955e+18,2022-08-23 10:51:44+00:00,['1562029816731295745'],FYI  @lisakachnic1 @NiuSanford @DrMalikaSiker,fyi,False
1.5620219858481766e+18,2022-08-23 10:20:37+00:00,['1562021985848176640'],"Does anyone's institution archive blood to retrospectively run a test for anal cancer patients undergoing chemoradiation? Asking to give someone a study idea.
@DrEmmaHolliday @HenningWillers @ErinGillespieMD @HenryParkMD @achoud72 @reshmajagsi @PBlanchardMD",doe anyone's institution archive blood retrospectively run test anal cancer patient undergoing chemoradiation asking give someone study idea,False
1.56148037469338e+18,2022-08-21 22:28:26+00:00,['1561480374693380104'],"Docs' Bad Behavior Seen at Work, Online by Colleagues: Survey https://t.co/sy1ULVinsM via @medscape",docs' bad behavior seen work online colleague survey via,False
1.5614349096082186e+18,2022-08-21 19:27:47+00:00,['1561434909608218626'],"@ElliotServaisMD @LindaMThoracic @BrendonStilesMD @DavidCookeMD @TomVargheseJr @MSK_Thoracic @LaheySurgery Yes! I need to schedule a day off, what is your best OR day?",yes need schedule day best day,False
1.56142383995895e+18,2022-08-21 18:43:47+00:00,['1561423839958949888'],"@ElliotServaisMD @LindaMThoracic @BrendonStilesMD @DavidCookeMD @TomVargheseJr @MSK_Thoracic Got it, thank you!",got thank,False
