Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,created_at,edit_history_tweet_ids,text,clean_text,non_english,whitespace
0,0,0,1.5650961156570112e+18,2022-08-31 21:56:06+00:00,['1565096115657011200'],Advice for all pregnant women https://t.co/Q8AWlbKdDq,advice for all pregnant women ,True,False
1,1,1,1.5645202739441418e+18,2022-08-30 07:47:55+00:00,['1564520273944141825'],"Sexism means women denied heart treatment. More research and education needed ⁦@medicalwomenuk⁩

https://t.co/gREUyvH1JI","sexism means women denied heart treatment more research and education needed ⁦⁩

",True,False
4,4,4,1.5642409119445156e+18,2022-08-29 13:17:50+00:00,['1564240911944515586'],@OlwenOlwen @merch_y_wlad Ardderchog ✨🎉,  ardderchog ,True,False
6,6,6,1.563417087695274e+18,2022-08-27 06:44:15+00:00,['1563417087695273987'],Great messages 👇 https://t.co/rQillthxfC,great messages  ,True,False
10,10,10,1.5616776565628475e+18,2022-08-22 11:32:22+00:00,['1561677656562847745'],@ProfJArcher @Griffith_Health @Griffith_Uni @RANZCP Congratulations Julian 👏,    congratulations julian ,True,False
13,13,13,1.5583564553250488e+18,2022-08-13 07:35:06+00:00,['1558356455325048832'],@pgconnolly54 Cos they can 🤣, cos they can ,True,False
14,14,14,1.5581222857808978e+18,2022-08-12 16:04:36+00:00,['1558122285780897794'],Why are supermarkets still charging high unleaded petrol prices when independant garages seen today charging £1.61 per litre? 🤷‍♀️,why are supermarkets still charging high unleaded petrol prices when independant garages seen today charging £161 per litre ,True,False
16,16,16,1.5579914207781356e+18,2022-08-12 07:24:35+00:00,['1557991420778135552'],Thought provoking thread 👇 https://t.co/4Q0tDrPahF,thought provoking thread  ,True,False
21,21,21,1.5563196758936166e+18,2022-08-07 16:41:40+00:00,['1556319675893616641'],Gordon Brown calls an emergency budget and for parliament to be recalled while the Tory Party members twiddle their thumbs waiting for a poll that very few of us have any say in. 🤷‍♀️,gordon brown calls an emergency budget and for parliament to be recalled while the tory party members twiddle their thumbs waiting for a poll that very few of us have any say in ,True,False
27,27,27,1.5524089224425718e+18,2022-07-27 21:41:44+00:00,['1552408922442571776'],@AnnaBatchelor So sorry Anna. Must have been really painful., so sorry anna must have been really painful,True,False
32,32,32,1.5510937115257733e+18,2022-07-24 06:35:33+00:00,['1551093711525773312'],An excellent review of the ongoing Covid situation. 👇 https://t.co/JVl5wVVpqu,an excellent review of the ongoing covid situation  ,True,False
34,34,34,1.5489158897556193e+18,2022-07-18 06:21:40+00:00,['1548915889755619329'],@Abi_Rimmer So sorry to hear this Abi. Thinking of you and the baby. 💕, so sorry to hear this abi thinking of you and the baby ,True,False
35,35,35,1.548327147726463e+18,2022-07-16 15:22:13+00:00,['1548327147726462976'],Congratulations Kamila @LSWalesCDdCymru https://t.co/1Sv4U3Vt0h,congratulations kamila  ,True,False
36,36,36,1.5482367405355868e+18,2022-07-16 09:22:58+00:00,['1548236740535586818'],Bravo Ireland 🏉 A historic win over an amazing team 🇳🇿,bravo ireland  a historic win over an amazing team ,True,False
39,39,39,1.5471801504957727e+18,2022-07-13 11:24:27+00:00,['1547180150495772674'],@DPIAcharity So moving to hear a WARD doctor tell of his lived experience as an asylum seeker seeking to gain GMC registration and the support he received., so moving to hear a ward doctor tell of his lived experience as an asylum seeker seeking to gain gmc registration and the support he received,True,False
