,username,name,id,description,created_at,tweet_count,public_metrics
0,steve_grimbleby,Steve,1.5942244314670449e+18,I’m a children & young peoples nurse. @daisys_dream and @cwrailway volunteer. Fellow of Royal Society for Public Health. Amateur photographer,2022-11-20T07:01:56.000Z,,
1,EmmaJanePUNC22,Emma-Jane Cook,1.5769843045755617e+18,I am a 1st year nursing student studying MNurs (Hons) Nursing (Adult and Mental Health) at Plymouth University. Grateful for this opportunity.,2022-10-03T17:15:42.000Z,,
2,shazzzaj1,shazzza,417445403.0,"mother, nurse and a glass half full type of person 🤩
views my own.",2011-11-20T23:19:15.000Z,,
3,carolinewadlow,caroline wadlow,375133460.0,passionate haematology nurse and ward manager,2011-09-17T15:22:53.000Z,,
4,Colleges4Nurses,NursingColleges.com,1.589679004579074e+18,"Sechel Ventures Partners LLC owns and operates https://t.co/0DK1PvmzMF, which publishes articles about nurse education and career paths.",2022-11-07T18:00:05.000Z,,
5,BinghamDNs,Bingham District Nursing Team Notts HC,1.5936237266077942e+18,"A dedicated community nursing team, aiming to provide first class dedicated, personalised, holistic patient care to provide best patient outcome.",2022-11-18T15:15:10.000Z,,
6,Carmenbehe,Carmen B,1.374488564721877e+18,#hellomynameisCarmen Spanish nurse working in gastro. Love NHS 💗,2021-03-23T22:34:01.000Z,,
7,sazzyf6,Sarah Jayne,21793982.0,try harder be better! community staff nurse,2009-02-24T20:34:39.000Z,,
8,Rosalin00947614,Rosalind Stewart,1.5932261811254725e+18,"Retired nurse, born in Bristol, live in Sheffield",2022-11-17T12:55:17.000Z,,
9,nursinvsdrivin,nursingvsdriving,1.593211175885574e+18,"A registered nurse, worked in palliative care, now working as a research nurse, studying for an MRes. Mum, wife, knitter, dyslexic, likes old films and crap TV.",2022-11-17T11:56:00.000Z,,
10,stnmum_char,Charlotte McGrath,1.59293164632354e+18,👩🏻‍⚕️| 1st year student nurse 📚| BSc (Hons) Adult Nursing 🎓| 2022-2025,2022-11-16T17:24:45.000Z,,
