,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
13704,13704,project watch center,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,PROJECT WATCH: ACE Medical Center as of May 2020 | https://t.co/7Jwx40Zg4I ⁦@jyrillpielago⁩ https://t.co/Ohm7c5ecXc,2020-05-11 00:07:57+00:00,None
13705,13705,gyud loide announce pina thrilling,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,@loidetim2 Wla may change gyud loide.. nag announce pa pina thrilling at 7pm..,2020-05-11 00:13:39+00:00,None
13706,13706,family,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.7253578212614169,False,@SarahJane48 We all genuinely appreciate you all being here to allow us and our family to have stayed safe. We will miss you! 💕,2020-05-11 05:09:16+00:00,None
13707,13707,christmas home today,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,It feels like Christmas! I’m going home today ❤️❤️❤️❤️ https://t.co/5Vw93iA426,2020-05-11 05:10:28+00:00,None
13708,13708,announcement people house family latter safer park limit contact alert,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0572621372571413,False,Woke up still reeling about last night’s ‘announcement’. Why can people go to work but not to the houses of their family? Of which the latter is likely ‘safer’. Who can you meet in the park? Is it only if it’s sunny? Limit contact. Open to interpretation. Whatever. Alert.,2020-05-11 06:26:32+00:00,None
13709,13709,heidi advice confusion today people,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0826798970297802,False,@hpeder I don’t know Heidi. But I wish he’d get better advice. There will be a lot of confusion today for people 😞,2020-05-11 06:43:13+00:00,None
13710,13710,sense,8,8_food_school_life_meal,food - school - life - meal - child - cream - community - poverty - machine - sense,1.0,True,@AthanasiaTrian1 😂😂 would have made more sense if he was 😂😂,2020-05-11 06:43:48+00:00,Life
13711,13711,anyone confusion today,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,@AthanasiaTrian1 @edie_rische Neither could anyone else. There will be a lot of confusion today.,2020-05-11 06:44:22+00:00,None
13712,13712,wait,4,4_thanks_follow_work_welcome,thanks - follow - work - welcome - wait - rest - glad - anything - dream - fire,0.6317457069634246,True,Laying here awake thinking about how I can’t wait to be included on Mother’s Day 😭😭😭,2020-05-11 06:56:07+00:00,Life
13713,13713,thread,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.4803048896608639,False,@WhySharksMatter @chrissyteigen @ImSarahRice I feel like you would LIVE for this thread @braincandypod,2020-05-11 07:08:11+00:00,None
13714,13714,video cost baby moment restriction update system family baby home support,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,"Remote video costs £24.72 per day for the nnu, or 62p per day per baby. At the moment, with lockdown restrictions, the virtual update system is enabling families to check on their baby at the nnu when they are at home. Support by donating via Justgiving https://t.co/Jq7pYdbzNN https://t.co/dmfvF9xvob",2020-05-11 08:11:50+00:00,None
13715,13715,morning mile today resistance band swim thing,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,Morning miles. Tired legs today. Off to do some resistance band swim drill things now... https://t.co/E2BgjyUq99,2020-05-11 08:26:48+00:00,None
13716,13716,calder france isolation virus programme,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,"@MichAckerley @hcuklive @SimonCalder @BBCOne Very irresponsible of Simon Calder to promote France as a way back into the UK to avoid self isolation (quarantining) when returning from holiday. Let’s just spread the virus more. I’m so disappointed you allowed this to be aired, otherwise I enjoy watching the programme.",2020-05-11 09:47:44+00:00,None
13717,13717,point tweet piece,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,"@pglayfield @MichAckerley @hcuklive @SimonCalder @BBCOne I agree. Came on here to make the same point, saw your Tweet, but decided to say my piece anyway.",2020-05-11 09:49:55+00:00,None
13718,13718,research bond people sense community,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"Despite not being able to get together physically right now, YouGov research shows that social bonds are stronger than before, with 40% of people feeling a stronger sense of local community. Find out how #FFLGetTogethers can help you stay connected https://t.co/dN7wJv852I https://t.co/PvDT5oXGvd",2020-05-11 10:01:09+00:00,None
13719,13719,need sense,8,8_food_school_life_meal,food - school - life - meal - child - cream - community - poverty - machine - sense,1.0,False,@ProfKarolSikora Some need to start using common sense.,2020-05-11 10:01:43+00:00,Life
13720,13720,leader,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,@_PSalad @THEGR8NATH She’s amazing. I just love her. What a leader 👏🏻,2020-05-11 12:07:21+00:00,None
13721,13721,nurse,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.4743814603102159,False,Why some nurses have quit during coronavirus pandemic https://t.co/Kvc6IYr6Wu,2020-05-11 12:50:09+00:00,None
13722,13722,evolve practice,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0573715751334024,False,How can professional #presentations evolve from ordinary to exceptional? Read the latest from @adces In Practice https://t.co/s4YHlEAbaD,2020-05-11 13:02:37+00:00,None
13723,13723,tweet people government responsibility action,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.9169770160048258,False,@joannafranciss I love your tweets hahaha.. people are quick to blame the government but aren't taking responsibility over their own actions!,2020-05-11 13:03:48+00:00,None
13724,13724,tomorrow nurse student nurse selfie something share medium hashtags,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.1120383390577492,False,Join us Tomorrow to unite and thank all nurses student nurses by sharing your Yellow Selfie 💛Find something yellow 💛Snap a pic 💛Share it across social media Don't forget the hashtags ⬇️⬇️⬇️⬇️⬇️⬇️ #IND2020 #YearOfTheNurseAndMidwife https://t.co/wsv8fI5qCy,2020-05-11 13:32:00+00:00,None
13725,13725,family cheetos choice number reason,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,Just eaten a whole family sized bag of Flaming Hot Cheetos and now I need to re-evaluate my choices for a number of reasons.,2020-05-11 13:59:46+00:00,None
13726,13726,issue call paper,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,#COVID-19 Special Issue Call for Papers on how to prioritise essential #healthservices during @COVID-19 from @IntJCareCoord @BertVrijhoef https://t.co/BOHAJD6Y4E,2020-05-11 14:30:36+00:00,None
13727,13727,food significance everyone time membership food life programme school england wale charge july,8,8_food_school_life_meal,food - school - life - meal - child - cream - community - poverty - machine - sense,0.948570762595235,False,"Good food has taken on new significance for everyone in these uncertain times. That’s why we’re making membership of the Food for Life programme available to all schools in England and Wales, free of charge, until the end of July 👉 https://t.co/smTpufqFh1 https://t.co/xDwFTW2HAh",2020-05-11 14:30:44+00:00,Life
13728,13728,yeah zack,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,@ZLMaynard Yeah but I wanna be a HUMAN mom with a little Zack running around to also aggravate me,2020-05-11 15:09:10+00:00,None
13729,13729,seat time,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0938876213825116,False,@paytonmullins17 GET IT 💪🏼💪🏼 also pick yourself up this seat from Walmart next time you go. https://t.co/4oMrywixjE,2020-05-11 15:11:21+00:00,None
13730,13730,collection substance abuse research treatment,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.8129494931723706,False,Explore published special collections from Substance Abuse: Research and Treatment @substance_abuse #substanceabuse https://t.co/jWyQHvUjbr,2020-05-11 15:30:43+00:00,None
13731,13731,school summer holiday approach family food uncertainty coronavirus crisis letter school meal provision holiday,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"As the school summer holidays approach, families face food uncertainty, particularly during the coronavirus crisis. That's why we've co-signed a letter to @educationgovuk calling for free school meal provision throughout the holidays. Read more here: https://t.co/pfQ57OXduF",2020-05-11 16:30:44+00:00,None
13732,13732,hell difference park today today time wednesday,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.285047386613077,False,"Also, what the hell is the difference between sitting in the park today or on Wednesday? Why can I run only once today, but 5 times on Wednesday? They just get more ridiculous.",2020-05-11 16:32:08+00:00,None
13733,13733,group risk company week week,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,1.0,False,"Not in shielded group, recognised as high risk by my company. Told I was to take 10 weeks at CSP and two weeks holiday pay.",2020-05-11 17:25:16+00:00,Life
13734,13734,guess wait anyone touch,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,I guess I’ll just wait and see if anyone gets in touch with me.,2020-05-11 17:25:45+00:00,None
13735,13735,journal experience article work read article today,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.1729356166361639,False,Journal of Patient Experience has a newly published article on how #COIVD-19 has impacted clinical work. Read this article today! #openaccess https://t.co/Kv9c22irDE,2020-05-11 17:30:36+00:00,None
