,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
6713,6713,6713,lawyer meghan harry archie clip publicity,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"@EssexBarrister Surely, as a lawyer, you should listen to what was said? Meghan said Harry told her. She did not hear it. He said it was before they were even married. So it was not about Archie. Yet this is the clip that has been publicised. This is all about publicity.",2021-03-09 08:44:20+00:00,None
6714,6714,6714,advice thank thanks,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,@AnandhUrmila @Vasuragh I wish I could bottle @Vasuragh and her advice 😍 thank you trying to dispel #PDmyths - we need more #patientadvocates like you ! Thanks @AnandhUrmila for sharing :),2021-03-09 10:39:24+00:00,None
6715,6715,6715,phone clinic remission patient remedy belief community medicine,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,@Nair_Sanj @sejaljobanputra @GlassockJ @hswapnil @arvindcanchi @Gawad_Nephro @worldkidneyday @edgarvlermamd @VijayanMD @Vasuragh @gratefull080504 @shilpa_jes @ISNeducation So important Phone clinic recently - membranous nephropathy - in remission but patient now taking ‘herbal’ remedies to make sure ‘it doesn’t come back ....’ It’s a deep seated belief in some communities that ‘western’ medicine is not good for you and ‘herbal’ natural 🤦🏽‍♀️.......,2021-03-09 10:44:07+00:00,None
6716,6716,6716,government value healthcare worker emergency,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,The NHS deserves better. The Government don’t appear to value healthcare workers — and we must push them to reconsider. Write to your MP and ask them to attend an emergency @EverydoctorUK briefing about an #nhspayrise this Thursday: https://t.co/LghMMtAg4M @michelledonelan,2021-03-09 11:12:21+00:00,None
6717,6717,6717,woman failure,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,@kathryniveyy A Hb of 2.4 g/d in young woman with Chronic Renal Failure; largely a symptomatic,2021-03-09 11:15:19+00:00,None
6718,6718,6718,king size duvet cover challenge samba videoit generation game,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,@Trisha_the_doc I miss the fun of trying to change a king size duvet cover with the added challenge of my wee Samba getting inside. Always meant to make a video...it was like the generation game 😹😹😹😿🌈,2021-03-09 12:50:54+00:00,None
6719,6719,6719,care care time dialysis management paper model,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.3634493931361546,False,#Dialysis and #hospice care care at the same time is challenging even in the UK as dialysis is considered to be ‘active’ management This paper illustrates one way this can be achieved using a ‘blended’ model ⬇️ https://t.co/LzT3nuewTU,2021-03-09 14:05:09+00:00,None
6720,6720,6720,plaque calman education centre influence education,8,8_school_child_student_teacher,school - child - student - teacher - year - filter - education - hepa - attendance - parent,0.8439665412978024,False,Wondering at a plaque to Dr Calman in the education centre..... would we see him as a positive or a negative influence on medical education?,2021-03-09 14:09:13+00:00,Life
6721,6721,6721,yeah guess impact school work thing point,8,8_school_child_student_teacher,school - child - student - teacher - year - filter - education - hepa - attendance - parent,0.5972017787530632,False,"@Flattliner Yeah interesting looking back on it now I guess. It had an impact on me not going to med school first, I figured it looked a bit too much like hard work that doctoring thing when you might get screwed over at any point.",2021-03-09 14:33:32+00:00,Life
6722,6722,6722,yeah life choice,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,"@Flattliner Yeah, never look back. Otherwise I would’ve seen all the many many bad life choices I’ve made.",2021-03-09 15:01:59+00:00,None
6723,6723,6723,threat democracy access system,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,@Jennife10651535 A very serious threat to democracy and to improving access to our political system. #DiversityandInclusion,2021-03-09 19:30:05+00:00,None
6724,6724,6724,resource discussion journal club poster rcem year,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,@drsarahedwards @jamestoml1 @garufflewis Nice to see it still being used 🥰 Feels a natural fit for resources discussions. Even a few inter-hospital journal clubs organised by @danihalltweets! We covered this in a poster for RCEM last year: https://t.co/1OVMJJt8y5,2021-03-09 20:02:17+00:00,None
6725,6725,6725,congratulation article today star,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.8826098205889491,False,@michelledonelan Congratulations on @TheTimes article by @EleniCourea today in which you are named as a “rising star”.,2021-03-09 20:10:13+00:00,None
6726,6726,6726,mock tomorrow flat damage control,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.340899722468775,False,Got a mock tomorrow and my flat has resorted to calling studying 'damage control' 🙃,2021-03-09 20:24:14+00:00,None
6727,6727,6727,glimmer hope conversation staff member today exercise child cohort school week reader,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,A glimmer of hope from a conversation I had with a primary staff member today conducting benchmarking exercise. Several children in their Yr 5 cohort who have struggled with reading throughout school have returned this week as confident and avid readers. #LockdownBenefit,2021-03-09 20:59:38+00:00,None
6728,6728,6728,care knowledge condition,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,@dr_shibley Your loving patient care is what is important. Our knowledge of most of the conditions we treat is often “inadequate”. #doingagreatjob,2021-03-09 21:02:02+00:00,None
6729,6729,6729,sidenote event bully expression pain,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.6065466887582691,False,"As a selfish side-note to the current events, “man-baby misogynistic bullies” is the expression my pain was missing https://t.co/wXrC4X8FIy",2021-03-09 21:02:17+00:00,None
6730,6730,6730,patient look,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.9766358597893388,False,@MicrobLog_me_uk have you seen this ? Can be used in renal patients by the looks of it ... https://t.co/8CAOsT1x6D,2021-03-09 22:31:34+00:00,None
6731,6731,6731,club money score goal johan cruyff,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.7176643678023801,False,"""Why couldn’t you beat a richer club? I’ve never seen a bag of money score a goal."" - Johan Cruyff.",2021-03-10 05:50:09+00:00,None
6732,6732,6732,view travel proportion people hobby surgeon something point,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"@nik_henderson Well the alternative view is that travel is expensive (and therefore excludes a proportion of people) hobbies, whilst great for producing a balanced surgeon aren’t something which we should feel we ‘have’ to do to gain points.",2021-03-10 07:02:37+00:00,None
6733,6733,6733,hobby thing sportgtrunninggtchessgtnetflix something extension work hobby,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"@nik_henderson Once we start including hobbies, the normal thing to do is then to rank them. So team sport&gt;running&gt;chess&gt;Netflix And then hobbies become something we need to have because we need a job, and by extension they become work and we need a new hobby.",2021-03-10 07:04:34+00:00,None
6734,6734,6734,patient reaction paper show cohort health care employee symptom reaction mrna covid vaccine,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.4803415587632115,False,"Speaking to patients many are worried about Acute Allergic Reactions to #COVID-19 #Vaccines ⬇️paper shows In a prospective cohort of health care employees, 98% did not have any symptoms of an allergic reaction after receiving an mRNA COVID-19 vaccine.... https://t.co/TT8MgBg01w",2021-03-10 08:08:22+00:00,None
6735,6735,6735,yeah recruitment,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"@nik_henderson Yeah, recruitment is so complex and I dare say you can’t do right for doing wrong.",2021-03-10 08:10:04+00:00,None
6736,6736,6736,allergic symptom reaction anaphylaxis rate vaccination individual anaphylaxis case shock intubation,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.8279918290594742,False,And the remaining 2% ?? They reported some allergic symptoms; but severe reactions consistent with anaphylaxis occurred at a rate of 2.47 per 10 000 vaccinations. All individuals with anaphylaxis cases recovered without shock or endotracheal intubation ..,2021-03-10 08:11:17+00:00,None
6737,6737,6737,episode march link book health home hospital repair,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.3808380872283803,False,Excited to host the second episode of the #RCPbookclub on 23rd of March 2021 at 7 pm If you haven’t booked pls do so at link ⬇️ ⁦@LordNigelCrisp⁩ will be there discussing his book ‘health is made at home- hospitals are for repairs’ https://t.co/lSQyYFz6y4,2021-03-10 08:38:01+00:00,None
6738,6738,6738,read society woman issue,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.9269729575035548,False,Wonderful read on how society values empathetic women but championing men..and the inherent issue of wanting it all .... https://t.co/BjIMf0LhGr,2021-03-10 09:04:08+00:00,None
