,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
754,754,754,bloody hell,0,0_twitter_tweet_bike_train,twitter - tweet - bike - train - blog - football - strike - road - cycle - timeline,1.0,True,"@archaeologyBoy Bloody hell, I need to get better",2020-02-09 10:40:00+00:00,Life
755,755,755,earth something scenario,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,How on Earth can you see what she did as something positive in this particular scenario? https://t.co/n9iZsucamS,2020-02-09 12:23:54+00:00,None
756,756,756,thank horse chestnut storm,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.3490552776363751,False,Thank you Highway Maintenance. Such a beautiful horse chestnut brought down by the storm. Luckily no-one hurt.💨 https://t.co/xcFFE2UstP,2020-02-09 15:00:19+00:00,None
757,757,757,life picture explanation leicester kingdom,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"(Late, again) day 6 of 7, my life in pictures without an explanation, challenged by @the_learnaholic, I nominate @aseemrahman @ Leicester, United Kingdom https://t.co/oh1SEz7rAl",2020-02-10 12:30:20+00:00,None
758,758,758,counselling session therapist longterm psychotherapy,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,So at my last counselling session my therapist said I was “rather existential” and that perhaps I would instead benefit from long-term psychotherapy. Which is...expensive ?,2020-02-10 23:52:24+00:00,None
759,759,759,life picture explanation tasmo leicester,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"Day 7 of 7, my life in pictures without an explanation, challenged by @the_learnaholic, I nominate tasmo7 @ South Knighton, Leicester https://t.co/O6DHoIvOBK",2020-02-11 20:07:45+00:00,None
760,760,760,conversation smartarse something,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,@adamsonjon Surely in this conversation the one being the smartarse is also the one who could have prescribed something else?,2020-02-11 21:06:25+00:00,None
761,761,761,acid thing something,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,So apparently inhaled tranexamic acid is a thing... always something new. https://t.co/5dGo0z3y3z,2020-02-13 13:25:22+00:00,None
762,762,762,cardiff morning,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.9317924767253586,False,Glorious red sky over Cardiff this morning https://t.co/TIPKoGFDwz,2020-02-14 07:22:44+00:00,None
763,763,763,violence rise murder woman,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,Domestic violence behind rise in murders of women 😰 https://t.co/xaMJrTNIIp,2020-02-14 08:26:22+00:00,None
764,764,764,performance christ mountain olive soprano pleasure concert,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"@elsadreisig Just wanted to say how much I enjoyed last night's fantastic performance of Christ on the Mountain of Olives! You're one of the best sopranos I've ever had the pleasure of listening to, and hope to hear you again in future concerts! I look forward to buying the CD 😊",2020-02-14 08:47:21+00:00,None
765,765,765,time bear,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,@johnshewill Time Bear,2020-02-14 23:10:55+00:00,None
766,766,766,birthday wish yesterday,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.5030494238669799,False,✨Belated birthday wishes for yesterday Olwen ✨🍾👏 https://t.co/gt5lCY2rbR,2020-02-15 11:39:41+00:00,None
767,767,767,universe pasta cauliflower milk sauce,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.9483367068434884,False,The universe hates me- my mum's made a pasta with a cauliflower and oat milk based sauce https://t.co/zm6cVsmHwi,2020-02-15 12:23:33+00:00,None
768,768,768,goal griezmann messi anomaly,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,GOAL Griezmann. Leo Messi is an anomaly.,2020-02-15 15:36:49+00:00,None
769,769,769,goal sergi roberto ball,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,GOAL Sergi Roberto. See what happens when you play with and caress the ball in a proper way.,2020-02-15 15:42:49+00:00,None
770,770,770,love story bridgend year,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"Just caught the end of Love Story 1970. So sad, saw it twice in the Embassy Bridgend 50 years ago. Still crying 😢",2020-02-15 23:43:44+00:00,None
771,771,771,shop york ghost york ghost merchant,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.9993094433638324,False,Found a shop in York that sells little ghosts. Spent far too long choosing one. 👻👻👻 @ York Ghost Merchants https://t.co/bmO4JZna9N,2020-02-16 12:40:30+00:00,None
772,772,772,time soul patch,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,@cenunn1 @sintydavid Next time you see me I’ll be sporting a soul patch,2020-02-18 09:57:36+00:00,None
773,773,773,garden expression santa chicken,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.8779840281475504,False,Dog toys rescued from mud in garden and washed. Love the expression on Santa chicken 🐓 https://t.co/Xj0OClwKui,2020-02-18 17:07:22+00:00,None
774,774,774,garden expression santa chicken,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.8757157701801139,False,Dog toys rescued from mud in garden and washed. Love the expression on Santa chicken 🐓 https://t.co/SfLttUxKF4,2020-02-18 17:08:12+00:00,None
775,775,775,garden expression santa chicken,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.766466153877775,False,Dog toys rescued from mud in garden and washed. Love the expression on Santa chicken 🐓 https://t.co/p30nOD9Rej,2020-02-18 17:10:40+00:00,None
776,776,776,effort part,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,@cenunn1 @sintydavid That may need more effort on my part,2020-02-18 17:43:20+00:00,None
777,777,777,folk office escape scrutiny mandate office holder mutum daban daban,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.443641762556603,False,"A lot of these folks just don’t get it, you can’t be in public office and escape scrutiny when you fail to deliver on your primary mandate. Elected office holders should always be held to account. Uban mutum daban dan siyasa daban. https://t.co/KWeEamljJd",2020-02-19 18:45:34+00:00,None
778,778,778,role model,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,A fantastic role model ✨@medicalwomenuk https://t.co/tPLtc8eR7S,2020-02-20 09:40:11+00:00,None
779,779,779,clinic baby issue injury acute wheeze scarlet bunch ticket child,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"Just had a packed CBD clinic for @EM3FOAMed — floppy baby with cardiac issues, elbow injury, acute severe wheeze and scarlet fever* Now to fill in a bunch of tickets... *not all the same child",2020-02-20 14:02:39+00:00,None
780,780,780,thursday nightsleaveetc slot ctsts paeds timeplace floor consultant,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0893857428860634,False,@DrSarahHal @EM3FOAMed I have one every Thursday (unless on nights/leave/etc) with 4 30 minute slots for FYs to CT/ST3’s in Paeds ED. It’s brilliant. Really good to have a dedicated time/place to get them done away from the floor. Also had these done by consultants at my last DGH job.,2020-02-20 14:27:03+00:00,None
781,781,781,session consultant secretary email chain,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,"Also, these sessions are available with consultants too. They are booked via the @EM3FOAMed website so no messing around with scheduling via secretaries or endless email chains. https://t.co/8fKh6GlgBv https://t.co/8GUErhz4Y3",2020-02-20 15:03:31+00:00,None
782,782,782,doctor system,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.5405191697640378,False,Almost all doctors are burned out. The system is unforgiving. https://t.co/HfOiWFWeyW,2020-02-20 19:47:19+00:00,None
783,783,783,idea volume,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"@k_d85 I really like the idea of doing it, but the resulting volume of washing up is what puts me off",2020-02-20 20:05:47+00:00,None
784,784,784,chef gonna bowl,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,@k_d85 Now realising I also have a sous chef. Gonna buy some fancy bowls.,2020-02-20 20:11:48+00:00,None
785,785,785,woman benefit,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,What is good for women benefits all @medicalwomenuk https://t.co/CdZcac3Doo,2020-02-21 08:56:19+00:00,None
786,786,786,performance congratulation degree know support conservation issue individual influence environment,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,@BirdgirlUK @BristolUni @Malala Brilliant performance congratulations prior to reading about your #honorary degree I didn't know of your support for conservation issues. It's extremely important to recognise young talented individuals like you who endeavour to attain beneficial influences to global environment,2020-02-21 23:12:09+00:00,None
787,787,787,france today supporter town bechgyn,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,So excited to be going to Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿 v France 🇫🇷🏉@SixNationsRugby today. Great atmosphere when the French supporters in town @glitzyditzy C’mon bechgyn,2020-02-22 07:37:05+00:00,None
788,788,788,felix hostage help,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,@catman161 @Damian_Roland @DrNickTwit @sintydavid @sailordoctor @cenunn1 @Amyeatk @EMtogether Felix have you been taken hostage? Is this a cry for help?,2020-02-22 08:58:25+00:00,None
789,789,789,hostage help break,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.5225393488502941,False,"@catman161 @Damian_Roland @DrNickTwit @sintydavid @sailordoctor @cenunn1 @Amyeatk @EMtogether So no to being taken hostage, yes to cry for help? Take a break 😊",2020-02-22 09:32:14+00:00,None
790,790,790,time student card laugh security guard edinburgh mate,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.7702798771085873,False,"Every time I get in to Glasgow Uni lib showing my Edinburgh student card I have to prepare to give the same fake laugh to the security guard as he says ‘ohhhhhh edinburgh, don’t know if I can let you in mate😂😂😂😂😂’ https://t.co/ICORLvlyop",2020-02-22 14:15:06+00:00,None
791,791,791,advantage fear damage,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,"Once you’re able to take advantage of people’s fears, you can do a lot irreparable damage.",2020-02-23 16:08:52+00:00,None
792,792,792,minute commuter train noisecancelling headphone,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,15 minutes into a busy commuter train and I’ve already mentally purchased noise-cancelling headphones,2020-02-24 07:26:45+00:00,None
793,793,793,gonna choice,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.7245689682491512,False,@drsarahedwards Gonna be a choice between those and some Sony ones I think,2020-02-24 08:12:10+00:00,None
794,794,794,game star line criticism anger info vikendi,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"@Hawkinz @PartWelsh +1, I think you're doing a great job, I still love playing the game every day 😊 And you're an absolute star being on the front line of all the criticism and anger, so thank you. Do you have any vague info on roughly when Vikendi will return? I really miss playing it :(",2020-02-24 10:53:19+00:00,None
