,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
3534,3534,3534,brighton distraction anxiety,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,beautiful Brighton - to help with distraction from election/COVID anxiety 💙 https://t.co/7asVBaaqOq,2020-11-06 07:30:01+00:00,None
3535,3535,3535,sage coffee machine sale amazon,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.1625184703722507,False,🚨 Sage coffee machine on sale on Amazon 🚨,2020-11-06 08:08:35+00:00,None
3536,3536,3536,area people people,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.5917990890634395,False,"@Suzydu2 @ladyhaja It looks much worse than it is... huge areas with no people in them. But yes, 70 million people still voted for him!",2020-11-06 08:16:33+00:00,None
3537,3537,3537,teenage briton study height effect nutrition,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,Teenage Britons fall short in global study of average heights. An effect of poor nutrition. 😢 https://t.co/4P02UsJXVy,2020-11-06 08:48:44+00:00,None
3538,3538,3538,gosh decile year,1,1_year_paeds_rotation_rota,year - paeds - rotation - rota - sorry - finger - apology - lingering - dose - commiseration,0.79194882004614,False,@CatrionaRennis1 urgh gosh that’s very sneaky - yes they used decile for us last year. What are they going to use for shortlisting then?,2020-11-06 11:55:15+00:00,Life
3539,3539,3539,responsibility oath,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"@DoctorFitz @SusieBrockbank @Fat__Sister @MeganLizi @MattRoycroft @OrthopodReg @TamCarg @MichaelMarmot There is a codified responsibility to do this, check the BMA updated hippocratic oath 👍",2020-11-06 12:06:32+00:00,None
3540,3540,3540,purist control,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,@liam1685 @Nick_Maxwell Nah. I’m a purist. I want absolute manual control.,2020-11-06 12:12:26+00:00,None
3541,3541,3541,update section,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,@DoctorFitz @SusieBrockbank @Fat__Sister @MeganLizi @MattRoycroft @OrthopodReg @TamCarg @MichaelMarmot 1997 was the update I found Here is relevant section https://t.co/hl6WLOHPtM,2020-11-06 12:12:46+00:00,None
3542,3542,3542,follower week,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,"I have 14 new followers from UK. 🇬🇧, and more last week. See https://t.co/7rODIn5ld8 https://t.co/W1GStbJ96P",2020-11-06 12:49:41+00:00,None
3543,3543,3543,ghost john lewis john mccain,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,The ghosts of John Lewis and John McCain #Elections2020 https://t.co/JzYEBFjbCT,2020-11-06 14:21:38+00:00,None
3544,3544,3544,oscar material movie,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.8957204189034206,False,An Oscar winning material if it becomes a movie. https://t.co/dMY2wIn4Z6,2020-11-06 14:22:52+00:00,None
3545,3545,3545,reason deadline nothing scoring,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,@CatrionaRennis1 Ugggghh that’s so shit - you guys should try and dispute that because there should be no reason to change this after the deadline when nothing else re: your scoring has acutely changed!,2020-11-06 15:03:14+00:00,None
3546,3546,3546,mantra work email night,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,My new mantra ‘I will not open work emails at 11pm at night!’,2020-11-06 16:52:17+00:00,None
3547,3547,3547,sage advice,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,@DrSLJ You are full of sage advice.,2020-11-06 17:00:14+00:00,None
3548,3548,3548,nonissue someone heart heart strain virus death certificate heart attack covid death,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,"@conwild @Neily_wilko @PeaksPrincess @pixiepippi @MichaelYeadon3 This is such a non-issue. If someone with CoViD dies of a heart attack, their heart was put under additional strain due to fighting a virus. Their death certificate would read: 1a) Heart attack 1b) CoViD-19 It’s still a death due to CoViD.",2020-11-06 17:24:18+00:00,None
3549,3549,3549,cause death example pneumonitis covid heart attack covid death statistic,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,@conwild @Neily_wilko @PeaksPrincess @pixiepippi @MichaelYeadon3 Cause of death is certified as 1a) +/- 1b) +/- 1c). Examples could be... 1a) CoViD-19 or 1a) Pneumonitis 1b) CoViD-19 or 1a) Heart attack 1b) CoViD-19 All would appear in CoViD-19 death statistics.,2020-11-06 17:39:45+00:00,None
3550,3550,3550,barest margin,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,BY THE BAREST OF MARGINS https://t.co/yiezc7nHpE,2020-11-06 18:02:57+00:00,None
