,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
927,927,927,evening something,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,Spent the evening really worried that the cat was struggling to breathe as she was being really noisy. Wondered if she’d caught something from us. Immediately relieved after she had a massive poo. 🤨,2020-03-26 21:07:18+00:00,None
928,928,928,friend advice parent child rubbish home child thing wall,9,9_child_parent_daughter_guess,child - parent - daughter - guess - fact - opinion - mother - family - april - thing,0.7592381614572353,False,"We’d even phoned a friend, a vet, for advice. Now have even more sympathy for the parents who bring children into ED swearing they looked rubbish at home as the child runs around trying to pull things off the walls.",2020-03-26 21:10:11+00:00,Life
929,929,929,time parent,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"@katiehorrorshow Kids do this all the time, and the parents are usually a bit sheepish about bringing them in. Kids are weird.",2020-03-26 21:33:08+00:00,None
930,930,930,messi neymar ansu fati,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"Leo Messi, Neymar, Ansu Fati. https://t.co/KaFhtqsJrq",2020-03-27 10:07:32+00:00,None
931,931,931,forget walnut,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.9159372592418178,False,@Abi_Rimmer @Bea_John Don’t forget chopped walnuts as well!,2020-03-27 11:43:42+00:00,None
932,932,932,mine vancouver,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,@jaylawrence91 Remember mine in Vancouver?,2020-03-27 14:29:35+00:00,None
933,933,933,burn look francisco,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.7996335505508929,False,"@jaylawrence91 Fairly sure I had second-degree burns on it. Whole nose nearly peeled off. Got weird looks in San Francisco, genuinely looked like I had leprosy.",2020-03-27 14:31:08+00:00,None
934,934,934,hero watch,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,@danjordan @Diazzzz 🎶 There goes my hero... Watch him as he goes...🎶,2020-03-27 21:51:20+00:00,None
935,935,935,week student volunteer,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,@zackferguson @RoyalFreeNHS Looking forward to joining you guys next week as a med student volunteer!!,2020-03-27 22:22:42+00:00,None
936,936,936,phone kitchen desk performance walk roast break horror,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"Spent the day with phones away. Sorted out the kitchen, listened to Tiny Desk performances, went for a walk and cooked a roast. Taking a break from endlessly scrolling through horror was pretty liberating.",2020-03-29 19:16:17+00:00,None
937,937,937,people staff photo mountain food justice,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.785964236427842,False,People of Hampstead- my god you love feeding your #NHS staff. This photo doesn't do the mountain of food justice https://t.co/kKnhw8iA7p,2020-03-29 23:39:24+00:00,None
938,938,938,couple week,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,Well I’m pretty glad I got my (hugely overdue) haircut a couple of weeks ago...,2020-03-30 08:39:14+00:00,None
939,939,939,something facebook covid lifetime florida,6,6_covid_recovery_rule_patient,covid - recovery - rule - patient - hospital - people - case - care - death - child,0.7439906075123849,False,Nice to see something come up on Facebook that’s not about COVID. Seems a lifetime ago that I was away in Florida with @Dreamflight 💕 https://t.co/NXs2TM9I7Z,2020-03-30 21:06:11+00:00,Life
940,940,940,absolute footballer profession institution argument funding researcher research,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,Absolute bullshit. Those footballers are getting paid from what their profession institution generates. So i don’t really understand the argument even though i absoultely agree that there should be more pay funding for medical researchers research. https://t.co/wDu2BIePvu,2020-03-31 06:51:11+00:00,None
941,941,941,quarantine time,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,When you’re in quarantine but your screen time has gone down 😘✌🏻,2020-03-31 14:13:09+00:00,None
942,942,942,thing site staff,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.3834564543329214,False,My favourite thing about volunteering at @RoyalFreeNHS various sites is how nice all the staff are https://t.co/lvuAqgSy2U,2020-03-31 17:18:10+00:00,None
943,943,943,papilloedema addition,1,1_year_paeds_rotation_rota,year - paeds - rotation - rota - sorry - finger - apology - lingering - dose - commiseration,0.0942283799409879,False,@realbrainbook Important to look for papilloedema in addition to what's previously mentioned,2020-03-31 18:50:47+00:00,Life
944,944,944,temperature scale child horse,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,I will henceforth be using this animal temperature scale to describe febrile kids. “This child is hot as a horse!” “She’s looking a little sheepish” https://t.co/3cBxj1M1De,2020-04-01 12:11:46+00:00,None
