,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
3522,3522,3522,missingwork guilt unwell anyone,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,Missing-work guilt when unwell (not COVID)... anyone got any tips on how to feel less guilty?! #FY1,2020-11-05 08:55:50+00:00,None
3523,3523,3523,thank bednot,2,2_thanks_hope_thank_wish,thanks - hope - thank - wish - thankyou - support - dream - facebook - congratulation - omfs,0.1440769690921699,False,@Complicateditis Thank you Sarah 💛 am not very good at being in bed/not being busy so trying to tell myself it’s what I need to do to feel better!,2020-11-05 11:34:00+00:00,Life
3524,3524,3524,grandson study botanist find afternoon walk,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.7014952361667348,False,Our grandson is starting his study as a botanist good and early. Here he is inspecting some of his finds from an afternoon walk while he waits for his tea to be ready. #catkins #oak #maple #naturenotes @eleanor_joya https://t.co/P3ZuBuxGhp,2020-11-05 15:07:27+00:00,None
3525,3525,3525,thanks link,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,@JuliaLarden Thanks for link,2020-11-05 15:38:23+00:00,None
3526,3526,3526,rate concern swab,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"@PeaksPrincess @conwild @pixiepippi The false positive absolutely is not high. The false negative rate has been a concern, and is largely dependent on how well the swab is actually performed.",2020-11-05 18:48:16+00:00,None
3527,3527,3527,dinosaur firework,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,Alfie’s got his dinosaur to help him get through the scary fireworks. https://t.co/RcS2oKlJqF,2020-11-05 19:01:52+00:00,None
3528,3528,3528,comment piece research piece specificity test,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.344606391578267,False,"@PeaksPrincess @conwild @pixiepippi You’ve linked to two comment pieces, not original research. Within both of those pieces, the specificity is quoted as “&gt;99%”. That’s far better than most perfectly acceptable diagnostic tests. (1/2)",2020-11-05 19:05:14+00:00,None
3529,3529,3529,factor cancer implication falsepositives week selfisolation concern negative,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"@PeaksPrincess @conwild @pixiepippi Other key factor is that we’re not trying to diagnose cancer here, with life-changing implications of false-positives. A false positive just means 2 weeks of self-isolation. The concern is the false negatives that we miss.",2020-11-05 19:06:34+00:00,None
3530,3530,3530,perspective risk venture outside population level otherwise time unit covid patient,6,6_covid_recovery_rule_patient,covid - recovery - rule - patient - hospital - people - case - care - death - child,0.5423468730296644,False,"@PeaksPrincess @conwild @pixiepippi You’re approaching this from an individual’s perspective. The risk from any individual venture outside is obviously tiny, but on a population level it is far from “infinitesimal”, otherwise I wouldn’t be spending my time ventilating a unit full of CoViD patients.",2020-11-05 19:19:02+00:00,Life
3531,3531,3531,plenty people covid everyone chance risk care,6,6_covid_recovery_rule_patient,covid - recovery - rule - patient - hospital - people - case - care - death - child,0.624221897734293,False,"@PeaksPrincess @conwild @pixiepippi YOU would probably be fine if you had CoViD. But you might not. I’ve watched plenty of fit and healthy people die of CoViD. If everyone just took their chances because their individual risk is small, we’d be totally overwhelmed, and unable to provide care to those who need it.",2020-11-05 19:22:08+00:00,Life
3532,3532,3532,member society element liberty society coronaviruses cold death peak problem,6,6_covid_recovery_rule_patient,covid - recovery - rule - patient - hospital - people - case - care - death - child,0.6650320060163082,False,"@PeaksPrincess @Neily_wilko @conwild @pixiepippi You are a member of a society, and as such sacrifice elements of liberty to benefit from what society offers. Coronaviruses are not new. They cause lots of common colds, and yes, they will cause seasonal deaths. It’s the rapid peak that is the societal problem.",2020-11-05 19:36:58+00:00,Life
3533,3533,3533,problem makeup panel expert diet exam covid,6,6_covid_recovery_rule_patient,covid - recovery - rule - patient - hospital - people - case - care - death - child,1.0,False,"@ElledgeSurgical @hammond_douglas @BrennanSurgeon @gmcuk I think this is precisely the problem, I wonder at the makeup of the panel of experts for this diet of the exam- it might have been significantly different because of COVID?",2020-11-05 22:59:00+00:00,Life
3534,3534,3534,brighton distraction anxiety,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,beautiful Brighton - to help with distraction from election/COVID anxiety 💙 https://t.co/7asVBaaqOq,2020-11-06 07:30:01+00:00,None
3535,3535,3535,sage coffee machine sale amazon,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.1625184703722507,False,🚨 Sage coffee machine on sale on Amazon 🚨,2020-11-06 08:08:35+00:00,None
3536,3536,3536,area people people,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.5917990890634395,False,"@Suzydu2 @ladyhaja It looks much worse than it is... huge areas with no people in them. But yes, 70 million people still voted for him!",2020-11-06 08:16:33+00:00,None
