,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
5161,5161,5161,toby object welcome toby,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.1115860499767079,False,"The one where Toby Young objects to the ""orthodoxy constantly changing"" on covid. WELCOME TO SCIENCING TOBY https://t.co/RMl8r2MOGo",2021-01-06 08:11:19+00:00,None
5162,5162,5162,family sale morning,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,@SteelCity_ENT This isn’t a family ban is it?? May have been sale shopping this morning.....,2021-01-06 08:33:47+00:00,None
5163,5163,5163,beauty advent calendar idea year sarah,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,@Sarahlouby1986 Love a beauty advent calendar - great idea that I’m going to save for next year ! Which one have you saved Sarah?,2021-01-06 08:59:33+00:00,None
5164,5164,5164,bonkers style,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"Bonkers bureaucracy. ""Credentialling"" US style. https://t.co/AlokoGoJmH",2021-01-06 11:29:18+00:00,None
5165,5165,5165,minister chancellor commitment,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,@EveryDoctorUK @RishiSunak One hopes that Conservative MPs and Ministers such @RobertBuckland @michelledonelan will be reminding the Chancellor of his commitment. @EveryDoctorUK,2021-01-06 11:29:25+00:00,None
5166,5166,5166,baby grandparent period parfum,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.3277019073421218,False,@TurnItUp79 Babies; and one of the joys of being a grandparent is getting another period of “parfum de bébés ou odeur de bébé”,2021-01-06 12:07:22+00:00,None
5167,5167,5167,test trace joke right notification contact work alert hundred patient community,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,"We've all accepted Serco Test and Trace is a joke right? I remember getting a notification that I should switch off contact tracing in work in hospital - but I forgot.. I've never got an alert after seeing hundreds of patients, many COVID +ve on NHS and community testing?! 🙃",2021-01-06 13:22:30+00:00,None
5168,5168,5168,money drain company system opportunity life,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.7198769595419662,False,Money down the drain to the government's mates in private companies for a fragmented system which had the opportunity to save lives. Never forget this,2021-01-06 13:25:26+00:00,None
5169,5169,5169,malepredominant study population publication survivor hospitalization discharge data,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.6982599029650828,False,"an older, male-predominant study population but this publication shows a third of survivors of #COVID-19 hospitalization were readmitted or died by 60 days after discharge Is there comparable UK data? https://t.co/BIPbEfLydL",2021-01-06 17:08:58+00:00,None
5170,5170,5170,gesture face handling assault,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,Please don't feel like you have to clap. It feels like a hollow gesture in the face of the government's appalling handling of the pandemic and decade-long assault on the NHS.,2021-01-06 17:19:28+00:00,None
5171,5171,5171,babylon quality healthcare patient safety section,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,Babylon on high quality digital healthcare? In the Patient Safety section1? 🙄 @DrMurphy11 https://t.co/d1LLiCmBYM,2021-01-06 17:23:00+00:00,None
5172,5172,5172,patient symptom dizziness headache hospital mortality,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,patients who experience neurological symptoms such as dizziness or headache in #COVID19 may have a higher IP hospital mortality. https://t.co/FU2W9VziYB,2021-01-06 17:23:43+00:00,None
5173,5173,5173,covid crisis frontline emergency staff,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.0,False,The Covid-19 crisis is escalating and we need to urgently protect those on the frontline. Can you write to your MP and ask them to attend an emergency @EveryDoctorUK briefing on 7th January about vaccinating frontline staff? #ProtectNHSworkers: https://t.co/PoNa31NqoY,2021-01-06 17:45:42+00:00,None
5174,5174,5174,thank experience identity check figure mobile year email address,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,0.7728490864092503,False,Thank you @LiamFox this is very close to my experience! I failed an Identity check because I could only remember the last 6 figures of my mobile from 8 years ago and gave an email address as @gmail rather than @googlemail https://t.co/qXnM8ZRGqZ,2021-01-06 18:43:53+00:00,None
5175,5175,5175,zahawi idea vaccination programme,-1,-1_people_time_patient_year,people - time - patient - year - thing - work - doctor - today - week - thank,1.0,False,Zahawi actually has no idea how to run a vaccination programme. This is scary. #bbcqt,2021-01-06 19:06:18+00:00,None
