,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
10839,10839,92025,92025,92025,workplace violence work functioning nurse crosssectional study,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,Workplace Violence Is Associated With Impaired Work Functioning in Nurses: An Italian Cross‐Sectional Study https://t.co/V3Q3UE0xdZ,2020-03-26 07:47:02+00:00,None
10840,10840,505,505,505,thank,1,1_thank_enjoy_brilliant_support,thank - enjoy - brilliant - support - thankyou - whoop - jackie - yeah - thanks - help,1.0,True,@amirkingkhan @NHSuk Thank you 😊,2020-03-26 07:58:40+00:00,Life
10841,10841,84539,84539,84539,watch school series thing,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,Now I’ve purchased Disney+ shall I watch high school musical the musical the series because I think that’s the only thing left to do,2020-03-26 08:51:06+00:00,None
10842,10842,105694,105694,105694,lockdown bonnie scotland today,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.1017878625320368,False,Day 3 of Lockdown here in Bonnie Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿💙💙😷😷😷Hope ye all are well and safe today https://t.co/PGYjV6lWZe,2020-03-26 08:56:47+00:00,None
10843,10843,42479,42479,42479,chicken broccoli orzotto,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,@MarksBitch27 @MadAlix14 I made a chicken and broccoli ‘orzotto’. Was lovely.,2020-03-26 09:44:51+00:00,None
10844,10844,42478,42478,42478,thought world,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0128882603493393,False,We’ve been locked inside now for 8 days after starting to feel ill. Genuinely starting to feel agoraphobic at the thought of going out and about in the big wide world one day,2020-03-26 09:52:27+00:00,None
10845,10845,42477,42477,42477,fever self isolate,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,@Skellibobs Seriously though if you have a fever self isolate.,2020-03-26 09:53:16+00:00,None
10846,10846,42476,42476,42476,jogging bottom,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,It’s a sad day when your jogging bottoms feel too tight.,2020-03-26 10:22:47+00:00,None
10847,10847,42475,42475,42475,jogging bottom,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,@DrRayBakes My jogging bottoms feel tight,2020-03-26 11:42:35+00:00,None
10848,10848,84538,84538,84538,today people tear,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.5022910888258258,False,Have been informed today that I’m one of the 1.5 million people who has to shield is it possible to drown in your own tears ???,2020-03-26 11:43:42+00:00,Life
10849,10849,84537,84537,84537,joke week nurse time shopping sibling decision disney yesterday,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.5083297477825882,False,"All jokes aside I’m really worried about not being able to go outside for a whole 12 weeks. I won’t get to register as a nurse on time, I won’t be able get my own shopping or see my mum and siblings. At least I made the brave decision to purchase Disney+ yesterday though",2020-03-26 12:12:27+00:00,Life
10850,10850,92024,92024,92024,stranger,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,"They Comfort Strangers, So No One Dies Alone https://t.co/yzobAy6W1f",2020-03-26 13:05:19+00:00,None
10851,10851,136969,136969,136969,teaching teaching semester please,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,#currentstatus and #onward focusing on teaching and completing the teaching and closing the semester. #Corona please stay away I’ve got teaching to finish. #G20Summit #education,2020-03-26 13:10:42+00:00,None
10852,10852,108379,108379,108379,area child access food whilst school letter,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"Critical areas still to be addressed to ensure children have access to good, nutritional food whilst schools are fully/ partially closed. We've co-drafted a letter to @educationgovuk with @sfmtweet @UKSustain @Food_Foundation @ChefsinSchools Read more: https://t.co/IxcdSuEiwC",2020-03-26 13:45:07+00:00,None
10853,10853,93431,93431,93431,thank,1,1_thank_enjoy_brilliant_support,thank - enjoy - brilliant - support - thankyou - whoop - jackie - yeah - thanks - help,0.7155982154667404,True,Thank you 😊 💋💕 https://t.co/BdOwupzKRk,2020-03-26 14:11:04+00:00,Life
10854,10854,39507,39507,39507,shift coworkers secretary staff,2,2_shift_night_tonight_match,shift - night - tonight - match - ward - sleep - game - bless - emotion - today,0.4267789611103444,False,"I will be clapping as I leave my shift for all my amazing co-workers on icu, my mum a medical secretary and all our other fantastic nhs staff ❤️@Medway_NHS_FT https://t.co/L3s9cH06Ek",2020-03-26 14:27:15+00:00,Work
10855,10855,39506,39506,39506,thank,1,1_thank_enjoy_brilliant_support,thank - enjoy - brilliant - support - thankyou - whoop - jackie - yeah - thanks - help,1.0,True,@GaryLineker Thank you Gary ❤️,2020-03-26 14:34:38+00:00,Life
10856,10856,105693,105693,105693,afternoon lockdown bonnie scotland paradise hope,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,Good Afternoon on Day 3 of Lockdown in Bonnie Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿💙💙💙On a rainy ☔️☔️☔️☔️day! Just Another Day in Paradise! Hope you are all safe and well ! Praying that we will get through this all of us https://t.co/ZYfjCuxb49,2020-03-26 15:37:51+00:00,None
10857,10857,105692,105692,105692,birthday nurse dedication time sent,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,@ElleElleAre Happy Birthday to you 🎂🎂🎂🎂Hope you can try and enjoy a bit of your day! As a retired nurse myself I thank you for your dedication at this very difficult time ! You are an angel sent from heaven😷😷 https://t.co/lIpLpotDB6,2020-03-26 15:41:07+00:00,None
10858,10858,92023,92023,92023,crew fire line,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,She Was His Crew Boss — And His Mom — On The Fire Line https://t.co/pQgvXO5mCL,2020-03-26 16:10:17+00:00,None
10859,10859,92022,92022,92022,worker hospital nurse trash protection coronavirus,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.5493828283062082,False,Worker at NYC hospital where nurses wear trash bags as protection dies from coronavirus https://t.co/OAGoeCvNtz,2020-03-26 16:46:00+00:00,None
10860,10860,108378,108378,108378,community support gold food life school meal resident village food dinner apple crumble doorstep today,8,8_food_school_life_meal,food - school - life - meal - child - cream - community - poverty - machine - sense,0.4814880313294612,False,"Outstanding community support from @washingborough . A Gold Food for Life school, they are bringing nutritious, delicious meals to residents over 70 in their local villages when good food is needed more than ever. Roast dinner apple crumble landed on doorsteps today!💫💫 https://t.co/N5swv6G1ps",2020-03-26 17:25:08+00:00,Life
10861,10861,108377,108377,108377,evening join carers doctor nurse coronavirus support appreciation,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.5210193877871794,False,"This evening at 8pm join us to #clapforourcarers. For all the GPs, carers, doctors and nurses who continue to work so hard against the coronavirus, we will be showing our support and appreciation. 💙 #FFLGetTogethers https://t.co/k3AeFzWIUR",2020-03-26 18:00:18+00:00,None
10862,10862,39505,39505,39505,thank,1,1_thank_enjoy_brilliant_support,thank - enjoy - brilliant - support - thankyou - whoop - jackie - yeah - thanks - help,0.7804543667156926,True,@jane_brindley @CCCUNursing Thank you Jane ❤️,2020-03-26 18:12:25+00:00,Life
