,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
21805,21805,81345,trump official ballot election,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,Trump saying corrupt officials by in PA have received postal ballots more than 3 days after the election. 🤡,2020-11-06 00:00:36+00:00,None
21806,21806,81344,west declares phone,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"In the West Wing episode, Georgia declares now and everyone’s phones start going off. #TrumpMeltdown",2020-11-06 00:02:34+00:00,None
21807,21807,42331,world leader vocabulary word repeat minute,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Has a world leader ever had such a limited vocabulary? I swear he’s just been saying the same five or six words on repeat for the last 20 minutes. #TrumpMeltdown,2020-11-06 00:02:52+00:00,None
21808,21808,51436,house lord life,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.6128651481701674,False,"@ThePadie “Enjoy the White House I hope it makes you happy. Dear lord, what a sad little life, Joe.""",2020-11-06 00:05:29+00:00,None
21809,21809,51435,crossbar team,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"“We battered them. We hit the crossbar. We were much the better team...""",2020-11-06 00:13:14+00:00,None
21810,21810,81343,john christmas,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.8687096341210804,False,@lindasgrant That WAS the John Lewis Christmas ad.,2020-11-06 00:20:35+00:00,None
21811,21811,46430,turtle flailing time coverage election,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.8933581708575861,False,“We see him like an obese turtle on his back flailing in the hot sun realising his time is over” CNN’s coverage of this election has been absolutely excellent #Elections2020,2020-11-06 00:23:51+00:00,None
21812,21812,46429,anderson cooper turtle comparison,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Anderson Cooper came through with a whole turtle comparison. A turtle. I’m going to bed 😂 #Elections2020,2020-11-06 00:24:20+00:00,None
21813,21813,42330,boris johnson trump,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,"@ALANMYERSMEDIA But enough about Boris Johnson, what do you think of Trump, Al?",2020-11-06 00:28:22+00:00,None
21814,21814,100285,towel bang whimper,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,He has just thrown in the towel but is too ashamed to concede. It ends not with a bang but a whimper.,2020-11-06 00:39:09+00:00,None
21815,21815,6651,facebook violence incitement trend,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Facebook Has A Metric For “Violence And Incitement Trends.” It’s Rising. https://t.co/7FjZJfEstZ,2020-11-06 07:43:59+00:00,None
21816,21816,81342,vote georgia,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.9073959817487026,False,Fewer than 700 votes in it in Georgia now...,2020-11-06 07:46:59+00:00,None
21817,21817,27936,commonwealth cork,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.8383265616135742,False,@EmerTheScreamer The Commonwealth of Cork...,2020-11-06 08:49:26+00:00,None
21818,21818,81341,election case,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.7570803076705739,False,"@sdugg51 Well, it only being two days after the election when he said it didn’t help his case any",2020-11-06 08:54:16+00:00,None
21819,21819,81340,hoagy carmichael estate ballot dump,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,The Hoagy Carmichael estate must be counting the PRS $ like ballot dumps (local laws apply).,2020-11-06 08:56:34+00:00,None
21820,21820,81339,biden georgia,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.4337917871948851,False,Biden now ahead in Georgia by 917,2020-11-06 09:30:34+00:00,None
21821,21821,27935,safe work chance,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.7709837683642897,False,Safe... safe to do a bit of work. Not a flying chance now. #PresIE #BidenHarris2020,2020-11-06 09:43:18+00:00,None
