,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
6913,6913,55144,time date story,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"@MrBenJeffrey I missed this at the time. But for the date, I would have assumed it was an April Fool’s Day story.",2020-01-04 06:13:32+00:00,None
6914,6914,42691,lisa nandy leadership party risk change,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"Labour's Lisa Nandy has become the fourth MP to launch her leadership bid - saying the party risks becoming ""irrelevant"" if it doesn't change. https://t.co/WLCIE0i2cl",2020-01-04 07:52:21+00:00,None
6915,6915,55143,emma hope news debate mario point definition time story,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"@EThelwell @m_cacciottolo Hi Emma, hope you’re well. What is news is an interesting debate, and Mario makes a fair point that definitions shift over time. Perhaps I’m just too stuck in my ways, but the BBC chasing stories that had already played out on social always made me feel a bit uneasy.",2020-01-04 08:46:18+00:00,None
6916,6916,103760,wolverhampton cinema threat house,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"New Wolverhampton cinema not a threat, says Light House @lighthousemedia https://t.co/u21zYyy3Rw",2020-01-04 09:00:00+00:00,None
6917,6917,110766,thread read situation,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.4483371693539352,False,Good thread collecting together a few good reads on US/Iran situation. https://t.co/UYXKC0oqPs,2020-01-04 09:00:40+00:00,None
6918,6918,8281,flight year vega week technology,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,First flight of the year is to Las Vegas for a week at the CES technology show ✈️ https://t.co/Ist26JDVbo,2020-01-04 10:27:23+00:00,None
6919,6919,8280,thank kind word time,0,0_thank_thanks_hope_moment,thank - thanks - hope - moment - kind - weekend - minute - easter - dream - hello,0.2501892011202536,False,@CamBunton Thank you for your kind words at this difficult time.,2020-01-04 10:51:43+00:00,Life
6920,6920,103759,lover talk birmingham show,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.8161857707810133,False,"Not ‘goodbye’ yet, my lover: James Blunt talks ahead of Birmingham show @JamesBlunt @ArenaBirmingham https://t.co/k5GsyZG4Xr",2020-01-04 11:00:00+00:00,None
6921,6921,42690,mate chance message story cheer,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.5233567330514928,False,"@SimonJMulligan Hi mate. Is there any chance I can send you a quick message about this story? Cheers, Ashley.",2020-01-04 12:29:40+00:00,None
6922,6922,26700,recommendation stay wale country area month,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Any recommendations for an overnight stay (two full days) somewhere in South Wales/ West Country area for later this month?,2020-01-04 12:35:45+00:00,None
