,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
9718,9718,11923,time interview derek chisora,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.2234045681898687,False,@kerrywk @cmckennasport Reminds me of the time I was sent to interview Derek Chisora.,2020-03-26 00:04:36+00:00,None
9719,9719,6983,evening walk,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.5522692953885888,False,@RichieHardcore We are loving our evening walks!,2020-03-26 05:57:41+00:00,None
9720,9720,54894,scot style football rule structure game today england,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.4462870981155449,False,"@rajan78 The Scots might have influenced the style of football, but the rules and structure of the game as we know it today were developed in England.",2020-03-26 07:37:44+00:00,None
9721,9721,15784,birthday richard,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.6980582842729005,False,@RevRichardColes Happy Birthday Richard!,2020-03-26 09:05:17+00:00,None
9722,9722,28159,peru something,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0150613993517139,False,@tomb8man Interested in Peru? Should be able to get you something from there,2020-03-26 09:10:47+00:00,None
9723,9723,106206,birthday thank person,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,@meanders_ @sabila Happy birthday @sabila 🥳🥳🎉🎉🎉🎉 thank you for being such an amazing person and we must see each other once this is all over 🌞🌞🌞,2020-03-26 09:17:57+00:00,None
9724,9724,50154,everyone outdoor shoe bother,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.8970314664055611,False,Everyone wearing outdoor shoes inside bothers me. https://t.co/LTtT2ULciD,2020-03-26 09:32:28+00:00,None
9725,9725,103293,home chooks garden corn,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Day one million and one working from home and the chooks are wondering why I even walk up the garden if it's not to give them corn? Get back to work https://t.co/l8CJq0Y1DY,2020-03-26 09:38:59+00:00,None
9726,9726,8132,share pain bedroom desk lounge window winter couple option outfit change,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.8617691877837421,False,"@HopeVirgo Unfortunately not, but I share your pain. Bedroom (with desk) freezing cold, lounge with two big windows almost too warm, even in winter without heating. Nice to have a couple of options, even if an outfit change is required between them!",2020-03-26 09:40:09+00:00,None
9727,9727,103292,rollercoasters family coronavirus,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,From virtual rollercoasters to online raves: How to keep the family entertained during coronavirus lockdown https://t.co/CiHyZlh5Hj,2020-03-26 10:01:35+00:00,None
