,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
21723,21723,38588,lockdown business owner promise shop cafe restaurant,1,1_food_lunch_breakfast_restaurant,food - lunch - breakfast - restaurant - meal - dinner - cheese - sausage - gift - cream,0.6779469449502139,False,"And so we're into our second national lockdown. A lot of good local business owners will be concerned, but I promise we'll be back. We'll be back in the local shops, we'll be eating in the local cafes and restaurants and we'll be down the local pubs. We will see you soon.",2020-11-05 00:13:06+00:00,Life
21724,21724,26372,today sock firework work,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.921954866540334,False,Read today about covering a dog's ears with socks to keep them calm while fireworks are going off. Didn't work. https://t.co/P91uOlp5MA,2020-11-05 00:34:44+00:00,None
21725,21725,40487,voter intimidationtheres centre intimidationwe,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Whatever about voter intimidation...there’s now count centre intimidation...we never had that in the RDS. #Election2020,2020-11-05 01:08:02+00:00,None
21726,21726,43557,emergency dollar phone help,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,EMERGENCY SOS I need 35 dollars to keep my phone turned which is very important for my job and for my apt to contact me. Please help. https://t.co/q05OEW5NAf,2020-11-05 06:38:23+00:00,None
21727,21727,64533,dwww rush,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,@ash_layo DWWW HAHA NO RUSH SIS,2020-11-05 07:09:44+00:00,None
21728,21728,64532,anything article,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.9049083867486422,False,@lazirsiraf__ has this got anything to do with our article HAHAHA,2020-11-05 07:21:57+00:00,None
21729,21729,102321,profanity left,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,@DarknTwisty74 @realDonaldTrump The profanity of the left,2020-11-05 07:36:12+00:00,None
21730,21730,110270,fact biden vote trump,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,The fact that Biden can have 3M more votes than Trump and still not be present is mind blowing. #Elections2020,2020-11-05 08:10:39+00:00,None
21731,21731,36790,sound police chief people rule,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"Ahh, the sound of lockdown, including a senior police chief advising people not to ""flaunt"" the rules.",2020-11-05 08:11:11+00:00,None
21732,21732,5493,siouxsie banshee,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"Not sure about the new Siouxsie and the Banshees song, tbqhwy. https://t.co/HZNxyikit6",2020-11-05 08:31:47+00:00,None
21733,21733,77809,coronavirus official paper hospitality closure extension,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Coronavirus: Official papers advise two-week hospitality closure extension https://t.co/H8T3RmcEJw,2020-11-05 08:32:12+00:00,None
21734,21734,7880,news morning,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,Some good news this morning https://t.co/77w93xijI6,2020-11-05 08:32:58+00:00,None
21735,21735,5492,pray return drama,13,13_family_love_prayer_psni,family - love - prayer - psni - thought - sister - thank - nightmare - thinking - blog,0.9520984680810552,False,I pray for a return to days when this was high drama. https://t.co/xuyqLWhhx0,2020-11-05 08:34:48+00:00,Life
21736,21736,7879,news yesterday look midnight blue please,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.913351303654516,False,"More good news, albeit from yesterday - just look at this! https://t.co/B5vy9qTrM8 I’ll take one in midnight blue please. https://t.co/OOZkYP50sG",2020-11-05 08:39:31+00:00,None
21737,21737,82957,time mind trump,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"@MichaelRosenYes Time they made their minds up. Personally I think they should all be chanting: ""DUMP TRUMP!""",2020-11-05 08:56:12+00:00,None
21738,21738,110269,hell speech,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"This is one hell of a speech, and still echoing now. https://t.co/YzClB1NWyX",2020-11-05 09:11:49+00:00,None
21739,21739,51439,trick music,3,3_song_music_album_tune,song - music - album - tune - version - mother - track - poetry - poem - band,1.0,False,@BrandedIreland The trick is to tell them the music means they've run out of bets.,2020-11-05 09:30:37+00:00,Life
21740,21740,3665,essex accent,10,10_ireland_belfast_dublin_accent,ireland - belfast - dublin - accent - derry - fein - sinn - year - business - people,1.0,True,"@KatyAustinNews I read it okay, but then I read it with my Essex accent!",2020-11-05 10:30:59+00:00,Life
21741,21741,94441,summary support time round,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,This is a really useful summary of the gaps in financial support this time round. https://t.co/OpuUmw3h8e,2020-11-05 10:42:31+00:00,None
21742,21742,1214,resource library,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,Write about #ageing? @Ageing_Better https://t.co/XRte0KEscQ has launched a new resource library,2020-11-05 10:58:20+00:00,None
21743,21743,3664,anyone accent,10,10_ireland_belfast_dublin_accent,ireland - belfast - dublin - accent - derry - fein - sinn - year - business - people,0.8729494925440361,False,@KatyAustinNews I don't think anyone has ever described my accent as smooth! 😂,2020-11-05 11:40:17+00:00,Life
21744,21744,81352,doctor stepovers course beforehand,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"@RBanerjee23 ""Doctor, will I be able to do stepovers once this has healed?"" ""Yes, of course."" ""Amazing, I couldn't do them at all beforehand.""",2020-11-05 11:49:29+00:00,None
21745,21745,106079,total vote biden fact press news arizona nominee decision desk,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.0,False,"@TantawiPress ""Our current total of 264 electoral votes for Joe Biden includes the fact that Associated Press, as well as Fox News, have called Arizona for the Democratic nominee. Not all decision desks have yet""",2020-11-05 12:18:13+00:00,None
21746,21746,7878,brummie vote,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,1.0,False,"@lpcomms Brummie, with 4% of the vote. Then Scouse (8%)",2020-11-05 12:20:30+00:00,None
21747,21747,77808,hmrc figure people ireland figure moment,10,10_ireland_belfast_dublin_accent,ireland - belfast - dublin - accent - derry - fein - sinn - year - business - people,1.0,False,"Latest HMRC figures told us 70,500 people in Northern Ireland were furloughed as of Aug 31st. That figure likely to be very different at the moment. https://t.co/fZ0Lsd2SKo",2020-11-05 12:22:09+00:00,Life
21748,21748,11475,listen death sport star tillman star country story,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.3734044976515828,False,"Have a listen to the latest Death of a Sports Star pod, on Pat Tillman, written by me and brilliantly spoken by @Spoonface1. NFL star who gave it all up to fight for his country, some story. https://t.co/LTRuuQ0ZTh",2020-11-05 12:29:06+00:00,None
21749,21749,7877,geordie centre honesty,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.7212470935286128,False,@Chris_Pickering Haha! I remember being taught how Geordie was popular among call centres because of its honesty,2020-11-05 12:50:50+00:00,None
21750,21750,64531,tutorial febmarch,-1,-1_people_time_year_today,people - time - year - today - thing - week - news - game - story - work,0.3902047862071826,False,@ikrammkamal_ me attending all my tutorials throughout feb-march 2020 🤡🤡🤡,2020-11-05 12:57:22+00:00,None
