,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
5995,5995,15305,jordan return season hardship break strain toll injury happens everything threepeat none,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,"big what if: jordan returns after the ‘93 season. hardships and no break from mental physical strains take a toll for a more injury-prone run... significant injury happens. would that have changed everything? no second three-peat, none of that. #thelastdance would be different https://t.co/PLaoMqyYt3",2020-05-11 03:47:02+00:00,None
5996,5996,15304,rona potential playoff,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,ms. rona really took the potential of this year’s playoffs from us https://t.co/aLD3vmoHVp,2020-05-11 04:02:49+00:00,None
5997,5997,15303,limit anything chorus vamp,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.271231498555992,False,"“love no limit” my go to song for almost anything. it calms me, helps me focus. that chorus vamp can literally go on forever https://t.co/7HgCMMClUC",2020-05-11 04:16:39+00:00,None
5998,5998,62833,couple guest album ruby song,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,@rubyturnersoul We are looking for a couple more special guests for our forthcoming album #TallStoriesOnShortStreet. (@bragg_hemsworth) Just wondered if Ruby would be up for doing some remote recording on one song with us?,2020-05-11 08:04:00+00:00,None
5999,5999,40628,welcome world,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,"@ashleyswhall @nxplxy Welcome to my world, Ash.",2020-05-11 10:35:31+00:00,None
6000,6000,40866,brand legging hole,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.1952046570218928,False,@OfficialPLT brand new leggings just tried on a got a hole in 😅😅😅,2020-05-11 12:24:01+00:00,None
6001,6001,41660,release consideration,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,@dorner_martina We might be a bit late but here's our new release for consideration. https://t.co/42b0gVhXWj,2020-05-11 13:26:59+00:00,None
6002,6002,40627,heartbroken manage saturday,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.9338699134219184,False,It's been 2 days and I'm heartbroken I didn't manage to get a TGI's delivered on Saturday. 😥,2020-05-11 15:48:09+00:00,None
6003,6003,38490,hang today,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0568505816046495,False,Hangs in the sun w a good boy today 🖤 https://t.co/TnpvsLeDn7,2020-05-11 16:44:32+00:00,None
6004,6004,15302,kombat fatality type massage spine,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,i need a mortal kombat fatality type of massage like yes take my whole spine out https://t.co/AzL8Lc6rgS,2020-05-11 16:46:44+00:00,None
6005,6005,38489,government minister people minister sending,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.756430332386531,False,Blaming the Scottish government and our first minister for looking after Scottish people when YOUR prime minister is the one sending yous back to work too soon!!,2020-05-11 16:51:58+00:00,None
6006,6006,40626,head threwd response,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.5701324978799116,False,My head hurts. This threwd sums up the country’s response to this pandemic. https://t.co/5ax9efEID5,2020-05-11 17:00:23+00:00,None
6007,6007,40625,hour announcement conclusion,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,"Almost 24 hours after the PM’s announcement, we reach a conclusion: https://t.co/BmzlsHP4FF",2020-05-11 17:01:07+00:00,None
6008,6008,62832,apology account,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,"Apologies, that should have been sent from this account. @foreverfbc https://t.co/Em1OAY43gY",2020-05-11 18:24:06+00:00,None
6009,6009,40624,minute tray oven food tray,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,It took me a good 5 minutes after putting the tray in the oven to realise that I forgot to put food on the tray. How’s your day going?,2020-05-11 18:44:53+00:00,None
6010,6010,40623,thread head,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.8556927265554665,False,Thread* I DID say my head hurts 🤦🏻‍♀️,2020-05-11 18:47:49+00:00,None
6011,6011,38488,heart people work thing,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.9420846815087268,False,My heart actually swells when I see people using and more importantly crediting my work. Things we love to see 🥺🖤,2020-05-11 19:05:58+00:00,None
