,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
4054,4054,7291,sound drygate saor winterfylleth tonight sound halfway,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,"Despite the sound being iffy at Drygate, Saor (and Winterfylleth) were so good tonight. When they fixed the sound for Saor halfway through, it was just magic 😍 https://t.co/4UGVDZM1V9",2020-02-09 00:20:27+00:00,None
4055,4055,38754,burnin inty skull,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.36311625420533,False,@ntyrbbygrl Ma eyes are fuckin burnin inty his skull,2020-02-09 00:52:35+00:00,None
4056,4056,38753,band profesh night tour,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,"Normally when I’m working w bands I keep it all v profesh. Last night, steaming Jen just went straight for “WHEN ARE YOUS TAKING ME ON TOUR?” https://t.co/oKHxGvVlPJ",2020-02-09 09:02:57+00:00,None
4057,4057,12532,debate decision road cash green money,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.8509243002226835,False,@PaulOnPolitics doing a sterling job hosting debate on Swale council’s decision to not to support £38m road cash. Greens say money should be spent on more buses. What say you? @TimesGuardian @KMSittingbourne https://t.co/ReZ8T8UVIy,2020-02-09 10:48:53+00:00,None
4058,4058,7290,revolution radio life album stretch imagination love song,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,"So, new Green Day... Better than Revolution Radio as it has a bit of life but still not a great album by any stretch of the imagination. Listen to the new Spanish Love Songs album instead.",2020-02-09 11:14:15+00:00,None
4059,4059,38752,didny card,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.9452960168977524,False,@ntyrbbygrl Didny say no either so it’s on the cards maybe! 🤩,2020-02-09 11:16:11+00:00,None
4060,4060,7289,damn preorders time,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,"@THWBcb1 Damn. Man, I hate pre-orders as they’re never on time 😔",2020-02-09 11:18:27+00:00,None
4061,4061,7288,yeah preorders,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,"@THWBcb1 Yeah, I’ve given up on waiting on pre-orders for my first listen. I’m on my second listen myself but it’s so so good 😍",2020-02-09 11:23:16+00:00,None
4062,4062,41846,pick lady luck,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.6922556678816714,False,@HalleyHills Take a pick Lady Luck 🙌🏻.... https://t.co/A7KLSEt4mD,2020-02-09 11:26:39+00:00,None
4063,4063,7287,spotify desktop,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.8503110832667732,False,@THWBcb1 Free Spotify on desktop?,2020-02-09 11:31:52+00:00,None
