,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
10352,10352,37415,deepfake kellyanne conway,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,when i grow up i want to be a deepfake of kellyanne conway,2020-10-09 00:53:42+00:00,None
10353,10353,14683,thing someone,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,tbt this is one of the greatest things i heard someone say on here https://t.co/YqORW47YVK,2020-10-09 01:34:20+00:00,None
10354,10354,14682,photoshop extension plugin oneclick onepress layer effect,4,4_photo_camera_photographer_shot,photo - camera - photographer - shot - shape - picture - photography - image - google - photograph,0.4532574790522518,False,is there a photoshop extension or plugin that let’s you do a one-click or one-press to rename a layer; like in after effects?,2020-10-09 05:06:17+00:00,Life
10355,10355,50506,allotment thousand park,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,Why is this being allowed to happen? Allotments are worth a thousand car parks. Senseless. https://t.co/u01NRtgk9m,2020-10-09 05:28:20+00:00,None
10356,10356,29912,time fritz scifi masterpiece metropolis kraftwerk soundtrack,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,Just in time for #GERM100/101 🎉Fritz Lang's sci-fi masterpiece 'Metropolis' reworked with a Kraftwerk soundtrack https://t.co/iVA3GZws8y via @FarOutMag,2020-10-09 05:48:51+00:00,None
10357,10357,34913,hobby lifeline million,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,"The arts aren't a luxurious hobby, #RishiSunak. They're a lifeline for millions https://t.co/Pq2wtRVSIw",2020-10-09 05:55:51+00:00,None
10358,10358,50505,deffo camp macca youngster lennon imagine lamb ireland irish,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,@mistergough Haha. I'm deffo in Camp Macca these days (although as a youngster I was all about 'rebellious' Lennon)... But Imagine is certainly better than Mary Had A Little Lamb or Give Ireland Back to the Irish.,2020-10-09 06:29:57+00:00,None
10359,10359,50504,song solidarity unity head shoulder imagine,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,"@mistergough But for songs about solidarity, unity and oneness, then We All Stand Together stands head and shoulders above Imagine, don't you think?",2020-10-09 06:30:46+00:00,None
10360,10360,61659,songwriter evening,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,I’m looking forward to playing this songwriters round online gig on Sunday evening! https://t.co/2gbuXYNb5f,2020-10-09 06:41:52+00:00,None
10361,10361,61658,sound plan,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,@myrandomjukebox Sounds like a good plan!,2020-10-09 06:45:09+00:00,None
10362,10362,50503,minister north burnham,1,1_tory_corbyn_labour_party,tory - corbyn - labour - party - union - policy - truss - flag - pension - starmer,0.9774201240889367,False,The Prime Minister of the North does it again. Andy Burnham is ace. #thenorthwillriseagain https://t.co/6lG2ST5SMd,2020-10-09 06:46:31+00:00,Life
10363,10363,9141,people situation money situation trident,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.4873139922731031,False,"People are forgetting that the tax we pay, is for exactly these situations. It’s our money. These situations - and Trident.",2020-10-09 07:26:54+00:00,None
10364,10364,61657,whooo place,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.7379729507440681,False,@BBCCWR @flupton Whooo! That place is lovely.,2020-10-09 07:38:14+00:00,None
10365,10365,61656,process project song,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,@emilybarkerhalo #askemilybarker Hey! What is your songwriting process when you begin a new project or set of songs? 👍🏻,2020-10-09 07:42:02+00:00,None
