,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
11155,11155,5329,everyone butter thats,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,Everyone knows it’s butters! (That’s me),2020-11-05 00:49:54+00:00,None
11156,11156,5328,shoutout taxi driver,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.8180443376332011,False,big shoutout to the taxi driver who let me off with 20p,2020-11-05 00:57:57+00:00,None
11157,11157,5327,bloody jedward,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.1540019834958776,False,I bloody love jedward,2020-11-05 00:59:40+00:00,None
11158,11158,41472,kate bush,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,@BBC6Music Kate Bush,2020-11-05 08:00:42+00:00,None
11159,11159,12314,oasis isle academy,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,Oasis Isle of Sheppey Academy https://t.co/v0P4AhVb8z,2020-11-05 08:09:03+00:00,None
11160,11160,40286,nevada result time,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,@iknowhannah Nevada probably won’t have a result until 6pm your time too,2020-11-05 08:48:35+00:00,None
11161,11161,40285,state mail ballot vote,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,@iknowhannah AND a lot of states have until Nov 10th to count mail in ballots (ie. those received until that day will be counted) and ofc a LOT of them are Dem votes,2020-11-05 08:49:37+00:00,None
11162,11162,34881,facebook cartoon,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.1239019400309553,False,Blocked on Facebook for a cartoon of #DonaldTrump! https://t.co/xpHRiBYooX,2020-11-05 08:52:36+00:00,None
11163,11163,34880,mustwatch moment,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.6465055811473625,False,A must-watch moment https://t.co/KiQ51Zlsj8,2020-11-05 09:31:12+00:00,None
11164,11164,40835,care minister,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.2950255546957872,False,"God I hate the care minister , she is the WORST #ThisMorning",2020-11-05 10:18:48+00:00,None
