,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
13428,13428,40018,bridgerton tiktok,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0814694540601642,False,Bridgerton TikTok is where I’m at with my FYP and I love it,2021-01-06 00:27:30+00:00,None
13429,13429,14574,glow congrats,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,"@myabriabe glow on Mya, congrats!",2021-01-06 06:44:07+00:00,None
13430,13430,62598,james bond,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,@iamErinMcAndrew Skyfall (James Bond),2021-01-06 09:40:11+00:00,None
13431,13431,41426,thank remix night,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.403406322019392,False,@DazzzG Thank you. Have you heard the cool remix of Night Is Gone? https://t.co/AsI36BCehG,2021-01-06 10:18:16+00:00,None
13432,13432,62597,people total album radio promotion people hand incentive donation,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.1146024769017107,False,"Just 5 people have on their own, raised over 10% of the total needed to re-release our album on CD pay for some radio promotion! So come on people, give us a hand, there are some great incentives and #freebies available for donations of over £25 ;) See https://t.co/sFuJIIC3mH",2021-01-06 10:25:10+00:00,None
13433,13433,41425,music solo music vocalist finger music,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,@Spotify Electronic Music including New solo music by our vocalist @MrJamieJamal Plus the usual (fingers crossed new music from) @tracey_thorn @eddireader @BoyGeorge @HudMo @TheHollyJohnson #JohnGrant #DepecheMode #Madonna #Bjork @billybragg @MassiveAttackUK,2021-01-06 10:28:47+00:00,None
13434,13434,37133,brovid homo,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.6856742913127549,False,Brovid-19! No homo! Is this guy going to jail or what? https://t.co/tnwq5IDhGO,2021-01-06 11:29:00+00:00,None
13435,13435,40017,today generation woman teenager liar relationship girl school,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,"Today I realised that I come from a generation of women who, as teenagers, watched Pretty Little Liars and romanticised and obsessed over a relationship between a 15-year-old girl and her high school teacher. One which was Illegal AND toxic. I think that says a lot about us. 🤔",2021-01-06 12:28:00+00:00,None
13436,13436,65024,wool issue,10,10_christmas_soup_merry_xmas,christmas - soup - merry - xmas - biscuit - crochet - carol - blanket - dinner - yorkshire,1.0,False,@_Jo_Harrison1 @JenniPinnock @saxylizbeth Aldi wool issues??,2021-01-06 12:30:29+00:00,Life
13437,13437,10040,enemy give presave,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.3831114739480896,False,Enemy is out on the 15th! Give it a pre-save here: https://t.co/IACGoM8mzI 💜 💜 💜 https://t.co/C3Cc2UMphY,2021-01-06 12:34:48+00:00,None
13438,13438,5159,dread absolute clip thing,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.3976627056783489,False,Dread to think the absolute clip I’d have been if I was 14 when tik tok was a thing,2021-01-06 12:54:49+00:00,None
13439,13439,41424,kitten condition,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.922962065941918,False,New for 2021. God Kills Another Kitten (Mixes) EP By This Human Condition Out - now! Featuring mixes by @fluxmusicuk @fusedofficial @Audiofetish_DE Links.👇 https://t.co/wfO46dWylc #NewMusic2021 #NewMusic #electronicmusic https://t.co/zW3ptW0XFD,2021-01-06 13:07:28+00:00,None
13440,13440,29826,wise person,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,"@IanMaher7 Quite frankly, one wise person would do.",2021-01-06 13:42:32+00:00,None
13441,13441,40016,make sure contact turn vaccine info,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,I don't know who needs to hear this but if you live in the UK make sure you are registered with a GP so that the NHS contacts you when it's your turn to get the vaccine. More info here: https://t.co/LzAGvQnbJp,2021-01-06 13:43:28+00:00,None
13442,13442,55023,agdq energy,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.4968333913063794,False,this golden sun agdq run has SUCH good energy,2021-01-06 14:08:06+00:00,None
13443,13443,41423,someone password,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,1.0,False,@jetfury Get someone you trust to change your password. 😉,2021-01-06 14:21:18+00:00,None
13444,13444,10039,spelling email word,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.3909310765600082,False,I wonder how long at this new job it's going to take for me to mess up the spelling of 'scheduled' in an email. this word keeps getting me.,2021-01-06 15:14:47+00:00,None
13445,13445,61518,look field guitar,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.435504374020819,False,Look!! It’s me in a field holding my guitar! https://t.co/CTkOVITin2,2021-01-06 15:29:50+00:00,None
13446,13446,42839,dems senate biden president stimulus trump loyalist child,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,"Oh boy #2021 starting off strong 💪🏽 The Dems take the Senate, Biden is President Elect, third stimulus is probably on the way , and Trump and his loyalists acting like spoiled children 😂😂 https://t.co/LwPE5GBKfQ",2021-01-06 15:43:02+00:00,None
13447,13447,42838,nonsense substance climax,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,@MsAshleyDevonna Omg same @MsAshleyDevonna and I actually got baited and listened to like 20 min of nonsense with no substance or climax 😂,2021-01-06 15:48:35+00:00,None
13448,13448,42837,puma home home austin texas,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,"@CBSThisMorning @BlackPumasMusic Black Pumas 🤘🏽🤘🏽🤘🏽 @BlackPumasMusic and even better performing my home away from home Austin, Texas",2021-01-06 15:49:56+00:00,None
13449,13449,10038,tune week march email,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.8681428590349033,False,@journothornhill @domlikesrabbits I've got a new tune out next week and an EP coming in March! Funded by @HelpMusiciansUK 💜 if you have an email I'd be happy to send it to you? X,2021-01-06 16:22:31+00:00,None
13450,13450,42836,money washington,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.354635375668058,False,@junktoys Lmao neither have I but I’m wishful thinking lol 😂 @junktoys give us our money 💰 Washington lol https://t.co/HVySmrnM3Z,2021-01-06 16:36:43+00:00,None
13451,13451,10037,powerhouse thanks shoutout,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,So amazing to see PopGirlz mentioned alongside these absolute POWERHOUSES. Thanks to @kohlamusic for the shoutout 😘😘😘 https://t.co/oQmuNtTYfX,2021-01-06 17:17:16+00:00,None
13452,13452,5158,cheeky interview maxmo park tomorrow,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.126064163616115,False,Cheeky interview with Maxïmo Park tomorrow 🔥,2021-01-06 17:17:27+00:00,None
13453,13453,65023,student lesson rehearsal time,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.6548265238449041,False,@teachypiano Maybe its because they'll be thinking about students missing lessons and rehearsal time...,2021-01-06 17:28:57+00:00,None
13454,13454,65022,load xmas gift round,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.0,False,@JenniPinnock @_Jo_Harrison1 @saxylizbeth I bought loads for Xmas gifts then didn't get round to them :D,2021-01-06 18:49:53+00:00,None
13455,13455,28175,invitation link apology link link,-1,-1_people_year_time_thing,people - year - time - thing - music - today - week - song - life - thanks,0.8629497647530688,False,Sent invitation to meeting. No link. Sent apology. No link. Sent link. https://t.co/pRLaU2uCQI,2021-01-06 19:20:37+00:00,None
