,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
23578,23578,covid america intersection health equity workforce,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,COVID-19 and Black America: The Intersection of Health Equity and the NP Workforce https://t.co/4zjjHpJroS #RecommendedReading #Nurses #FOANed https://t.co/CplcYYM7r7,2020-10-09 00:53:02+00:00,None
23579,23579,prayer,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.7792069678794897,False,"@backthebluedawn @BZofficer @teacher_wrusd Oh, no! Prayers!! 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏",2020-10-09 00:55:59+00:00,None
23580,23580,night friend night,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"@bulletgifts Night, my friend! Will message you later! Have a restful night, you and. Rick both. 🙏🙏",2020-10-09 00:57:21+00:00,None
23581,23581,research challenge infarction endocarditis paper,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,Read research on the challenges in managing acture myocardial infarction associated with infective endocarditis in this #openaccess paper. @AFMResearch https://t.co/jIpZKYSX6S,2020-10-09 01:00:44+00:00,None
23582,23582,trial reality goggles dogsb,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.3879547396456529,False,US Army trials augmented reality goggles for dogsb https://t.co/G4rs47o0Ng,2020-10-09 03:48:26+00:00,None
23583,23583,hope,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.7596211471067026,True,@mel_mcdonagh @CathyWinfield Hope you are ok Mel,2020-10-09 04:18:15+00:00,Life
23584,23584,bless thank care,2,2_shift_night_tonight_match,shift - night - tonight - match - ward - sleep - game - bless - emotion - today,0.5260209871162136,False,@mel_mcdonagh @CathyWinfield Bless you. Yes I am ok thank you. See you soon and take care,2020-10-09 05:37:48+00:00,Work
23585,23585,infection assist device implication destination therapy,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.5513961902158675,False,Driveline Infection in Ventricular Assist Devices and Its Implication in the Present Era of Destination Therapy. #heartfailure https://t.co/w0qeHP8oqc,2020-10-09 07:00:36+00:00,None
23586,23586,outcome,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,Early outcomes of #3D printed total #Talus #Arthroplasty https://t.co/WDjPll8THh,2020-10-09 08:00:36+00:00,None
23587,23587,article retrograde ejaculation today,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,Read this recently published #openaccess article on retrograde ejaculation after a #prostatectomy is available to browse today! @AmJMensHealth https://t.co/8mmAlsizF4,2020-10-09 09:00:38+00:00,None
23588,23588,girl,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.2998126816401289,True,Beautiful girl https://t.co/AqCHPnWGeM,2020-10-09 10:17:21+00:00,Life
23589,23589,apron ready share meal bubble sign access recipe ragu sign today,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,Get your aprons at the ready and share a meal with your social bubble for #WorldFoodDay. Sign up now and get access to healthy and delicious recipes – like this comforting ragu. Sign up today https://t.co/N7zvsAr2P3 #FFLGetTogethers https://t.co/pT42w8pNH8,2020-10-09 10:35:04+00:00,None
23590,23590,collection nursing week,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,New CE Collection for National Pediatric Nursing Week! https://t.co/3zb15tKsIi #ProudPediatricNurse #autism #nutrition #depression #concussion #sleep #diabetes https://t.co/Cwf2LbOGB4,2020-10-09 11:15:07+00:00,None
23591,23591,hospital minute telephone appointment hour half,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,been trying to get through to the hospital for the last 25 minutes because my telephone appointment is now an hour and a half late 🙄🙄,2020-10-09 11:51:21+00:00,None
23592,23592,conference info,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.5016356326605945,False,Currently #SHA virtual conference is running #nursing_cardiac_care useful info #COVID19,2020-10-09 12:13:45+00:00,None
23593,23593,mortality percent patient ecmo patient subscription care nurse,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,Mortality Below 40 Percent for COVID-19 Patients Put on ECMO PLUS: Transporting Critically Ill Patients | New CE Subscription for Critical Care Nurses | Remdesivir | PPE https://t.co/9wR4uEG2vU https://t.co/T35VmAsdTO,2020-10-09 15:15:10+00:00,None
23594,23594,afternoon walk centre slip rock lake morning femur afternoon training card pint,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,Boring Friday afternoon waiting to be seen in the walk in centre after a slip on wet rocks in the lakes this morning and a bruised femur. Had had an afternoon of training planned but that’s off the cards..... I feel a pint may be needed later. https://t.co/h0Cmbltm8o,2020-10-09 15:39:52+00:00,None
