,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
25613,25613,comorbid chronic pain stress disorder veteran,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,Just published! #BritJPain Comorbid chronic pain and post-traumatic stress disorder in UK veterans https://t.co/YJMEWuFAPF,2020-11-06 00:00:35+00:00,None
25614,25614,time intervention allegation attack democracy podium house,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"Time for an intervention - sad, dangerous and unsubstantiated allegations - an attack on democracy from a podium in the White House #TrumpMeltdown https://t.co/t02KhbVjJR",2020-11-06 00:12:06+00:00,None
25615,25615,lead georgia pennsylvania democracy fraud,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,Trump’s lead shrinking dramatically in Georgia and Pennsylvania and more to come - this is called democracy - not fraud #BidenForPresident https://t.co/Zi0fymnG6K,2020-11-06 00:35:58+00:00,None
25616,25616,lemme something time quesadilla throw,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.9947748224070938,False,Lemme put y’all on to something.. Next time you make chicken quesadillas.. throw this in it. You’re welcome. https://t.co/KYPjbpet6K,2020-11-06 02:07:37+00:00,Life
25617,25617,mask addition,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,@HelenforrestH How to wear your masks was a great addition. 👍🏻,2020-11-06 06:46:18+00:00,None
25618,25618,clever,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.991232717437128,False,😅 clever boy https://t.co/wX59eTFoXf,2020-11-06 09:06:31+00:00,None
25619,25619,lockdown till,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,"@courtcrossland Omg that’s so good 😩😩 so happy you got it!! Will have to catch up when lockdowns over. Hahaha wish I finished at 4, 7am till 8pm for me 😭😭😭",2020-11-06 09:15:15+00:00,None
25620,25620,onnnnn,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,Come onnnnn 🙊 https://t.co/QR82FYF92s,2020-11-06 09:25:43+00:00,None
25621,25621,number count,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.383678798112344,False,"I know some of these numbers have changed already, but America count faster 🙊 https://t.co/lxQ7fukabI",2020-11-06 09:31:16+00:00,None
25622,25622,slice incumbent house,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,😂😂 send a slice to the incumbent in the White House https://t.co/mp6ffvNsS5,2020-11-06 09:44:51+00:00,None
25623,25623,biden lead georgia state trump pathway,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,Biden takes the lead in Georgia and if he wins the state ... which he will - then Trump will have no pathway to reach 270 🙌🙌🙌 Today’s the day https://t.co/r1sYoXjG6J,2020-11-06 09:48:20+00:00,None
25624,25624,everyone,0,0_morning_hope_coffee_thing,morning - hope - coffee - thing - weekend - chris - person - everyone - sorry - evening,0.7869736689367706,True,Have a great day everyone and be safe and well🌈🌈🌈🌈 https://t.co/vEQzk4Y7QO,2020-11-06 10:19:50+00:00,Life
25625,25625,treat thank,5,5_birthday_heart_dance_treat,birthday - heart - dance - treat - miss - pizza - wish - failure - instagram - skye,0.669198097994106,False,@johnlegend What a treat! Thank you John,2020-11-06 10:22:15+00:00,Life
25626,25626,copy clanlands heughan mctavish,7,7_time_girl_something_article,time - girl - something - article - kind - folk - reading - copy - round - lmao,0.1369075862504997,False,@Waterstones Do you have any signed copies of Clanlands by Sam Heughan and Graham McTavish left?,2020-11-06 10:28:21+00:00,Life
25627,25627,thank,1,1_thank_enjoy_brilliant_support,thank - enjoy - brilliant - support - thankyou - whoop - jackie - yeah - thanks - help,1.0,True,@Waterstones Thank you,2020-11-06 10:32:04+00:00,Life
25628,25628,effort,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.921831996760856,False,More successful than yesterday’s effort! https://t.co/ZsyKMdTebf,2020-11-06 10:53:20+00:00,None
25629,25629,friend leftover domino,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0927871128069556,False,Asking for a friend... is it too early to eat last night’s leftover dominos??,2020-11-06 10:53:37+00:00,None
