,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
30529,30529,nursing blog nursing news story leader safety tale,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"Follow our nursing blog for the latest nursing news, inspiring stories form nurse leaders, patient safety tales, and much more. https://t.co/cAoLPKcBNk https://t.co/EsHAFIIphq",2021-01-06 00:00:36+00:00,None
30530,30530,quality diet,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.3302534916402031,False,Interested in learning about how dietary fat quality in normolipidic diets affects hepatocyte's nuclear #phenotypes? #openaccess https://t.co/hDmydWkwHn,2021-01-06 00:00:37+00:00,None
30531,30531,genius,6,6_week_mile_start_monday,week - mile - start - monday - hill - earth - office - sunset - shiv - tuesday,0.9966236583613012,True,Always said you were a genius 😂😂😂😂 https://t.co/7uJ41gRzed,2021-01-06 00:21:39+00:00,Life
30532,30532,year voting responsibility,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.8993944029766251,False,@retardcaieb @GoldenDarkness7 @KEEMSTAR Im so confused... earlier this year ppl wanted to lower the voting age to 16... now 17 is too young to accept responsibility?!?,2021-01-06 00:51:52+00:00,None
30533,30533,others stranger evening,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,"@Pat_brownie Does it make you feel better to insult others? It’s okay, I understand and I am sorry you’re taking this personally and acting emotional around a silly strangers tweet :) have a wonderful evening",2021-01-06 00:57:51+00:00,None
30534,30534,information training module engagement kidney research,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.2574211946638767,False,"Check out more information on KidneyPRO, a web-based training module for patient engagement in kidney research. @CSNSCN #kidneydisease https://t.co/XamdSJ8Jzl",2021-01-06 01:00:29+00:00,None
30535,30535,holiday shrug,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.438197014370086,False,@DoganLodge @dirtE_11b @Vintageclash @DangerRand_ @ZLanerOFFICIAL Well it was just Christmas holidays *shrugs*,2021-01-06 02:32:00+00:00,None
30536,30536,director mode anxiety work,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,@lucyalanaxo Our managing director has gone into complete panic mode. I’m trying but my anxiety is building and I’ve got uni work to catch up on,2021-01-06 02:39:15+00:00,None
30537,30537,unemployment approx,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,1.0,False,@WSJ Jobs.... we need to focus on getting jobs so ppl can travel Unemployment in US at approx 14%!,2021-01-06 02:39:47+00:00,None
30538,30538,thread parent guardian teacher education administrator,-1,-1_nurse_time_people_year,nurse - time - people - year - care - health - today - patient - nursing - work,0.0,False,"Important thread for any parent/ guardian, teacher, education administrator and politician #COVID19 #onpoli #cdnpoli https://t.co/cRmbCxvUUg",2021-01-06 02:42:22+00:00,None
