,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
1968,1968,22101,value week,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,"So, how long are we giving it before the R value is back above one? I’ll say 2 weeks.",2020-05-11 13:35:03+00:00,None
1969,1969,9445,work trophy,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.7187933803365594,False,"@purpleMash hi, I've noticed some of my sons marked work has different coloured trophies beside it. Can you explain what they mean please?",2020-05-11 19:41:58+00:00,None
1970,1970,7058,team office morning,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@railwaychaplain @andreajcs @StephenERowe @DylisGeorge @Nanahcub225 @Diakonistas @RailChaplains We’ve got some decent teams help guide. Want me to send it over to the office in the morning?,2020-05-12 21:03:25+00:00,None
1971,1971,7057,worry morning instruction background,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.5010147466650156,False,"@railwaychaplain @andreajcs @StephenERowe @DylisGeorge @Nanahcub225 @Diakonistas @RailChaplains No worries, I’ll send it over to Anne in the morning. I’ll try and dig out the instructions to change your background too.",2020-05-12 21:24:36+00:00,None
1972,1972,7056,bribe bristol,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.9415032426320956,False,What do we reckon @networkrailwest I'm open to coffee bribes when I'm back in Bristol 😂 https://t.co/dDBLBaCc5s,2020-05-13 09:33:37+00:00,None
1973,1973,7055,positioning celebs shame,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@debsylee This positioning is great - don't celebs shame you 😂😂 https://t.co/JnlT2C0DKl,2020-05-13 09:34:19+00:00,None
1974,1974,7054,team hello contractor place thanks,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"@BTPAvonSomerset @GWRHelp As much as I love the team at @gwrhelp we also need to say a hello to @networkrailwest their lovely contractors (me, biased much?!) who are still out in places too. But thanks to all 3 for all you're doing right now #OrangeArmyrocks",2020-05-13 09:35:59+00:00,None
1975,1975,22100,week number,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,I’ll give it two weeks before the R number is above 1. https://t.co/gjdEtsJiwg,2020-05-13 12:44:39+00:00,None
1976,1976,9444,bachmann park,9,9_station_park_facebook_cream,station - park - facebook - cream - island - wall - castle - group - bletchley - railway,0.6235553823726386,False,@RMcCarthy86 @herguestridge Do a Bachmann and keep it in the car park!,2020-05-13 13:42:18+00:00,Life
1977,1977,7053,hour call reckon,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,@BristolBears @zoom_us I have a 2 hour call with Russ on Wed @Chris_I_Carter reckon he'd like to see one of these behind me?!,2020-05-13 21:29:49+00:00,None
1978,1978,9443,morning doctor,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.2702853968560925,False,@DrHilaryJones where did you get the tie from this morning Doctor?,2020-05-14 08:31:30+00:00,None
1979,1979,7052,slat roll,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@m4rkj @SweatyMcGoober Tap Slat Hat Bread Roll,2020-05-14 11:45:13+00:00,None
1980,1980,17784,word school virus tracking number death risk life health,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.4882198676932532,False,"@MattHancock Don't believe a word of it, I wouldn't want my kids back in school until the virus is well and truly contained, let's see proper testing, tracking and tracing with numbers of all deaths confirmed as massively reduced before reckless risk to people's life and health",2020-05-14 13:03:45+00:00,None
1981,1981,7051,salt vinegar chocolate rice cake love cottage chicken curry rice eveningbecome creature habit,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"@phil500 @Snackajacks salt and vinegar or chocolate rice cakes are now a must, and developed a love also for @tesco low fat cottage pie or chicken curry and rice for tea along with #becksbluebeer in the evening...become a creature of habit whilst he's away!",2020-05-14 14:57:39+00:00,None
1982,1982,9442,question question sanity point reality,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@Tringonometry Question 1: Who is Mr Dogg? Question 2: Have we checked his sanity? Point 1: I reject his reality and substitute my own! https://t.co/n4WUWPI6rq,2020-05-15 05:31:18+00:00,None
1983,1983,17783,siobhan environment level rise line year reward,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"@Siobhan_Baillie All very good Siobhan but how about you ensure that they have a safe environment with proper levels of #ppe to work in and award them a pay rise, perhaps in line with what MP's award themselves each year. #NHSheroes deserve more than a symbolic reward, give them an actual one",2020-05-15 08:24:21+00:00,None
1984,1984,7050,ribena ribena berry someone factory bena berry everytime parent past month,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@FoDDC @LRSuntory Remember the ribena ad with the 'ribena berries'? I once told someone that the C'ford factory was where the 'bena berries' went to die....she cried everytime her parents drove past for about 3 months 😂😂,2020-05-15 11:47:11+00:00,None
1985,1985,9441,forbidden film morning coincident,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.2515022208967379,False,@LeeRender @Tringonometry He started it by talking about the forbidden film this morning! It cannot be just a coincident! https://t.co/fkt08ffUIM,2020-05-15 15:12:52+00:00,None
1986,1986,7049,dungeon dragon year virgin description,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.5508220543471699,False,"@WalesOnline Dungeons and Dragons fan, 20 years old - may as well have added virgin to the description.",2020-05-15 19:41:25+00:00,None
1987,1987,22099,operation speed title oxford title,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,"Operation Warp Speed, ey? Glamorous title. Love it. I predict Oxford are gonna be first though. Oh, that’s without silly titles too. https://t.co/8yDQQmSJkJ",2020-05-16 13:14:58+00:00,None
1988,1988,9440,week roast pork,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@jameshepburn91 Bit early in the week for roast pork.,2020-05-16 13:28:30+00:00,None
1989,1989,17782,condition politician condition something site quicker,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.8549277702279352,False,#NHS let down and sent to work in unsafe conditions without adequate #PPE #Covid19UK I'll bet if the politicians were being asked to work in unsafe conditions they'd do something about it a damn site quicker https://t.co/pWCz6NmgjI,2020-05-17 00:54:04+00:00,None
1990,1990,22098,something year captain pike comeback,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,Something positive about this shitty year at last. The unbearably beautiful Captain Pike is making a comeback! Hit it 🖖🏻 https://t.co/ingLwsNDjH,2020-05-17 14:08:05+00:00,None
1991,1991,9439,ashridge sort freelance branch bluebell line,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0549836462771829,False,"@NSE_KentLink Ashridge, sort of freelance but roughly off the Ardingly branch on the Bluebell Line.",2020-05-17 17:27:07+00:00,None
1992,1992,9438,news confidence peak street middle,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.8421698874466073,False,"@_SteveAB @NetworkRailEUS That news doesn't fill me with confidence, I've got a PM Peak out of New Street later, as much as I don't enjoy it, might work solely from rear cab instead of the middle of that one.",2020-05-18 06:21:12+00:00,None
1993,1993,9437,ride anyones,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"@RMcCarthy86 If I'm kept fed and having HST rides, then I'm anyone's!",2020-05-19 08:04:47+00:00,None
1994,1994,17781,teacher pupil teacher pupil return govt plan standard,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"Really! WTF if it's good enough for teachers and pupils it's good enough for them! When teachers and pupils can make a safe return with social distancing, testing and tracing it will be OK. Govt should have a plan, bloody MP's with their double standards! https://t.co/btxezjWFWW",2020-05-19 13:20:07+00:00,None
1995,1995,22097,hind teeth kind encounter connection,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,I would give my hind teeth for this kind of encounter ❤️ Orca Connection https://t.co/kXW0B0z03C via @YouTube,2020-05-19 17:59:22+00:00,None
1996,1996,7048,choiceeveryone people diesel game year something,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,@agaymansdiary @WalesOnline Totally by choice....everyone else’s 😂 though tbf people like Vin Diesel love the game and it’s been going for years so must be something in it.,2020-05-19 19:13:32+00:00,None
1997,1997,7047,work callwill bitmight team,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.8105854424742227,False,@agaymansdiary @WalesOnline On a work call.....will do in a bit...might have some explaining if I suddenly played that over Teams!,2020-05-19 19:15:33+00:00,None
1998,1998,22096,birthday sausage,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,"@dangerous_adam Happy Birthday, sausage 🥳",2020-05-19 20:43:17+00:00,None
1999,1999,21329,hoover operation manager time,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@RPMarks A fine Hoover era on the South Western. I was Divisional Operations Manager at the time,2020-05-19 21:48:13+00:00,None
2000,2000,21328,heathrow rail link option heathrow express guildford reigate chord redhill,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"@surfblue99 @GarethDennis @stejormur Cue Heathrow Southern Rail Link. My favourite option is to extend the Heathrow Express to Gatwick via this, then Woking, Guildford, Reigate and a new W-S chord at Redhill",2020-05-20 07:48:01+00:00,None
2001,2001,9436,halfway month life,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.7639530406825484,False,"@paul_winginit @RMcCarthy86 Halfway there next month, where has my life gone?!",2020-05-20 07:58:11+00:00,None
2002,2002,21327,morning nothing,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,If this doesn’t brighten up your morning then nothing will https://t.co/RKexcqKHcp,2020-05-20 08:00:41+00:00,None
2003,2003,21326,risk assessment documentation,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@CherryBaz I’m presuming their Mum had reviewed the Risk Assessment documentation 😂,2020-05-20 11:44:52+00:00,None
2004,2004,7046,hero cape seriousness everyone family,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"Not all heroes wear capes 😂😂 but in all seriousness, glad everyone was ok and that it didn't wipe out a pedestrian or family. https://t.co/U3U3LxjPqO",2020-05-20 12:04:32+00:00,None
2005,2005,7045,show question people answer,2,2_thanks_john_congratulation_thank,thanks - john - congratulation - thank - reply - congrats - response - peter - paul - jason,0.3633717799234137,False,"@fawwon1 I think sometimes on this show, the questions are so simple, people think ""that can't be the answer it's far too easy"".",2020-05-20 15:49:43+00:00,Life
2006,2006,21325,rebel cause,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,@christianwolmar @TheFactCompiler Rebel with a cause,2020-05-20 16:08:03+00:00,None
2007,2007,21324,rebel cause,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,@christianwolmar @TheFactCompiler Rebel without a cause,2020-05-20 16:09:35+00:00,None
2008,2008,21323,twitter point,5,5_tweet_twitter_people_someone,tweet - twitter - people - someone - account - musk - twat - year - thread - reply,1.0,False,@TheFactCompiler @christianwolmar I seem to have failed to master Twitter at this point - you are without whereas he is with,2020-05-20 16:11:06+00:00,Life
2009,2009,7044,break time time stride bounce dont anyone,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"@perrigame Do you know what, I look back at all you've been through over the yrs including your 'spa break with her majesty time' and I'm actually really proud of how each time you take it in your stride, bounce back stronger and better. Dont let anyone take that from you",2020-05-20 16:15:58+00:00,None
2010,2010,7043,stuff others people call,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"@perrigame You are more than welcome - you have been through some stuff that for others would have ended them - you got through them, you will get through this. There are more people for you than against you and many only a call away",2020-05-20 16:23:24+00:00,None
2011,2011,21322,time flamethrower,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.4454706808331599,False,@TheFactCompiler @christianwolmar Next time perhaps I’ll bring a flamethrower then,2020-05-20 17:00:20+00:00,None
2012,2012,7042,morning officer something boot door chat roadworks coffee defence,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.6704864465121503,False,@samsparkes999 Once got stopped early morning on way to work by a lovely A&amp;S officer as something was caught in my boot door and he said to me during the chat 'those roadworks you drove around' to which I responded with 'what roadworks?' It was stupidly early no coffee yet in my defence!,2020-05-20 18:16:27+00:00,None
2013,2013,21321,traction motor,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,@Worthy_Driver @Suburban_Jogger @FelixFiennes @swtrains_watch I think @FelixFiennes was talking about 442s. Shall we tell him about the traction motors?,2020-05-21 14:59:29+00:00,None
2014,2014,9435,guard guard version,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,"@TheNightTrain3 We haven't a guard, we haven't a guard! At least, I think that's what the UK version is.",2020-05-21 16:28:48+00:00,None
2015,2015,17780,surprise government,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.4914945526372682,False,"@acgrayling What an f'ing surprise, I wonder who told who not to pursue this. They're just as corrupt as trump's government",2020-05-21 23:46:03+00:00,None
2016,2016,7041,drink coffee person coffee stair,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.1461915426315839,False,@MsWelshyyy One of us feels the other drinks far too much coffee every day. Said person also fails to realise that it’s the said coffee that’s stopping me from pushing him down the stairs....,2020-05-23 12:42:35+00:00,None
2017,2017,9434,bachmann club,9,9_station_park_facebook_cream,station - park - facebook - cream - island - wall - castle - group - bletchley - railway,0.3936253782369324,False,@CopleyHill I need to rejoin the bachmann club to get more boxes after seeing this.,2020-05-23 13:59:48+00:00,Life
2018,2018,21320,office intern list idea description loop branch rail conversion waterside branch,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"@philatrail It rather looks like the office intern was left to write this list up. Probably some good ideas here but the descriptions are appallling. I’m guessing a loop for the Abbey branch, or else light rail conversion? Waterside is Fawley branch maybe?",2020-05-23 16:41:00+00:00,None
2019,2019,21319,boris minder disaster someone government policy making,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"Wow! Boris without his pet minder would probably be a disaster, unless he can hire someone who can corral government policy making and comms better. https://t.co/PUhZjN2U4r",2020-05-23 17:02:51+00:00,None
2020,2020,21318,reaction story sympathy situation decision attempt rule,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@Dannythefink My initial reaction to this story was one of sympathy: in a similar hypothetical situation I might have come to the same decision. But the attempts to spin this as “within the rules” seem doomed to fail,2020-05-23 17:09:14+00:00,None
2021,2021,21317,version routeing guide,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.4687870414626401,False,@TheFactCompiler Does the new-fangled version of the Routeing Guide still permit this I wonder?,2020-05-23 17:20:17+00:00,None
2022,2022,21316,puff fact,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,@christianwolmar Don’t ruin a great PR puff with some awkward facts,2020-05-23 17:38:17+00:00,None
