,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
3389,3389,18280,morning love sock morning,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.4597612256635768,False,@kimberlyann30 Morning love. I was all ready to go and get myself some new socks this morning. Now Boris said no 😭😂xx,2020-11-05 07:21:58+00:00,None
3390,3390,18279,kind brave google,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@kimberlyann30 Haha. How kind you are are 😂 I will just have to be a big brave boy and try to use the Google myself 😜xx,2020-11-05 07:24:42+00:00,None
3391,3391,18278,side google thanks home london week time,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.3940074936116056,False,@kimberlyann30 I have experienced the naughty side of the Google 😂 That's really nice of you babe. Thank you so much. But I'm good thanks. Some working from home. But got 3 days in the London next week. So not the same as last time,2020-11-05 07:29:34+00:00,None
3392,3392,18277,asda cake,4,4_treasury_minister_mayor_sunak,treasury - minister - mayor - sunak - shapps - budget - funding - protest - cake - government,1.0,False,"@kimberlyann30 I sure do. Massive hugs to you, from me and the boys. The boys say pop down Asda and grab them a big cake 🐭🐭😂xx",2020-11-05 07:33:11+00:00,Life
3393,3393,18276,wrestling match,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@kimberlyann30 That's so them. It's like a wrestling match 😂xx,2020-11-05 08:08:22+00:00,None
3394,3394,17267,spelling john,2,2_thanks_john_congratulation_thank,thanks - john - congratulation - thank - reply - congrats - response - peter - paul - jason,1.0,True,@JohnHyde1982 Your spelling is atrocious John,2020-11-05 09:06:30+00:00,Life
3395,3395,17266,congratulation trump tweet,2,2_thanks_john_congratulation_thank,thanks - john - congratulation - thank - reply - congrats - response - peter - paul - jason,0.1797286437335682,False,Congratulations for getting “Trump” and “moral” into the same tweet 😂😂😂 https://t.co/40yCb0WkD3,2020-11-05 09:07:42+00:00,Life
3396,3396,20739,vote purpose future flight,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.9617279949039872,False,"I have claimed, for Electoral Vote purposes, Seat 1A on every future flight I take",2020-11-05 11:24:59+00:00,None
3397,3397,20738,democracy yesterday,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@nycjayjay @alexcburrows What do we want? Democracy. When do we want it? Yesterday.,2020-11-05 11:30:02+00:00,None
3398,3398,20737,fleet month year something,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.3690508873641258,False,@railandroad @LNER @Hull_Trains How did Chiltern’s unchanged fleet age by 21 months in a year? Or have I missed something?,2020-11-05 11:33:03+00:00,None
3399,3399,17265,class hyperion satyr,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,If only. What class this man had. “Hyperion to a Satyr” https://t.co/RJn7Iq3Fvu,2020-11-05 12:46:24+00:00,None
3400,3400,6913,kettlebells weight yesterday,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@WestLondonplod try @FitnSuperstore they had some kettlebells and weights yesterday,2020-11-05 13:50:07+00:00,None
3401,3401,9173,review week model rail,0,0_rail_railway_industry_network,rail - railway - industry - network - article - company - train - tocs - government - people,1.0,False,"@S_Thomas1990 Saw a review last week in Model Rail, so can't be too far away.",2020-11-05 18:23:15+00:00,Work
3402,3402,17264,office prison cell,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.6353010967481877,False,Can you run for office from a prison cell? https://t.co/J7CBVVEk1r,2020-11-05 19:21:52+00:00,None
3403,3403,17263,wait trial washington,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.4042792311273913,False,@DinahRoseQC I can’t wait for the “Trial of the Washington One”,2020-11-05 20:23:42+00:00,None
3404,3404,18275,opposite trump hope president prediction,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.1736145317266506,False,@BethRigby It's so refreshing to have the complete opposite of Trump. Let's hope he becomes President very soon and the predictions are right.,2020-11-05 21:28:20+00:00,None
3405,3405,18274,welbeck maupay,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,Good to see Welbeck and Maupay starting together. Come on you Seagulls 🔵⚪#bhafc,2020-11-06 16:37:18+00:00,None
3406,3406,17262,biden people john mccain,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,0.3575177200773318,False,"Not missing. They voted Biden because you dissed Vets, and people like John McCain https://t.co/wOyUrZ0u0G",2020-11-06 19:29:00+00:00,Life
3407,3407,20736,route recast minute service load operator train,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"@AvantiWestCoast Is this going to be done by simply removing one tph from each route, or by a TT recast? If the former, will leave 40/20 minute interval service. If the latter, affects a whole load of other Operators’ trains too!",2020-11-06 19:36:29+00:00,None
3408,3408,20735,democrat vote vote,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,0.3430602282468728,False,@geofftech Thameslink clearly Democrat and stealing the vote. STOP COUNTING THE VOTES,2020-11-06 19:39:24+00:00,Life
3409,3409,18273,bloke phoenix vote arizona,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,0.9484530792954312,False,"Is there like one bloke in Phoenix, counting all the votes for Arizona? Surely it doesn't take this long! #USElection2020",2020-11-06 22:10:15+00:00,Life
3410,3410,20734,someone organisation tweet,5,5_tweet_twitter_people_someone,tweet - twitter - people - someone - account - musk - twat - year - thread - reply,1.0,False,"@AvantiWestCoast Is this saying “I don’t know” or “I do know, but I’m just not allowed to tell”? Someone in your organisation must know what’s going on or your original tweet could not have been published. Odd.",2020-11-06 22:29:46+00:00,Life
3411,3411,20733,iain building block date,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.2667097968986075,False,@philatrail That’s the last of Iain Coucher’s building blocks that date back to 2002 dismantled then,2020-11-06 22:33:08+00:00,None
3412,3412,6912,year today start role,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"After 4 years today was my last day as EA to my boss. Start again on Monday new role, same boss. Going to be weird.",2020-11-06 23:32:13+00:00,None
3413,3413,17261,trump tweet zeitgeist perspicacity look funk donny,5,5_tweet_twitter_people_someone,tweet - twitter - people - someone - account - musk - twat - year - thread - reply,1.0,False,Yet another trump tweet of the Zeitgeist. His perspicacity is uncanny (Look THAT up in your Funk and Wagnall’s Donny) 😂😂 https://t.co/9ahRLLLVXI,2020-11-07 07:17:02+00:00,Life
3414,3414,6911,thank youwe chat night staying herder hope office point,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,@Chris_I_Carter Thank you...we had a chat last night as he felt we needed to mark it somehow. He nearly made me cry! I’m glad I’m staying and moving up but going to miss being his cat herder a bit. Hope to get to the office at some point!,2020-11-07 08:57:40+00:00,None
3415,3415,18272,somehow donna,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.4542848080595015,False,"@kimberlyann30 Same here. Can they both lose somehow, Donna? Xx",2020-11-07 11:44:59+00:00,None
3416,3416,18271,idea twitter,5,5_tweet_twitter_people_someone,tweet - twitter - people - someone - account - musk - twat - year - thread - reply,1.0,False,@emmabee_2404 @Jonsie84 @bendolino Great idea. Not sure about Mark's twitter. Think this is it @MarkF92a actually lol,2020-11-07 14:34:01+00:00,Life
3417,3417,9172,squad player staff wonder knowledge,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.0,False,"Yet again Max isn't in the squad, really feel for the guy, talented player, but clearly not rated by coaching staff. Wonder if he was signed by DF without Roy's knowledge. #cpfc",2020-11-07 14:43:01+00:00,None
3418,3418,18270,look milk,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.775024563739703,False,My look when I put too much milk in my tea. https://t.co/Aqf8TTa0i3,2020-11-07 14:45:33+00:00,None
3419,3419,17260,crate vote,3,3_tory_party_labour_election,tory - party - labour - election - vote - leader - picket - voter - leadership - blair,0.9653339250483374,False,@BarristerSecret Ha. You’ve suddenly found another crate full of votes! #BidenBunny 😂😂😂,2020-11-07 15:03:29+00:00,Life
3420,3420,18269,damn hope fella,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.3854969398137123,False,"@Madafwo Damn, it was worth a shot! Hope you're doing ok fella?",2020-11-07 15:26:00+00:00,None
3421,3421,18268,mate mixture home training,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.3703456084656956,False,@Madafwo All good mate. Still doing a mixture of home and training at the mo.,2020-11-07 15:28:51+00:00,None
3422,3422,9171,bamford point,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.7466027790941334,False,"That was coming, Bamford clearly has a point to prove.",2020-11-07 15:29:50+00:00,None
3423,3423,18267,thing course,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,1.0,False,@Madafwo Definitely good to see things having a bit of normality. Second lockdown isn't helping of course. Many seen to be ignoring it tho.,2020-11-07 15:32:46+00:00,None
3424,3424,17259,orange juice,-1,-1_time_train_people_year,time - train - people - year - service - line - thing - work - today - week,0.8625233767507383,False,“AND I WANT MY ORANGE JUICE NOW!” https://t.co/AIuxUmeywE,2020-11-07 15:39:55+00:00,None
