,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
21794,21794,8767,donald trump point,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.4735129319771901,False,@Hazels_Vibes @emmakennytv @impulsivewoman @realDonaldTrump @JuliaHB1 @McGiff @MichaelYeadon3 @FatEmperor Donald Trump has had it (in more ways than one). No point telling him.,2020-12-03 00:16:13+00:00,None
21795,21795,8766,regulator article vaccine university,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.5245323687775544,False,"@Hazels_Vibes EU regulators will decide by Dec 29th according to that article, so not long to wait. Also Oxford vaccine, developed by universities, doesn’t seem to be far behind.",2020-12-03 00:53:59+00:00,None
21796,21796,106237,morning yesterday,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,@Constant55 @virkjay @NicolaWood64 @jjb3621 Morning for yesterday,2020-12-03 05:25:11+00:00,None
21797,21797,106236,morning yesterday,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,@NicolaWood64 @virkjay @Constant55 @jjb3621 Morning for yesterday,2020-12-03 05:25:24+00:00,None
21798,21798,106235,morning yesterday,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,@jjb3621 @virkjay @Constant55 @NicolaWood64 Morning for yesterday,2020-12-03 05:25:46+00:00,None
21799,21799,106234,spot kind,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.9980522538331712,False,@virkjay @Constant55 @NicolaWood64 @jjb3621 It’s a spit spot kind of day - we will be making our own ☀️ Have a good day,2020-12-03 05:26:50+00:00,None
21800,21800,106233,morning,2,2_morning_james_claire_paul,morning - james - claire - paul - nicola - thanks - adventure - monday - beatles - queue,1.0,True,@virkjay @Constant55 @NicolaWood64 @jjb3621 Morning lovely,2020-12-03 05:47:14+00:00,Life
21801,21801,106232,morning,2,2_morning_james_claire_paul,morning - james - claire - paul - nicola - thanks - adventure - monday - beatles - queue,1.0,True,@Constant55 @virkjay @NicolaWood64 @jjb3621 Morning lovely,2020-12-03 06:45:18+00:00,Life
21802,21802,112073,luck today,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,Best of luck @DrFrostMaths in the @TeacherPrize today!,2020-12-03 06:50:27+00:00,None
21803,21803,112072,topic list advance formula sheet exam place inspection grading people,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,1. “More generous grading” 2. “Topic lists given in advance” 3. “Formulae sheets provided” 4. “Extra back up exams in place for those who miss them” 5. “No full Ofsted inspections until at least March” 6. No regional grading What do we think people? https://t.co/pEg4o6p5cY,2020-12-03 07:07:34+00:00,None
