,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
29300,29300,106052,beautiful smile,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.9553194139763268,False,@Constant55 @virkjay @jjb3621 @NicolaWood64 Beautiful smile,2021-03-09 06:45:58+00:00,None
29301,29301,38468,school share puppy,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.1803994824769423,False,@dsheadteacher @bekblayton Absolutely! They have become used to the new normal way of school and now have to share it with what looked like over active hyper new puppies!,2021-03-09 07:12:22+00:00,None
29302,29302,18741,recess speaker,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,How about HOC cancelling all ‘recess’ to ‘catch up’? Speaker?,2021-03-09 08:17:24+00:00,None
29303,29303,17326,teacher coat cold,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@MartinRemains Kids and teachers can wear coats if it’s cold,2021-03-09 08:27:25+00:00,None
29304,29304,20351,constituent press behaviour health struggle mocking suicide health page today,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.3491473536556287,False,@_RobbieMoore hi I’m your constituent. We’ve spoken before about the press behaviour. I have mental health struggles. What are you going to do to hold them to account for their mocking of suicide and mental health struggled across every one of their pages today?,2021-03-09 08:37:11+00:00,None
29305,29305,20350,people solution housing crisis moaning solution,6,6_energy_price_bill_cost,energy - price - bill - cost - water - inflation - company - crisis - profit - petrol,1.0,False,@_RobbieMoore Can you elaborate where you think people should live and what your solution is to the housing crisis? Otherwise it looks like you’re just moaning and have no better solution.,2021-03-09 08:38:38+00:00,Life
29306,29306,20349,woman area work care rise year life expectancy difference woman constituency country,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@_RobbieMoore Hi I’m your constituent. Many many Women in your area work in low paid NHS or care jobs and an NHS pay rise would help to address the 10 year life expectancy difference between wealthy and poor women in your constituency. Which is one of the most unequal in the country.,2021-03-09 08:40:35+00:00,None
29307,29307,20348,teacher load book classroom decade,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@_RobbieMoore As a teacher I have to buy loads of books for my classroom because we have been systematically defunded for a decade :( worse than the 1970’s. https://t.co/EjoRODlIA0,2021-03-09 08:46:57+00:00,None
29308,29308,20347,constituent assurance hypocrisy press behaviour parto gaslighting,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"@_RobbieMoore As your constituent I would like your assurance that you see the hypocrisy here and that you don’t think this press behaviour is acceptable. Also, that you know or can look up Madonna del Parto and understand what gaslighting is. Thankyou https://t.co/Kc9xlN1Bse",2021-03-09 09:01:34+00:00,None
29309,29309,119273,relationship history curriculum literacy inclusion diversity history look security vocab march,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.4489190462969422,False,"What's the relationship betw a thorough, well-sequenced history curriculum, literacy inclusion? What do breadth diversity in primary history look like? How can high-leverage teaching ensure security in rich vocab? Join me @Mastin_SJJH @HistoryPrimary @histassoc on 15 March https://t.co/MVrNSlOR77",2021-03-09 10:26:18+00:00,None
29310,29310,47873,office budget education budget,7,7_money_funding_school_charity,money - funding - school - charity - donation - budget - fund - penny - cell - pocket,1.0,False,"The Executive office budget is increasing by 12.5%, as education budget is cut by 0.4% https://t.co/P9fpeKns6T",2021-03-09 14:06:06+00:00,Work
29311,29311,53971,anyone vote meant country,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,https://t.co/ezqNw2WHBP are you kidding me? How can anyone be imprisoned for allowing a vote in what’s meant to be a democratic country? #CarlesPuigdemont #Catalunya #Catalan,2021-03-09 14:31:51+00:00,None
29312,29312,58424,lesson lesson stretch boom,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,"@Gwenelope 5 lessons, with a 3 lesson stretch. I'm back! Boom!",2021-03-09 15:24:00+00:00,None
29313,29313,72256,home walk school today parent home,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,I'm still teaching from home as I'm shielding. Went for my daily walk at the end of the school day today totally forgetting there would be kids and parents everywhere so very swiftly retreated back home https://t.co/FGDzOlogTv,2021-03-09 15:29:49+00:00,None
29314,29314,58423,week term view todayi school frustration,1,1_holiday_week_summer_easter,holiday - week - summer - easter - bank - term - food - solidarity - school - recovery,0.7221168117616171,False,Come back to me next week for a longer term view but today...I loved being back in school. Many frustrations but essentially great,2021-03-09 15:34:28+00:00,Work
29315,29315,60778,favour copy birthday,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,"@ScotsPostPunk @magazineband @AdamsonBarry @GCPunkNewWave @unclewald @jimbmccormack @RecCollMag @lapsedvinylgod1 @caroline_binnie Do us a favour and buy me a copy as well (my birthday is coming up, after all).",2021-03-09 16:44:30+00:00,None
29316,29316,47872,covid proposal pupil april school child school primary march news,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.9146978339497236,False,Covid-19: Proposal for all NI pupils to return by 12 April also recommends that all primary school children who have not yet returned to school (primaries four to seven) should start on 22 March - #BBC News https://t.co/GDXUqOwrov,2021-03-09 18:01:18+00:00,None
29317,29317,27312,money party,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"Yes, to safeguarding #VotingRights but the #VotingRightsAct does more, like expanding big money, making third parties more difficult to form: https://t.co/NPXJywjHRh @ProudSocialist @GreenPartyUS @People4Bernie",2021-03-09 18:05:17+00:00,None
29318,29318,27311,news model journalism reporter career,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,"@rklein90 Tough news. So sorry to hear this. We need a better model for independent journalism so good reporters can support themselves, have careers.",2021-03-09 18:07:30+00:00,None
29319,29319,27310,reason news organization help rest labor,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"@mckinneykelsey Disgusted but not shocked. Another reason we need strong, democratic #unions in news organizations, which can count on help from the rest of labor. @latguild @nyguild",2021-03-09 18:11:20+00:00,None
29320,29320,27309,capitalism union push space worker dignity,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"@eric_black3 @mckinneykelsey What you're saying is that capitalism can't be humane. I agree. But I also know democratic, strong unions push where there's space - and there still is - to defend workers' dignity.",2021-03-09 18:13:07+00:00,None
29321,29321,20346,imagine believing people right people life,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.3696019366629068,False,@Telegraph Imagine believing that people don’t have the basic right of removing harmful people from their lives. He doesn’t own her.,2021-03-09 18:33:05+00:00,None
29322,29322,58422,teacher colleague school something extrovert adrenaline,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"@Gwenelope We are teachers Gwen! It is in us and it will snap back for you when the kids are in. Also I love my colleagues, love my school, and as something of an extrovert I am on an adrenaline high!",2021-03-09 18:56:40+00:00,None
29323,29323,58421,faves poem decade subject,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.2358079624152747,False,"@Gwenelope I was round some old faves today...AIC, Othello, Poems of the decade. Is there any better Subject to teach? Honestly there can't be",2021-03-09 18:58:49+00:00,None
29324,29324,55677,news tour fondness hour loss,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@chrismorgan1980 @TheCricketerMag @huwzat Horrible news. So sad. Remember those Barbados tours with such fondness and many hours spent with the great man. What a loss.,2021-03-09 19:00:14+00:00,None
29325,29325,119272,advice technique tool consideration history form practice teach reading,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.2846764306772568,False,"@MonsieurBenger @MrGeorgeTowers @JennyKBaldwin @SnelsonH @TIJenner @KateHammond1 @jcarrollhistory Agree with @MonsieurBenger - great advice. Very important not to think of it as techniques or tools, but rather a consideration of what history, in all its forms and practices, teaches about reading and writing. This may be helpful: https://t.co/AdcDKxW5xH",2021-03-09 19:17:25+00:00,None
29326,29326,66566,jonathan attempt sherlock zeitgeist,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.2243781536307783,False,@FourfieldsY6 Jonathan Creek. The early ones. Not the recent attempts at cashing in on the Sherlock zeitgeist.,2021-03-09 19:17:34+00:00,None
