,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
8185,8185,106956,story something process glad time,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,Incredibly well said. Such a familiar story and so sad- something has to change. The way we fund and the EHC process need looking at. Glad it isn’t just me who feels frustrated at times. https://t.co/gw6ihuSF94,2020-02-09 07:47:30+00:00,None
8186,8186,122785,accent hair ughhhh,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.357585273978721,False,"@FastSyd I stopped watched because of him! His accent, his hair, his tea, the way he crosses his legs - ughhhh. Can’t stand him!",2020-02-09 07:56:30+00:00,None
8187,8187,10589,well piece school school banner advertisement logo,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.3244745292976597,False,"A well reasoned piece. Will Heads in ‘Outstanding’ schools take down their school banners, advertisements and logos? Perhaps then the #quietrevolution may make a little more noise. #PauseOfsted @RosMcM @LeadingLearner @HeadsRoundtable https://t.co/27MNC3e2hu",2020-02-09 09:17:59+00:00,None
8188,8188,33807,road prospect whitby,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@JonMarkDeane Just up the road - Prospect of Whitby,2020-02-09 09:24:56+00:00,None
8189,8189,21647,respite school sector profession year govians parent community union council,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"Even with Agnew gone, there'll be no respite for a school sector and a profession thoroughly undermined over the last 10 years (and more). The Govians haven't let go. Parents, communities, unions and councils need to stop them before it's all too late. https://t.co/UMIFcnWHyD",2020-02-09 10:06:24+00:00,None
8190,8190,10588,plenty opinion conversation,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.3489667330807585,False,Plenty of opinions being expressed on #pauseOfsted Do we need more conversation @MichaelT1979 @Mr_N_Wood or a #quietrevolution @LeadingLearner @HeadsRoundtable @HannayJeremy @bennewmark @RossMcGill @TeacherToolkit @RosMcM @MaryBoustedNEU ? https://t.co/z4SidOPg5z https://t.co/aQdlNfr9Ds,2020-02-09 13:45:47+00:00,None
8191,8191,113680,news work work internet basic politics language,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@greenwellys Understand how news works and work out what is genuine whether on internet or IRL. Basics of politics and how it affects them. Learn a foreign language obv 😄,2020-02-09 13:55:23+00:00,None
8192,8192,38804,minute start minute time game thing adult child time shorter teaching child,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.5172720690269548,False,@CLG7179 @digitalmaverick We’ve built into the day nearly 40 minutes at the start at 20+ minutes at the end time to play games and do things together adults and children. Makes. Lesson time shorter but much more focussed teaching and learning. Children ready to learn.,2020-02-09 15:24:46+00:00,None
8193,8193,33806,mistake cycling bank morning,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,Made a mistake cycling to the south bank this morning 💨 🚲,2020-02-09 15:24:59+00:00,None
8194,8194,38803,anyone anyone company london hounslow power school work area thanks,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,Does anyone know anyone @GSK_bio or any other companies in West London Hounslow that would be willing to donate manpower/people power to help our special school work on our outdoor area? Thanks.,2020-02-09 17:31:53+00:00,None
