,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
19287,19287,8987,course wife,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,@benpilkslyons @YouTube Well I suppose it’s obvious really. Of course he was invited by David’s wife. Duh 🤨,2020-10-09 00:09:33+00:00,None
19288,19288,106383,friday,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.60751903713949,False,@virkjay @NicolaWood64 @Constant55 @jjb3621 Happy Friday 😘 https://t.co/zmhanfWR9a,2020-10-09 04:34:47+00:00,None
19289,19289,106382,brrrrrr,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.3846147765476773,False,@virkjay @NicolaWood64 @Constant55 @jjb3621 It’s so cold! Brrrrrr,2020-10-09 04:38:59+00:00,None
19290,19290,106381,weekend,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.1727490065635495,False,@Constant55 @virkjay @NicolaWood64 @jjb3621 Enjoy that weekend when it comes Claire. X,2020-10-09 04:42:09+00:00,None
19291,19291,106380,perfect,5,5_thank_kind_thanks_bridge,thank - kind - thanks - bridge - touch - glad - motivation - note - shock - company,1.0,True,@Constant55 @virkjay @NicolaWood64 @jjb3621 @ACABeautyClinic Perfect,2020-10-09 04:44:07+00:00,Life
19292,19292,13962,news kevin,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@kevinweav2003 Great news Kevin!,2020-10-09 06:27:27+00:00,None
19293,19293,13103,gabriel,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@LindsayDinsyDay Gabriel. He’s so hot I’m not even sure he can be real. https://t.co/S4tj8pkt2s,2020-10-09 06:39:49+00:00,None
19294,19294,73700,mist bury hill morning,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,Mist over Bury Hill this morning @southdownsnp https://t.co/4HMtMgjTxs,2020-10-09 06:41:19+00:00,None
19295,19295,13102,fact character chef,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@LindsayDinsyDay And the fact that his character is a chef? https://t.co/l8MBRXul51,2020-10-09 11:21:17+00:00,None
19296,19296,113193,truth door sign,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.6454275703164187,False,The man who delivers @standardnews around here works so hard. But the truth is no one really wants it. Many doors with a sign up now. https://t.co/zHzRqLrOxE,2020-10-09 14:39:56+00:00,None
19297,19297,8986,nurturing type,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@ThereseHirst @stayontheleft @lewis_goodall Not really the nurturing type ..are you.,2020-10-09 15:19:36+00:00,None
19298,19298,28032,union prediction policy commitment committee trump input advice suggestion,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0989172397213507,False,"@coopmike48 Union predictions look like wishful thinking when compared to actual policy commitments. An advisory committee? Trump did that too, remember? ""Input"" and ""advice"" are just that: suggestions easily ignored.",2020-10-09 15:42:26+00:00,None
19299,19299,108264,class lyric love henceforth teacher nothing,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.2524908972207088,False,"I may have taught a kid in my class all the lyrics to 'Friday I'm In Love.' Henceforth, I am an OUTSTANDING teacher and there is nothing more left to say or do. #happyfriday #thecure #edutwitter",2020-10-09 16:24:30+00:00,None
19300,19300,113192,baron court please,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.4656644128511215,False,What’s that you say @lbhf - a Barons Court LTN? Yes please! https://t.co/JEA0U9f0FL,2020-10-09 16:28:28+00:00,None
19301,19301,13101,itch irritate,6,6_energy_price_bill_cost,energy - price - bill - cost - water - inflation - company - crisis - profit - petrol,0.3412645643930739,False,@LindsayDinsyDay It made my travel itch irritate so badly,2020-10-09 17:38:56+00:00,Life
19302,19302,113191,speech fool,2,2_morning_james_claire_paul,morning - james - claire - paul - nicola - thanks - adventure - monday - beatles - queue,1.0,False,@hammersmithandy your important speech ruined by the fool behind you. https://t.co/WHr4i5aeoE,2020-10-09 17:41:10+00:00,Life
19303,19303,119735,deal blog assessment exam,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@historyjsm @MrThorntonTeach @SPBeale @Mr_RKeogh @kenradical @MrsThorne @HistoryKss @HughJRichards There's a great deal in @mfordhamhistory's blogs on assessment. See also @stanf80 on setting exams https://t.co/d8gsu2g1ro,2020-10-09 18:07:12+00:00,None
19304,19304,106379,teaching education,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@virkjay @theinsightedge @swanno666 @Constant55 @AlexAshcroft88 @Karla1988 @jade_e_hubbard Teaching and education https://t.co/jJLofUsIbB,2020-10-09 18:12:03+00:00,None
19305,19305,13100,university,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,@LindsayDinsyDay Love vicariously for me! My University French 101 and 102 might be long gone,2020-10-09 18:41:00+00:00,None
19306,19306,113190,please encourage people exercise band tree tree damage bark living part thank,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.9215320471846772,False,@jlandpartners Agh please don’t encourage people to put exercise bands on trees. It is NOT good for the tree. It damages the bark which is the crucial living part. Thank you.,2020-10-09 20:07:38+00:00,None
19307,19307,119734,curriculum form accounting challenge chron story vocab detail,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"@groom_benjamin Agree. Nail the curriculum: the new forms of accounting you teach them for responding to disciplinary challenges, the chron structures, stories, vocab details that sit behind it all. Assess what you teach.",2020-10-09 20:44:40+00:00,None
19308,19308,108263,food staff takeaway tonight week,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@StewDamonsing @supportcurry @NHSEastEngland @NCHC_NHS @NNUH Great food. Great staff. We enjoyed our takeaway tonight as we do every week. 😋🥘😋🥘 #Labone #Sheringham #NationalCurryWeek,2020-10-09 21:28:19+00:00,None
19309,19309,33507,playlist oboe music,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,Currently listening to a self-curated playlist of Oboes in Pop Music,2020-10-09 21:29:33+00:00,None
19310,19310,10484,role editor thank everyone liked tweet interest education health music walking capacity,0,0_tweet_twitter_account_people,tweet - twitter - account - people - reply - response - timeline - hashtag - someone - parody,1.0,False,"I am relinquishing my role as editor of @TeachTalks Thank you to everyone who has contributed to, replied, commented on, liked (or not) my tweets. My interest in education (&amp; health, music, art, dog walking) remains. I continue to tweet in a personal capacity as @whichoneispink https://t.co/wnkICnqAUv",2020-10-09 22:11:43+00:00,Life
19311,19311,28031,chris christie death matter propaganda,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.7267243957303502,False,"@lacunalingua2 @Linda1746 @mattkatz00 Chris Christie never imagined one of those deaths ""no matter what"" might be his. That's what believing your own propaganda does.",2020-10-10 00:52:46+00:00,None
19312,19312,28030,member action contribution support control cuomo teacher cleaner school,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"Consider this: UFT members' political action contributions went to elect deBlasio, support mayoral control, and elect Cuomo. NYC teachers: you've been taken to the cleaners. #defundthepolice not schools. https://t.co/z3EIEiJNzA",2020-10-10 00:59:24+00:00,None
19313,19313,28029,politician teacher parent face reality march school city need demand funding,7,7_money_funding_school_charity,money - funding - school - charity - donation - budget - fund - penny - cell - pocket,0.8413862504602901,False,@anya1anya @josephenderson This is what happens when politicians aren't forced by teachers and parents to face reality. In March it was obvious schools could not reopen safely in cities. That was when to start planning based on local needs - and demand funding.,2020-10-10 01:05:02+00:00,Work
19314,19314,56001,classroom tipple,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,What is your classroom tipple?,2020-10-10 06:45:50+00:00,None
19315,19315,108262,love song,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.8627593802833593,False,@JapanesePolar That’s my favourite. Love that song. #inbetweendays,2020-10-10 06:56:12+00:00,None
19316,19316,56000,school morning thing life chance community something education,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"Fascinating reading about Michaela School this morning. It isn’t the way I would personally do things but I absolutely commend what they have done to improve the life chances of many in their community. There are many ways to ‘skin a cat’, something that makes education so great.",2020-10-10 07:59:12+00:00,None
19317,19317,55999,platform slide screen school something,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.1831322568855914,False,@el_higginbottom Ah they are just different platforms to show slides through on a screen. I imagine most schools use at least one of the 4 but acknowledge some may use something different.,2020-10-10 08:13:41+00:00,None
19318,19318,55998,visuals screen,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.832695124113023,False,"@verbisan Interesting, so no pre-prepared visuals for a screen? Not knocking at all I’m just interested.",2020-10-10 08:14:33+00:00,None
