,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
9736,9736,112360,thing minute,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.5066555492882321,False,#insomnia is a thing for me at the minute 🤯,2020-03-26 03:53:13+00:00,None
9737,9737,112359,view night,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,This was my view on my run last night😌 #Blackpool #sunset #gratitude https://t.co/FlFA5UaGPD,2020-03-26 05:57:16+00:00,None
9738,9738,43276,house priority,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.4076794780986222,False,"@Nyct0phil3_ Sounds nasty. You've had it a while now, haven't you? I do hope you're better soon. And try not to worry about the house, that isn't a priority. Just rest up and get better.",2020-03-26 06:07:35+00:00,None
9739,9739,95558,debut video capture,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@remote_teacher I've been using Debut video capture. Its free but it is doing a job for me,2020-03-26 06:23:30+00:00,None
9740,9740,113575,boat voucher time refund,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.3217630356717622,False,@seatsixtyone @MartinSLewis I’m in the same boat. @eurostar offering a voucher I won’t be able to use in time. Surely they must give refunds. What’s the law? https://t.co/NLJpBFPuQT,2020-03-26 07:34:51+00:00,None
9741,9741,97696,ovation house staff member goodbye order facility risk resident,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"*STANDING OVATION* At Bridgedale House, in #Sheffieldissuper nine staff members have packed their bags and said goodbye to loved ones in order to move into the facility full-time, reducing the risk of them infecting vulnerable residents. @revkatebottley https://t.co/uIcyLhmAW6",2020-03-26 07:44:04+00:00,None
9742,9742,113574,look hashtag,0,0_tweet_twitter_account_people,tweet - twitter - account - people - reply - response - timeline - hashtag - someone - parody,0.911824434459165,False,@ComBevSolThVall @MartinSLewis @Eurostar @EurostarUK We should prob look for or start a hashtag. I’m sure we’re not alone! #eurostarrefund #covid19UK,2020-03-26 08:55:51+00:00,Life
9743,9743,102725,thank woman,5,5_thank_kind_thanks_bridge,thank - kind - thanks - bridge - touch - glad - motivation - note - shock - company,0.5322380447527004,False,@emilyinpublic @CarolineHirons You are incredible!! Thank you from women across the UK! Xx,2020-03-26 09:32:51+00:00,Life
9744,9744,95557,today tutorial percentage calculator pythagoras,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,Todays short tutorials are on finding percentages using a calculator and Pythagoras theorem #maths #HomeschoolinguK #education #StayHomeSaveLives https://t.co/FJWlPLcYzC,2020-03-26 09:57:24+00:00,None
9745,9745,43275,health secretary matt hancock worker boris johnson colleague mark,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.977019415130147,False,"@IsabelOakeshott @MattHancock @BorisJohnson Replace ""health secretary Matt Hancock"" with ""Every NHS worker"" and ""Boris Johnson"" with ""their colleagues"", and you're nearer the mark.",2020-03-26 10:48:13+00:00,None
9746,9746,43274,yeah year living memorytrump brexit david bowie george michael carrie fisher prince hold beer,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,"2016: ""Yeah, I was the worst year in living memory.Trump, Brexit, David Bowie, George Michael, Alan Rickman, Carrie Fisher, Prince, I could go on..."" 2020: ""Hold my beer.""",2020-03-26 10:54:57+00:00,None
9747,9747,93308,loss condolence family grant jannah,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,"@HertsSid I'm so sorry for your loss, Sid. Deepest condolences to you and your family. May Allah grant him Jannah",2020-03-26 11:04:52+00:00,None
9748,9748,14485,mark zoom lesson teacher technology internet bandwidth download administration zoom student work question issue,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.1223819149900039,False,"@independenthead Mark - “live” teaching via Zoom, was that for every lesson? Seems a lot for teachers to deal with? Technology, Internet bandwidth, download caps, administration etc. Was Zoom still rolling while students completed work (for questions)? How did you deal with those issues please?",2020-03-26 11:12:13+00:00,None
9749,9749,113573,check equipment check,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@theobertram Uniform check? Equipment check?,2020-03-26 11:18:46+00:00,None
9750,9750,89677,week please,1,1_holiday_week_summer_easter,holiday - week - summer - easter - bank - term - food - solidarity - school - recovery,0.4351890558450101,False,seriously I'm now off for 2 weeks. please tell me if I can help any of you at all.,2020-03-26 11:38:23+00:00,Work
9751,9751,95556,today soundbites home hand history shoulder respect note younglings,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"I agree. A day like today is not a day for soundbites, we can leave those at home, but I feel the hand of history upon our shoulder with respect to this, I really do, ( Note to younglings. You may have to be over 30 to get this) https://t.co/xYVPsjlnlS",2020-03-26 11:48:00+00:00,None
9752,9752,14484,yesterday group zoom skype team platform everyone issue meeting,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.1320619335462713,False,"@dajbelshaw Yesterday a group of us tried Zoom, Skype Teams. Teams was the only platform which everyone got onto. Still the issue of who sets up the meeting, I believe.",2020-03-26 11:55:56+00:00,None
9753,9753,14483,headache time kitchen,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.5163124181607943,False,I think I’ve got screen headache. Time to clean the kitchen.,2020-03-26 11:57:45+00:00,None
9754,9754,43273,minister signature document please procurement scheme thousand ventilator specialist manufacturer need chum vacuum cleaner,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"""Prime Minister, can I have your signature on this document please? It's to join an EU procurement scheme for thousands of ventilators, made by specialist approved manufacturers."" ""No need. I've got a chum who makes vacuum cleaners.""",2020-03-26 13:53:20+00:00,None
9755,9755,14482,torture video sure toddler,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.2293953980752084,False,@dajbelshaw @NewminsterMid What is this torture by video of which you speak? Is it because he’s 13? (I’m sure he was a toddler when we first met.),2020-03-26 14:07:02+00:00,None
9756,9756,95555,james experience zombie,2,2_morning_james_claire_paul,morning - james - claire - paul - nicola - thanks - adventure - monday - beatles - queue,0.9126907196787464,False,@jameshoggarth Carful James. In my experience this is when you get jumped scared by a zombie https://t.co/sKNApUc5Wa,2020-03-26 14:27:02+00:00,Life
9757,9757,97695,rosa watercolour rainbow,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.5389668209124671,False,Rosa used watercolours to paint her rainbow... @clifford_school #virtualshowandtell https://t.co/5J2fDnJoED,2020-03-26 15:07:19+00:00,None
9758,9758,97694,perseverance experiment sunlight angle light refraction load love,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"@HJDulake @clifford_school Fantastic perseverance. Well done - I'm really proud of you. The experiments may work better with evening sunlight because the sun is low in the sky so it hits the jar at a better angle for the light to bend. It is called 'refraction.' Loads of love, Mrs Bxx",2020-03-26 15:13:29+00:00,None
9759,9759,13474,idea,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.7936030928390685,False,Such a fabulous idea! https://t.co/q5rhK0XvLT,2020-03-26 16:08:20+00:00,None
9760,9760,95554,government exercise,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.7086856716798824,False,Back from my government approved exercise https://t.co/pXS7hXMEAB,2020-03-26 16:33:01+00:00,None
9761,9761,89676,indoors time,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.8033666319000916,False,@sivomengro totally understandable!! hard not to go spare when you have to be indoors most of the time 😭,2020-03-26 17:21:39+00:00,None
9762,9762,14481,muppets house snoring,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"#throwbackthursday When my two muppets had the house to themselves during the day. They’re slightly perplexed that this has changed. Also, their snoring is too depressing whilst I’m working. https://t.co/jrgKxQOcB7",2020-03-26 17:28:16+00:00,None
9763,9763,104039,love baby family bless month,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@marygtroche Sending BIG LOVE to you both What a lucky baby to have landed into such a loving family. God bless for the days and months ahead. Xxx,2020-03-26 17:29:43+00:00,None
