,Unnamed: 0,Unnamed: 0.1,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text,created_at,label
20467,20467,8891,passion sense responsibility sort issue world,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.202345888263478,False,@Belindastarfish @emmakennytv I don’t. I don’t doubt their passion but there is no sense of social responsibility which is really important for all sorts of issues that we face in this increasingly crazy and dysfunctional world.,2020-11-05 00:07:55+00:00,None
20468,20468,8890,instinct thing,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@Raine4567 @emmakennytv ...an instinct for knowing the right thing to do.,2020-11-05 00:12:53+00:00,None
20469,20469,27958,chant pizza,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,"@chitrans_plant @ChicagoCityDSA This chant convinced me! I'm joining @DemSocialists. In NYC. @ChicagoCityDSAA you rock! Still, your pizza...",2020-11-05 00:58:11+00:00,None
20470,20470,27957,union household michigan trump deal union,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.3839061360413598,False,@jamieson @rweingarten We should note 37% of those union households in Michigan voted for Trump. Says a great deal the unions need to hear.,2020-11-05 04:04:30+00:00,None
20471,20471,106321,adventure awaits,2,2_morning_james_claire_paul,morning - james - claire - paul - nicola - thanks - adventure - monday - beatles - queue,0.1299699592851156,False,@virkjay @NicolaWood64 @jjb3621 @Constant55 Thursday’s adventure awaits https://t.co/WbY5h2i0H6,2020-11-05 05:11:06+00:00,Life
20472,20472,106320,morning,2,2_morning_james_claire_paul,morning - james - claire - paul - nicola - thanks - adventure - monday - beatles - queue,1.0,True,@Constant55 Morning lovely. Xxx https://t.co/kxSnp1Rd19,2020-11-05 05:12:13+00:00,Life
20473,20473,106319,meeting today flow,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.1739650098984505,False,"@PaulGarvey4 Happy Thursday! Meetings, some sorting, let’s see what happens today... go with the flow...,",2020-11-05 05:16:59+00:00,None
20474,20474,106318,morning today brings,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@virkjay @NicolaWood64 @jjb3621 @Constant55 Morning Jay let’s see what today brings,2020-11-05 05:27:02+00:00,None
20475,20475,55888,keith lemon state,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,Keith Lemon is doing bits over in the states! 🍋 https://t.co/E3k9iG3VwJ,2020-11-05 06:19:23+00:00,None
20476,20476,106317,thank,5,5_thank_kind_thanks_bridge,thank - kind - thanks - bridge - touch - glad - motivation - note - shock - company,0.0987545122425683,True,@AlisonMPeacock @CharteredColl Thank you Alison,2020-11-05 06:35:12+00:00,Life
20477,20477,20658,ground bigotry people peace line sand others line,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.3389250145841921,False,"@JoeBiden There isn’t a middle ground between “bigotry” and “marginalised people wanting to live in peace”. There just isn’t. Sometimes we have to be brave and have a line in the sand. Sometimes others will hate us for it, if our line is moral, then that’s on them.",2020-11-05 06:37:07+00:00,None
20478,20478,20657,democrat think landslide progressive candidate,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"@DrRosena If they win, the democrats need to have a long think about why it was so close when it should have been a landslide. Where progressives ran, they won comfortably. Maybe they should listen to their progressive candidates in future.",2020-11-05 06:39:23+00:00,None
20479,20479,106316,kind observe kindness kindness,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,"Be kind - it’s always possible ! Think, listen, observe and see who needs a bit of extra kindness. It’s contagious- give a little kindness and it comes back to you. #BeKind https://t.co/FXoShEVOXX",2020-11-05 06:42:20+00:00,None
20480,20480,113169,person street,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.8175388210736968,False,"Well this is eerie, being the only person setting out to work in my street.",2020-11-05 07:06:20+00:00,None
20481,20481,67097,binary school,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.9151145774198916,False,This is why the false binary between “close schools” and “keep them open” is so dangerous. There’s so much more to it than that. https://t.co/UrPF5cpATy,2020-11-05 07:10:13+00:00,None
20482,20482,54757,lockdown traffic blackheath nothing amount people street shopping amount shopper yesterday,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"National lockdown 2 he said.....the traffic on the way to Blackheath is shocking it’s like nothing has changed, the amount of people on the streets too this isn’t a lockdown you just can’t Xmas shopping yet. The amount of shoppers in my local high st yesterday too is enough to",2020-11-05 07:56:50+00:00,None
20483,20483,54756,deal shit show food standard,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.6055015738471422,False,"@jacobite_elite Shocking right? We are all well aware that baking deals with trump us gonna make the shit show that is brexit way worse, at least with Biden we can hopefully save our food standards and NHS",2020-11-05 08:01:14+00:00,None
20484,20484,54755,nothing street counting point,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,"@realDonaldTrump So let’s cover how counting works, you count until there’s nothing left to count, it’s really really simple. Surely even you can understand that? Pretty sure Sesame Street would have gone through counting at some point..... #DonaldTrump #TrumpIsALaughingStock #BidenHarris2020",2020-11-05 08:19:27+00:00,None
20485,20485,54754,traffic lock people passenger limit,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,"@Ls182 Shocking tbh I’ve walked to work, but all the traffic is astonishing. It’s not a proper lock down at all. Busses are rammed with people too. More than the 30 passenger limit.",2020-11-05 08:22:00+00:00,None
20486,20486,54753,everything business,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@Ls182 Yup! Literally it’s you can’t go to the pub or see ya pals but everything else is business as usual pretty much,2020-11-05 08:33:05+00:00,None
20487,20487,119640,tonight experience work thinker article espec,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"You can still sign up for this. Tonight 6pm! Privileged to be working closely with @KerryKitsch atm I can say from experience of learning much from her that if you don't know her work as curricular thinker (@histassoc TH articles workshops) espec at KS3, you're missing out. https://t.co/73Z4ijce5z",2020-11-05 08:34:54+00:00,None
20488,20488,122526,care friend,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"@FootieMad4evr Take care, my lovely friend. ❤️",2020-11-05 08:57:40+00:00,None
20489,20489,27956,party wealthy labor money power member,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@Baeofpaypigs @jamieson @rweingarten The Democratic Party is beholden to the wealthy and powerful but labor gets its money and power from members.,2020-11-05 11:11:25+00:00,None
20490,20490,21307,academy head lead inspector ambassador boot union school courage victim,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,An academy. An academy head. Lead Ofsted Inspector and Ofsted Ambassador to boot. And anti-trade union. Guilty. And should be let nowhere near another school. Great courage shown by the victim of his disgusting bullying. https://t.co/1FHOA4YQNq https://t.co/TaWmODuXn0,2020-11-05 11:46:19+00:00,None
20491,20491,67096,eminem rapper,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,And you said Eminem was the only great white rapper. 🔥 🔥 🔥 https://t.co/JG8Rbo9SNf,2020-11-05 12:41:46+00:00,None
20492,20492,17492,health insurance doctor symptom trumpism,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,@hannahfduncann I hope you’ve got good health insurance as I think you need to see a doctor or psychiatrist. Your symptoms of blind trumpism are contagious,2020-11-05 13:55:09+00:00,None
20493,20493,13071,something mind lockdown teenager hour,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,Something that boggles my mind about Lockdown 2 is that apparently it’s safe to be around 900 teenagers inside for 8 hours per day.,2020-11-05 15:27:12+00:00,None
20494,20494,89161,people capacity tale insight rhyme,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.262965494771758,False,"Absolutely worth your while checking out if you work with young people in any capacity! Tough tales told in a very accessible way. Such a good insight, and not bad rhymes either 😋 https://t.co/mYM0TrqKp3",2020-11-05 15:27:20+00:00,None
20495,20495,108222,parent call teacher side fence,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,My son’s 1st parents evening call shortly... and I’m quite nervous... and I’m a teacher... I should remember that when I’m on the other side of the fence... I’m nervous then too! 🙂,2020-11-05 16:05:21+00:00,None
20496,20496,13070,poster stepford wife bond brock turner,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.3564006581488779,False,I didn’t know they had released the poster for Stepford Wives 2: Bail Bonds for Brock Turner https://t.co/1fRWFNDosF,2020-11-05 16:14:05+00:00,None
20497,20497,13069,something shiver spine,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.2048687979951036,False,@MissKatyEnglish There’s just something about it that sends shivers down my spine,2020-11-05 16:33:12+00:00,None
20498,20498,27955,note dems need regardless majority presidency recall obama term,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,1.0,False,@Becca2400 Completely. One note: Dems would use the need to Kumbaya with the GOP regardless of whether they had majorities and the presidency. Recall Obama in his first term.,2020-11-05 17:00:37+00:00,None
20499,20499,27954,message heard shoulder prayer session adviser,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.0,False,"What fascinates me is not the message, which we've heard before, but her bared shoulder and back. Very sexualized prayer session, perfect really for Trump's ""spiritual adviser."" https://t.co/q9E6M3Mtzi",2020-11-05 17:07:04+00:00,None
20500,20500,27953,contraire setback biden candidate,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.9621375777551524,False,@EricLevitz @ColeStangler Au contraire. It was the setback progressives predicted if Biden was the candidate. https://t.co/0udnlavrNn,2020-11-05 17:09:30+00:00,None
20501,20501,27952,spirit union,-1,-1_school_year_time_people,school - year - time - people - child - teacher - thing - today - week - book,0.2155299724039945,False,There in spirit. Hope other unions do this! https://t.co/bLKXoRQ1ap,2020-11-05 17:12:01+00:00,None
