id,created_at,edit_history_tweet_ids,text,clean_text,non_english
1.5219611862412206e+18,2022-05-04 21:13:18+00:00,['1521961186241220608'],"@Ian_A_Woodcock Somewhere, Carl Asaba and Guy Butters are laughing their heads off.",somewhere carl asaba guy butter laughing head,False
1.5219583383885332e+18,2022-05-04 21:01:59+00:00,['1521958338388533250'],"Pen, all day that.",pen day,False
1.5219578819223962e+18,2022-05-04 21:00:10+00:00,['1521957881922396162'],@ChrisCoopsSport Riyad Mahrez playing the Carl Asaba role.,riyad mahrez playing carl asaba role,False
1.5219494589798236e+18,2022-05-04 20:26:42+00:00,['1521949458979823616'],See also: the Daily Mail. https://t.co/MiUJ4hrbTY,see also daily mail,False
1.521912355319341e+18,2022-05-04 17:59:15+00:00,['1521912355319341058'],"@dannywallace @SiobhanMoore90 ""Sure, but he made the trams run on time"".",sure made tram run time,False
1.5219025894068142e+18,2022-05-04 17:20:27+00:00,['1521902589406814209'],@LaylaMoran Feed some crows! https://t.co/TPTg5dM4Bd,feed crow,False
1.5218056298532127e+18,2022-05-04 10:55:10+00:00,['1521805629853212672'],@danwhitepr Haha!,haha,True
1.5218008903987446e+18,2022-05-04 10:36:20+00:00,['1521800890398744576'],@Yxllop The little card was the giveaway.,little card giveaway,False
1.5217987342371144e+18,2022-05-04 10:27:46+00:00,['1521798734237114368'],They're huge fans of Little Mix. https://t.co/VxWtYMRKGi,they're huge fan little mix,False
1.5217966573351322e+18,2022-05-04 10:19:31+00:00,['1521796657335132160'],"@GaryDelaney ""That was incredible, Hulk.""",incredible hulk,False
1.521487602288894e+18,2022-05-03 13:51:26+00:00,['1521487602288893953'],@FootballCliches Colin Murray was genuinely desperate for it.,colin murray genuinely desperate,False
1.5213899661185925e+18,2022-05-03 07:23:28+00:00,['1521389966118592518'],"Quite a helpful number, though, eh... https://t.co/hZaurTzRC5",quite helpful number though,False
1.5208617039903048e+18,2022-05-01 20:24:21+00:00,['1520861703990304769'],"@NaomiCole_17 Outstanding performer, great leader, and an even better person. Thanks for the memories, Naomi.",outstanding performer great leader even better person thanks memory naomi,False
1.5208049010681037e+18,2022-05-01 16:38:38+00:00,['1520804901068103683'],The moment when Coventry United stayed up in the Championship at the expense of opponents Watford - in the 97th minute. https://t.co/Ax9AKk2YxR,moment coventry united stayed championship expense opponent watford minute,False
1.5207807336227676e+18,2022-05-01 15:02:36+00:00,['1520780733622767616'],"Incredible! Coventry United, close to going bust earlier in the season, with a 97th minute goal to stay up! https://t.co/7oTogPsnkl",incredible coventry united close going bust earlier season minute goal stay,False
1.5207802600438948e+18,2022-05-01 15:00:43+00:00,['1520780260043894784'],Wow! Late drama in the FA Women's Championship! https://t.co/JuHblV1vLc,wow late drama women's championship,False
1.5207219771404616e+18,2022-05-01 11:09:07+00:00,['1520721977140461569'],This was hideous from the @Daily_Express back in 1997. https://t.co/Kg6ku248AW,hideous back,False
1.5205314817011057e+18,2022-04-30 22:32:10+00:00,['1520531481701105666'],"@IrradiatedMouse All done the ""don't even talk to me"" scrolls 😂",done even talk scroll,False
1.5205243020005335e+18,2022-04-30 22:03:38+00:00,['1520524302000533504'],@OliverDowden You're taking your voters for fools. https://t.co/qkX51GHRzi,taking voter fool,False
1.5204887827300393e+18,2022-04-30 19:42:29+00:00,['1520488782730039296'],@Beckinder He's an absolutely fascinating character. I'd love to interview him (in a wider context than just the pressers I've sat in).,he's absolutely fascinating character i'd love interview wider context pressers i've sat,False
1.5204672616303903e+18,2022-04-30 18:16:58+00:00,['1520467261630390272'],"@MooseAllain Come, now.

His is a hard act to follow.",come hard act follow,False
1.5203745870113096e+18,2022-04-30 12:08:43+00:00,['1520374587011309568'],"""I'm sorry, I don't know what came over me.""

Said the laptop. https://t.co/H3S6DXb5fg",i'm sorry know came said laptop,False
1.520131325281325e+18,2022-04-29 20:02:05+00:00,['1520131325281325057'],"Overlap the snooker coverage, for chrissakes.",overlap snooker coverage chrissakes,False
1.5201253859916677e+18,2022-04-29 19:38:29+00:00,['1520125385991667712'],"@PhilWilliams @TimesRadio Good luck with the next opportunity. One of my favourite fellow broadcasters and a fellow Villan too.

#UTV",good luck next opportunity one favourite fellow broadcaster fellow villan,False
1.51994475882684e+18,2022-04-29 07:40:44+00:00,['1519944758826840064'],"90s Heardle #2

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/7aQiiSusHS",heardle,False
1.5194572458761298e+18,2022-04-27 23:23:32+00:00,['1519457245876129793'],"#Heardle #62

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/VRfwweBlMp",,
1.5194358237662904e+18,2022-04-27 21:58:24+00:00,['1519435823766290434'],"Ronnie O'Sullivan, Mark Williams and John Higgins - the Class of '92 - are all in the semi-finals of the World Snooker Championship, for the first time since 1999.",ronnie o'sullivan mark williams john higgins class semifinal world snooker championship first time since,False
1.5193814493460972e+18,2022-04-27 18:22:20+00:00,['1519381449346097153'],@Ellewurm Because they are immense.,immense,False
1.5193542387276063e+18,2022-04-27 16:34:13+00:00,['1519354238727606272'],Mark Williams is playing some phenomenal snooker.,mark williams playing phenomenal snooker,False
1.519338202670289e+18,2022-04-27 15:30:30+00:00,['1519338202670288898'],"BBC News - Lottery winner who gave away half of £115m fortune 'addicted' to helping
https://t.co/bOYLWNXvBy",bbc news lottery winner gave away half fortune 'addicted' helping,False
1.519321791285678e+18,2022-04-27 14:25:17+00:00,['1519321791285678083'],👏 https://t.co/K1BMYO5iti,,
1.519305176867385e+18,2022-04-27 13:19:16+00:00,['1519305176867385344'],A less than honourable member. https://t.co/5JbCsmj6YA,honourable member,False
1.519304430839124e+18,2022-04-27 13:16:18+00:00,['1519304430839123968'],@LydiaMizon @PBMediaHQ Possibly.,possibly,False
