id,created_at,edit_history_tweet_ids,text,withheld,clean_text,nouns
1.520836953142403e+18,2022-05-01 18:46:00+00:00,['1520836953142403072'],"New: guest post by Fred Turner who visited a Ukrainian support project - Nadzieja - which literally translates as Hope, to see what life is actually like for Ukrainians in Poland. Read more here ➡️ https://t.co/3B6IaueEUu #UkraineWar #UkraineRefugees #Poland #StandWithUkraine https://t.co/dVOp8TIM9Q",,new guest post by fred turner who visited a ukrainian support project  nadzieja  which literally translates as hope to see what life is actually like for ukrainians in poland read more here       ,post turner support project nadzieja hope life ukrainian poland
1.520473489425191e+18,2022-04-30 18:41:43+00:00,['1520473489425190912'],"A small group of peaceful 'scrubbers' cleaning up a Barclays, London, were surprised by the arrival of 30 riot police. 👀 Welcome to #Police State UK 👮‍♂️ The Police, Crime, Sentencing Courts Act ‘22 received royal assent, criminalising ‘disruptive’ protest #XR #KillTheBill https://t.co/9CPXv9kQK9",,a small group of peaceful scrubbers cleaning up a barclays london were surprised by the arrival of riot police  welcome to  state uk  the police crime sentencing courts act  received royal assent criminalising disruptive protest   ,group scrubber barclays arrival police state police crime court assent protest
1.519977606342447e+18,2022-04-29 09:51:15+00:00,['1519977606342447109'],".@Pal_action activists have targeted closed down the main London office of Israeli arms company, Elbit Systems, for a THIRD time in two weeks. 🎥 Watch Real Media's film of the start of this campaign ➡️ https://t.co/GJewdI8i5R #ShutElbitDown #IsraeliApartheid https://t.co/JEJ4tWJdu6",, activists have targeted closed down the main london office of israeli arms company elbit systems for a third time in two weeks  watch real media's film of the start of this campaign     ,activist office company system time week film start campaign
1.5196768828910264e+18,2022-04-28 13:56:17+00:00,['1519676882891026432'],"⚠️ #KillTheBill is over. Nationality and Borders Act Police, Crime, Sentencing Courts Act Health Care Act Elections Act These are no longer ‘Bills’: they receive Royal Assent today. We now have a set of interconnected new powers which signal end of consensual gov. https://t.co/M3NJsepbiq",,  is over nationality and borders act police crime sentencing courts act health care act elections act these are no longer bills they receive royal assent today we now have a set of interconnected new powers which signal end of consensual gov ,nationality border police crime court health care election bill assent today power
1.5196750543547515e+18,2022-04-28 13:49:01+00:00,['1519675054354751489'],"BREAKING NEWS #KillTheBill is dead. Nationality and Borders ACT Police, Crime, Sentencing and Courts ACT Health and Care ACT Elections ACT Receiving Royal Assent today, we now have a set of interconnected new government powers which signal the end of consensual government.",,breaking news  is dead nationality and borders act police crime sentencing and courts act health and care act elections act receiving royal assent today we now have a set of interconnected new government powers which signal the end of consensual government,news nationality border police crime sentencing court health care election royal assent today government power government
1.5196018498543045e+18,2022-04-28 08:58:08+00:00,['1519601849854304256'],"#ThrowbackThursday: ‘Mr Ethical’, aka @nw_nicholas connects government funding the security services to the psyops outfit, Institute for Statecraft and its ‘integrity initiative’. #BillBrowder #Magnitsky #HSBC ➡️ https://t.co/EgzWbggIHo https://t.co/3I4AGYLwnW",, mr ethical aka  connects government funding the security services to the psyops outfit institute for statecraft and its integrity initiative      ,government security service psyop institute statecraft integrity initiative
1.5193487411945308e+18,2022-04-27 16:12:22+00:00,['1519348741194530818'],"Sat 23 Apr, @drop_BP protest at @britishmuseum. Around 300 people took part. There was a banner drop readings of statements in solidarity with Egyptian West Papuan people who suffer BP exploitation in their own lands #DropBP #ArtsSponsorship ➡️ https://t.co/x6hmwOCY0n https://t.co/fCdgUBqMYa",,sat apr  protest at  around people took part there was a banner drop readings of statements in solidarity with egyptian west papuan people who suffer bp exploitation in their own lands     ,protest people part banner drop reading statement solidarity people exploitation land
1.5179509093802762e+18,2022-04-23 19:37:53+00:00,['1517950909380276225'],We’ll have a Real Media film coming during the week for this action 👏 #MakeBPHistory https://t.co/sz41A3XyNc,,we’ll have a real media film coming during the week for this action   ,medium film week action
1.5169081495544873e+18,2022-04-20 22:34:20+00:00,['1516908149554487296'],Film of the action this morning https://t.co/oHfeQM9zOa https://t.co/nNS3tZZjxT,,film of the action this morning  ,film action morning
1.5168542193487872e+18,2022-04-20 19:00:02+00:00,['1516854219348787202'],"This morning, @XrYouth teamed up with @Pal_Action to #ShutElbitDown at its London HQ. Elbit say their weaponry is “battle-tested”, alluding to the widespread use of Elbit war kit in illegally-occupied Palestinian territories. More ➡️ https://t.co/PR4pU9hVoQ https://t.co/yZm84dE5PT",,this morning  teamed up with  to  at its london hq elbit say their weaponry is battletested alluding to the widespread use of elbit war kit in illegallyoccupied palestinian territories more   ,morning london elbit weaponry territory
1.516693002340688e+18,2022-04-20 08:19:25+00:00,['1516693002340687872'],"“Free Palestine!” 🇵🇸 @Pal_action protestors locked-on, preventing access again this week at Israeli arms manufacturers, Elbit HQ, in London. #ShutElbitDown #FreePalestine #PalestineUnderAttack https://t.co/svHeFMWjT7",,free palestine   protestors lockedon preventing access again this week at israeli arms manufacturers elbit hq in london    ,palestine protestors access week manufacturer
1.51668633577549e+18,2022-04-20 07:52:55+00:00,['1516686335775490050'],"Two @Pal_action protestors locked-on, preventing access again this week at Elbit HQ. #ShutElbitDown #FreePalestine #PalestineUnderAttack https://t.co/uHW1VF13OH",,two  protestors lockedon preventing access again this week at elbit hq    ,protestors access week elbit
1.5164788380578816e+18,2022-04-19 18:08:24+00:00,['1516478838057881601'],"The @JustStop_Oil Coalition suspend their actions, writing a letter to the PM. They say their pause will come to an end from 25 Apr they will resume a campaign of escalating civil resistance if their demand to Boris Johnson is not met. ➡️ https://t.co/3oddZV1BA9 #JustStopOil https://t.co/mhVihgshKS",,the  coalition suspend their actions writing a letter to the pm they say their pause will come to an end from apr they will resume a campaign of escalating civil resistance if their demand to boris johnson is not met    ,coalition action letter pause campaign resistance demand johnson
1.5161370150284247e+18,2022-04-18 19:30:07+00:00,['1516137015028424721'],"Prof Jeff Waage, ecologist gov advisor: ""The #IPPCReport made clear that we cannot start new oil gas exploration if we hope to achieve our targets."" 20+ scientists detained by police last week after climate protest outside BEIS @ScientistsX More ➡️ https://t.co/M8RM4ZcVor https://t.co/9E3enC45Pt",,prof jeff waage ecologist gov advisor the  made clear that we cannot start new oil gas exploration if we hope to achieve our targets scientists detained by police last week after climate protest outside beis  more   ,prof jeff waage ecologist exploration target scientist police week climate protest beis
