id,created_at,edit_history_tweet_ids,text,clean_text
1.5650548700585902e+18,2022-08-31 19:12:12+00:00,['1565054870058590211'],@theousherwood @MarkWallaceGlos let's start with her back garden,let's start back garden
1.5650525327113585e+18,2022-08-31 19:02:55+00:00,['1565052532711358468'],"@fifisyms he's not going to win, though...",he's going win though
1.5650249357052068e+18,2022-08-31 17:13:16+00:00,['1565024935705206787'],"some kind of mad mash-up of Johnsonian/Trussian politics-as-cosplay, social media as political weapon and cultures of online perfomativity - politics - and policing - reduced to spectacle, with people of colour  as collateral damage. https://t.co/TBzwaeMi8K",kind mad mashup johnsoniantrussian politicsascosplay social medium political weapon culture online perfomativity politics policing reduced spectacle people colour collateral damage
1.5646852244826683e+18,2022-08-30 18:43:22+00:00,['1564685224482668547'],".@AndyBurnhamGM steps up: serious, sensible &amp; principled on @Channel4News - as part of the @eiecampaign . Where are the rest of @UKLabour 's MPs? Come on. Energy emergency. Climate emergency. Cost of living emergency. Greed &amp; corruption at the top. Time to take to the streets",step serious sensible amp principled part rest come energy emergency climate emergency cost living emergency greed amp corruption top time take street
1.5646798329062031e+18,2022-08-30 18:21:57+00:00,['1564679832906203138'],"This cuts through, admirably clear. Why can't @Keir_Starmer communicate like this? https://t.co/IkuQ6FzcTw",cut admirably clear can't communicate like
1.5643688644058565e+18,2022-08-29 21:46:16+00:00,['1564368864405856256'],"@subzeronell @snpwatch @jm_stout @scotgp @scotgov aha, that makes sense.",aha make sense
1.564268256944423e+18,2022-08-29 15:06:29+00:00,['1564268256944422913'],@NileGardiner https://t.co/5mKi3rIVfC,
1.564264000921256e+18,2022-08-29 14:49:35+00:00,['1564264000921255937'],@AnthonyMidd02 a member of the @Conservatives,member
1.5642620651492844e+18,2022-08-29 14:41:53+00:00,['1564262065149284353'],"This whole thread is worth a read. A mindblowing scale of financial crime/digital fraud currently happening in UK  (but the clueless nonentity @KwasiKwarteng , tipped to be our future Chancellor, says people aren't really bothered about it) #ToryNegligence https://t.co/l7jchEwbn1 https://t.co/HVTQiHdJkJ",whole thread worth read mindblowing scale financial crimedigital fraud currently happening clueless nonentity tipped future chancellor say people really bothered
1.564167408931246e+18,2022-08-29 08:25:45+00:00,['1564167408931246082'],@snpwatch @jm_stout @scotgp @scotgov So annoying. Would much rather get the train than fly but at those prices it’s hard to do,annoying would much rather get train fly price hard
