id,created_at,edit_history_tweet_ids,text,withheld,clean_text,non_english,nouns
1.5135896116536525e+18,2022-04-11 18:47:39+00:00,['1513589611653652493'],"Because No. 1: Your failure to plan isn't my emergency. 

No. 2: The people who want you to work the fastest aren't in a rush to pay you on-time/early. https://t.co/L7W511zGqY",,failure plan emergency people want work fastest rush pay ontimeearly,False,failure plan emergency work pay 
1.5124372177126523e+18,2022-04-08 14:28:27+00:00,['1512437217712652288'],"What is the point of tagging @WritersofColor and/or all these other organizations without including the pay? We know at some point you discussed the budget, so please stop the performative tagging without transparency.",,point tagging andor organization without including pay know point discussed budget please stop performative tagging without transparency,False,point organization pay point budget please performative transparency 
1.5100464619411374e+18,2022-04-02 00:08:26+00:00,['1510046461941137415'],"When you're talking to aspiring journalists, be honest journalism's hardships. Yes, they can make an impact with their writing, but at what cost? Is it worth the student debt, the microaggressions, straight up aggressions, the low-pay, online abuse, the drain on our mental health",,talking aspiring journalist honest journalism's hardship yes make impact writing cost worth student debt microaggressions straight aggression lowpay online abuse drain mental health,False,journalist journalism impact cost student debt aggression lowpay online abuse health 
1.5077364844885606e+18,2022-03-26 15:09:24+00:00,['1507736484488560641'],"How long does a story have to be before you consider it a feature? I'm asking this, because I've heard the term feature being used to describe reported articles of shorter and longer lengths.",,long doe story consider feature i'm asking i've heard term feature used describe reported article shorter longer length,False,story feature i i term feature describe article shorter length 
1.503580755724804e+18,2022-03-15 03:56:02+00:00,['1503580755724804098'],"Yep, but now that I make the rules, I always use Georgia. It's much prettier to me. https://t.co/A487JTF4gK",,yep make rule always use georgia much prettier,False,rule 
1.496505085131694e+18,2022-02-23 15:19:50+00:00,['1496505085131694085'],"A quick way to upset me is to treat me like I'm not a priority. If I delivered the work on time, I need you to communicate with me about the next steps. If I fail to communicate as a freelancer, you'd never work with me again. Treat contributors how you want to be treated.",,quick way upset treat like i'm priority delivered work time need communicate next step fail communicate freelancer never work treat contributor want treated,False,way treat priority work time step communicate freelancer work treat contributor 
1.49632346013764e+18,2022-02-23 03:18:07+00:00,['1496323460137639940'],"I totally understand that editors are overwhelmed and underpaid, but the precarity of freelancing means that we have to be more annoying than we want to be. If we don't get published and paid, we don't eat. That's a lot of pressure.",,totally understand editor overwhelmed underpaid precarity freelancing mean annoying want get published paid eat that's lot pressure,False,editor precarity get eat lot pressure 
1.496323128749871e+18,2022-02-23 03:16:48+00:00,['1496323128749871104'],"What frustrates me is that many publications don't hire enough editors to handle the volume of reporting they seek to publish, which means we have to wait that much longer to get published &amp; paid. We wouldn't follow up so much if publications had more staffers to manage everyone. https://t.co/wzTwQtxjln",,frustrates many publication hire enough editor handle volume reporting seek publish mean wait much longer get published amp paid follow much publication staffer manage everyone,False,publication hire editor handle volume mean wait amp publication staffer manage everyone 
1.4954426587303813e+18,2022-02-20 16:58:08+00:00,['1495442658730381313'],"Sad, but probably true. https://t.co/80eJdF4OgA",,sad probably true,False,
1.4947050464827924e+18,2022-02-18 16:07:08+00:00,['1494705046482792456'],*their work 🙃,,work,False,work 
1.4947023407288934e+18,2022-02-18 15:56:22+00:00,['1494702340728893451'],"For anyone who wants to share contract terms and rates anonymously, you can do so at @WhoPaysWriters.",,anyone want share contract term rate anonymously,False,anyone share contract term rate 
1.494531252086526e+18,2022-02-18 04:36:32+00:00,['1494531252086525952'],"The reason why this matters is because many writers are woefully underpaid. But if they don’t own the IP, they can’t reap the benefits if there work is made into other content. Many media companies are creating their own content studios create new content with the IP they took.",,reason matter many writer woefully underpaid dont cant reap benefit work made content many medium company creating content studio create new content took,False,reason matter writer dont cant benefit work medium company studio content 
1.4945303052937994e+18,2022-02-18 04:32:46+00:00,['1494530305293799427'],"Many media companies force freelance writers to sign contracts that strip them of their IP rights, preventing them from profiting off of their articles if adapted into TV, film, etc. The contracts typically prohibit writers from speaking about the terms of the deal publicly. https://t.co/oCgBkUXKIz",,many medium company force freelance writer sign contract strip right preventing profiting article adapted film etc contract typically prohibit writer speaking term deal publicly,False,medium company force freelance writer sign contract strip article film etc contract writer term deal 
1.4936735428938465e+18,2022-02-15 19:48:18+00:00,['1493673542893846529'],"Wtf are people doing out here??? See, this is why folks are so guarded. https://t.co/XopdM9VMsQ",,wtf people see folk guarded,False,folk 
1.4923491411665633e+18,2022-02-12 04:05:36+00:00,['1492349141166563331'],"@taayoomurray @kaitarford Hmmm ... Maybe healthline, SELF or AARP... I'm not sure. Definitely some b2b pubs",,hmmm maybe healthline self aarp i'm sure definitely pub,False,hmmm self aarp pub 
1.492278368720638e+18,2022-02-11 23:24:22+00:00,['1492278368720637952'],"Let go, and let God 🙏🏽 https://t.co/DkrgP7jARw",,let let god,True,
1.4868139302782976e+18,2022-01-27 21:30:39+00:00,['1486813930278297600'],"Can concur. Some of my biggest clients have been companies/publications that are pretty obscure. Meanwhile, some of these big name places will only pay a couple hundred dollars 😬 https://t.co/KyYdFA0jWt",,concur biggest client companiespublications pretty obscure meanwhile big name place pay couple hundred dollar,False,concur client name place pay couple dollar 
1.4861108674774426e+18,2022-01-25 22:56:56+00:00,['1486110867477442561'],"For anyone who doesn’t work in media, it is absolutely NOT NORMAL for staffers or freelance contributors’ bylines to change. To do so would be dishonest to readers and robbing contributors of their portfolio clips. To do this requires deliberately changing bylines within the CMS https://t.co/XqfOX5V9Vu",,anyone doesnt work medium absolutely normal staffer freelance contributor bylines change would dishonest reader robbing contributor portfolio clip requires deliberately changing bylines within,False,anyone doesnt work medium staffer freelance contributor change reader contributor portfolio clip 
1.485669904082776e+18,2022-01-24 17:44:42+00:00,['1485669904082776065'],@kaitarford @AarushiCW @amandanat @kaleighf @kat_boogaard @PRisUs @dianagetssocial @realBrookNash @WinningSolo @jenni_gritters Thank you! 🥲,,thank,False,thank 
1.4838522482497823e+18,2022-01-19 17:21:59+00:00,['1483852248249782273'],"@iamlexstylz Hold on, they should've outlined a kill fee in your contract. You ideally should get between 25% to 50%, though sometimes I've gotten 100% of my fee if the publication kills it for reasons that have nothing to do with me.",,hold outlined kill fee contract ideally get though sometimes i've gotten fee publication kill reason nothing,False,hold fee contract fee publication reason nothing 
1.483572502798422e+18,2022-01-18 22:50:22+00:00,['1483572502798422019'],"@ellajglover Much like it's okay for workers to change jobs for better salaries, working conditions etc. in other jobs, I think it's fine to experiment with multiple clients. After all, you don't want to put all your eggs in one basket, especially as publications consolidate or shut down.",,much like okay worker change job better salary working condition etc job think fine experiment multiple client want put egg one basket especially publication consolidate shut,False,worker change job condition job experiment client want basket consolidate shut 
1.483571142833148e+18,2022-01-18 22:44:58+00:00,['1483571142833147909'],"@ellajglover I pitch story ideas based on whether they might accept them &amp; if they have the budget to pay what they are worth. My relationships with my regulars helps me determine story ideas are good fit for them, so I can move on to new outlets that might pay better or are more interested.",,pitch story idea based whether might accept amp budget pay worth relationship regular help determine story idea good fit move new outlet might pay better interested,False,pitch story idea budget pay worth relationship help story idea move outlet 
1.4831378965258322e+18,2022-01-17 18:03:24+00:00,['1483137896525832199'],A must-read from @studyhallxyz / @Kleekamp 👇🏽 https://t.co/zIFTe5sWoF,,mustread,False,mustread 
1.481683816049746e+18,2022-01-13 17:45:24+00:00,['1481683816049745922'],Can confirm that writing for trade and alumni magazines + branded content is a way to create a sustainable freelance business. https://t.co/KEmq9QFsyA,,confirm writing trade alumnus magazine branded content way create sustainable freelance business,False,confirm trade magazine way create freelance business 
