,id,created_at,edit_history_tweet_ids,text
0,1.565120935287554e+18,2022-08-31 23:34:44+00:00,['1565120935287554049'],"@Patsgirl777 Well…Ukrainians are being killed for sure!

What deal did Putin and #TFG work out after his 1st attempted Impeachment???"
1,1.5650988828575908e+18,2022-08-31 22:07:06+00:00,['1565098882857590795'],RT @LoveYourLifeHon: @BassWorldBrad @Trump HEARTBREAKING.
2,1.5650988574947246e+18,2022-08-31 22:07:00+00:00,['1565098857494724613'],RT @BassWorldBrad: @ProudDoggieMom @Trump And why do Cops and #WHITESUPREMACISTS share the same common practice of elimination of Black Liv…
3,1.5650988012616458e+18,2022-08-31 22:06:47+00:00,['1565098801261645839'],RT @ProudDoggieMom: @BassWorldBrad @Trump Wow that sign says it all
4,1.565098592393724e+18,2022-08-31 22:05:57+00:00,['1565098592393723904'],"Donald Trump’s legal team faces rising stakes from obstruction allegations - The Wall Street Journal

Time for HOUSE CLEANING #MaraLago  https://t.co/aof7pYcgsr"
5,1.5650980800467886e+18,2022-08-31 22:03:55+00:00,['1565098080046788608'],"@brianlopeztx So if he lowered the Age of Consent for sex to maybe 14yrs old…he’d claim ITS COMPLETELY CONSTITUTIONAL?

Drinking at 14 too??? https://t.co/WzeFDZyKTO"
6,1.565096725475385e+18,2022-08-31 21:58:32+00:00,['1565096725475385344'],RT @Emastrac: @pelleggi2 @RoxanneJolly3 @RepMTG Keep maga out of healthcare. https://t.co/lwUUxFE8bR
7,1.565094960071938e+18,2022-08-31 21:51:31+00:00,['1565094960071938048'],"@cjb30 Is tRump a…
trans-fascist?

Russian

American 

Russian

Traitor

Russian 

Treasonous"
8,1.5650429118672443e+18,2022-08-31 18:24:41+00:00,['1565042911867244550'],@JoeMcJoe11 If he pays him $1 billion dollars 💵
9,1.5650416069605786e+18,2022-08-31 18:19:30+00:00,['1565041606960578562'],"@Elwood_R FYI
Is #TFG under #Suicide Watch?"
10,1.565041289388761e+18,2022-08-31 18:18:15+00:00,['1565041289388761088'],"@TheLeoTerrell He does have a good sense of HUMOR 😜

#RepublicansForHypocrisy"
11,1.565023670510256e+18,2022-08-31 17:08:14+00:00,['1565023670510256128'],"@Leslieoo7 Now we know why #VladimirPutin influenced the 2016 Election.

He needed access to #TopSecret documents via #DJT 

And @POTUS45 DELIVERED https://t.co/pgfBwAy79G"
12,1.5650212252897608e+18,2022-08-31 16:58:31+00:00,['1565021225289760768'],"@dona17_mc I was wondering…

How does he like his Toast?

He’s TOASTED &amp; Burnt!"
13,1.5649986883547996e+18,2022-08-31 15:28:58+00:00,['1564998688354799621'],RT @hugolowell: New: Trump says on Truth Social the FBI threw “haphazardly” seized documents on the floor for a photo and that they were “d…
14,1.5649985614351892e+18,2022-08-31 15:28:27+00:00,['1564998561435189248'],"RT @hugolowell: NEW: DOJ says FBI found one current and one expired official passport, and one expired personal passport, with classified d…"
15,1.5649854886033162e+18,2022-08-31 14:36:31+00:00,['1564985488603316224'],"RT @BassWorldBrad: @TomFitton The Hillary Clinton RAID definitely is Election Interference!

#VladimirPutin 🇷🇺 #DJT https://t.co/vXGGQT2pJy"
