id,created_at,edit_history_tweet_ids,text,clean_text,nouns
1.564533345052422e+18,2022-08-30 08:39:51+00:00,['1564533345052422149'],"Just posted a photo @ Dresden, Germany https://t.co/ZwO9enntKO",posted photo dresden germany,photo germany 
1.5634549627172332e+18,2022-08-27 09:14:45+00:00,['1563454962717233152'],"Just posted a photo @ Dresden, Germany https://t.co/zQyBTZ00Hn",posted photo dresden germany,photo germany 
1.560995800087511e+18,2022-08-20 14:22:55+00:00,['1560995800087511040'],Just posted a photo @ Orleans Bar https://t.co/Sc7Uwhv6Ae,posted photo orleans bar,photo bar 
1.558198468073726e+18,2022-08-12 21:07:19+00:00,['1558198468073725953'],Just posted a photo @ Waterloo Control Centre https://t.co/J671BPZLR9,posted photo waterloo control centre,control centre 
1.5569975156098376e+18,2022-08-09 13:35:09+00:00,['1556997515609837568'],Just posted a photo @ Hootananny Brixton https://t.co/qrhhmmsvvE,posted photo hootananny brixton,photo hootananny brixton 
1.5566345608964628e+18,2022-08-08 13:32:54+00:00,['1556634560896462848'],Just posted a photo @ Hootananny Brixton https://t.co/wJ0rLQnafI,posted photo hootananny brixton,photo hootananny brixton 
1.5566328854860268e+18,2022-08-08 13:26:15+00:00,['1556632885486026752'],Just posted a photo @ Hootananny Brixton https://t.co/LU65u7XbK3,posted photo hootananny brixton,photo hootananny brixton 
1.554035614084989e+18,2022-08-01 09:25:37+00:00,['1554035614084988928'],Just posted a photo @ The Magic Garden https://t.co/LCSAt1Ux5l,posted photo magic garden,photo garden 
1.5537176744038236e+18,2022-07-31 12:22:14+00:00,['1553717674403823620'],Just posted a photo @ Church Street https://t.co/L7R1ng5s4e,posted photo church street,photo church street 
1.553476572421755e+18,2022-07-30 20:24:11+00:00,['1553476572421754880'],Just posted a photo @ Plaza Pastor https://t.co/4b2o4y6vAk,posted photo plaza pastor,photo plaza pastor 
1.5522872939223204e+18,2022-07-27 13:38:25+00:00,['1552287293922320384'],Just posted a photo @ Jazz Cafe Camden Town https://t.co/14OcaWxFXs,posted photo jazz cafe camden town,jazz town 
1.55004765330355e+18,2022-07-21 09:18:53+00:00,['1550047653303549952'],Just posted a photo @ Hootananny Brixton https://t.co/K5IvHx7xjK,posted photo hootananny brixton,photo hootananny brixton 
1.5500364829366927e+18,2022-07-21 08:34:30+00:00,['1550036482936692737'],Just posted a photo @ Jazz Cafe Camden Town https://t.co/P1UhozdJ8V,posted photo jazz cafe camden town,jazz town 
1.5483208007672955e+18,2022-07-16 14:56:59+00:00,['1548320800767295488'],23 July | Beer Garden beats with Carlitos Nino DJ #VivaColombia special celebration - FREE https://t.co/X4ugJNFMEO,july beer garden beat carlitos nino special celebration free,beer garden beat carlitos nino celebration 
1.548291281075331e+18,2022-07-16 12:59:41+00:00,['1548291281075331074'],"Un concierto de #SilviaBalducci que incluirá obras de la Nueva Canción Chilena - Violeta Parra y Víctor Jara - este sábado 16 de julio, 
@CityHopeLondon
 #Bermondsey 7.30pm. También, cantautor 
@MrAdamBeattie
https://t.co/ZhtOEb3UUR",concierto que incluir obras nueva cancin chilena violeta parra vctor jara este sbado julio tambin cantautor,concierto que incluir cancin chilena violeta parra vctor jara este sbado julio tambin cantautor 
1.5482415742822031e+18,2022-07-16 09:42:10+00:00,['1548241574282203136'],"Back to The Grow, Hackney next Friday 22 July for a Tropical Summer fiesta de verano! celebrating Latin American popular fiestas patrias from Colombia and Peru w/ Los Bravos de la K'umbia + Dj Carlitos Nino &amp; special guests..  @GrowHackney  https://t.co/I3iDPSjuHG",back grow hackney next friday july tropical summer fiesta verano celebrating latin american popular fiesta patrias colombia peru los bravo k'umbia carlitos nino amp special guest,hackney july summer fiesta verano fiesta patrias colombia bravo k'umbia carlitos nino guest 
1.548240344403153e+18,2022-07-16 09:37:17+00:00,['1548240344403152898'],"Busy summer ahead, so, save the date because you will be back home late this night! We are back to El jardin Magico next Tropical Friday 29th July for a #FlamenCubanPower night, when Spain meets Cuba.. https://t.co/PT3CRw5Hmo @magic_pub",busy summer ahead save date back home late night back jardin magico next tropical friday july night spain meet cuba,summer date home night jardin magico friday july night spain meet cuba 
1.548240055625429e+18,2022-07-16 09:36:08+00:00,['1548240055625428994'],Join us next Cumbia mi amor! on Saturday 23 July to celebrate Colombian culture with a full Parranda with the magnificent UK Vallenato Kings bringing the Cumbia Sabanera https://t.co/zWXpdPNfXw @Movimientos @HootanannyBrix,join next cumbia amor saturday july celebrate colombian culture full parranda magnificent vallenato king bringing cumbia sabanera,join cumbia amor july celebrate culture parranda magnificent vallenato cumbia sabanera 
1.5450072236503245e+18,2022-07-07 11:30:01+00:00,['1545007223650324482'],Just posted a photo @ The Magic Garden https://t.co/5WDK723YKk,posted photo magic garden,photo garden 
