id,created_at,edit_history_tweet_ids,text,clean_text
1.564247427519058e+18,2022-08-29 13:43:43+00:00,['1564247427519057923'],Awesome morning following the #PillCarnival parade this morning - so many wonderful floats! @FoNMAG1 @NpTbridge @FONSNewportship https://t.co/UMLkA89gFy,awesome morning following parade morning many wonderful float
1.5639408088055194e+18,2022-08-28 17:25:20+00:00,['1563940808805519360'],@KrystalsLowe @kizzkez Sorry not to say hi after x,sorry say
1.5638639016783217e+18,2022-08-28 12:19:44+00:00,['1563863901678321664'],Loved seeing @KrystalsLowe @kizzkez in Whimsey today!! What a fab show! https://t.co/j15VGyLbFr,loved seeing whimsey today fab show
1.563815331268903e+18,2022-08-28 09:06:43+00:00,['1563815331268902912'],Fantastic opportunity on offer for arts facilitators in Gwent from @insideoutcymru Check it out 👇🏻👇🏻 https://t.co/Kgu5SZUNpt,fantastic opportunity offer art facilitator gwent check
1.5638144369635e+18,2022-08-28 09:03:10+00:00,['1563814436963500032'],@KrystalsLowe @NTWtweets @ShermanTheatre @BBCOne @S4C @keithmurrell What time are you performing today @KrystalsLowe ?,time performing today
1.5634330960866632e+18,2022-08-27 07:47:51+00:00,['1563433096086663173'],This morning. Y bore 'ma! 💜 https://t.co/ip4qJeZn6z,morning bore 'ma
1.5632121564764692e+18,2022-08-26 17:09:55+00:00,['1563212156476469248'],"We've been so lucky to be supported by this fund. If you're Newport based, you could access up to £2000 as well. 👍 https://t.co/GctloLecr2",we've lucky supported fund newport based could access well
1.563137595336319e+18,2022-08-26 12:13:39+00:00,['1563137595336318977'],Ymunwch â Dave Dydd Sadwrn yma yng Nglan yr Afon am gerddoriaeth a chanu cynhwysol! Bydd yn ddechrau am 10.30 ac yn rhad ac am ddim. Sesiwn hwyliog i blant bach a'u teuluoedd. Dewch draw! 🎶🌞🪘🎻,ymunwch dave dydd sadwrn yma yng nglan afon gerddoriaeth chanu cynhwysol bydd ddechrau rhad ddim sesiwn hwyliog blant bach a'u teuluoedd dewch draw
1.5631375923920036e+18,2022-08-26 12:13:38+00:00,['1563137592392003584'],Join Dave this Saturday at The Riverfront for some #InclusiveMusic and singing! Starting at 10.30 and completely free it's a fun session for all little ones and their families. Just turn up! @NewportLiveUK @NewportCouncil #SummerOfFun @familyarts1 @NewportParent @EntsSouthWales https://t.co/P01gDKxIPK,join dave saturday riverfront singing starting completely free fun session little one family turn
1.5631368277790884e+18,2022-08-26 12:10:36+00:00,['1563136827779088384'],@RhysOlwyn @BethHouse12 @TheWallich Ooooh we do like this!!! 😆,ooooh like
1.5628895568271974e+18,2022-08-25 19:48:02+00:00,['1562889556827197440'],Hynod o falch i lansio côr newydd yng Nghasnewydd ar gyfer pobl ddigartref. Bydd rhagflas cyntaf gydag arweinydd y côr Eoghan y dydd Iau yma. Mae'r @TheWallich yn cefnogi'r sesiwn gyntaf ac mae Western Power Distribution yn ariannu'r rhaglen! Cadwch lygad allan am ddiweddariadau,hynod falch lansio newydd yng nghasnewydd gyfer pobl ddigartref bydd rhagflas cyntaf gydag arweinydd eoghan dydd iau yma mae'r cefnogi'r sesiwn gyntaf mae western power distribution ariannu'r rhaglen cadwch lygad allan ddiweddariadau
1.562889553626534e+18,2022-08-25 19:48:01+00:00,['1562889553626533890'],We're so proud to be launching a new choir in #Newport for homeless people. Our first taster with choir leader Eoghan here was today! @TheWallich are supporting these first sessions and #WesternPowerDistribution are funding the programme. Keep checking back for updates! 🎶🎸 https://t.co/OQY8QjmV6t,we're proud launching new choir homeless people first taster choir leader eoghan today supporting first session funding programme keep checking back update
1.5627315076549345e+18,2022-08-25 09:20:00+00:00,['1562731507654934528'],Heddiw o 4 tan 6yh mae gennym y sesiwn olaf i bobl ifanc yn eu harddegau yn @friarswalk Uned 9. Yn cloi ein Sesiynau Sonic bydd @nfamady_kouyate  yn gwneud cyflwyniad i Djembe Gorllewin Affrica. Archebwch yma neu trowch lan am 4 https://t.co/fmZXFKplac https://t.co/KUkCukrtiV,heddiw tan mae gennym sesiwn olaf bobl ifanc harddegau uned cloi ein sesiynau sonic bydd gwneud cyflwyniad djembe gorllewin affrica archebwch yma neu trowch lan
1.5623678617793208e+18,2022-08-24 09:15:00+00:00,['1562367861779320832'],Today from 4-6pm we have the last of our sessions for teenagers at @friarswalk Unit 9. Finishing up our Sonic Session is @nfamady_kouyate with an introduction to West African Djembe. Book here or just turn up at 4! https://t.co/fmZXFK7KiE https://t.co/mhLptuJAkQ,today last session teenager unit finishing sonic session introduction west african djembe book turn
1.5618082325528412e+18,2022-08-22 20:11:14+00:00,['1561808232552841216'],@tayla_leigh21 Thank you so much for doing it! 😊,thank much
1.5606605720724234e+18,2022-08-19 16:10:50+00:00,['1560660572072423426'],"Y Fory 10.30yb Ymunwch â Tayla a Josh i chwarae gydag offerynnau taro, gwneud rhywfaint o symud ac i gymryd rhan mewn gemau canu. Sesiynau  rhad ac am ddim i fabanod 0-5 oed a'u teuluoedd. Welwn ni chi yno!! 🎤🎶🎻 https://t.co/C2K3K9qUvk",fory ymunwch tayla josh chwarae gydag offerynnau taro gwneud rhywfaint symud gymryd rhan mewn gemau canu sesiynau rhad ddim fabanod oed a'u teuluoedd welwn chi yno
1.5606605522248745e+18,2022-08-19 16:10:45+00:00,['1560660552224874498'],"Tomorrow 10.30am at National Roman Legion Museum #Caerleon Music Mix-Up with Tayla and Joshua @tayla_leigh21 for little ones. Join Tayla and Josh to play with percussion instruments, do some movement and take part in some singing games! @AmgueddfaCymru FREE #FamilyArts #FamilyFun https://t.co/5lt2K7Gvho",tomorrow national roman legion museum music mixup tayla joshua little one join tayla josh play percussion instrument movement take part singing game free
1.5603062018622095e+18,2022-08-18 16:42:42+00:00,['1560306201862209536'],Fun session learning how to scratch with DJ @FatherOfCain as part of #SummerOfFun. We've moved on to video scratching to finish off! Thanks @NewportCouncil for supporting our #SonicSessions! https://t.co/40Hf944emu,fun session learning scratch part we've moved video scratching finish thanks supporting
1.5602656592499384e+18,2022-08-18 14:01:36+00:00,['1560265659249938436'],"This evening 4pm @friarswalk #Newport for young people
Heno am bobl ifanc ↘️😎 https://t.co/EoWIzIKGId",evening young people heno bobl ifanc
1.5601952025219932e+18,2022-08-18 09:21:37+00:00,['1560195202521993216'],TODAY!!! Unit 9 @friarswalk FREE 👇🏻👇🏻👇🏻👇🏻 https://t.co/EoWIzJ2i6N,today unit free
