id,created_at,edit_history_tweet_ids,text,withheld,clean_text,nouns
1.5607386463487672e+18,2022-08-19 21:21:05+00:00,['1560738646348767232'],Very Disappointing for my team at the premier league bottom of the league table. No comments. 😳 https://t.co/HjNcNCq4jD,,disappointing team premier league bottom league table comment,team premier league bottom league comment 
1.5424282261900165e+18,2022-06-30 08:42:00+00:00,['1542428226190016516'],@MLS @GarethBale11 Amazing guy loving to see his achievements,,amazing guy loving see achievement,guy 
1.5364246520080507e+18,2022-06-13 19:05:57+00:00,['1536424652008050691'],asylum seekers to Rwanda all wrong very angry and furious with this. #StopTheFlights #RwandaNotInMyName,,asylum seeker rwanda wrong angry furious,asylum seeker rwanda 
1.5364242570177618e+18,2022-06-13 19:04:22+00:00,['1536424257017761792'],asylum seekers to Rwanda all wrong angry and furious with this!!! 😡,,asylum seeker rwanda wrong angry furious,asylum seeker rwanda 
1.5364240536695194e+18,2022-06-13 19:03:34+00:00,['1536424053669519365'],"UN refugee chief Filippo Grandi slams imminent UK plan to send asylum seekers to Rwanda as ""all wrong"", warning it would set a ""catastrophic"" precedent",,refugee chief filippo grandi slam imminent plan send asylum seeker rwanda wrong warning would set catastrophic precedent,refugee chief filippo grandi slam plan asylum seeker rwanda warning precedent 
1.5340893356240486e+18,2022-06-07 08:26:14+00:00,['1534089335624048640'],Got a question what's your verdict on this? Most of the artists said big church day out!  Which sounds better? have your say??,,got question what's verdict artist said big church day sound better say,question artist church day say 
1.532674628644229e+18,2022-06-03 10:44:41+00:00,['1532674628644229120'],"And we're off!!! @BigChurchFest
#Bigchurchfestival @AStepFWD https://t.co/LQ1pP14dVm",,we're,
1.5312279889975706e+18,2022-05-30 10:56:16+00:00,['1531227988997570562'],@walkers_crisps Crisp in or crisp out !!!,,crisp crisp,crisp crisp 
1.5286264475936358e+18,2022-05-23 06:38:40+00:00,['1528626447593635841'],@stevefbest no  Coronation Chicken top ten??  my favourite sandwich is Coronation Chicken followed by BLT,,coronation chicken top ten favourite sandwich coronation chicken followed blt,coronation chicken ten coronation chicken blt 
1.528619060866556e+18,2022-05-23 06:09:19+00:00,['1528619060866555906'],@stevefbest @UCBMedia I thought it was the spaghetti Junction,,thought spaghetti junction,junction 
1.525889681149264e+18,2022-05-15 17:23:44+00:00,['1525889681149263875'],Glad that Ukraine won #Eurovision congratulations to UK came 2nd,,glad ukraine congratulation came,congratulation 
1.5255902387893084e+18,2022-05-14 21:33:51+00:00,['1525590238789308416'],What a great night @bbceurovision #Eurovision2022,,great night,night 
1.525563409751806e+18,2022-05-14 19:47:15+00:00,['1525563409751805953'],@holliehousewife enjoy the #Eurovision2022  tonight!!!,,enjoy tonight,enjoy tonight 
1.5255624904316232e+18,2022-05-14 19:43:35+00:00,['1525562490431623169'],@holliehousewife Tweet tweet !!!,,tweet tweet,tweet tweet 
1.5255609530388316e+18,2022-05-14 19:37:29+00:00,['1525560953038831619'],Guessing you are watching it tonight hahahah @holliehousewife #Eurovision2022,,guessing watching tonight hahahah,tonight hahahah 
1.525559579307823e+18,2022-05-14 19:32:01+00:00,['1525559579307823104'],Let's Go!!! @bbceurovision #Eurovision2022,,let's,let 
