,id,created_at,edit_history_tweet_ids,text
0,1.5609023560526152e+18,2022-08-20 08:11:36+00:00,['1560902356052615168'],RT @Feargal_Sharkey: All hail @vizcomic
1,1.560652710914949e+18,2022-08-19 15:39:36+00:00,['1560652710914949120'],"RT @Feargal_Sharkey: All of them, all of them, @DefraGovUK, @Ofwat, @EnvAgency and @SouthernWater should hang their heads in shame and by G…"
2,1.5572645482179052e+18,2022-08-10 07:16:15+00:00,['1557264548217905153'],"RT @BlaSTNetworkLCR: BlaST Network Business Networking Event. @TWR__org  @kindred_lcr 

Music, entertainment whilst taking and some amazing…"
3,1.5558688046343168e+18,2022-08-06 10:50:04+00:00,['1555868804634316801'],Wow!!! Amazing 🤩 @kindred_lcr https://t.co/amxfXgtVnh
4,1.5558306485097964e+18,2022-08-06 08:18:27+00:00,['1555830648509796352'],@erika_rushton @LammySean @TheFlorrie @kindred_lcr 😊🏕😁
5,1.5554122295283548e+18,2022-08-05 04:35:48+00:00,['1555412229528354816'],RT @BlaSTNetworkLCR: WE WANT TO JOIN! #August #BlackBusinessMonth #USA BlaSTNetwork #UK
6,1.5552373614406697e+18,2022-08-04 17:00:56+00:00,['1555237361440669697'],#ParrKidsCan https://t.co/O69SlydN0K
7,1.555156537496277e+18,2022-08-04 11:39:46+00:00,['1555156537496276992'],"RT @BlaSTNetworkLCR: BlaST Network Business Networking Event. @TWR__org @kindred_lcr 

Free Event No Booking Required!

Music, entertainmen…"
8,1.5551549934890885e+18,2022-08-04 11:33:38+00:00,['1555154993489088512'],"Parr Youth Can!!! @erika_rushton @KindredJen @kindred_lcr Steve, Dom and team!!! 👇🏽👇🏽👇🏽 #ParrYouthCan @davidebaines @KateGroucutt https://t.co/aZyy1ygq7q"
9,1.5551542150681313e+18,2022-08-04 11:30:32+00:00,['1555154215068131329'],RT @PioneersPost: Social enterprises and charities can bid for grants of up to £9m as part of a new £368m fund to build and improve youth f…
10,1.555106594626617e+18,2022-08-04 08:21:19+00:00,['1555106594626617346'],"RT @kindred_lcr: Come along and join @BlaSTNetworkLCR &amp; @TWR__org on 21 Aug at @chapters_of_us for a day of music, entertainment and a Blac…"
11,1.5551065763059794e+18,2022-08-04 08:21:14+00:00,['1555106576305979392'],"RT @kindred_lcr: Come on STOs, there’s still time to enter the @MIBAwards for Merseyside’s independent businesses. Lots of categories to lo…"
12,1.5547320538364723e+18,2022-08-03 07:33:01+00:00,['1554732053836472321'],@TT_Liverpool @kindred_lcr @growingsudley @faiths4change @Tiber_org @_OpenCulture @abdulBqadir @TomLogan00 @CllrLHarvey @cycleoflife8 Yes I know Ibe and @cycleoflife8 - so can get in touch with them 👌🏽😃
13,1.5545790755362447e+18,2022-08-02 21:25:08+00:00,['1554579075536244738'],RT @ChristleNwora: Y’all. This is it. https://t.co/ptUshnJ0rh
14,1.5545779074140815e+18,2022-08-02 21:20:30+00:00,['1554577907414081539'],"@kindred_lcr @TT_Liverpool @growingsudley @faiths4change @Tiber_org @_OpenCulture @abdulBqadir @TomLogan00 @CllrLHarvey Yes, get in touch to chat 😊"
15,1.5545775717145887e+18,2022-08-02 21:19:10+00:00,['1554577571714588673'],"RT @kindred_lcr: @TT_Liverpool @growingsudley @faiths4change @Tiber_org @_OpenCulture @abdulBqadir @TomLogan00 @CllrLHarvey @Chris_Spriggs,…"
16,1.5545775402573537e+18,2022-08-02 21:19:02+00:00,['1554577540257353736'],RT @TT_Liverpool: Anyone have any ideas of a place that an L8 summer club could camp for a night? @growingsudley @faiths4change @Tiber_org…
17,1.553837903352107e+18,2022-07-31 20:19:59+00:00,['1553837903352107012'],So now we can say ‘ Tits out for the Girls’ Yesss!!!!!! #lionesseses ⚽️ https://t.co/JPpgn4zhco
18,1.5537445375661834e+18,2022-07-31 14:08:59+00:00,['1553744537566183425'],"RT @SaulStaniforth: Simon Thompson £753k/yr + £140k bonus

Mick Jeavons £1.3m/yr + £847k in bonuses

Martin Seidenberg £1,6m/yr + £1m in bo…"
19,1.5537442579362488e+18,2022-07-31 14:07:52+00:00,['1553744257936248832'],Liv Golf 🏌🏽list of shame… #dirtymoney 💵 💵💵🤬 https://t.co/BnNqgeifgg
20,1.5537417391939584e+18,2022-07-31 13:57:52+00:00,['1553741739193958401'],@Okeating Jacob Marley and the Wailers
21,1.553057710723285e+18,2022-07-29 16:39:47+00:00,['1553057710723284993'],RT @our_jess: Utterly speechless https://t.co/TaBmicER2c
22,1.552274331224494e+18,2022-07-27 12:46:55+00:00,['1552274331224494080'],RT @Okeating: Bob Marley's difficult follow-up single. https://t.co/1OC2tdsZAz
23,1.5522742013478584e+18,2022-07-27 12:46:24+00:00,['1552274201347858432'],RT @PrivateEyeNews: All change: the new edition of Private Eye is on sale now! https://t.co/hesUde0FvK
24,1.552272827474133e+18,2022-07-27 12:40:56+00:00,['1552272827474132996'],"RT @LCRMusicBoard: JOIN OUR PANEL EVENT THIS SUNDAY //
LCR Music Board is hosting a 'LIMF TALK' panel for @LIMFestival this Sunday (31 July…"
25,1.5522297527480852e+18,2022-07-27 09:49:46+00:00,['1552229752748085248'],RT @kevincrooks: All you St. Helens folk check out this wonderful event from the amazing @modernistmag 👇🏻#sthelens #modernist #architecture…
26,1.5522296957894042e+18,2022-07-27 09:49:33+00:00,['1552229695789404160'],"RT @kindred_lcr: ICYMI: Kindred’s @RhiannonBird_L talked to @NgunanAdamu for her Penniless Fool podcast. Ngunan’s STO, @iWomanAcademy, empo…"
27,1.5522294575361884e+18,2022-07-27 09:48:36+00:00,['1552229457536188416'],RT @RMTunion: .@RMTunion is calling for a railway run for the benefit of the people and for the benefit of the economy. Mick Lynch sets out…
