,id,created_at,edit_history_tweet_ids,text,withheld
0,1.5637927532884132e+18,2022-08-28 07:37:00+00:00,['1563792753288413184'],"RT @MeCookieMonster: There is more to life than cookies, but cookies are still big part of it.",
1,1.5632764949565276e+18,2022-08-26 21:25:35+00:00,['1563276494956527616'],@timmhotep they clearly don’t know even half of the warpath,
2,1.562332189806715e+18,2022-08-24 06:53:15+00:00,['1562332189806714880'],@sheetaverma never gonna have the third thing 😂,
3,1.5621882367093064e+18,2022-08-23 21:21:14+00:00,['1562188236709306368'],RT @Danez_Smif: Miss Honey? Miss Honey! https://t.co/ZA8yq1DcLd,
4,1.5621879255545733e+18,2022-08-23 21:20:00+00:00,['1562187925554573313'],RT @_melayela_: Starting today on the good foot🕺 https://t.co/LLZKxEtBkf,
5,1.559650454472106e+18,2022-08-16 21:16:59+00:00,['1559650454472105984'],"RT @KatrinaBabies: The babies who were neglected and forgotten in 2005 aren’t babies anymore, and this is our story! 

Excited to share the…",
6,1.5591490487032054e+18,2022-08-15 12:04:35+00:00,['1559149048703205377'],"RT @mouseonfeet: Unboxing the @Reebok Answer DMX. 2nd signature sneaker for @alleniverson 

Full Review: https://t.co/mhtwKualqD https://t.…",
7,1.5573439403780833e+18,2022-08-10 12:31:44+00:00,['1557343940378083328'],@Thebookofbri @sekanibrghtn @HoodFamousTV_ https://t.co/2D0dZ1yndD,
8,1.5570376640707338e+18,2022-08-09 16:14:42+00:00,['1557037664070733826'],RT @kaayvan_: I need a copy of Uncle Clifford’s rule book,
9,1.556980888055042e+18,2022-08-09 12:29:05+00:00,['1556980888055042048'],@candlestickem can’t stop thinking bout how mich we need this,
10,1.554842569011495e+18,2022-08-03 14:52:10+00:00,['1554842569011494912'],"RT @LifeWithJRDN: Live, laugh, shop 🛍: https://t.co/CRYBRbRDMg https://t.co/gYRXXuJ64z",
11,1.5533608514527887e+18,2022-07-30 12:44:21+00:00,['1553360851452788737'],RT @jalenmosby: Me listening to Renaissance straight through again https://t.co/AYbnIJY23q,
12,1.5531811842423603e+18,2022-07-30 00:50:25+00:00,['1553181184242360332'],SHE RAPPIN IN 2030 ON CHURCH GIRLS 🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯,
13,1.553051439013847e+18,2022-07-29 16:14:52+00:00,['1553051439013847040'],@SUPERbyCope I’m ready this time https://t.co/XLNF2OS3Xj,
14,1.5529556229073388e+18,2022-07-29 09:54:07+00:00,['1552955622907338752'],@_youngju8 w/ the recess pennys 🔥🔥🔥🔥,
15,1.5523046349030195e+18,2022-07-27 14:47:20+00:00,['1552304634903019525'],"RT @javeauriel: Ppl constantly ask children what their dream occupations are, then wonder why adults tie their whole identities to their wo…",
16,1.5520386925497915e+18,2022-07-26 21:10:34+00:00,['1552038692549791747'],https://t.co/njvqHoSXS2 https://t.co/pG1gzvLB9T,
17,1.551688235566465e+18,2022-07-25 21:57:58+00:00,['1551688235566465025'],RT @wavy_bagels: isn’t mixing and mastering technically fucking around and finding out?,
18,1.551384206571438e+18,2022-07-25 01:49:52+00:00,['1551384206571438080'],"RT @thejpgvibe: maty fall. in schiaparelli 
X system magazine. 📸 nadine ijewere https://t.co/UPMFEXqqnI",
19,1.5513623171615785e+18,2022-07-25 00:22:53+00:00,['1551362317161578497'],"RT @DivaLaci: It’s truly irresponsible for businesses to only carry Dasani water. Like, what if someone chokes? What if someone needs water…",
20,1.5471074171666842e+18,2022-07-13 06:35:26+00:00,['1547107417166684161'],"RT @JillKrajewski: it's here–the deepest, sharpest infrared view of the universe to date https://t.co/3rqzmReK6f",
21,1.5470751810883174e+18,2022-07-13 04:27:21+00:00,['1547075181088317445'],@sammie_scottie @troizel_ impeccable the both of ya 🤩,
22,1.547072545194709e+18,2022-07-13 04:16:52+00:00,['1547072545194708992'],@MadameJaeMusic Kenny Mason has some dope songs exploring that blend https://t.co/CZ67ycRTaP,
23,1.5455142216386724e+18,2022-07-08 21:04:39+00:00,['1545514221638672384'],RT @jacqpfrancois: Jill Scott needs a Tiny Desk performance. That would be most pleasing.,
