id,created_at,edit_history_tweet_ids,text,withheld,clean_text
1.4594790000116613e+18,2021-11-13 11:11:24+00:00,['1459479000011661314'],I've just signed this petition calling on water companies to stop dumping raw sewage into our seas and waterways. Will you add your name? https://t.co/MefmuWoYTZ,,i've signed petition calling water company stop dumping raw sewage sea waterway add name
1.4592006216140882e+18,2021-11-12 16:45:13+00:00,['1459200621614088192'],@raggedgeorge It suits you you’ve got the legs and figure for itself,,suit youve got leg figure
1.458833357186478e+18,2021-11-11 16:25:50+00:00,['1458833357186478085'],I just signed this petition to get MPs to support a new human rights and environmental law: https://t.co/Hn2qKUsOXr,,signed petition get support new human right environmental law
1.458760433943339e+18,2021-11-11 11:36:04+00:00,['1458760433943339008'],I just signed this petition - can you help me get more names? It’s really important: https://t.co/rry8Ib68d0,,signed petition help get name really important
1.4570823644217098e+18,2021-11-06 20:28:01+00:00,['1457082364421709826'],@KatiePiper_ Congratulations🥂,,congratulation
1.4559261036006769e+18,2021-11-03 15:53:27+00:00,['1455926103600676866'],Frances Haugen is going up against one of the most powerful companies in the world - click to stand with her and all Big Tech whistleblowers https://t.co/965E2SUeyf,,france haugen going one powerful company world click stand big tech whistleblower
1.453634031799751e+18,2021-10-28 08:05:35+00:00,['1453634031799750660'],@SamiraT_2003 Hi Samira I live in Kent UK😊,,samira live kent
1.4514755276430582e+18,2021-10-22 09:08:27+00:00,['1451475527643058177'],@TheRealGrumpDad Happy Birthday 🎂,,happy birthday
1.44723410423219e+18,2021-10-10 16:14:33+00:00,['1447234104232189953'],@CorkCoypu Sound advice 😊,,sound advice
1.4457201035264287e+18,2021-10-06 11:58:27+00:00,['1445720103526428679'],@CorkCoypu Thank you so much☹️,,thank much
1.4450880349076972e+18,2021-10-04 18:06:50+00:00,['1445088034907697163'],"I've just signed the @TaxJusticeUK petition calling on @RishiSunak &amp; @BorisJohnson to close the tax loopholes that allow the mega-rich to dodge paying their fair share, please sign and retweet. #PandoraPapers https://t.co/QtacWYm3Fe via @38_degrees",,i've signed petition calling amp close tax loophole allow megarich dodge paying fair share please sign retweet via
1.4443646264147722e+18,2021-10-02 18:12:16+00:00,['1444364626414772224'],@Kopp1969 So sorry💜,,sorry
1.444277527216894e+18,2021-10-02 12:26:10+00:00,['1444277527216893954'],Please look at this - https://t.co/ldSlFc2ghv,,please look
1.444269364316881e+18,2021-10-02 11:53:44+00:00,['1444269364316880900'],@CorkCoypu Feel so sorry for you it’s so unfair,,feel sorry unfair
1.443133162683523e+18,2021-09-29 08:38:52+00:00,['1443133162683523076'],I've just signed the open letter asking @annietrev to keep the NHS out of trade deals. Will you add your name? #KeepOurNHSPublic https://t.co/nQ7IZ4r4Xx,,i've signed open letter asking keep trade deal add name
1.4400148327035249e+18,2021-09-20 18:07:44+00:00,['1440014832703524868'],@NatsWoodward Absolutely amazing,,absolutely amazing
1.4400145971305267e+18,2021-09-20 18:06:48+00:00,['1440014597130526726'],Add your name: https://t.co/xQpUkuWTRS,,add name
1.4360812060141896e+18,2021-09-09 21:36:55+00:00,['1436081206014189568'],@ShelaghFogarty So sorry for your loss,,sorry loss
1.4327263593113313e+18,2021-08-31 15:25:57+00:00,['1432726359311331331'],@RazanIRL @UL Glad you like it in Ireland,,glad like ireland
1.430256031876137e+18,2021-08-24 19:49:45+00:00,['1430256031876136965'],I've just signed up to be a part of a campaign to make sure COP26 is a success - and force UK politicians to make it a top priority. Will you join me? https://t.co/cLXDMrcZYf,,i've signed part campaign make sure cop success force politician make top priority join
1.427658886232879e+18,2021-08-17 15:49:37+00:00,['1427658886232879117'],@EmmaShi62903428 You must be very proud of him,,must proud
1.4276587652733788e+18,2021-08-17 15:49:08+00:00,['1427658765273378819'],@HangBlaa Very clever,,clever
1.425583944771285e+18,2021-08-11 22:24:33+00:00,['1425583944771284995'],@zakwilliams A sad loss to the world,,sad loss world
1.4252472258154742e+18,2021-08-11 00:06:33+00:00,['1425247225815474177'],"I've signed the @38_degrees petition calling on @marksandspencer to stop labelling unsustainable, factory farmed #salmon as “responsibly sourced”. Will you join me? https://t.co/33IIhmcqpI via @38_degrees",,i've signed petition calling stop labelling unsustainable factory farmed responsibly sourced join via
1.422653736376279e+18,2021-08-03 20:20:57+00:00,['1422653736376279042'],@sen_bhs Absolutely perfect,,absolutely perfect
1.4226146402284503e+18,2021-08-03 17:45:35+00:00,['1422614640228450310'],@Jeff_Pedley Blarney,,blarney
1.4218678906811884e+18,2021-08-01 16:18:16+00:00,['1421867890681188359'],@dunbarnews Happy Birthday 🎉🎁,,happy birthday
1.4218674827389993e+18,2021-08-01 16:16:39+00:00,['1421867482738999301'],@JulianClary Happy Birthday🎁🎂🥂,,happy birthday
1.421498860149543e+18,2021-07-31 15:51:53+00:00,['1421498860149542919'],I just signed the petition calling on @pritipatel to scrap plans that could jail reporters for stories that embarrass the government. Will you sign too? https://t.co/mMYc4oxTCd via @38_degrees,,signed petition calling scrap plan could jail reporter story embarrass government sign via
1.4204258056629903e+18,2021-07-28 16:47:56+00:00,['1420425805662990344'],"Please sign &amp;amp; RT this petition, it means a lot to me: https://t.co/NSWdXZTOFy via @38_degrees",,please sign ampamp petition mean lot via
1.4192627268876902e+18,2021-07-25 11:46:17+00:00,['1419262726887690241'],I just signed the petition calling on Culture Secretary @OliverDowden to scrap his damaging plans to sell off Channel 4 to a private buyer! Can you add your name too? https://t.co/bGsmwVWyuZ,,signed petition calling culture secretary scrap damaging plan sell channel private buyer add name
1.418911949379801e+18,2021-07-24 12:32:25+00:00,['1418911949379801106'],"I've signed the petition calling on @BorisJohnson and George Eustice to protect UK #wildlife, not property developer's profits! Will you add your name too? https://t.co/CuSsnmW77t",,i've signed petition calling george eustice protect property developer's profit add name
1.41865608064999e+18,2021-07-23 19:35:41+00:00,['1418656080649990144'],@BlindGirlVlogs @CharlesColquho4 Blatant discrimination so wrong,,blatant discrimination wrong
1.4185521243974574e+18,2021-07-23 12:42:36+00:00,['1418552124397457409'],.@edfenergy is building a new nuclear plant and they want us to pick up the tab. Don't let it happen @beisgovuk @KwasiKwarteng @hmtreasury #NoNewNuclear https://t.co/gZAGJjk9t7,,building new nuclear plant want pick tab let happen
1.4181676722950185e+18,2021-07-22 11:14:56+00:00,['1418167672295018500'],"Chocolate candy giant #Ferrero, maker of @NutellaGlobal loves to talk about family and good times. Then WHY buy palm oil laced with  #childabuse,  #deforestation and land grabbing? https://t.co/UeKYTFSAE6",,chocolate candy giant maker love talk family good time buy palm oil laced land grabbing
1.4178803405138207e+18,2021-07-21 16:13:10+00:00,['1417880340513820676'],"@camaradeputados: we're watching you! VETO PL490/2007, the Genocide Bill -- the world is demanding respect for the Amazon #PL490NO https://t.co/Dgnzhu6bG4",,we're watching veto genocide bill world demanding respect amazon
1.4167160462838088e+18,2021-07-18 11:06:41+00:00,['1416716046283808773'],I just signed a petition calling on the UK government to match the EU's ban on #singleuseplastic. Will you add your name? https://t.co/jIGRxkGIr2 via @38_degrees,,signed petition calling government match eu's ban add name via
1.412072124395688e+18,2021-07-05 15:33:24+00:00,['1412072124395687936'],I just signed the petition calling on @sajidjavid to keep prescriptions free for over 60s. Can you sign too? https://t.co/TlCouFovVF via @38_degrees,,signed petition calling keep prescription free sign via
1.4096217143345357e+18,2021-06-28 21:16:20+00:00,['1409621714334535681'],@LordMayorDublin @AdamKingIRL @MansionHouseDub @hazechu @DubCityCouncil Well done Adam💙,,well done adam
1.4014843093415526e+18,2021-06-06 10:21:12+00:00,['1401484309341552646'],"I've just signed a petition asking the Government to strengthen all people’s rights to protect flexible working. 
 https://t.co/xhKDBVm1Cm via @38_degrees",,i've signed petition asking government strengthen people right protect flexible working via
1.400956143460098e+18,2021-06-04 23:22:27+00:00,['1400956143460098063'],@MagdaDavitt77 Oh what a shame but I can see your reasoning - I’m sorry we won’t hear your beautiful voice,,shame see reasoning sorry wont hear beautiful voice
1.3960047588765327e+18,2021-05-22 07:27:25+00:00,['1396004758876532736'],@AdventuresWAD @RTELateLateShow Adam you will be a perfect host of the Late Late show💜,,adam perfect host late late show
1.3956620003117425e+18,2021-05-21 08:45:25+00:00,['1395662000311742467'],Sign the petition to increase the minimum wage - it's being delivered to the low pay commission consultation: https://t.co/okjLVWe3Aa,,sign petition increase minimum wage delivered low pay commission consultation
1.3944072382871757e+18,2021-05-17 21:39:27+00:00,['1394407238287175687'],@FeelGoodPage11 @DoctorOstomy Amazing,,amazing
1.3944052932709622e+18,2021-05-17 21:31:43+00:00,['1394405293270962184'],@michell24823204 Disgusting,,disgusting
1.3913479301461484e+18,2021-05-09 11:02:51+00:00,['1391347930146148353'],I've just signed the open letter to the UK's leading supermarkets to back them in their threat to boycott Brazilian produce that puts the Amazon at risk? Will you sign too? https://t.co/1nkuypkrUE,,i've signed open letter uk's leading supermarket back threat boycott brazilian produce put amazon risk sign
1.3909640069413396e+18,2021-05-08 09:37:16+00:00,['1390964006941339651'],https://t.co/MPYbn0wVqv,,
1.390356309183275e+18,2021-05-06 17:22:30+00:00,['1390356309183275017'],@AdventuresWAD @OIFoundation @OIFE_OI @BrittleBoneUK Enjoy your wishbone day Adam💜,,enjoy wishbone day adam
1.389630152980697e+18,2021-05-04 17:17:01+00:00,['1389630152980697095'],I've just signed the open letter asking the NHS Pay Review Body to do the right thing and and recommend a real pay rise that NHS staff deserve - not the insulting 1% government figure. Will you add your name? #NHSPayRise #NHSPRB https://t.co/U46QNuvypB,,i've signed open letter asking pay review body right thing recommend real pay rise staff deserve insulting government figure add name
1.3888657664900506e+18,2021-05-02 14:39:37+00:00,['1388865766490050575'],@hannahesme_ Congratulations😊,,congratulation
1.3888492843894825e+18,2021-05-02 13:34:07+00:00,['1388849284389482498'],I've just signed the petition calling on @theresecoffey to ban fire and rehire practices to protect hard working people in the UK.  https://t.co/IJLjQQasUf via @38_degrees,,i've signed petition calling ban fire rehire practice protect hard working people via
1.387700393505923e+18,2021-04-29 09:28:50+00:00,['1387700393505923074'],@AdventuresWAD @LordMayorDublin So delighted for Adam what a hero he is💙,,delighted adam hero
1.384247921734869e+18,2021-04-19 20:49:57+00:00,['1384247921734868995'],@AdventuresWAD @NASA @NASAJPL @NASAPersevere Amazing,,amazing
1.3836919922997576e+18,2021-04-18 08:00:53+00:00,['1383691992299757570'],@PamelaMayoss I’m really pleased for him,,really pleased
1.38333662116506e+18,2021-04-17 08:28:46+00:00,['1383336621165060101'],@VernersViews @McavoyHilary Awfully sad condolences to her family,,awfully sad condolence family
1.382304781994197e+18,2021-04-14 12:08:36+00:00,['1382304781994196993'],I've signed the petition to demand the government cleans up dodgy lobbying. Will you add your name? https://t.co/NktgZiJknv,,i've signed petition demand government clean dodgy lobbying add name
1.381859587725398e+18,2021-04-13 06:39:34+00:00,['1381859587725398016'],@HangBlaa I’m from Cork and proud to be,,cork proud
1.381572430066561e+18,2021-04-12 11:38:30+00:00,['1381572430066561024'],@menysnoweballes How devastating for you - my condolences to you,,devastating condolence
1.3807386820937032e+18,2021-04-10 04:25:29+00:00,['1380738682093703169'],@AdventuresWAD So happy to hear you’re getting better Adam you’re a legend💜,,happy hear youre getting better adam youre legend
1.380399474200154e+18,2021-04-09 05:57:35+00:00,['1380399474200154112'],@JamesConlon_ Good morning😀,,good morning
1.3799222802061883e+18,2021-04-07 22:21:23+00:00,['1379922280206188546'],@TheJaneMcDonald So sorry for your loss,,sorry loss
1.3799205546695311e+18,2021-04-07 22:14:32+00:00,['1379920554669531146'],@BlindDad_Uk @Kika_GuideDog Get well soon Kika💜,,get well soon kika
1.3794091640746312e+18,2021-04-06 12:22:27+00:00,['1379409164074631173'],@CorkCoypu Blarney Castle,,blarney castle
1.3789976311422034e+18,2021-04-05 09:07:10+00:00,['1378997631142203394'],@AdventuresWAD @CUH_Cork @CUHCharity @keelinodonoghue @OIFoundation @OIFE_OI @McJuelie Get well soon Adam💜,,get well soon adam
1.3779981057700823e+18,2021-04-02 14:55:25+00:00,['1377998105770082306'],@loulou34f Perfect💙,,perfect
1.377433117812613e+18,2021-04-01 01:30:21+00:00,['1377433117812613133'],@PeterEgan6 @EganMyra So sorry for your loss,,sorry loss
1.376795607331922e+18,2021-03-30 07:17:07+00:00,['1376795607331921927'],@piersmorgan I’m on your side Piers,,side pier
1.3758639613467894e+18,2021-03-27 17:35:05+00:00,['1375863961346789393'],@HelenORahilly Sorry for your loss may she Rest In Peace,,sorry loss may rest peace
1.3754980424560394e+18,2021-03-26 17:21:03+00:00,['1375498042456039427'],@ShelaghFogarty Yes definitely,,yes definitely
