,Unnamed: 0,Unnamed: 0.1,id,created_at,edit_history_tweet_ids,text
0,0,0,1.5608984047372902e+18,2022-08-20 07:55:54+00:00,['1560898404737290242'],@SAPHNAsharonOBE @EmmaPUNC21 I second Sharon. A fabulous career choice.
1,1,1,1.5540167636329144e+18,2022-08-01 08:10:43+00:00,['1554016763632914432'],"Hello August...
... AND the start of:

We Active Challenge, a month of awareness and support for ourselves and peers to be more active.

Here's all you need to know https://t.co/xowyxre652

Be more active, share a pic via #NursesActive, share the benefits, and support each other. https://t.co/l59LFBBlCc"
2,2,2,1.5537527535660974e+18,2022-07-31 14:41:38+00:00,['1553752753566097410'],"Looks what's all ready and waiting for the start of tomorrow's 2022 WeActiveChallenge...

A very empty WeActiveChallenge dashboard:

https://t.co/ODYnLzOFYh

Let's hope that #NursesActive gets off to a great start for this year's challenge :) https://t.co/GWW5JNB1fM"
3,3,3,1.552719337928147e+18,2022-07-28 18:15:12+00:00,['1552719337928146946'],"Calling all #NursesActive .... 

Who's your #NursesActive buddy?

Best check as WeActiveChallenge starts in 4 days time ! 

When, what, how here &gt; https://t.co/qd1QBu1lbN

How will you be a little more active a little more often this August? https://t.co/6RccnnfwxI"
4,4,4,1.5521908489383895e+18,2022-07-27 07:15:11+00:00,['1552190848938389505'],"Are you warmed up and ready to go ?? 

#NursesActive in 5 days !!! 

Everything you need to know is here https://t.co/YIdqS3tcKh https://t.co/TIcISBPFlo"
6,6,6,1.5467432109695304e+18,2022-07-12 06:28:13+00:00,['1546743210969530368'],"Happy #WeNurses day :)

Who is joining us from 8pm to chat about...

""Nurses supporting HCSWs' Learning &amp; Career Development""

Full details here https://t.co/7Y5or0zGUA 

We have lots to add to these HCSW chats :)"
7,7,7,1.5450956937144812e+18,2022-07-07 17:21:34+00:00,['1545095693714481152'],@SAPHNAsharonOBE @CarolineLowton @HCRGCareGroup @KezRiley Caroline was everything a SN should be. I am sure the award in her name went to someone who embodies all @CarolineLowton stood for
10,10,10,1.5424976688989962e+18,2022-06-30 13:17:57+00:00,['1542497668898996224'],"@SAPHNAsharonOBE Well deserved Safeguarding Stars.
A very informative presentation and case study."
12,12,12,1.541406017883439e+18,2022-06-27 13:00:07+00:00,['1541406017883439106'],"This week there's lots going on with 4 tweetchats and an Advanced Practice takeover by @NorthBristolNHS 

See the tweetchats here https://t.co/J2jfA2jIRv

And the #WeNursesAP take over here https://t.co/fn8a6YaOoK 

Bring our voices to as much as we can! https://t.co/6NWmR4x1zs"
15,15,15,1.5367821636596572e+18,2022-06-14 18:46:34+00:00,['1536782163659657219'],@SAPHNAsharonOBE @AutismEducatio1 @ciarale01 @SwainITV @GMB Excellent
16,16,16,1.5367820305618534e+18,2022-06-14 18:46:02+00:00,['1536782030561853442'],"@waluap @SAPHNAsharonOBE Wishing all of you nearing the end of your course the best of luck securing your new posts, you are entering a most fabulous career. #schoolnursebestjobever"
18,18,18,1.533817245545255e+18,2022-06-06 14:25:02+00:00,['1533817245545254914'],"Who's joining @WeNurses for #WeNurseAcademics tomorrow 8PM?
Nurse Academics/Educators Tweetchat
""Looking after ourselves is important too, but do we?""+ impact on students
Chat info here ➡️  https://t.co/BeptdK2Is5 , please RT :)
Everyone Welcome
⬇️Chat Questions⬇️ https://t.co/3mdQGa89k9"
20,20,20,1.5291970386001715e+18,2022-05-24 20:25:59+00:00,['1529197038600171533'],@LeanneHPatrick @WeCommNurses @WeStudentNurse thank you for joining us Leanne :) #wecns
